index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2102,2013,Jan,470701,-,235.5,337.6,-,BEDOK,1.338,103.9192,BEDOK RESERVOIR,EAST
2103,2013,Jan,470702,-,216.7,-,-,BEDOK,1.3371,103.9189,BEDOK RESERVOIR,EAST
2104,2013,Jan,470703,-,233.1,-,-,BEDOK,1.337,103.9199,BEDOK RESERVOIR,EAST
2105,2013,Jan,470704,-,214.4,283.7,-,BEDOK,1.3367,103.9202,BEDOK RESERVOIR,EAST
2106,2013,Jan,470705,-,-,341.1,-,BEDOK,1.3368,103.919,BEDOK RESERVOIR,EAST
2107,2013,Jan,470706,-,-,330.7,-,BEDOK,1.336,103.919,BEDOK RESERVOIR,EAST
2108,2013,Jan,470707,-,-,339.8,-,BEDOK,1.3356,103.9193,BEDOK RESERVOIR,EAST
2109,2013,Jan,470708,-,-,309.4,-,BEDOK,1.3356,103.9193,BEDOK RESERVOIR,EAST
2110,2013,Jan,470709,-,223.5,-,-,BEDOK,1.3361,103.923,BEDOK RESERVOIR,EAST
2111,2013,Jan,470710,-,-,278.5,397.0,BEDOK,1.3356,103.9233,BEDOK RESERVOIR,EAST
2112,2013,Jan,470711,-,-,347.3,390.4,BEDOK,1.3361,103.9236,BEDOK RESERVOIR,EAST
2113,2013,Jan,470712,-,224.1,301.5,509.7,BEDOK,1.3361,103.923,BEDOK RESERVOIR,EAST
2114,2013,Jan,470713,-,214.4,309.0,443.0,BEDOK,1.3372,103.922,BEDOK RESERVOIR,EAST
2115,2013,Jan,470714,-,-,271.7,400.8,BEDOK,1.3372,103.9238,BEDOK RESERVOIR,EAST
2116,2013,Jan,470715,-,-,250.3,363.0,BEDOK,1.3377,103.9231,BEDOK RESERVOIR,EAST
2117,2013,Jan,470716,-,-,-,459.2,BEDOK,1.3377,103.9249,BEDOK RESERVOIR,EAST
2118,2013,Jan,470717,-,-,339.1,400.3,BEDOK,1.3377,103.9254,BEDOK RESERVOIR,EAST
2119,2013,Jan,470718,-,-,324.3,366.4,BEDOK,1.3372,103.9252,BEDOK RESERVOIR,EAST
2120,2013,Jan,470719,-,-,-,453.4,BEDOK,1.3364,103.925,BEDOK RESERVOIR,EAST
2121,2013,Jan,470720,-,-,372.8,447.9,BEDOK,1.3361,103.9249,BEDOK RESERVOIR,EAST
2122,2013,Jan,470721,-,-,-,407.5,BEDOK,1.3364,103.9262,BEDOK RESERVOIR,EAST
2123,2013,Jan,470722,-,-,405.4,374.0,BEDOK,1.3369,103.9283,BEDOK RESERVOIR,EAST
2124,2013,Jan,470723,-,-,344.1,471.3,BEDOK,1.3371,103.9292,BEDOK RESERVOIR,EAST
2125,2013,Jan,470724,-,-,321.7,-,BEDOK,1.3372,103.9284,BEDOK RESERVOIR,EAST
2126,2013,Jan,470725,-,-,-,438.1,BEDOK,1.3375,103.9288,BEDOK RESERVOIR,EAST
2127,2013,Jan,470740,-,268.6,-,-,BEDOK,1.3382,103.9227,BEDOK RESERVOIR,EAST
2128,2013,Jan,470742,-,263.7,-,-,BEDOK,1.3382,103.9221,BEDOK RESERVOIR,EAST
2129,2013,Jan,470744,-,259.2,-,-,BEDOK,1.3378,103.9214,BEDOK RESERVOIR,EAST
2130,2013,Jan,470761,-,-,314.4,449.6,BEDOK,1.3361,103.9338,BEDOK RESERVOIR,EAST
2131,2013,Jan,470762,-,-,346.1,404.2,BEDOK,1.3362,103.9344,BEDOK RESERVOIR,EAST
2132,2013,Jan,470763,-,-,308.4,386.7,BEDOK,1.3363,103.9351,BEDOK RESERVOIR,EAST
2133,2013,Jan,470764,-,-,321.9,-,BEDOK,1.3357,103.9354,BEDOK RESERVOIR,EAST
2134,2013,Jan,470765,-,-,311.4,374.6,BEDOK,1.3359,103.9358,BEDOK RESERVOIR,EAST
2135,2013,Jan,470766,-,-,381.4,390.6,BEDOK,1.3359,103.9364,BEDOK RESERVOIR,EAST
2136,2013,Jan,470767,-,-,361.2,391.3,BEDOK,1.3357,103.9369,BEDOK RESERVOIR,EAST
2137,2013,Jan,470768,-,-,336.8,-,BEDOK,1.3356,103.9372,BEDOK RESERVOIR,EAST
2138,2013,Jan,470769,-,-,336.3,353.1,BEDOK,1.3361,103.9378,BEDOK RESERVOIR,EAST
2139,2013,Jan,470770,-,-,325.5,389.4,BEDOK,1.336,103.9382,BEDOK RESERVOIR,EAST
2140,2013,Jan,470771,-,-,279.1,405.3,BEDOK,1.3358,103.9388,BEDOK RESERVOIR,EAST
2141,2013,Jan,470772,-,-,322.3,341.4,BEDOK,1.3364,103.9377,BEDOK RESERVOIR,EAST
2142,2013,Jan,470773,-,-,352.8,359.0,BEDOK,1.3366,103.9374,BEDOK RESERVOIR,EAST
2143,2013,Jan,470774,-,-,340.3,373.8,BEDOK,1.3367,103.9369,BEDOK RESERVOIR,EAST
10747,2013,Feb,470701,-,261.7,377.3,-,BEDOK,1.338,103.9192,BEDOK RESERVOIR,EAST
10748,2013,Feb,470702,-,233.2,-,-,BEDOK,1.3371,103.9189,BEDOK RESERVOIR,EAST
10749,2013,Feb,470703,-,267.3,-,-,BEDOK,1.337,103.9199,BEDOK RESERVOIR,EAST
