index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1734,2013,Jan,460005,-,-,308.2,-,BEDOK,1.3221,103.9342,BEDOK SOUTH,EAST
1735,2013,Jan,460006,-,-,300.1,-,BEDOK,1.3222,103.9343,BEDOK SOUTH,EAST
1736,2013,Jan,460007,-,-,350.3,-,BEDOK,1.3228,103.9353,BEDOK SOUTH,EAST
1737,2013,Jan,460008,-,-,283.6,-,BEDOK,1.3227,103.9361,BEDOK SOUTH,EAST
1738,2013,Jan,460009,-,-,-,347.6,BEDOK,1.3229,103.937,BEDOK SOUTH,EAST
1740,2013,Jan,460012,105.4,-,-,-,BEDOK,1.3212,103.9375,BEDOK SOUTH,EAST
1741,2013,Jan,460013,183.8,-,-,-,BEDOK,1.3205,103.9365,BEDOK SOUTH,EAST
1742,2013,Jan,460014,-,-,-,339.6,BEDOK,1.3211,103.9362,BEDOK SOUTH,EAST
1743,2013,Jan,460015,-,-,313.4,-,BEDOK,1.3208,103.936,BEDOK SOUTH,EAST
1744,2013,Jan,460018,-,252.1,-,558.3,BEDOK,1.3206,103.9346,BEDOK SOUTH,EAST
1745,2013,Jan,460019,-,-,-,371.3,BEDOK,1.32,103.9342,BEDOK SOUTH,EAST
1746,2013,Jan,460020,-,-,-,331.7,BEDOK,1.32,103.9339,BEDOK SOUTH,EAST
1747,2013,Jan,460021,-,-,-,324.7,BEDOK,1.3202,103.9333,BEDOK SOUTH,EAST
1748,2013,Jan,460022,-,265.4,394.6,-,BEDOK,1.3227,103.9322,BEDOK SOUTH,EAST
1749,2013,Jan,460023,-,254.9,381.3,-,BEDOK,1.3232,103.9321,BEDOK SOUTH,EAST
1756,2013,Jan,460031,-,-,-,323.6,BEDOK,1.3225,103.9383,BEDOK SOUTH,EAST
1757,2013,Jan,460032,-,-,-,364.1,BEDOK,1.3224,103.9378,BEDOK SOUTH,EAST
1758,2013,Jan,460033,-,232.7,-,-,BEDOK,1.3227,103.9391,BEDOK SOUTH,EAST
1759,2013,Jan,460034,-,-,316.0,-,BEDOK,1.3216,103.9385,BEDOK SOUTH,EAST
1760,2013,Jan,460035,-,-,299.0,-,BEDOK,1.3227,103.9397,BEDOK SOUTH,EAST
1761,2013,Jan,460036,-,-,335.7,-,BEDOK,1.3216,103.9385,BEDOK SOUTH,EAST
1762,2013,Jan,460037,-,-,292.8,-,BEDOK,1.3218,103.9402,BEDOK SOUTH,EAST
1763,2013,Jan,460038,152.9,-,-,-,BEDOK,1.3211,103.9389,BEDOK SOUTH,EAST
1764,2013,Jan,460039,-,235.5,333.7,-,BEDOK,1.3216,103.9396,BEDOK SOUTH,EAST
1765,2013,Jan,460040,-,217.6,-,-,BEDOK,1.3211,103.9394,BEDOK SOUTH,EAST
1766,2013,Jan,460041,-,-,275.5,-,BEDOK,1.3207,103.9408,BEDOK SOUTH,EAST
1767,2013,Jan,460042,-,-,276.3,-,BEDOK,1.3217,103.9407,BEDOK SOUTH,EAST
1768,2013,Jan,460043,-,-,261.0,-,BEDOK,1.3218,103.9415,BEDOK SOUTH,EAST
1769,2013,Jan,460044,-,-,296.0,-,BEDOK,1.3208,103.9417,BEDOK SOUTH,EAST
1770,2013,Jan,460046,-,232.9,279.1,751.8,BEDOK,1.3225,103.9429,BEDOK SOUTH,EAST
1771,2013,Jan,460047,-,-,365.7,-,BEDOK,1.3223,103.9433,BEDOK SOUTH,EAST
1772,2013,Jan,460048,-,-,368.4,-,BEDOK,1.3225,103.9435,BEDOK SOUTH,EAST
1773,2013,Jan,460049,-,-,416.4,-,BEDOK,1.3230000000000002,103.9431,BEDOK SOUTH,EAST
1774,2013,Jan,460050,-,-,342.8,-,BEDOK,1.3235,103.9442,BEDOK SOUTH,EAST
1788,2013,Jan,460064,-,-,314.8,-,BEDOK,1.3241,103.9403,BEDOK SOUTH,EAST
1789,2013,Jan,460065,-,-,314.5,-,BEDOK,1.325,103.9397,BEDOK SOUTH,EAST
1790,2013,Jan,460066,-,-,-,340.2,BEDOK,1.3191,103.9437,BEDOK SOUTH,EAST
1791,2013,Jan,460067,-,-,-,391.3,BEDOK,1.3192,103.944,BEDOK SOUTH,EAST
1792,2013,Jan,460068,-,-,-,371.9,BEDOK,1.319,103.9436,BEDOK SOUTH,EAST
1793,2013,Jan,460069,-,291.5,-,-,BEDOK,1.3195,103.9436,BEDOK SOUTH,EAST
1794,2013,Jan,460070,-,256.5,349.8,395.7,BEDOK,1.3201,103.9427,BEDOK SOUTH,EAST
1795,2013,Jan,460071,-,227.5,-,-,BEDOK,1.3203,103.9426,BEDOK SOUTH,EAST
1796,2013,Jan,460072,-,-,-,398.7,BEDOK,1.3202,103.9437,BEDOK SOUTH,EAST
1856,2013,Jan,460155,-,-,-,501.4,BEDOK,1.3195,103.9454,BEDOK SOUTH,EAST
1857,2013,Jan,460156,-,-,278.8,410.9,BEDOK,1.3185,103.9456,BEDOK SOUTH,EAST
1858,2013,Jan,460157,-,-,411.6,-,BEDOK,1.3186,103.9458,BEDOK SOUTH,EAST
1859,2013,Jan,460158,-,237.8,189.3,-,BEDOK,1.3188,103.9452,BEDOK SOUTH,EAST
1860,2013,Jan,460159,-,-,359.6,-,BEDOK,1.3192,103.9456,BEDOK SOUTH,EAST
1861,2013,Jan,460160,-,-,-,528.7,BEDOK,1.3192,103.9453,BEDOK SOUTH,EAST
1862,2013,Jan,460161,-,-,-,641.0,BEDOK,1.3196,103.9457,BEDOK SOUTH,EAST
1863,2013,Jan,460162,-,-,-,683.3,BEDOK,1.3197,103.9462,BEDOK SOUTH,EAST
1864,2013,Jan,460163,-,-,347.2,-,BEDOK,1.3197,103.9467,BEDOK SOUTH,EAST
1865,2013,Jan,460164,-,-,362.7,394.7,BEDOK,1.3199,103.9465,BEDOK SOUTH,EAST
1866,2013,Jan,460165,-,-,393.6,-,BEDOK,1.3202,103.9461,BEDOK SOUTH,EAST
