index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
792,2013,Jan,180008,-,300.5,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
794,2013,Jan,180010,-,360.2,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
9447,2013,Feb,180008,-,252.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
9449,2013,Feb,180010,-,246.2,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
18076,2013,Mar,180008,227.6,287.7,453.0,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
18078,2013,Mar,180010,-,319.0,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
26730,2013,Apr,180008,-,315.7,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
26732,2013,Apr,180010,-,384.4,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
35420,2013,May,180008,279.0,309.9,498.0,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
35422,2013,May,180010,-,361.8,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
44004,2013,Jun,180008,-,378.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
44006,2013,Jun,180010,-,473.8,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
52680,2013,Jul,180008,-,330.6,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
52682,2013,Jul,180010,-,387.5,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
61362,2013,Aug,180008,-,321.6,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
61364,2013,Aug,180010,-,389.3,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
70024,2013,Sep,180008,-,291.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
70026,2013,Sep,180010,-,356.4,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
78713,2013,Oct,180008,255.8,270.1,399.7,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
78715,2013,Oct,180010,-,313.2,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
87384,2013,Nov,180008,-,330.4,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
87386,2013,Nov,180010,-,391.5,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
96081,2013,Dec,180008,242.0,255.9,337.5,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
96083,2013,Dec,180010,-,301.7,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
104789,2014,Jan,180008,-,286.1,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
104791,2014,Jan,180010,-,334.1,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
113514,2014,Feb,180008,-,247.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
113516,2014,Feb,180010,-,272.9,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
122249,2014,Mar,180008,-,245.2,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
122251,2014,Mar,180010,-,270.7,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
131004,2014,Apr,180008,-,334.7,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
131006,2014,Apr,180010,-,369.6,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
139818,2014,May,180008,280.0,298.8,473.0,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
139820,2014,May,180010,-,329.1,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
148660,2014,Jun,180008,-,357.4,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
148662,2014,Jun,180010,-,481.6,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
157481,2014,Jul,180008,-,325.3,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
157483,2014,Jul,180010,-,388.4,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
166310,2014,Aug,180008,-,330.6,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
166312,2014,Aug,180010,-,369.9,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
175132,2014,Sep,180008,-,321.0,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
175134,2014,Sep,180010,-,370.4,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
183975,2014,Oct,180008,-,346.3,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
183977,2014,Oct,180010,-,401.5,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
192826,2014,Nov,180008,-,318.8,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
192828,2014,Nov,180010,-,374.2,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
201701,2014,Dec,180008,-,310.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
201703,2014,Dec,180010,-,305.0,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
210567,2015,Jan,180008,-,316.9,-,-,ROCHOR,1.3032,103.8501,BENCOOLEN,CENTRAL
210569,2015,Jan,180010,-,341.5,-,-,ROCHOR,1.3038,103.8505,BENCOOLEN,CENTRAL
