index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4744,2013,Jan,570101,-,-,-,355.5,BISHAN,1.3451,103.8484,BISHAN EAST,CENTRAL
4745,2013,Jan,570102,-,-,-,357.4,BISHAN,1.3452,103.8482,BISHAN EAST,CENTRAL
4746,2013,Jan,570103,-,-,-,337.5,BISHAN,1.3454,103.8483,BISHAN EAST,CENTRAL
4747,2013,Jan,570104,-,328.7,362.1,-,BISHAN,1.3458,103.8482,BISHAN EAST,CENTRAL
4748,2013,Jan,570105,-,205.9,344.5,-,BISHAN,1.346,103.8476,BISHAN EAST,CENTRAL
4749,2013,Jan,570106,-,-,366.4,-,BISHAN,1.346,103.8479,BISHAN EAST,CENTRAL
4750,2013,Jan,570107,-,-,335.6,-,BISHAN,1.3464,103.8479,BISHAN EAST,CENTRAL
4751,2013,Jan,570108,-,226.4,272.4,-,BISHAN,1.3467,103.8475,BISHAN EAST,CENTRAL
4752,2013,Jan,570109,-,-,351.7,-,BISHAN,1.3466,103.848,BISHAN EAST,CENTRAL
4753,2013,Jan,570110,-,185.0,288.6,-,BISHAN,1.3474,103.8478,BISHAN EAST,CENTRAL
4754,2013,Jan,570111,-,-,339.1,-,BISHAN,1.3472,103.8481,BISHAN EAST,CENTRAL
4755,2013,Jan,570112,-,-,336.5,-,BISHAN,1.347,103.8493,BISHAN EAST,CENTRAL
4756,2013,Jan,570113,-,-,349.3,-,BISHAN,1.3472,103.8488,BISHAN EAST,CENTRAL
4757,2013,Jan,570114,-,-,334.9,-,BISHAN,1.3475,103.8488,BISHAN EAST,CENTRAL
4758,2013,Jan,570115,-,242.2,-,-,BISHAN,1.3477,103.8483,BISHAN EAST,CENTRAL
4759,2013,Jan,570116,-,213.7,367.6,-,BISHAN,1.3477,103.8498,BISHAN EAST,CENTRAL
4760,2013,Jan,570117,-,-,-,340.0,BISHAN,1.3472,103.8501,BISHAN EAST,CENTRAL
4761,2013,Jan,570118,-,146.8,250.1,-,BISHAN,1.3465,103.8497,BISHAN EAST,CENTRAL
4762,2013,Jan,570119,-,-,-,371.0,BISHAN,1.3471,103.8504,BISHAN EAST,CENTRAL
4763,2013,Jan,570120,-,247.9,313.8,-,BISHAN,1.3473,103.8508,BISHAN EAST,CENTRAL
4764,2013,Jan,570121,-,274.1,302.0,-,BISHAN,1.3472,103.8512,BISHAN EAST,CENTRAL
4765,2013,Jan,570122,-,-,344.3,-,BISHAN,1.3467,103.8506,BISHAN EAST,CENTRAL
4766,2013,Jan,570123,-,-,317.5,-,BISHAN,1.3464,103.8504,BISHAN EAST,CENTRAL
4767,2013,Jan,570124,-,-,306.7,368.1,BISHAN,1.3466,103.8513,BISHAN EAST,CENTRAL
4768,2013,Jan,570125,-,-,330.5,348.6,BISHAN,1.347,103.8515,BISHAN EAST,CENTRAL
4769,2013,Jan,570126,-,-,362.5,371.2,BISHAN,1.3462,103.852,BISHAN EAST,CENTRAL
4770,2013,Jan,570127,-,-,332.0,430.7,BISHAN,1.346,103.8517,BISHAN EAST,CENTRAL
4771,2013,Jan,570128,-,-,-,399.7,BISHAN,1.3463,103.8505,BISHAN EAST,CENTRAL
4772,2013,Jan,570129,-,184.6,349.3,-,BISHAN,1.3456,103.8503,BISHAN EAST,CENTRAL
4773,2013,Jan,570130,-,-,331.7,-,BISHAN,1.3458,103.851,BISHAN EAST,CENTRAL
4774,2013,Jan,570131,-,-,342.6,-,BISHAN,1.3457,103.851,BISHAN EAST,CENTRAL
4775,2013,Jan,570132,-,271.4,288.4,-,BISHAN,1.3459,103.8516,BISHAN EAST,CENTRAL
4776,2013,Jan,570133,-,235.5,231.1,-,BISHAN,1.3452,103.8517,BISHAN EAST,CENTRAL
4777,2013,Jan,570134,-,-,-,459.3,BISHAN,1.3455,103.8522,BISHAN EAST,CENTRAL
4778,2013,Jan,570135,-,-,-,435.8,BISHAN,1.3445,103.8512,BISHAN EAST,CENTRAL
4779,2013,Jan,570136,-,-,363.8,509.5,BISHAN,1.3442,103.8518,BISHAN EAST,CENTRAL
4780,2013,Jan,570137,-,-,-,670.5,BISHAN,1.3443,103.8518,BISHAN EAST,CENTRAL
4781,2013,Jan,570138,-,-,369.2,477.2,BISHAN,1.3443,103.8524,BISHAN EAST,CENTRAL
4782,2013,Jan,570139,-,-,476.3,440.8,BISHAN,1.3453,103.8525,BISHAN EAST,CENTRAL
4783,2013,Jan,570140,-,-,430.4,465.4,BISHAN,1.3449,103.8531,BISHAN EAST,CENTRAL
4784,2013,Jan,570141,-,-,381.4,506.4,BISHAN,1.345,103.8533,BISHAN EAST,CENTRAL
4785,2013,Jan,570142,-,-,423.6,428.0,BISHAN,1.3456,103.8536,BISHAN EAST,CENTRAL
4786,2013,Jan,570143,-,-,475.3,703.2,BISHAN,1.3456,103.8527,BISHAN EAST,CENTRAL
4787,2013,Jan,570144,-,-,405.6,435.2,BISHAN,1.3457,103.8536,BISHAN EAST,CENTRAL
4788,2013,Jan,570145,-,-,429.9,474.4,BISHAN,1.3447,103.8549,BISHAN EAST,CENTRAL
4789,2013,Jan,570146,-,-,365.0,514.6,BISHAN,1.344,103.8544,BISHAN EAST,CENTRAL
4790,2013,Jan,570147,-,-,442.0,546.5,BISHAN,1.344,103.8551,BISHAN EAST,CENTRAL
4791,2013,Jan,570148,-,328.9,487.9,691.4,BISHAN,1.3441,103.8547,BISHAN EAST,CENTRAL
4792,2013,Jan,570149,-,-,374.4,443.6,BISHAN,1.3444,103.8559,BISHAN EAST,CENTRAL
4793,2013,Jan,570150,-,320.7,433.2,-,BISHAN,1.3447,103.8552,BISHAN EAST,CENTRAL
4794,2013,Jan,570151,-,318.5,512.1,-,BISHAN,1.3452,103.8556,BISHAN EAST,CENTRAL
4795,2013,Jan,570152,-,307.3,352.8,-,BISHAN,1.3455,103.8549,BISHAN EAST,CENTRAL
4796,2013,Jan,570153,-,-,372.6,532.5,BISHAN,1.3462,103.8551,BISHAN EAST,CENTRAL
4797,2013,Jan,570154,-,-,431.6,501.8,BISHAN,1.3465,103.8551,BISHAN EAST,CENTRAL
4798,2013,Jan,570155,-,-,372.6,481.5,BISHAN,1.3463,103.856,BISHAN EAST,CENTRAL
4799,2013,Jan,570156,-,-,411.9,491.4,BISHAN,1.3454,103.8566,BISHAN EAST,CENTRAL
4800,2013,Jan,570157,-,-,423.7,434.7,BISHAN,1.3467,103.8562,BISHAN EAST,CENTRAL
4801,2013,Jan,570158,-,-,357.8,479.8,BISHAN,1.3467,103.8562,BISHAN EAST,CENTRAL
4802,2013,Jan,570159,-,-,-,646.1,BISHAN,1.3467,103.8557,BISHAN EAST,CENTRAL
4803,2013,Jan,570160,-,-,-,541.9,BISHAN,1.3471,103.8563,BISHAN EAST,CENTRAL
4804,2013,Jan,570161,-,-,357.3,484.7,BISHAN,1.3477,103.8558,BISHAN EAST,CENTRAL
4805,2013,Jan,570162,-,-,-,615.7,BISHAN,1.3477,103.8559,BISHAN EAST,CENTRAL
4806,2013,Jan,570163,-,-,399.5,448.9,BISHAN,1.3479,103.8564,BISHAN EAST,CENTRAL
4807,2013,Jan,570164,-,-,347.0,513.5,BISHAN,1.3484,103.856,BISHAN EAST,CENTRAL
4808,2013,Jan,570165,-,-,426.8,453.2,BISHAN,1.3492,103.8559,BISHAN EAST,CENTRAL
4809,2013,Jan,570166,-,-,345.3,569.2,BISHAN,1.3487,103.8552,BISHAN EAST,CENTRAL
4810,2013,Jan,570167,-,-,356.5,438.8,BISHAN,1.3479,103.8554,BISHAN EAST,CENTRAL
4811,2013,Jan,570168,-,-,-,345.8,BISHAN,1.3474,103.854,BISHAN EAST,CENTRAL
4812,2013,Jan,570169,-,-,-,356.6,BISHAN,1.3468,103.8544,BISHAN EAST,CENTRAL
4813,2013,Jan,570170,-,-,267.5,405.7,BISHAN,1.3466,103.8531,BISHAN EAST,CENTRAL
4814,2013,Jan,570171,-,195.6,301.6,-,BISHAN,1.3469,103.8535,BISHAN EAST,CENTRAL
4815,2013,Jan,570172,-,-,299.2,289.8,BISHAN,1.3471,103.8532,BISHAN EAST,CENTRAL
4816,2013,Jan,570173,-,-,-,343.1,BISHAN,1.3478,103.8541,BISHAN EAST,CENTRAL
4817,2013,Jan,570174,-,-,-,292.3,BISHAN,1.3483,103.8546,BISHAN EAST,CENTRAL
4818,2013,Jan,570175,-,-,308.5,460.8,BISHAN,1.3489,103.854,BISHAN EAST,CENTRAL
4819,2013,Jan,570176,-,234.0,273.7,-,BISHAN,1.3482,103.8537,BISHAN EAST,CENTRAL
4820,2013,Jan,570177,-,-,313.2,357.9,BISHAN,1.3477,103.8535,BISHAN EAST,CENTRAL
4821,2013,Jan,570178,-,-,302.2,420.1,BISHAN,1.348,103.8522,BISHAN EAST,CENTRAL
4822,2013,Jan,570179,-,-,-,361.4,BISHAN,1.3489,103.8511,BISHAN EAST,CENTRAL
4823,2013,Jan,570180,-,203.0,302.7,-,BISHAN,1.3484,103.8524,BISHAN EAST,CENTRAL
4824,2013,Jan,570181,-,-,294.9,367.4,BISHAN,1.349,103.8531,BISHAN EAST,CENTRAL
4825,2013,Jan,570182,-,-,302.5,376.7,BISHAN,1.35,103.853,BISHAN EAST,CENTRAL
4826,2013,Jan,570183,-,-,-,353.9,BISHAN,1.3508,103.8525,BISHAN EAST,CENTRAL
4827,2013,Jan,570184,-,181.0,335.6,-,BISHAN,1.3508,103.8527,BISHAN EAST,CENTRAL
4828,2013,Jan,570185,-,174.4,317.8,-,BISHAN,1.3496,103.8525,BISHAN EAST,CENTRAL
4829,2013,Jan,570186,-,-,-,365.3,BISHAN,1.3486,103.8528,BISHAN EAST,CENTRAL
4830,2013,Jan,570187,-,-,-,414.4,BISHAN,1.3495,103.8513,BISHAN EAST,CENTRAL
4831,2013,Jan,570188,-,196.5,249.8,-,BISHAN,1.3498,103.8517,BISHAN EAST,CENTRAL
4832,2013,Jan,570189,-,183.5,266.7,-,BISHAN,1.3498,103.8517,BISHAN EAST,CENTRAL
4833,2013,Jan,570190,-,-,-,362.0,BISHAN,1.3509,103.8521,BISHAN EAST,CENTRAL
4834,2013,Jan,570191,-,-,336.5,404.8,BISHAN,1.3504,103.8513,BISHAN EAST,CENTRAL
4835,2013,Jan,570192,-,-,-,423.3,BISHAN,1.349,103.8512,BISHAN EAST,CENTRAL
4836,2013,Jan,570193,-,182.6,249.2,-,BISHAN,1.3488,103.851,BISHAN EAST,CENTRAL
4837,2013,Jan,570194,-,-,-,309.9,BISHAN,1.3488,103.8511,BISHAN EAST,CENTRAL
4838,2013,Jan,570195,-,201.4,256.5,-,BISHAN,1.3483,103.8509,BISHAN EAST,CENTRAL
4839,2013,Jan,570196,-,-,310.7,388.9,BISHAN,1.3482,103.8508,BISHAN EAST,CENTRAL
4840,2013,Jan,570197,-,-,325.9,428.8,BISHAN,1.3491,103.8504,BISHAN EAST,CENTRAL
4961,2013,Jan,570501,-,-,386.4,367.0,BISHAN,1.3485,103.8491,BISHAN EAST,CENTRAL
