index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1399,2013,Jan,380011,-,333.2,-,644.8,KALLANG,1.3144,103.8708,BOON KENG,CENTRAL
1400,2013,Jan,380013,-,-,411.3,409.2,KALLANG,1.3144,103.8705,BOON KENG,CENTRAL
1401,2013,Jan,380014,-,-,452.8,480.5,KALLANG,1.315,103.8705,BOON KENG,CENTRAL
1402,2013,Jan,380015,-,-,372.3,-,KALLANG,1.3158,103.8713,BOON KENG,CENTRAL
1403,2013,Jan,380016,-,297.7,-,725.0,KALLANG,1.3156,103.8716,BOON KENG,CENTRAL
1404,2013,Jan,380019,183.3,-,-,-,KALLANG,1.3153,103.8739,BOON KENG,CENTRAL
1405,2013,Jan,380038,-,-,-,420.8,KALLANG,1.3182,103.8742,BOON KENG,CENTRAL
1406,2013,Jan,380039,-,-,-,414.9,KALLANG,1.3187,103.8741,BOON KENG,CENTRAL
1451,2013,Jan,381002,-,-,324.1,468.1,KALLANG,1.3139,103.8718,BOON KENG,CENTRAL
1452,2013,Jan,381003,-,-,333.7,444.3,KALLANG,1.3141,103.8723,BOON KENG,CENTRAL
1453,2013,Jan,381005,-,261.1,407.7,-,KALLANG,1.3130000000000002,103.8735,BOON KENG,CENTRAL
1454,2013,Jan,381014,-,-,401.2,487.5,KALLANG,1.3152,103.8707,BOON KENG,CENTRAL
1467,2013,Jan,382002,-,-,361.8,484.1,KALLANG,1.3137,103.8715,BOON KENG,CENTRAL
1468,2013,Jan,382003,-,-,386.7,449.9,KALLANG,1.3143,103.8726,BOON KENG,CENTRAL
1469,2013,Jan,383002,-,-,348.4,472.4,KALLANG,1.3131,103.8718,BOON KENG,CENTRAL
1470,2013,Jan,383003,-,-,373.8,386.4,KALLANG,1.3138,103.8731,BOON KENG,CENTRAL
1471,2013,Jan,384002,-,-,351.2,441.4,KALLANG,1.3130000000000002,103.8725,BOON KENG,CENTRAL
