index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
961,2013,Jan,310028,-,42.4,-,-,TOA PAYOH,1.3327,103.8542,BOON TECK,CENTRAL
962,2013,Jan,310029,147.1,-,-,-,TOA PAYOH,1.3331,103.8539,BOON TECK,CENTRAL
963,2013,Jan,310030,-,195.0,-,-,TOA PAYOH,1.3336,103.854,BOON TECK,CENTRAL
964,2013,Jan,310031,107.7,-,-,-,TOA PAYOH,1.3332,103.854,BOON TECK,CENTRAL
965,2013,Jan,310032,-,254.2,-,-,TOA PAYOH,1.3328,103.8545,BOON TECK,CENTRAL
966,2013,Jan,310035,-,-,421.9,465.1,TOA PAYOH,1.3344,103.8544,BOON TECK,CENTRAL
967,2013,Jan,310036,-,-,364.6,453.2,TOA PAYOH,1.3352,103.8551,BOON TECK,CENTRAL
968,2013,Jan,310037,-,-,373.9,418.4,TOA PAYOH,1.3345,103.8553,BOON TECK,CENTRAL
969,2013,Jan,310038,-,267.3,-,539.6,TOA PAYOH,1.3353,103.8549,BOON TECK,CENTRAL
970,2013,Jan,310043,-,-,404.4,419.3,TOA PAYOH,1.3359,103.8544,BOON TECK,CENTRAL
971,2013,Jan,310044,-,-,-,481.4,TOA PAYOH,1.3364,103.8538,BOON TECK,CENTRAL
972,2013,Jan,310045,-,-,390.8,426.9,TOA PAYOH,1.3361,103.854,BOON TECK,CENTRAL
973,2013,Jan,310046,-,-,-,439.8,TOA PAYOH,1.3366,103.8535,BOON TECK,CENTRAL
974,2013,Jan,310047,-,207.9,-,-,TOA PAYOH,1.3371,103.854,BOON TECK,CENTRAL
975,2013,Jan,310048,-,-,-,379.5,TOA PAYOH,1.3372,103.8539,BOON TECK,CENTRAL
976,2013,Jan,310049,-,-,-,478.0,TOA PAYOH,1.3376,103.8531,BOON TECK,CENTRAL
977,2013,Jan,310050,-,-,-,455.9,TOA PAYOH,1.3372,103.8528,BOON TECK,CENTRAL
978,2013,Jan,310051,131.7,227.5,-,-,TOA PAYOH,1.3379,103.8525,BOON TECK,CENTRAL
979,2013,Jan,310053,-,271.9,-,-,TOA PAYOH,1.3377,103.8508,BOON TECK,CENTRAL
980,2013,Jan,310054,162.7,-,-,-,TOA PAYOH,1.3375,103.8504,BOON TECK,CENTRAL
981,2013,Jan,310055,160.3,-,-,-,TOA PAYOH,1.3375,103.8512,BOON TECK,CENTRAL
982,2013,Jan,310056,163.1,285.0,-,-,TOA PAYOH,1.3367,103.8503,BOON TECK,CENTRAL
983,2013,Jan,310057,-,296.5,-,-,TOA PAYOH,1.3374,103.8519,BOON TECK,CENTRAL
984,2013,Jan,310058,172.3,258.0,-,-,TOA PAYOH,1.3367,103.8505,BOON TECK,CENTRAL
985,2013,Jan,310059,-,273.2,-,-,TOA PAYOH,1.3371,103.8522,BOON TECK,CENTRAL
986,2013,Jan,310060,-,-,413.1,434.9,TOA PAYOH,1.3366,103.8507,BOON TECK,CENTRAL
987,2013,Jan,310061,164.8,341.0,-,-,TOA PAYOH,1.3362,103.8524,BOON TECK,CENTRAL
988,2013,Jan,310062,-,-,325.4,407.6,TOA PAYOH,1.3363,103.8514,BOON TECK,CENTRAL
989,2013,Jan,310063,158.4,-,-,-,TOA PAYOH,1.336,103.8524,BOON TECK,CENTRAL
