index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1002,2013,Jan,310091,-,278.6,-,-,TOA PAYOH,1.3384,103.8486,BRADDELL,CENTRAL
1003,2013,Jan,310092,-,350.7,-,-,TOA PAYOH,1.338,103.8494,BRADDELL,CENTRAL
1004,2013,Jan,310094,-,349.2,-,-,TOA PAYOH,1.339,103.8495,BRADDELL,CENTRAL
1005,2013,Jan,310096,-,301.9,-,-,TOA PAYOH,1.3385,103.8484,BRADDELL,CENTRAL
1006,2013,Jan,310097,-,-,-,379.4,TOA PAYOH,1.3383,103.8474,BRADDELL,CENTRAL
1007,2013,Jan,310098,-,297.7,-,-,TOA PAYOH,1.3394,103.8484,BRADDELL,CENTRAL
1008,2013,Jan,310099,-,-,-,454.9,TOA PAYOH,1.3389,103.8469,BRADDELL,CENTRAL
1009,2013,Jan,310100,-,290.8,-,-,TOA PAYOH,1.3395,103.8484,BRADDELL,CENTRAL
1010,2013,Jan,310101,-,-,-,459.4,TOA PAYOH,1.3396,103.8472,BRADDELL,CENTRAL
1011,2013,Jan,310103,180.3,-,-,-,TOA PAYOH,1.3407,103.8482,BRADDELL,CENTRAL
1012,2013,Jan,310104,184.7,-,-,-,TOA PAYOH,1.34,103.8491,BRADDELL,CENTRAL
1013,2013,Jan,310105,199.7,-,-,-,TOA PAYOH,1.3407,103.8491,BRADDELL,CENTRAL
1014,2013,Jan,310106,184.9,-,-,-,TOA PAYOH,1.3407,103.8482,BRADDELL,CENTRAL
1063,2013,Jan,310199,-,272.0,-,596.8,TOA PAYOH,1.3423,103.8507,BRADDELL,CENTRAL
1064,2013,Jan,310200,-,-,329.1,-,TOA PAYOH,1.3416,103.8508,BRADDELL,CENTRAL
1065,2013,Jan,310201,-,-,293.0,-,TOA PAYOH,1.3415,103.8502,BRADDELL,CENTRAL
1066,2013,Jan,310202,-,-,330.1,-,TOA PAYOH,1.3417,103.8494,BRADDELL,CENTRAL
1067,2013,Jan,310204,-,-,314.5,-,TOA PAYOH,1.3417,103.8491,BRADDELL,CENTRAL
1091,2013,Jan,310236,-,-,-,414.4,TOA PAYOH,1.3405,103.8523,BRADDELL,CENTRAL
1092,2013,Jan,310237,-,-,-,429.8,TOA PAYOH,1.34,103.8523,BRADDELL,CENTRAL
1093,2013,Jan,310238,-,-,315.1,343.5,TOA PAYOH,1.3404,103.8518,BRADDELL,CENTRAL
1094,2013,Jan,310239,-,-,301.3,336.0,TOA PAYOH,1.3404,103.8513,BRADDELL,CENTRAL
1095,2013,Jan,310240,-,-,-,392.7,TOA PAYOH,1.3409,103.8508,BRADDELL,CENTRAL
1121,2013,Jan,311099,-,-,-,507.5,TOA PAYOH,1.3388,103.8473,BRADDELL,CENTRAL
1122,2013,Jan,311101,-,-,-,567.3,TOA PAYOH,1.3396,103.8475,BRADDELL,CENTRAL
1136,2013,Jan,312099,-,-,-,561.7,TOA PAYOH,1.3393,103.8474,BRADDELL,CENTRAL
9658,2013,Feb,310091,-,268.3,-,-,TOA PAYOH,1.3384,103.8486,BRADDELL,CENTRAL
9659,2013,Feb,310092,-,293.8,-,-,TOA PAYOH,1.338,103.8494,BRADDELL,CENTRAL
9660,2013,Feb,310094,-,265.0,-,-,TOA PAYOH,1.339,103.8495,BRADDELL,CENTRAL
9661,2013,Feb,310096,-,264.6,-,-,TOA PAYOH,1.3385,103.8484,BRADDELL,CENTRAL
9662,2013,Feb,310097,-,-,-,388.6,TOA PAYOH,1.3383,103.8474,BRADDELL,CENTRAL
9663,2013,Feb,310098,-,260.2,-,-,TOA PAYOH,1.3394,103.8484,BRADDELL,CENTRAL
9664,2013,Feb,310099,-,-,-,474.8,TOA PAYOH,1.3389,103.8469,BRADDELL,CENTRAL
9665,2013,Feb,310100,-,227.5,-,-,TOA PAYOH,1.3395,103.8484,BRADDELL,CENTRAL
9666,2013,Feb,310101,-,-,-,454.5,TOA PAYOH,1.3396,103.8472,BRADDELL,CENTRAL
9667,2013,Feb,310103,150.2,-,-,-,TOA PAYOH,1.3407,103.8482,BRADDELL,CENTRAL
9668,2013,Feb,310104,152.1,-,-,-,TOA PAYOH,1.34,103.8491,BRADDELL,CENTRAL
9669,2013,Feb,310105,173.2,-,-,-,TOA PAYOH,1.3407,103.8491,BRADDELL,CENTRAL
9670,2013,Feb,310106,152.1,-,-,-,TOA PAYOH,1.3407,103.8482,BRADDELL,CENTRAL
9719,2013,Feb,310199,-,284.9,-,663.0,TOA PAYOH,1.3423,103.8507,BRADDELL,CENTRAL
9720,2013,Feb,310200,-,-,362.1,-,TOA PAYOH,1.3416,103.8508,BRADDELL,CENTRAL
9721,2013,Feb,310201,-,-,328.1,-,TOA PAYOH,1.3415,103.8502,BRADDELL,CENTRAL
9722,2013,Feb,310202,-,-,365.7,-,TOA PAYOH,1.3417,103.8494,BRADDELL,CENTRAL
9723,2013,Feb,310204,-,-,341.3,-,TOA PAYOH,1.3417,103.8491,BRADDELL,CENTRAL
9746,2013,Feb,310236,-,-,-,469.7,TOA PAYOH,1.3405,103.8523,BRADDELL,CENTRAL
9747,2013,Feb,310237,-,-,-,499.3,TOA PAYOH,1.34,103.8523,BRADDELL,CENTRAL
9748,2013,Feb,310238,-,-,380.8,393.6,TOA PAYOH,1.3404,103.8518,BRADDELL,CENTRAL
9749,2013,Feb,310239,-,-,349.0,371.6,TOA PAYOH,1.3404,103.8513,BRADDELL,CENTRAL
9750,2013,Feb,310240,-,-,-,430.9,TOA PAYOH,1.3409,103.8508,BRADDELL,CENTRAL
9776,2013,Feb,311099,-,-,-,512.2,TOA PAYOH,1.3388,103.8473,BRADDELL,CENTRAL
9777,2013,Feb,311101,-,-,-,569.2,TOA PAYOH,1.3396,103.8475,BRADDELL,CENTRAL
9791,2013,Feb,312099,-,-,-,582.7,TOA PAYOH,1.3393,103.8474,BRADDELL,CENTRAL
18286,2013,Mar,310091,-,263.0,-,-,TOA PAYOH,1.3384,103.8486,BRADDELL,CENTRAL
18287,2013,Mar,310092,-,285.4,-,-,TOA PAYOH,1.338,103.8494,BRADDELL,CENTRAL
18288,2013,Mar,310094,-,296.0,-,-,TOA PAYOH,1.339,103.8495,BRADDELL,CENTRAL
18289,2013,Mar,310096,-,271.8,-,-,TOA PAYOH,1.3385,103.8484,BRADDELL,CENTRAL
18290,2013,Mar,310097,-,-,-,396.2,TOA PAYOH,1.3383,103.8474,BRADDELL,CENTRAL
18291,2013,Mar,310098,-,280.2,-,-,TOA PAYOH,1.3394,103.8484,BRADDELL,CENTRAL
18292,2013,Mar,310099,-,-,-,472.4,TOA PAYOH,1.3389,103.8469,BRADDELL,CENTRAL
18293,2013,Mar,310100,-,259.4,-,-,TOA PAYOH,1.3395,103.8484,BRADDELL,CENTRAL
18294,2013,Mar,310101,-,-,-,424.1,TOA PAYOH,1.3396,103.8472,BRADDELL,CENTRAL
18295,2013,Mar,310103,169.0,-,-,-,TOA PAYOH,1.3407,103.8482,BRADDELL,CENTRAL
