index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
790,2013,Jan,180001,-,296.9,310.4,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
795,2013,Jan,180232,-,-,347.0,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
796,2013,Jan,180233,-,-,370.7,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
802,2013,Jan,181004,-,278.0,497.2,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
9445,2013,Feb,180001,-,306.5,329.8,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
9450,2013,Feb,180232,-,-,268.6,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
9451,2013,Feb,180233,-,-,294.7,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
9457,2013,Feb,181004,-,309.7,489.5,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
18074,2013,Mar,180001,-,250.1,260.8,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
18079,2013,Mar,180232,-,-,315.1,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
18080,2013,Mar,180233,-,-,358.6,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
18086,2013,Mar,181004,-,258.6,335.1,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
26728,2013,Apr,180001,-,288.5,312.5,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
26733,2013,Apr,180232,-,-,369.8,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
26734,2013,Apr,180233,-,-,422.9,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
26740,2013,Apr,181004,-,301.8,433.2,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
35418,2013,May,180001,-,373.5,420.2,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
35423,2013,May,180232,-,-,333.6,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
35424,2013,May,180233,-,-,380.4,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
35430,2013,May,181004,-,445.9,490.2,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
44002,2013,Jun,180001,-,339.7,383.7,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
44007,2013,Jun,180232,-,-,423.0,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
44008,2013,Jun,180233,-,-,461.9,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
44014,2013,Jun,181004,-,375.3,468.2,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
52678,2013,Jul,180001,-,337.9,359.1,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
52683,2013,Jul,180232,-,-,369.6,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
52684,2013,Jul,180233,-,-,411.2,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
52690,2013,Jul,181004,-,360.5,432.7,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
61360,2013,Aug,180001,-,383.5,416.1,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
61365,2013,Aug,180232,-,-,409.2,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
61366,2013,Aug,180233,-,-,463.3,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
61372,2013,Aug,181004,-,414.8,503.8,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
70022,2013,Sep,180001,-,280.5,340.9,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
70027,2013,Sep,180232,-,-,362.7,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
70028,2013,Sep,180233,-,-,400.8,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
70034,2013,Sep,181004,-,343.4,441.6,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
78711,2013,Oct,180001,-,324.6,372.5,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
78716,2013,Oct,180232,-,-,300.0,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
78717,2013,Oct,180233,-,-,307.5,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
78723,2013,Oct,181004,-,374.0,465.2,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
87382,2013,Nov,180001,-,321.6,333.3,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
87387,2013,Nov,180232,-,-,382.8,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
87388,2013,Nov,180233,-,-,406.6,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
87394,2013,Nov,181004,-,346.2,480.9,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
96079,2013,Dec,180001,-,310.6,346.9,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
96084,2013,Dec,180232,-,-,330.0,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
96085,2013,Dec,180233,-,-,390.3,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
96091,2013,Dec,181004,-,342.5,457.7,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
104787,2014,Jan,180001,-,273.9,266.3,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
104792,2014,Jan,180232,-,-,352.5,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
104793,2014,Jan,180233,-,-,395.5,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
104799,2014,Jan,181004,-,270.0,344.9,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
113512,2014,Feb,180001,-,296.4,299.0,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
113517,2014,Feb,180232,-,-,245.8,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
113518,2014,Feb,180233,-,-,312.3,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
113524,2014,Feb,181004,-,301.5,407.9,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
122247,2014,Mar,180001,-,258.5,249.3,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
122252,2014,Mar,180232,-,-,268.2,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
122253,2014,Mar,180233,-,-,313.6,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
122259,2014,Mar,181004,-,238.6,350.5,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
131002,2014,Apr,180001,-,293.1,304.5,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
131007,2014,Apr,180232,-,-,382.2,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
131008,2014,Apr,180233,-,-,421.7,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
131014,2014,Apr,181004,-,287.7,398.4,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
139816,2014,May,180001,-,359.0,414.5,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
139821,2014,May,180232,-,-,332.6,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
139822,2014,May,180233,-,-,380.8,-,DOWNTOWN CORE,1.297,103.854,BUGIS,CENTRAL
139828,2014,May,181004,-,407.3,541.1,-,DOWNTOWN CORE,1.3026,103.8543,BUGIS,CENTRAL
148658,2014,Jun,180001,-,333.6,366.9,-,DOWNTOWN CORE,1.3019999999999998,103.8547,BUGIS,CENTRAL
148663,2014,Jun,180232,-,-,429.3,-,DOWNTOWN CORE,1.2973,103.8537,BUGIS,CENTRAL
