index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6003,2013,Jan,650231,-,250.8,377.4,-,BUKIT BATOK,1.349,103.754,BUKIT BATOK EAST,WEST
6004,2013,Jan,650232,-,263.1,306.3,-,BUKIT BATOK,1.3493,103.7548,BUKIT BATOK EAST,WEST
6005,2013,Jan,650233,-,249.1,327.2,483.8,BUKIT BATOK,1.3488,103.7554,BUKIT BATOK EAST,WEST
6006,2013,Jan,650234,-,261.6,314.5,-,BUKIT BATOK,1.349,103.7553,BUKIT BATOK EAST,WEST
6007,2013,Jan,650235,-,250.0,-,-,BUKIT BATOK,1.3487,103.7563,BUKIT BATOK EAST,WEST
6008,2013,Jan,650236,-,-,362.6,415.9,BUKIT BATOK,1.3492,103.756,BUKIT BATOK EAST,WEST
6009,2013,Jan,650237,-,264.8,352.5,-,BUKIT BATOK,1.3496,103.7553,BUKIT BATOK EAST,WEST
6010,2013,Jan,650238,-,236.6,311.6,-,BUKIT BATOK,1.35,103.7546,BUKIT BATOK EAST,WEST
6011,2013,Jan,650239,-,239.6,-,-,BUKIT BATOK,1.3501,103.7557,BUKIT BATOK EAST,WEST
6012,2013,Jan,650240,-,251.7,333.5,-,BUKIT BATOK,1.3508,103.7535,BUKIT BATOK EAST,WEST
6013,2013,Jan,650241,-,242.2,354.0,-,BUKIT BATOK,1.3504,103.7549,BUKIT BATOK EAST,WEST
6014,2013,Jan,650242,-,254.5,353.8,-,BUKIT BATOK,1.3507,103.7557,BUKIT BATOK EAST,WEST
6015,2013,Jan,650243,-,-,369.8,452.9,BUKIT BATOK,1.3496,103.7562,BUKIT BATOK EAST,WEST
6016,2013,Jan,650244,-,248.3,366.2,-,BUKIT BATOK,1.3494,103.7571,BUKIT BATOK EAST,WEST
6017,2013,Jan,650245,-,194.1,350.0,-,BUKIT BATOK,1.3494,103.7571,BUKIT BATOK EAST,WEST
6018,2013,Jan,650246,-,267.8,401.3,-,BUKIT BATOK,1.3492,103.7579,BUKIT BATOK EAST,WEST
6019,2013,Jan,650247,-,252.7,370.1,-,BUKIT BATOK,1.3501,103.757,BUKIT BATOK EAST,WEST
6020,2013,Jan,650248,-,238.3,348.1,-,BUKIT BATOK,1.3504,103.7566,BUKIT BATOK EAST,WEST
6021,2013,Jan,650249,-,238.5,364.7,-,BUKIT BATOK,1.3508,103.7565,BUKIT BATOK EAST,WEST
6022,2013,Jan,650250,-,258.5,368.5,-,BUKIT BATOK,1.3509,103.7571,BUKIT BATOK EAST,WEST
6023,2013,Jan,650251,-,235.8,360.0,-,BUKIT BATOK,1.3508,103.7574,BUKIT BATOK EAST,WEST
6024,2013,Jan,650252,-,270.3,436.9,-,BUKIT BATOK,1.3505,103.7572,BUKIT BATOK EAST,WEST
6025,2013,Jan,650253,-,252.0,322.4,-,BUKIT BATOK,1.3501,103.7575,BUKIT BATOK EAST,WEST
6026,2013,Jan,650254,-,-,326.2,444.0,BUKIT BATOK,1.3495,103.7583,BUKIT BATOK EAST,WEST
6027,2013,Jan,650255,-,350.4,422.5,-,BUKIT BATOK,1.3502,103.7587,BUKIT BATOK EAST,WEST
6028,2013,Jan,650256,-,289.7,358.9,-,BUKIT BATOK,1.3509,103.7585,BUKIT BATOK EAST,WEST
6029,2013,Jan,650257,-,-,393.8,398.9,BUKIT BATOK,1.3514,103.7579,BUKIT BATOK EAST,WEST
6030,2013,Jan,650258,-,236.1,406.6,-,BUKIT BATOK,1.3512,103.7589,BUKIT BATOK EAST,WEST
6031,2013,Jan,650259,-,212.3,-,-,BUKIT BATOK,1.3511,103.7596,BUKIT BATOK EAST,WEST
6032,2013,Jan,650260,-,230.7,384.6,-,BUKIT BATOK,1.3511,103.759,BUKIT BATOK EAST,WEST
6033,2013,Jan,650261,-,218.6,406.0,-,BUKIT BATOK,1.351,103.7588,BUKIT BATOK EAST,WEST
6034,2013,Jan,650262,-,282.6,415.3,-,BUKIT BATOK,1.3509,103.7596,BUKIT BATOK EAST,WEST
6035,2013,Jan,650263,-,247.2,329.7,-,BUKIT BATOK,1.3502,103.7591,BUKIT BATOK EAST,WEST
6036,2013,Jan,650264,-,258.8,357.5,-,BUKIT BATOK,1.3501,103.759,BUKIT BATOK EAST,WEST
6037,2013,Jan,650265,-,250.3,-,-,BUKIT BATOK,1.3497,103.7601,BUKIT BATOK EAST,WEST
6038,2013,Jan,650266,-,-,345.5,-,BUKIT BATOK,1.3493,103.7601,BUKIT BATOK EAST,WEST
6039,2013,Jan,650267,-,257.3,-,-,BUKIT BATOK,1.3489,103.76,BUKIT BATOK EAST,WEST
6040,2013,Jan,650268,-,-,317.8,-,BUKIT BATOK,1.3492,103.7592,BUKIT BATOK EAST,WEST
6041,2013,Jan,650269,-,260.7,335.9,-,BUKIT BATOK,1.3488,103.7593,BUKIT BATOK EAST,WEST
6042,2013,Jan,650271,-,230.5,-,-,BUKIT BATOK,1.3484,103.7585,BUKIT BATOK EAST,WEST
6043,2013,Jan,650272,-,257.3,450.4,-,BUKIT BATOK,1.3486,103.7578,BUKIT BATOK EAST,WEST
6044,2013,Jan,650274,-,341.3,494.3,-,BUKIT BATOK,1.3479,103.758,BUKIT BATOK EAST,WEST
6045,2013,Jan,650275,-,203.3,334.5,-,BUKIT BATOK,1.3481,103.7583,BUKIT BATOK EAST,WEST
6046,2013,Jan,650278,-,215.0,388.8,-,BUKIT BATOK,1.3478,103.7578,BUKIT BATOK EAST,WEST
6047,2013,Jan,650280,-,223.2,402.4,-,BUKIT BATOK,1.348,103.7568,BUKIT BATOK EAST,WEST
6048,2013,Jan,650281,-,197.7,-,-,BUKIT BATOK,1.3476,103.7577,BUKIT BATOK EAST,WEST
6049,2013,Jan,650283,-,253.3,-,-,BUKIT BATOK,1.347,103.7578,BUKIT BATOK EAST,WEST
6050,2013,Jan,650285,-,-,-,403.1,BUKIT BATOK,1.3462,103.758,BUKIT BATOK EAST,WEST
6051,2013,Jan,650286,-,-,-,414.1,BUKIT BATOK,1.3467,103.7586,BUKIT BATOK EAST,WEST
6052,2013,Jan,650287,-,-,-,488.1,BUKIT BATOK,1.3472,103.7586,BUKIT BATOK EAST,WEST
14641,2013,Feb,650231,-,267.6,396.3,-,BUKIT BATOK,1.349,103.754,BUKIT BATOK EAST,WEST
14642,2013,Feb,650232,-,307.4,316.7,-,BUKIT BATOK,1.3493,103.7548,BUKIT BATOK EAST,WEST
14643,2013,Feb,650233,-,259.0,353.9,444.0,BUKIT BATOK,1.3488,103.7554,BUKIT BATOK EAST,WEST
14644,2013,Feb,650234,-,261.1,339.6,-,BUKIT BATOK,1.349,103.7553,BUKIT BATOK EAST,WEST
