index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6053,2013,Jan,650288,-,-,-,430.4,BUKIT BATOK,1.3454,103.7604,BUKIT BATOK SOUTH,WEST
6054,2013,Jan,650289,-,-,-,426.7,BUKIT BATOK,1.3446,103.7609,BUKIT BATOK SOUTH,WEST
6055,2013,Jan,650290,-,-,-,428.4,BUKIT BATOK,1.3442,103.7571,BUKIT BATOK SOUTH,WEST
6056,2013,Jan,650291,-,-,312.8,364.1,BUKIT BATOK,1.3435,103.7562,BUKIT BATOK SOUTH,WEST
6057,2013,Jan,650297,-,-,296.0,280.8,BUKIT BATOK,1.3452,103.7475,BUKIT BATOK SOUTH,WEST
6058,2013,Jan,650298,-,-,298.0,363.1,BUKIT BATOK,1.3448,103.7468,BUKIT BATOK SOUTH,WEST
6059,2013,Jan,650299,-,-,-,429.0,BUKIT BATOK,1.3444,103.7474,BUKIT BATOK SOUTH,WEST
6208,2013,Jan,651288,-,-,-,436.5,BUKIT BATOK,1.3462,103.7603,BUKIT BATOK SOUTH,WEST
6209,2013,Jan,651289,-,-,-,456.1,BUKIT BATOK,1.3441,103.7604,BUKIT BATOK SOUTH,WEST
6210,2013,Jan,651290,-,-,294.7,361.0,BUKIT BATOK,1.3447,103.7575,BUKIT BATOK SOUTH,WEST
6211,2013,Jan,651291,-,-,349.4,355.1,BUKIT BATOK,1.3430000000000002,103.7559,BUKIT BATOK SOUTH,WEST
6212,2013,Jan,652288,-,-,310.7,-,BUKIT BATOK,1.346,103.7598,BUKIT BATOK SOUTH,WEST
6213,2013,Jan,652289,-,-,-,421.0,BUKIT BATOK,1.3443,103.7597,BUKIT BATOK SOUTH,WEST
6214,2013,Jan,652290,-,-,399.5,350.6,BUKIT BATOK,1.3432,103.7564,BUKIT BATOK SOUTH,WEST
6215,2013,Jan,652291,-,-,339.7,418.4,BUKIT BATOK,1.3428,103.755,BUKIT BATOK SOUTH,WEST
6216,2013,Jan,653288,-,-,322.7,-,BUKIT BATOK,1.3456,103.7593,BUKIT BATOK SOUTH,WEST
6217,2013,Jan,653289,-,-,-,408.7,BUKIT BATOK,1.3435,103.759,BUKIT BATOK SOUTH,WEST
6218,2013,Jan,653290,-,-,-,460.5,BUKIT BATOK,1.3432,103.7563,BUKIT BATOK SOUTH,WEST
6219,2013,Jan,653291,-,-,349.0,354.7,BUKIT BATOK,1.3434,103.756,BUKIT BATOK SOUTH,WEST
6220,2013,Jan,654288,-,-,336.2,344.4,BUKIT BATOK,1.3449,103.7587,BUKIT BATOK SOUTH,WEST
6221,2013,Jan,654289,-,-,330.2,477.0,BUKIT BATOK,1.3443,103.7594,BUKIT BATOK SOUTH,WEST
6222,2013,Jan,654290,-,-,329.3,452.5,BUKIT BATOK,1.3442,103.7581,BUKIT BATOK SOUTH,WEST
6223,2013,Jan,654291,-,-,349.4,417.7,BUKIT BATOK,1.3434,103.7544,BUKIT BATOK SOUTH,WEST
6224,2013,Jan,655288,-,-,-,464.2,BUKIT BATOK,1.3449,103.7587,BUKIT BATOK SOUTH,WEST
6225,2013,Jan,655289,-,-,334.0,-,BUKIT BATOK,1.3448,103.7592,BUKIT BATOK SOUTH,WEST
6226,2013,Jan,655290,-,-,321.1,409.4,BUKIT BATOK,1.3435,103.7578,BUKIT BATOK SOUTH,WEST
6227,2013,Jan,656288,-,-,-,424.3,BUKIT BATOK,1.345,103.7597,BUKIT BATOK SOUTH,WEST
6228,2013,Jan,656289,-,-,346.4,436.6,BUKIT BATOK,1.3449,103.7589,BUKIT BATOK SOUTH,WEST
6229,2013,Jan,656290,-,-,344.8,463.1,BUKIT BATOK,1.3431,103.7571,BUKIT BATOK SOUTH,WEST
14690,2013,Feb,650288,-,-,-,445.8,BUKIT BATOK,1.3454,103.7604,BUKIT BATOK SOUTH,WEST
14691,2013,Feb,650289,-,-,-,458.4,BUKIT BATOK,1.3446,103.7609,BUKIT BATOK SOUTH,WEST
14692,2013,Feb,650290,-,-,-,474.5,BUKIT BATOK,1.3442,103.7571,BUKIT BATOK SOUTH,WEST
14693,2013,Feb,650291,-,-,312.9,347.8,BUKIT BATOK,1.3435,103.7562,BUKIT BATOK SOUTH,WEST
14694,2013,Feb,650297,-,-,311.4,323.7,BUKIT BATOK,1.3452,103.7475,BUKIT BATOK SOUTH,WEST
14695,2013,Feb,650298,-,-,310.8,393.0,BUKIT BATOK,1.3448,103.7468,BUKIT BATOK SOUTH,WEST
14696,2013,Feb,650299,-,-,-,475.0,BUKIT BATOK,1.3444,103.7474,BUKIT BATOK SOUTH,WEST
14844,2013,Feb,651288,-,-,-,469.7,BUKIT BATOK,1.3462,103.7603,BUKIT BATOK SOUTH,WEST
14845,2013,Feb,651289,-,-,-,487.9,BUKIT BATOK,1.3441,103.7604,BUKIT BATOK SOUTH,WEST
14846,2013,Feb,651290,-,-,331.1,396.1,BUKIT BATOK,1.3447,103.7575,BUKIT BATOK SOUTH,WEST
14847,2013,Feb,651291,-,-,357.6,363.7,BUKIT BATOK,1.3430000000000002,103.7559,BUKIT BATOK SOUTH,WEST
14848,2013,Feb,652288,-,-,336.8,-,BUKIT BATOK,1.346,103.7598,BUKIT BATOK SOUTH,WEST
14849,2013,Feb,652289,-,-,-,455.8,BUKIT BATOK,1.3443,103.7597,BUKIT BATOK SOUTH,WEST
14850,2013,Feb,652290,-,-,391.1,416.8,BUKIT BATOK,1.3432,103.7564,BUKIT BATOK SOUTH,WEST
14851,2013,Feb,652291,-,-,341.0,399.4,BUKIT BATOK,1.3428,103.755,BUKIT BATOK SOUTH,WEST
14852,2013,Feb,653288,-,-,328.3,-,BUKIT BATOK,1.3456,103.7593,BUKIT BATOK SOUTH,WEST
14853,2013,Feb,653289,-,-,-,444.2,BUKIT BATOK,1.3435,103.759,BUKIT BATOK SOUTH,WEST
14854,2013,Feb,653290,-,-,-,487.2,BUKIT BATOK,1.3432,103.7563,BUKIT BATOK SOUTH,WEST
14855,2013,Feb,653291,-,-,349.2,345.7,BUKIT BATOK,1.3434,103.756,BUKIT BATOK SOUTH,WEST
14856,2013,Feb,654288,-,-,358.5,360.1,BUKIT BATOK,1.3449,103.7587,BUKIT BATOK SOUTH,WEST
14857,2013,Feb,654289,-,-,340.6,486.2,BUKIT BATOK,1.3443,103.7594,BUKIT BATOK SOUTH,WEST
14858,2013,Feb,654290,-,-,349.8,474.4,BUKIT BATOK,1.3442,103.7581,BUKIT BATOK SOUTH,WEST
14859,2013,Feb,654291,-,-,339.4,391.8,BUKIT BATOK,1.3434,103.7544,BUKIT BATOK SOUTH,WEST
