index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
564,2013,Jan,150115,-,-,-,391.7,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
565,2013,Jan,150116,-,-,-,378.7,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
566,2013,Jan,150117,-,-,-,382.1,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
573,2013,Jan,150161,-,320.1,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
574,2013,Jan,150164,-,161.0,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
9212,2013,Feb,150115,-,-,-,372.7,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
9213,2013,Feb,150116,-,-,-,349.0,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
9214,2013,Feb,150117,-,-,-,363.8,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
9222,2013,Feb,150161,-,265.2,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
9223,2013,Feb,150164,-,88.7,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
17845,2013,Mar,150115,-,-,-,357.8,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
17846,2013,Mar,150116,-,-,-,342.4,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
17847,2013,Mar,150117,-,-,-,347.1,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
17854,2013,Mar,150161,-,271.0,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
17855,2013,Mar,150164,-,116.3,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
26496,2013,Apr,150115,-,-,-,440.6,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
26497,2013,Apr,150116,-,-,-,434.6,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
26498,2013,Apr,150117,-,-,-,442.2,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
26505,2013,Apr,150161,-,334.7,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
26506,2013,Apr,150164,-,227.7,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
35187,2013,May,150115,-,-,-,406.1,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
35188,2013,May,150116,-,-,-,397.9,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
35189,2013,May,150117,-,-,-,404.0,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
35196,2013,May,150161,-,305.3,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
35197,2013,May,150164,-,174.7,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
43775,2013,Jun,150115,-,-,-,498.4,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
43776,2013,Jun,150116,-,-,-,493.8,BUKIT MERAH,1.284,103.8148,BUKIT MERAH,CENTRAL
43777,2013,Jun,150117,-,-,-,481.4,BUKIT MERAH,1.2834,103.8153,BUKIT MERAH,CENTRAL
43784,2013,Jun,150161,-,422.7,-,-,BUKIT MERAH,1.2839,103.816,BUKIT MERAH,CENTRAL
43785,2013,Jun,150164,-,230.7,-,-,BUKIT MERAH,1.2828,103.8169,BUKIT MERAH,CENTRAL
52450,2013,Jul,150115,-,-,-,403.1,BUKIT MERAH,1.2841,103.8147,BUKIT MERAH,CENTRAL
