index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4593,2013,Jan,560501,-,-,332.3,461.0,ANG MO KIO,1.3764,103.8489,CHENG SAN,NORTH-EAST
4594,2013,Jan,560502,-,276.2,361.0,564.0,ANG MO KIO,1.3756,103.8499,CHENG SAN,NORTH-EAST
4595,2013,Jan,560503,-,252.1,-,-,ANG MO KIO,1.3753,103.8489,CHENG SAN,NORTH-EAST
4596,2013,Jan,560504,-,248.7,427.2,751.6,ANG MO KIO,1.375,103.8489,CHENG SAN,NORTH-EAST
4597,2013,Jan,560505,-,235.0,320.0,506.0,ANG MO KIO,1.3751,103.8502,CHENG SAN,NORTH-EAST
4598,2013,Jan,560506,-,259.2,302.9,537.7,ANG MO KIO,1.3742,103.849,CHENG SAN,NORTH-EAST
4599,2013,Jan,560507,-,290.2,-,-,ANG MO KIO,1.3746,103.8497,CHENG SAN,NORTH-EAST
4600,2013,Jan,560508,201.3,-,-,-,ANG MO KIO,1.3739,103.849,CHENG SAN,NORTH-EAST
4601,2013,Jan,560509,-,250.6,-,-,ANG MO KIO,1.3738,103.8501,CHENG SAN,NORTH-EAST
4602,2013,Jan,560510,176.7,-,-,-,ANG MO KIO,1.3732,103.8491,CHENG SAN,NORTH-EAST
4603,2013,Jan,560511,-,-,350.0,-,ANG MO KIO,1.3737,103.8502,CHENG SAN,NORTH-EAST
4604,2013,Jan,560512,-,247.1,325.6,683.7,ANG MO KIO,1.3728,103.8491,CHENG SAN,NORTH-EAST
4605,2013,Jan,560513,-,265.3,381.5,628.0,ANG MO KIO,1.3729,103.8497,CHENG SAN,NORTH-EAST
4606,2013,Jan,560520,-,-,-,379.7,ANG MO KIO,1.3733,103.8518,CHENG SAN,NORTH-EAST
4607,2013,Jan,560521,-,-,-,348.6,ANG MO KIO,1.3735,103.8523,CHENG SAN,NORTH-EAST
4608,2013,Jan,560522,-,-,344.8,-,ANG MO KIO,1.3730000000000002,103.8519,CHENG SAN,NORTH-EAST
4609,2013,Jan,560523,-,269.2,410.0,-,ANG MO KIO,1.3736,103.853,CHENG SAN,NORTH-EAST
4610,2013,Jan,560524,-,269.4,404.0,754.3,ANG MO KIO,1.3736,103.8531,CHENG SAN,NORTH-EAST
4611,2013,Jan,560530,-,328.0,-,-,ANG MO KIO,1.3726,103.8554,CHENG SAN,NORTH-EAST
4612,2013,Jan,560533,-,294.2,317.0,595.7,ANG MO KIO,1.374,103.853,CHENG SAN,NORTH-EAST
4613,2013,Jan,560534,-,273.7,-,-,ANG MO KIO,1.3736,103.8541,CHENG SAN,NORTH-EAST
4614,2013,Jan,560535,-,264.8,369.8,493.0,ANG MO KIO,1.3748,103.853,CHENG SAN,NORTH-EAST
4615,2013,Jan,560536,-,266.3,363.1,655.0,ANG MO KIO,1.3747,103.8548,CHENG SAN,NORTH-EAST
4616,2013,Jan,560537,-,-,333.8,-,ANG MO KIO,1.375,103.8531,CHENG SAN,NORTH-EAST
4617,2013,Jan,560538,-,278.3,-,-,ANG MO KIO,1.3758,103.8534,CHENG SAN,NORTH-EAST
4618,2013,Jan,560539,-,-,-,410.7,ANG MO KIO,1.3754,103.8546,CHENG SAN,NORTH-EAST
4619,2013,Jan,560540,-,234.8,309.2,534.2,ANG MO KIO,1.3752,103.8555,CHENG SAN,NORTH-EAST
4620,2013,Jan,560541,-,237.0,256.7,594.6,ANG MO KIO,1.374,103.8558,CHENG SAN,NORTH-EAST
4621,2013,Jan,560542,-,255.3,-,-,ANG MO KIO,1.3745,103.856,CHENG SAN,NORTH-EAST
4622,2013,Jan,560543,-,-,277.4,-,ANG MO KIO,1.3744,103.8561,CHENG SAN,NORTH-EAST
4623,2013,Jan,560544,-,-,342.8,-,ANG MO KIO,1.3738,103.8565,CHENG SAN,NORTH-EAST
4624,2013,Jan,560545,-,-,-,366.5,ANG MO KIO,1.3733,103.8565,CHENG SAN,NORTH-EAST
4625,2013,Jan,560546,-,-,326.8,-,ANG MO KIO,1.3735,103.8571,CHENG SAN,NORTH-EAST
