index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
0,2013,Jan,50005,108.3,-,-,-,OUTRAM,1.2812,103.8436,CHINATOWN,CENTRAL
2,2013,Jan,50034,-,287.4,-,445.6,OUTRAM,1.2821,103.8486,CHINATOWN,CENTRAL
3,2013,Jan,50533,-,265.9,-,341.7,OUTRAM,1.2842,103.8451,CHINATOWN,CENTRAL
5,2013,Jan,50536,-,248.4,-,703.1,OUTRAM,1.2842,103.8451,CHINATOWN,CENTRAL
7,2013,Jan,51335,-,217.3,-,-,OUTRAM,1.2828,103.8432,CHINATOWN,CENTRAL
8,2013,Jan,52335,-,-,386.9,-,OUTRAM,1.2826,103.8436,CHINATOWN,CENTRAL
14,2013,Jan,80008,-,-,362.1,-,OUTRAM,1.2772,103.8428,CHINATOWN,CENTRAL
31,2013,Jan,80333,137.1,-,-,-,OUTRAM,1.2805,103.8425,CHINATOWN,CENTRAL
32,2013,Jan,80334,-,-,345.8,-,OUTRAM,1.281,103.8422,CHINATOWN,CENTRAL
35,2013,Jan,81004,-,267.4,-,720.5,OUTRAM,1.2759,103.8426,CHINATOWN,CENTRAL
36,2013,Jan,81007,-,-,374.3,-,OUTRAM,1.2769,103.8431,CHINATOWN,CENTRAL
39,2013,Jan,82001,-,260.5,-,624.8,OUTRAM,1.2749,103.8425,CHINATOWN,CENTRAL
40,2013,Jan,82002,-,301.1,-,689.7,OUTRAM,1.2753,103.8426,CHINATOWN,CENTRAL
41,2013,Jan,85101,-,-,365.8,419.9,OUTRAM,1.2778,103.8407,CHINATOWN,CENTRAL
42,2013,Jan,85201,-,-,381.5,404.2,OUTRAM,1.2776,103.8407,CHINATOWN,CENTRAL
43,2013,Jan,85301,-,-,381.4,409.9,OUTRAM,1.2773,103.8408,CHINATOWN,CENTRAL
44,2013,Jan,85401,-,-,374.1,383.5,OUTRAM,1.2768,103.8409,CHINATOWN,CENTRAL
45,2013,Jan,85501,-,-,380.2,422.4,OUTRAM,1.2766,103.8409,CHINATOWN,CENTRAL
46,2013,Jan,85601,-,-,409.2,427.5,OUTRAM,1.2759,103.841,CHINATOWN,CENTRAL
47,2013,Jan,85701,-,-,405.0,480.3,OUTRAM,1.2755,103.8411,CHINATOWN,CENTRAL
8641,2013,Feb,50005,110.0,-,-,-,OUTRAM,1.2812,103.8436,CHINATOWN,CENTRAL
8643,2013,Feb,50034,-,313.1,-,486.8,OUTRAM,1.2821,103.8486,CHINATOWN,CENTRAL
8644,2013,Feb,50533,-,218.7,-,300.3,OUTRAM,1.2842,103.8451,CHINATOWN,CENTRAL
8646,2013,Feb,50536,-,194.6,-,618.9,OUTRAM,1.2842,103.8451,CHINATOWN,CENTRAL
8648,2013,Feb,51335,-,245.4,-,-,OUTRAM,1.2828,103.8432,CHINATOWN,CENTRAL
8649,2013,Feb,52335,-,-,406.7,-,OUTRAM,1.2826,103.8436,CHINATOWN,CENTRAL
8655,2013,Feb,80008,-,-,312.8,-,OUTRAM,1.2772,103.8428,CHINATOWN,CENTRAL
8672,2013,Feb,80333,142.2,-,-,-,OUTRAM,1.2805,103.8425,CHINATOWN,CENTRAL
8673,2013,Feb,80334,-,-,372.2,-,OUTRAM,1.281,103.8422,CHINATOWN,CENTRAL
8676,2013,Feb,81004,-,215.4,-,581.0,OUTRAM,1.2759,103.8426,CHINATOWN,CENTRAL
8677,2013,Feb,81005,-,213.9,-,388.3,OUTRAM,1.2763,103.843,CHINATOWN,CENTRAL
8678,2013,Feb,81007,-,-,317.3,-,OUTRAM,1.2769,103.8431,CHINATOWN,CENTRAL
