index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6603,2013,Jan,680201,-,-,439.4,-,CHOA CHU KANG,1.382,103.7495,CHOA CHU KANG CENTRAL,WEST
6604,2013,Jan,680202,-,-,375.8,-,CHOA CHU KANG,1.3819,103.7494,CHOA CHU KANG CENTRAL,WEST
6605,2013,Jan,680203,-,-,-,538.6,CHOA CHU KANG,1.3815,103.7494,CHOA CHU KANG CENTRAL,WEST
6607,2013,Jan,680205,-,-,336.9,427.9,CHOA CHU KANG,1.3805,103.7483,CHOA CHU KANG CENTRAL,WEST
6608,2013,Jan,680206,-,-,366.7,402.5,CHOA CHU KANG,1.3808,103.7484,CHOA CHU KANG CENTRAL,WEST
6609,2013,Jan,680207,-,-,-,494.2,CHOA CHU KANG,1.3812,103.7476,CHOA CHU KANG CENTRAL,WEST
6610,2013,Jan,680208,-,-,-,536.4,CHOA CHU KANG,1.3816,103.7478,CHOA CHU KANG CENTRAL,WEST
6611,2013,Jan,680209,-,-,402.5,-,CHOA CHU KANG,1.3827,103.7479,CHOA CHU KANG CENTRAL,WEST
6612,2013,Jan,680210,-,-,364.8,-,CHOA CHU KANG,1.3826,103.7479,CHOA CHU KANG CENTRAL,WEST
6613,2013,Jan,680211,-,-,344.0,-,CHOA CHU KANG,1.3818,103.7478,CHOA CHU KANG CENTRAL,WEST
6614,2013,Jan,680212,-,-,367.8,522.1,CHOA CHU KANG,1.3826,103.7474,CHOA CHU KANG CENTRAL,WEST
6615,2013,Jan,680213,-,-,362.5,438.1,CHOA CHU KANG,1.3821,103.7471,CHOA CHU KANG CENTRAL,WEST
6616,2013,Jan,680214,-,-,-,455.3,CHOA CHU KANG,1.3826,103.7467,CHOA CHU KANG CENTRAL,WEST
6617,2013,Jan,680215,-,-,368.0,-,CHOA CHU KANG,1.3828,103.747,CHOA CHU KANG CENTRAL,WEST
6618,2013,Jan,680216,-,-,387.5,-,CHOA CHU KANG,1.3828,103.747,CHOA CHU KANG CENTRAL,WEST
6619,2013,Jan,680217,-,-,372.0,-,CHOA CHU KANG,1.383,103.7465,CHOA CHU KANG CENTRAL,WEST
6620,2013,Jan,680218,-,-,349.9,-,CHOA CHU KANG,1.3827,103.7458,CHOA CHU KANG CENTRAL,WEST
6621,2013,Jan,680219,-,-,342.3,-,CHOA CHU KANG,1.3824,103.7454,CHOA CHU KANG CENTRAL,WEST
6622,2013,Jan,680220,-,-,387.5,434.9,CHOA CHU KANG,1.3821,103.7456,CHOA CHU KANG CENTRAL,WEST
6623,2013,Jan,680221,-,-,321.3,472.7,CHOA CHU KANG,1.3821,103.7449,CHOA CHU KANG CENTRAL,WEST
6624,2013,Jan,680223,-,-,374.3,449.6,CHOA CHU KANG,1.3814,103.7448,CHOA CHU KANG CENTRAL,WEST
6625,2013,Jan,680224,-,-,420.0,533.3,CHOA CHU KANG,1.381,103.7446,CHOA CHU KANG CENTRAL,WEST
6626,2013,Jan,680225,-,-,402.4,460.2,CHOA CHU KANG,1.3811,103.7448,CHOA CHU KANG CENTRAL,WEST
6627,2013,Jan,680226,-,-,413.4,469.6,CHOA CHU KANG,1.3813,103.7456,CHOA CHU KANG CENTRAL,WEST
6628,2013,Jan,680227,-,-,351.4,404.9,CHOA CHU KANG,1.3809,103.7459,CHOA CHU KANG CENTRAL,WEST
6629,2013,Jan,680228,-,-,354.2,434.3,CHOA CHU KANG,1.3809,103.7464,CHOA CHU KANG CENTRAL,WEST
6630,2013,Jan,680229,-,-,350.3,459.0,CHOA CHU KANG,1.3808,103.746,CHOA CHU KANG CENTRAL,WEST
