index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6765,2013,Jan,680501,-,-,407.2,446.0,CHOA CHU KANG,1.3894,103.7431,CHOA CHU KANG NORTH,WEST
6766,2013,Jan,680502,-,-,-,439.5,CHOA CHU KANG,1.3891,103.7434,CHOA CHU KANG NORTH,WEST
6767,2013,Jan,680503,-,-,-,506.5,CHOA CHU KANG,1.3884,103.7424,CHOA CHU KANG NORTH,WEST
6768,2013,Jan,680504,-,-,436.2,467.7,CHOA CHU KANG,1.3888,103.7427,CHOA CHU KANG NORTH,WEST
6769,2013,Jan,680505,-,-,386.7,431.8,CHOA CHU KANG,1.389,103.742,CHOA CHU KANG NORTH,WEST
6770,2013,Jan,680506,-,-,376.0,447.7,CHOA CHU KANG,1.3889,103.742,CHOA CHU KANG NORTH,WEST
6771,2013,Jan,680507,-,-,-,418.8,CHOA CHU KANG,1.3888,103.7414,CHOA CHU KANG NORTH,WEST
6772,2013,Jan,680508,-,-,-,499.5,CHOA CHU KANG,1.3885,103.7415,CHOA CHU KANG NORTH,WEST
6773,2013,Jan,680509,-,-,-,489.6,CHOA CHU KANG,1.3882,103.7417,CHOA CHU KANG NORTH,WEST
6774,2013,Jan,680510,-,-,-,530.4,CHOA CHU KANG,1.3882,103.7416,CHOA CHU KANG NORTH,WEST
6775,2013,Jan,680511,-,-,-,440.4,CHOA CHU KANG,1.389,103.7411,CHOA CHU KANG NORTH,WEST
6776,2013,Jan,680512,-,-,-,433.7,CHOA CHU KANG,1.3894,103.7412,CHOA CHU KANG NORTH,WEST
6777,2013,Jan,680513,-,-,-,447.6,CHOA CHU KANG,1.3899,103.7425,CHOA CHU KANG NORTH,WEST
6778,2013,Jan,680514,-,-,391.3,415.8,CHOA CHU KANG,1.3904,103.7433,CHOA CHU KANG NORTH,WEST
6779,2013,Jan,680515,-,-,-,447.3,CHOA CHU KANG,1.39,103.7437,CHOA CHU KANG NORTH,WEST
6780,2013,Jan,680516,-,-,387.4,418.3,CHOA CHU KANG,1.3905,103.7433,CHOA CHU KANG NORTH,WEST
6781,2013,Jan,680517,-,-,450.9,437.9,CHOA CHU KANG,1.3909,103.743,CHOA CHU KANG NORTH,WEST
6782,2013,Jan,680518,-,-,414.5,413.5,CHOA CHU KANG,1.3907,103.7425,CHOA CHU KANG NORTH,WEST
6783,2013,Jan,680523,-,-,-,464.1,CHOA CHU KANG,1.3916,103.7409,CHOA CHU KANG NORTH,WEST
6784,2013,Jan,680524,-,-,-,494.0,CHOA CHU KANG,1.3917,103.7412,CHOA CHU KANG NORTH,WEST
6785,2013,Jan,680525,-,-,-,580.7,CHOA CHU KANG,1.3921,103.7417,CHOA CHU KANG NORTH,WEST
6786,2013,Jan,680526,-,-,-,527.2,CHOA CHU KANG,1.3915,103.7418,CHOA CHU KANG NORTH,WEST
6787,2013,Jan,680527,-,-,-,518.9,CHOA CHU KANG,1.3918,103.7416,CHOA CHU KANG NORTH,WEST
6788,2013,Jan,680528,-,-,-,456.0,CHOA CHU KANG,1.3922,103.7417,CHOA CHU KANG NORTH,WEST
6789,2013,Jan,680529,-,-,-,552.4,CHOA CHU KANG,1.3923,103.7425,CHOA CHU KANG NORTH,WEST
6790,2013,Jan,680530,-,-,-,608.4,CHOA CHU KANG,1.3926,103.7418,CHOA CHU KANG NORTH,WEST
6791,2013,Jan,680531,-,-,-,581.0,CHOA CHU KANG,1.3928,103.7415,CHOA CHU KANG NORTH,WEST
6792,2013,Jan,680535,239.1,310.7,-,-,CHOA CHU KANG,1.3916,103.7439,CHOA CHU KANG NORTH,WEST
6793,2013,Jan,680536,168.5,-,-,-,CHOA CHU KANG,1.3919,103.7441,CHOA CHU KANG NORTH,WEST
6794,2013,Jan,680537,170.1,-,-,-,CHOA CHU KANG,1.392,103.7441,CHOA CHU KANG NORTH,WEST
6795,2013,Jan,680540,-,-,391.2,507.3,CHOA CHU KANG,1.3931,103.744,CHOA CHU KANG NORTH,WEST
