index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
48,2013,Jan,89054,-,426.3,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
8690,2013,Feb,89054,-,366.2,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
17323,2013,Mar,89054,-,338.6,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
25971,2013,Apr,89054,-,361.8,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
34662,2013,May,89054,-,378.1,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
43257,2013,Jun,89054,-,418.5,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
51931,2013,Jul,89054,-,404.0,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
60614,2013,Aug,89054,-,514.7,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
69272,2013,Sep,89054,-,426.4,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
77958,2013,Oct,89054,-,376.2,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
86636,2013,Nov,89054,-,379.7,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
95325,2013,Dec,89054,-,274.7,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
104040,2014,Jan,89054,-,353.6,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
112756,2014,Feb,89054,-,340.0,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
121494,2014,Mar,89054,-,331.4,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
130242,2014,Apr,89054,-,402.5,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
139053,2014,May,89054,-,406.2,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
147903,2014,Jun,89054,-,473.0,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
156734,2014,Jul,89054,-,423.3,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
165566,2014,Aug,89054,-,432.6,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
174392,2014,Sep,89054,-,427.8,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
183224,2014,Oct,89054,-,318.3,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
192082,2014,Nov,89054,-,415.6,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
200947,2014,Dec,89054,-,407.7,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
209826,2015,Jan,89054,-,433.5,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
218708,2015,Feb,89054,-,321.4,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
227589,2015,Mar,89054,-,348.9,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
236471,2015,Apr,89054,-,373.6,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
245399,2015,May,89054,-,405.2,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
254313,2015,Jun,89054,-,436.0,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
263186,2015,July,89054,-,407.8,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
272102,2015,Aug,89054,-,503.4,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
280989,2015,Sep,89054,-,464.4,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
289872,2015,Oct,89054,-,417.9,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
298768,2015,Nov,89054,-,422.8,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
307498,2015,Dec,89054,-,348.2,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
316403,2016,Jan,89054,-,414.559,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
325324,2016,Feb,89054,-,375.379,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
334214,2016,Mar,89054,-,365.508,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
343128,2016,Apr,89054,-,531.123,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
352049,2016,May,89054,-,543.698,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
361000,2016,Jun,89054,-,470.255,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
369893,2016,Jul,89054,-,501.615,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
378778,2016,Aug,89054,-,412.269,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
387650,2016,Sep,89054,-,489.98,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
396529,2016,Oct,89054,-,463.25,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
405415,2016,Nov,89054,-,456.882,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
414285,2016,Dec,89054,-,345.102,-,-,BUKIT MERAH,1.2725,103.8426,CITY TERMINALS,CENTRAL
