index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
260,2013,Jan,120426,-,263.0,368.5,580.7,CLEMENTI,1.3117,103.7642,CLEMENTI CENTRAL,WEST
261,2013,Jan,120427,-,247.1,359.6,-,CLEMENTI,1.3123,103.7641,CLEMENTI CENTRAL,WEST
262,2013,Jan,120428,-,235.5,-,-,CLEMENTI,1.3124,103.7633,CLEMENTI CENTRAL,WEST
263,2013,Jan,120429,-,238.9,311.9,559.7,CLEMENTI,1.3134,103.7628,CLEMENTI CENTRAL,WEST
264,2013,Jan,120430,-,249.4,-,-,CLEMENTI,1.3134,103.7625,CLEMENTI CENTRAL,WEST
265,2013,Jan,120431,-,272.2,-,-,CLEMENTI,1.3135,103.7627,CLEMENTI CENTRAL,WEST
266,2013,Jan,120432,-,232.9,-,-,CLEMENTI,1.3142,103.7627,CLEMENTI CENTRAL,WEST
267,2013,Jan,120433,-,243.3,-,-,CLEMENTI,1.3142,103.7618,CLEMENTI CENTRAL,WEST
268,2013,Jan,120434,-,215.7,-,-,CLEMENTI,1.3144,103.7616,CLEMENTI CENTRAL,WEST
269,2013,Jan,120435,-,229.1,295.9,-,CLEMENTI,1.3144,103.7625,CLEMENTI CENTRAL,WEST
270,2013,Jan,120442,-,256.7,-,-,CLEMENTI,1.3141,103.7644,CLEMENTI CENTRAL,WEST
271,2013,Jan,120446,-,279.3,-,-,CLEMENTI,1.3121,103.7645,CLEMENTI CENTRAL,WEST
272,2013,Jan,120449,-,303.9,-,-,CLEMENTI,1.3136,103.765,CLEMENTI CENTRAL,WEST
273,2013,Jan,120450,-,358.0,-,-,CLEMENTI,1.3135,103.7653,CLEMENTI CENTRAL,WEST
274,2013,Jan,120454,-,-,344.5,-,CLEMENTI,1.3124,103.7664,CLEMENTI CENTRAL,WEST
275,2013,Jan,120455,-,-,285.3,-,CLEMENTI,1.3121,103.7668,CLEMENTI CENTRAL,WEST
276,2013,Jan,120456,-,-,307.6,-,CLEMENTI,1.3119,103.7671,CLEMENTI CENTRAL,WEST
277,2013,Jan,120457,-,-,298.4,-,CLEMENTI,1.3117,103.7672,CLEMENTI CENTRAL,WEST
