index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
163,2013,Jan,120201,-,-,-,456.3,CLEMENTI,1.3203,103.7629,CLEMENTI NORTH,WEST
164,2013,Jan,120202,-,-,300.3,-,CLEMENTI,1.3205,103.7627,CLEMENTI NORTH,WEST
165,2013,Jan,120203,-,-,-,459.3,CLEMENTI,1.3205,103.7627,CLEMENTI NORTH,WEST
166,2013,Jan,120204,-,-,246.0,349.1,CLEMENTI,1.3211,103.7632,CLEMENTI NORTH,WEST
167,2013,Jan,120205,-,-,331.7,-,CLEMENTI,1.3212,103.7624,CLEMENTI NORTH,WEST
168,2013,Jan,120206,-,-,-,433.7,CLEMENTI,1.3215,103.7619,CLEMENTI NORTH,WEST
169,2013,Jan,120301,-,-,337.7,-,CLEMENTI,1.3219999999999998,103.7649,CLEMENTI NORTH,WEST
170,2013,Jan,120302,-,-,322.7,-,CLEMENTI,1.3219,103.7649,CLEMENTI NORTH,WEST
171,2013,Jan,120303,-,234.8,-,-,CLEMENTI,1.3219,103.7648,CLEMENTI NORTH,WEST
172,2013,Jan,120304,-,230.4,-,-,CLEMENTI,1.3209,103.7655,CLEMENTI NORTH,WEST
173,2013,Jan,120305,-,196.8,198.3,421.1,CLEMENTI,1.3218,103.7664,CLEMENTI NORTH,WEST
174,2013,Jan,120306,-,224.2,-,-,CLEMENTI,1.3216,103.7659,CLEMENTI NORTH,WEST
175,2013,Jan,120307,-,216.9,267.6,451.0,CLEMENTI,1.3213,103.767,CLEMENTI NORTH,WEST
176,2013,Jan,120308,-,271.2,-,-,CLEMENTI,1.3212,103.767,CLEMENTI NORTH,WEST
177,2013,Jan,120309,-,220.5,-,-,CLEMENTI,1.3207,103.7664,CLEMENTI NORTH,WEST
178,2013,Jan,120310,-,221.2,-,-,CLEMENTI,1.3207,103.7663,CLEMENTI NORTH,WEST
179,2013,Jan,120315,-,-,290.6,-,CLEMENTI,1.3183,103.765,CLEMENTI NORTH,WEST
180,2013,Jan,120316,-,-,279.5,-,CLEMENTI,1.3183,103.7648,CLEMENTI NORTH,WEST
181,2013,Jan,120317,-,-,307.8,-,CLEMENTI,1.3182,103.7648,CLEMENTI NORTH,WEST
182,2013,Jan,120318,-,-,301.9,-,CLEMENTI,1.3179,103.7654,CLEMENTI NORTH,WEST
183,2013,Jan,120321,-,260.4,472.0,-,CLEMENTI,1.3168,103.7664,CLEMENTI NORTH,WEST
184,2013,Jan,120322,-,255.1,-,-,CLEMENTI,1.3159999999999998,103.7663,CLEMENTI NORTH,WEST
185,2013,Jan,120323,-,289.5,-,-,CLEMENTI,1.3158,103.7669,CLEMENTI NORTH,WEST
186,2013,Jan,120324,-,-,381.5,-,CLEMENTI,1.3149,103.766,CLEMENTI NORTH,WEST
187,2013,Jan,120325,-,350.2,-,-,CLEMENTI,1.3151,103.7667,CLEMENTI NORTH,WEST
188,2013,Jan,120326,-,247.4,336.8,606.7,CLEMENTI,1.3146,103.7663,CLEMENTI NORTH,WEST
189,2013,Jan,120327,-,245.6,328.3,-,CLEMENTI,1.3147,103.7665,CLEMENTI NORTH,WEST
190,2013,Jan,120328,-,300.8,415.4,-,CLEMENTI,1.314,103.7672,CLEMENTI NORTH,WEST
191,2013,Jan,120329,-,282.9,372.2,749.3,CLEMENTI,1.3132,103.7673,CLEMENTI NORTH,WEST
192,2013,Jan,120330,-,258.8,-,-,CLEMENTI,1.3135,103.7677,CLEMENTI NORTH,WEST
193,2013,Jan,120331,-,236.2,368.2,-,CLEMENTI,1.3143,103.7679,CLEMENTI NORTH,WEST
194,2013,Jan,120332,-,-,375.2,-,CLEMENTI,1.3146,103.7675,CLEMENTI NORTH,WEST
195,2013,Jan,120333,-,-,377.9,-,CLEMENTI,1.3146,103.7675,CLEMENTI NORTH,WEST
196,2013,Jan,120334,-,215.6,-,-,CLEMENTI,1.3149,103.7689,CLEMENTI NORTH,WEST
197,2013,Jan,120335,-,247.4,-,-,CLEMENTI,1.3168,103.7685,CLEMENTI NORTH,WEST
198,2013,Jan,120336,-,-,-,411.3,CLEMENTI,1.3167,103.7689,CLEMENTI NORTH,WEST
199,2013,Jan,120337,-,-,-,456.2,CLEMENTI,1.3159,103.7691,CLEMENTI NORTH,WEST
200,2013,Jan,120338,-,-,-,427.5,CLEMENTI,1.3159,103.7693,CLEMENTI NORTH,WEST
201,2013,Jan,120339,-,237.4,-,-,CLEMENTI,1.3185,103.7695,CLEMENTI NORTH,WEST
202,2013,Jan,120340,-,-,371.6,384.3,CLEMENTI,1.3184,103.7696,CLEMENTI NORTH,WEST
203,2013,Jan,120341,-,276.9,-,-,CLEMENTI,1.3187,103.7691,CLEMENTI NORTH,WEST
204,2013,Jan,120342,-,-,345.2,480.5,CLEMENTI,1.3184,103.7696,CLEMENTI NORTH,WEST
205,2013,Jan,120343,-,238.0,-,-,CLEMENTI,1.3179,103.7708,CLEMENTI NORTH,WEST
206,2013,Jan,120344,186.1,-,-,-,CLEMENTI,1.3182,103.7691,CLEMENTI NORTH,WEST
207,2013,Jan,120345,-,280.9,418.6,547.5,CLEMENTI,1.3179,103.7693,CLEMENTI NORTH,WEST
208,2013,Jan,120346,-,243.1,-,-,CLEMENTI,1.3171,103.7703,CLEMENTI NORTH,WEST
209,2013,Jan,120347,-,-,353.1,-,CLEMENTI,1.3173,103.7707,CLEMENTI NORTH,WEST
210,2013,Jan,120348,-,-,333.7,-,CLEMENTI,1.3165,103.771,CLEMENTI NORTH,WEST
211,2013,Jan,120349,-,-,326.5,-,CLEMENTI,1.3158,103.771,CLEMENTI NORTH,WEST
212,2013,Jan,120350,-,-,297.5,-,CLEMENTI,1.3155,103.7703,CLEMENTI NORTH,WEST
213,2013,Jan,120351,-,228.8,341.8,597.0,CLEMENTI,1.3154,103.7704,CLEMENTI NORTH,WEST
214,2013,Jan,120352,-,230.0,-,-,CLEMENTI,1.3148,103.7714,CLEMENTI NORTH,WEST
215,2013,Jan,120354,-,192.0,467.2,-,CLEMENTI,1.3144,103.7705,CLEMENTI NORTH,WEST
216,2013,Jan,120355,-,-,-,346.4,CLEMENTI,1.3146,103.7696,CLEMENTI NORTH,WEST
217,2013,Jan,120356,-,-,-,308.3,CLEMENTI,1.3133,103.7699,CLEMENTI NORTH,WEST
218,2013,Jan,120357,-,-,-,394.3,CLEMENTI,1.3142,103.7688,CLEMENTI NORTH,WEST
219,2013,Jan,120358,-,-,262.7,-,CLEMENTI,1.3134,103.769,CLEMENTI NORTH,WEST
220,2013,Jan,120359,-,-,279.4,-,CLEMENTI,1.3133,103.7699,CLEMENTI NORTH,WEST
221,2013,Jan,120362,-,191.4,304.2,439.2,CLEMENTI,1.3129,103.7698,CLEMENTI NORTH,WEST
222,2013,Jan,120363,-,211.3,292.5,412.8,CLEMENTI,1.3130000000000002,103.7689,CLEMENTI NORTH,WEST
223,2013,Jan,120364,-,241.2,-,-,CLEMENTI,1.3126,103.7682,CLEMENTI NORTH,WEST
224,2013,Jan,120365,-,239.1,345.5,-,CLEMENTI,1.3129,103.7699,CLEMENTI NORTH,WEST
225,2013,Jan,120366,124.1,218.0,-,-,CLEMENTI,1.3127,103.7716,CLEMENTI NORTH,WEST
226,2013,Jan,120367,137.5,171.5,-,-,CLEMENTI,1.3131,103.7716,CLEMENTI NORTH,WEST
227,2013,Jan,120371,-,244.2,359.9,396.3,CLEMENTI,1.3202,103.7683,CLEMENTI NORTH,WEST
228,2013,Jan,120372,-,-,435.8,411.6,CLEMENTI,1.32,103.7678,CLEMENTI NORTH,WEST
229,2013,Jan,120373,-,-,382.6,-,CLEMENTI,1.3196,103.7674,CLEMENTI NORTH,WEST
230,2013,Jan,120374,-,240.5,328.8,460.3,CLEMENTI,1.3189,103.7671,CLEMENTI NORTH,WEST
231,2013,Jan,120375,-,263.9,399.5,-,CLEMENTI,1.3187,103.7667,CLEMENTI NORTH,WEST
232,2013,Jan,120376,-,243.0,-,-,CLEMENTI,1.3181,103.7662,CLEMENTI NORTH,WEST
233,2013,Jan,120377,-,280.1,-,-,CLEMENTI,1.3177,103.7679,CLEMENTI NORTH,WEST
234,2013,Jan,120378,-,272.1,-,-,CLEMENTI,1.3172,103.7676,CLEMENTI NORTH,WEST
235,2013,Jan,120379,-,280.2,-,-,CLEMENTI,1.3181,103.7678,CLEMENTI NORTH,WEST
236,2013,Jan,120380,-,340.0,533.4,-,CLEMENTI,1.3186,103.7676,CLEMENTI NORTH,WEST
237,2013,Jan,120381,-,-,373.6,-,CLEMENTI,1.3185,103.7679,CLEMENTI NORTH,WEST
8806,2013,Feb,120201,-,-,-,507.9,CLEMENTI,1.3203,103.7629,CLEMENTI NORTH,WEST
8807,2013,Feb,120202,-,-,324.3,-,CLEMENTI,1.3205,103.7627,CLEMENTI NORTH,WEST
8808,2013,Feb,120203,-,-,-,491.8,CLEMENTI,1.3205,103.7627,CLEMENTI NORTH,WEST
8809,2013,Feb,120204,-,-,286.1,391.8,CLEMENTI,1.3211,103.7632,CLEMENTI NORTH,WEST
8810,2013,Feb,120205,-,-,349.5,-,CLEMENTI,1.3212,103.7624,CLEMENTI NORTH,WEST
8811,2013,Feb,120206,-,-,-,462.6,CLEMENTI,1.3215,103.7619,CLEMENTI NORTH,WEST
8812,2013,Feb,120301,-,-,369.8,-,CLEMENTI,1.3219999999999998,103.7649,CLEMENTI NORTH,WEST
8813,2013,Feb,120302,-,-,341.2,-,CLEMENTI,1.3219,103.7649,CLEMENTI NORTH,WEST
8814,2013,Feb,120303,-,255.5,-,-,CLEMENTI,1.3219,103.7648,CLEMENTI NORTH,WEST
8815,2013,Feb,120304,-,244.8,-,-,CLEMENTI,1.3209,103.7655,CLEMENTI NORTH,WEST
8816,2013,Feb,120305,-,221.2,244.0,498.4,CLEMENTI,1.3218,103.7664,CLEMENTI NORTH,WEST
8817,2013,Feb,120306,-,244.7,-,-,CLEMENTI,1.3216,103.7659,CLEMENTI NORTH,WEST
8818,2013,Feb,120307,-,232.9,292.5,498.2,CLEMENTI,1.3213,103.767,CLEMENTI NORTH,WEST
8819,2013,Feb,120308,-,279.1,-,-,CLEMENTI,1.3212,103.767,CLEMENTI NORTH,WEST
8820,2013,Feb,120309,-,255.1,-,-,CLEMENTI,1.3207,103.7664,CLEMENTI NORTH,WEST
8821,2013,Feb,120310,-,236.7,-,-,CLEMENTI,1.3207,103.7663,CLEMENTI NORTH,WEST
8822,2013,Feb,120315,-,-,324.2,-,CLEMENTI,1.3183,103.765,CLEMENTI NORTH,WEST
8823,2013,Feb,120316,-,-,303.2,-,CLEMENTI,1.3183,103.7648,CLEMENTI NORTH,WEST
8824,2013,Feb,120317,-,-,332.5,-,CLEMENTI,1.3182,103.7648,CLEMENTI NORTH,WEST
8825,2013,Feb,120318,-,-,332.6,-,CLEMENTI,1.3179,103.7654,CLEMENTI NORTH,WEST
8826,2013,Feb,120321,-,187.1,302.3,-,CLEMENTI,1.3168,103.7664,CLEMENTI NORTH,WEST
8827,2013,Feb,120322,-,189.2,-,-,CLEMENTI,1.3159999999999998,103.7663,CLEMENTI NORTH,WEST
8828,2013,Feb,120323,-,196.2,-,-,CLEMENTI,1.3158,103.7669,CLEMENTI NORTH,WEST
8829,2013,Feb,120324,-,-,286.8,-,CLEMENTI,1.3149,103.766,CLEMENTI NORTH,WEST
8830,2013,Feb,120325,-,238.0,-,-,CLEMENTI,1.3151,103.7667,CLEMENTI NORTH,WEST
8831,2013,Feb,120326,-,200.8,275.9,466.0,CLEMENTI,1.3146,103.7663,CLEMENTI NORTH,WEST
8832,2013,Feb,120327,-,201.1,260.1,-,CLEMENTI,1.3147,103.7665,CLEMENTI NORTH,WEST
8833,2013,Feb,120328,-,181.9,354.1,-,CLEMENTI,1.314,103.7672,CLEMENTI NORTH,WEST
8834,2013,Feb,120329,-,222.5,296.6,462.8,CLEMENTI,1.3132,103.7673,CLEMENTI NORTH,WEST
8835,2013,Feb,120330,-,215.0,-,-,CLEMENTI,1.3135,103.7677,CLEMENTI NORTH,WEST
8836,2013,Feb,120331,-,174.3,270.5,-,CLEMENTI,1.3143,103.7679,CLEMENTI NORTH,WEST
8837,2013,Feb,120332,-,-,292.0,-,CLEMENTI,1.3146,103.7675,CLEMENTI NORTH,WEST
8838,2013,Feb,120333,-,-,291.6,-,CLEMENTI,1.3146,103.7675,CLEMENTI NORTH,WEST
8839,2013,Feb,120334,-,173.0,-,-,CLEMENTI,1.3149,103.7689,CLEMENTI NORTH,WEST
8840,2013,Feb,120335,-,195.6,-,-,CLEMENTI,1.3168,103.7685,CLEMENTI NORTH,WEST
8841,2013,Feb,120336,-,-,-,301.9,CLEMENTI,1.3167,103.7689,CLEMENTI NORTH,WEST
8842,2013,Feb,120337,-,-,-,348.5,CLEMENTI,1.3159,103.7691,CLEMENTI NORTH,WEST
8843,2013,Feb,120338,-,-,-,330.8,CLEMENTI,1.3159,103.7693,CLEMENTI NORTH,WEST
8844,2013,Feb,120339,-,189.9,-,-,CLEMENTI,1.3185,103.7695,CLEMENTI NORTH,WEST
8845,2013,Feb,120340,-,-,326.5,308.2,CLEMENTI,1.3184,103.7696,CLEMENTI NORTH,WEST
8846,2013,Feb,120341,-,213.4,-,-,CLEMENTI,1.3187,103.7691,CLEMENTI NORTH,WEST
8847,2013,Feb,120342,-,-,281.4,430.2,CLEMENTI,1.3184,103.7696,CLEMENTI NORTH,WEST
