index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3853,2013,Jan,540264,-,-,332.4,-,SENGKANG,1.3818,103.8951,COMPASSVALE,NORTH-EAST
3899,2013,Jan,541264,-,-,368.4,-,SENGKANG,1.3813,103.8967,COMPASSVALE,NORTH-EAST
3900,2013,Jan,541265,-,-,316.3,-,SENGKANG,1.3824,103.8952,COMPASSVALE,NORTH-EAST
3901,2013,Jan,541266,-,-,307.1,-,SENGKANG,1.3824,103.897,COMPASSVALE,NORTH-EAST
3902,2013,Jan,541267,-,-,300.2,393.1,SENGKANG,1.3829,103.8979,COMPASSVALE,NORTH-EAST
3903,2013,Jan,541268,-,-,292.7,311.5,SENGKANG,1.3844,103.8967,COMPASSVALE,NORTH-EAST
3904,2013,Jan,541269,-,-,271.8,368.9,SENGKANG,1.3837,103.8957,COMPASSVALE,NORTH-EAST
3905,2013,Jan,541270,-,-,340.6,-,SENGKANG,1.3857,103.8941,COMPASSVALE,NORTH-EAST
3906,2013,Jan,541271,-,-,311.8,-,SENGKANG,1.386,103.8949,COMPASSVALE,NORTH-EAST
3907,2013,Jan,541272,-,-,325.0,-,SENGKANG,1.3853,103.8937,COMPASSVALE,NORTH-EAST
3908,2013,Jan,541273,-,-,329.6,-,SENGKANG,1.3841,103.8948,COMPASSVALE,NORTH-EAST
3909,2013,Jan,541275,-,-,385.5,-,SENGKANG,1.3831,103.8946,COMPASSVALE,NORTH-EAST
3910,2013,Jan,541277,-,-,342.7,-,SENGKANG,1.382,103.8944,COMPASSVALE,NORTH-EAST
3989,2013,Jan,542264,-,-,321.3,-,SENGKANG,1.3813,103.8966,COMPASSVALE,NORTH-EAST
3990,2013,Jan,542265,-,-,325.5,-,SENGKANG,1.3824,103.8958,COMPASSVALE,NORTH-EAST
3991,2013,Jan,542266,-,-,303.6,-,SENGKANG,1.3826,103.8973,COMPASSVALE,NORTH-EAST
3992,2013,Jan,542267,-,-,292.5,333.1,SENGKANG,1.3834,103.8977,COMPASSVALE,NORTH-EAST
3993,2013,Jan,542268,-,-,311.9,362.7,SENGKANG,1.3846,103.8965,COMPASSVALE,NORTH-EAST
3994,2013,Jan,542269,-,-,260.9,290.5,SENGKANG,1.3837,103.8958,COMPASSVALE,NORTH-EAST
3995,2013,Jan,542271,-,-,353.3,-,SENGKANG,1.3855,103.8948,COMPASSVALE,NORTH-EAST
3996,2013,Jan,542272,-,-,342.2,-,SENGKANG,1.3848,103.8936,COMPASSVALE,NORTH-EAST
3997,2013,Jan,542273,-,-,310.4,-,SENGKANG,1.3844,103.895,COMPASSVALE,NORTH-EAST
3998,2013,Jan,542275,-,-,336.8,-,SENGKANG,1.3832,103.8946,COMPASSVALE,NORTH-EAST
3999,2013,Jan,542277,-,-,338.2,-,SENGKANG,1.382,103.8941,COMPASSVALE,NORTH-EAST
4073,2013,Jan,543264,-,-,323.3,-,SENGKANG,1.3814,103.8963,COMPASSVALE,NORTH-EAST
4074,2013,Jan,543265,-,-,331.5,-,SENGKANG,1.3823,103.8961,COMPASSVALE,NORTH-EAST
4075,2013,Jan,543266,-,-,354.0,-,SENGKANG,1.3825,103.8973,COMPASSVALE,NORTH-EAST
4076,2013,Jan,543268,-,-,252.7,401.8,SENGKANG,1.3848,103.8959,COMPASSVALE,NORTH-EAST
4077,2013,Jan,543269,-,-,295.3,395.5,SENGKANG,1.3834,103.8962,COMPASSVALE,NORTH-EAST
4078,2013,Jan,543271,-,-,334.6,-,SENGKANG,1.385,103.8947,COMPASSVALE,NORTH-EAST
4079,2013,Jan,543272,-,-,336.4,-,SENGKANG,1.3849,103.8936,COMPASSVALE,NORTH-EAST
4080,2013,Jan,543273,-,-,306.3,-,SENGKANG,1.3845,103.8948,COMPASSVALE,NORTH-EAST
4081,2013,Jan,543275,-,-,318.4,-,SENGKANG,1.3831,103.894,COMPASSVALE,NORTH-EAST
4082,2013,Jan,543277,-,-,345.2,-,SENGKANG,1.3821,103.894,COMPASSVALE,NORTH-EAST
4134,2013,Jan,544264,-,-,306.4,-,SENGKANG,1.3815,103.8959,COMPASSVALE,NORTH-EAST
4135,2013,Jan,544265,-,-,306.0,-,SENGKANG,1.3822,103.8965,COMPASSVALE,NORTH-EAST
4136,2013,Jan,544268,-,-,297.3,421.3,SENGKANG,1.3848,103.8958,COMPASSVALE,NORTH-EAST
4137,2013,Jan,544269,-,-,313.5,338.3,SENGKANG,1.3839,103.8972,COMPASSVALE,NORTH-EAST
4138,2013,Jan,544272,-,-,349.3,-,SENGKANG,1.3837,103.8936,COMPASSVALE,NORTH-EAST
4139,2013,Jan,544273,-,-,327.4,-,SENGKANG,1.384,103.8952,COMPASSVALE,NORTH-EAST
4140,2013,Jan,544275,-,-,344.6,-,SENGKANG,1.3829,103.894,COMPASSVALE,NORTH-EAST
4141,2013,Jan,544277,-,-,319.5,-,SENGKANG,1.3819,103.8936,COMPASSVALE,NORTH-EAST
4160,2013,Jan,548264,-,-,342.4,-,SENGKANG,1.3817,103.8957,COMPASSVALE,NORTH-EAST
4161,2013,Jan,548265,-,-,353.0,-,SENGKANG,1.3822,103.8967,COMPASSVALE,NORTH-EAST
12500,2013,Feb,540264,-,-,354.8,-,SENGKANG,1.3818,103.8951,COMPASSVALE,NORTH-EAST
12546,2013,Feb,541264,-,-,400.4,-,SENGKANG,1.3813,103.8967,COMPASSVALE,NORTH-EAST
12547,2013,Feb,541265,-,-,345.6,-,SENGKANG,1.3824,103.8952,COMPASSVALE,NORTH-EAST
12548,2013,Feb,541266,-,-,333.3,-,SENGKANG,1.3824,103.897,COMPASSVALE,NORTH-EAST
12549,2013,Feb,541267,-,-,341.4,430.2,SENGKANG,1.3829,103.8979,COMPASSVALE,NORTH-EAST
12550,2013,Feb,541268,-,-,335.2,356.1,SENGKANG,1.3844,103.8967,COMPASSVALE,NORTH-EAST
12551,2013,Feb,541269,-,-,321.0,343.2,SENGKANG,1.3837,103.8957,COMPASSVALE,NORTH-EAST
12552,2013,Feb,541270,-,-,358.0,-,SENGKANG,1.3857,103.8941,COMPASSVALE,NORTH-EAST
12553,2013,Feb,541271,-,-,333.9,-,SENGKANG,1.386,103.8949,COMPASSVALE,NORTH-EAST
12554,2013,Feb,541272,-,-,344.5,-,SENGKANG,1.3853,103.8937,COMPASSVALE,NORTH-EAST
12555,2013,Feb,541273,-,-,349.0,-,SENGKANG,1.3841,103.8948,COMPASSVALE,NORTH-EAST
12556,2013,Feb,541275,-,-,383.1,-,SENGKANG,1.3831,103.8946,COMPASSVALE,NORTH-EAST
12557,2013,Feb,541277,-,-,363.5,-,SENGKANG,1.382,103.8944,COMPASSVALE,NORTH-EAST
12636,2013,Feb,542264,-,-,347.2,-,SENGKANG,1.3813,103.8966,COMPASSVALE,NORTH-EAST
12637,2013,Feb,542265,-,-,348.4,-,SENGKANG,1.3824,103.8958,COMPASSVALE,NORTH-EAST
12638,2013,Feb,542266,-,-,328.6,-,SENGKANG,1.3826,103.8973,COMPASSVALE,NORTH-EAST
12639,2013,Feb,542267,-,-,324.1,365.4,SENGKANG,1.3834,103.8977,COMPASSVALE,NORTH-EAST
12640,2013,Feb,542268,-,-,345.8,399.2,SENGKANG,1.3846,103.8965,COMPASSVALE,NORTH-EAST
12641,2013,Feb,542269,-,-,322.0,374.5,SENGKANG,1.3837,103.8958,COMPASSVALE,NORTH-EAST
12642,2013,Feb,542271,-,-,360.6,-,SENGKANG,1.3855,103.8948,COMPASSVALE,NORTH-EAST
12643,2013,Feb,542272,-,-,356.3,-,SENGKANG,1.3848,103.8936,COMPASSVALE,NORTH-EAST
12644,2013,Feb,542273,-,-,329.1,-,SENGKANG,1.3844,103.895,COMPASSVALE,NORTH-EAST
12645,2013,Feb,542275,-,-,353.1,-,SENGKANG,1.3832,103.8946,COMPASSVALE,NORTH-EAST
12646,2013,Feb,542277,-,-,365.8,-,SENGKANG,1.382,103.8941,COMPASSVALE,NORTH-EAST
12720,2013,Feb,543264,-,-,353.3,-,SENGKANG,1.3814,103.8963,COMPASSVALE,NORTH-EAST
12721,2013,Feb,543265,-,-,335.0,-,SENGKANG,1.3823,103.8961,COMPASSVALE,NORTH-EAST
12722,2013,Feb,543266,-,-,377.6,-,SENGKANG,1.3825,103.8973,COMPASSVALE,NORTH-EAST
12723,2013,Feb,543268,-,-,297.7,415.3,SENGKANG,1.3848,103.8959,COMPASSVALE,NORTH-EAST
12724,2013,Feb,543269,-,-,353.4,424.3,SENGKANG,1.3834,103.8962,COMPASSVALE,NORTH-EAST
12725,2013,Feb,543271,-,-,351.8,-,SENGKANG,1.385,103.8947,COMPASSVALE,NORTH-EAST
12726,2013,Feb,543272,-,-,355.0,-,SENGKANG,1.3849,103.8936,COMPASSVALE,NORTH-EAST
12727,2013,Feb,543273,-,-,340.0,-,SENGKANG,1.3845,103.8948,COMPASSVALE,NORTH-EAST
12728,2013,Feb,543275,-,-,352.9,-,SENGKANG,1.3831,103.894,COMPASSVALE,NORTH-EAST
12729,2013,Feb,543277,-,-,372.6,-,SENGKANG,1.3821,103.894,COMPASSVALE,NORTH-EAST
12781,2013,Feb,544264,-,-,321.5,-,SENGKANG,1.3815,103.8959,COMPASSVALE,NORTH-EAST
12782,2013,Feb,544265,-,-,326.3,-,SENGKANG,1.3822,103.8965,COMPASSVALE,NORTH-EAST
12783,2013,Feb,544268,-,-,327.5,452.4,SENGKANG,1.3848,103.8958,COMPASSVALE,NORTH-EAST
12784,2013,Feb,544269,-,-,346.8,352.6,SENGKANG,1.3839,103.8972,COMPASSVALE,NORTH-EAST
12785,2013,Feb,544272,-,-,371.6,-,SENGKANG,1.3837,103.8936,COMPASSVALE,NORTH-EAST
12786,2013,Feb,544273,-,-,356.2,-,SENGKANG,1.384,103.8952,COMPASSVALE,NORTH-EAST
12787,2013,Feb,544275,-,-,372.8,-,SENGKANG,1.3829,103.894,COMPASSVALE,NORTH-EAST
12788,2013,Feb,544277,-,-,331.5,-,SENGKANG,1.3819,103.8936,COMPASSVALE,NORTH-EAST
12807,2013,Feb,548264,-,-,356.6,-,SENGKANG,1.3817,103.8957,COMPASSVALE,NORTH-EAST
12808,2013,Feb,548265,-,-,387.3,-,SENGKANG,1.3822,103.8967,COMPASSVALE,NORTH-EAST
21141,2013,Mar,540264,-,-,323.2,-,SENGKANG,1.3818,103.8951,COMPASSVALE,NORTH-EAST
21187,2013,Mar,541264,-,-,366.2,-,SENGKANG,1.3813,103.8967,COMPASSVALE,NORTH-EAST
21188,2013,Mar,541265,-,-,321.9,-,SENGKANG,1.3824,103.8952,COMPASSVALE,NORTH-EAST
21189,2013,Mar,541266,-,-,355.6,-,SENGKANG,1.3824,103.897,COMPASSVALE,NORTH-EAST
21190,2013,Mar,541267,-,-,340.8,451.3,SENGKANG,1.3829,103.8979,COMPASSVALE,NORTH-EAST
21191,2013,Mar,541268,-,-,317.5,365.1,SENGKANG,1.3844,103.8967,COMPASSVALE,NORTH-EAST
21192,2013,Mar,541269,-,-,333.2,380.9,SENGKANG,1.3837,103.8957,COMPASSVALE,NORTH-EAST
21193,2013,Mar,541270,-,-,356.3,-,SENGKANG,1.3857,103.8941,COMPASSVALE,NORTH-EAST
21194,2013,Mar,541271,-,-,324.2,-,SENGKANG,1.386,103.8949,COMPASSVALE,NORTH-EAST
21195,2013,Mar,541272,-,-,341.8,-,SENGKANG,1.3853,103.8937,COMPASSVALE,NORTH-EAST
21196,2013,Mar,541273,-,-,356.3,-,SENGKANG,1.3841,103.8948,COMPASSVALE,NORTH-EAST
21197,2013,Mar,541275,-,-,389.7,-,SENGKANG,1.3831,103.8946,COMPASSVALE,NORTH-EAST
21198,2013,Mar,541277,-,-,374.7,-,SENGKANG,1.382,103.8944,COMPASSVALE,NORTH-EAST
21277,2013,Mar,542264,-,-,332.0,-,SENGKANG,1.3813,103.8966,COMPASSVALE,NORTH-EAST
21278,2013,Mar,542265,-,-,323.1,-,SENGKANG,1.3824,103.8958,COMPASSVALE,NORTH-EAST
21279,2013,Mar,542266,-,-,316.9,-,SENGKANG,1.3826,103.8973,COMPASSVALE,NORTH-EAST
21280,2013,Mar,542267,-,-,350.4,356.3,SENGKANG,1.3834,103.8977,COMPASSVALE,NORTH-EAST
21281,2013,Mar,542268,-,-,378.2,419.2,SENGKANG,1.3846,103.8965,COMPASSVALE,NORTH-EAST
21282,2013,Mar,542269,-,-,312.8,403.0,SENGKANG,1.3837,103.8958,COMPASSVALE,NORTH-EAST
21283,2013,Mar,542271,-,-,306.6,-,SENGKANG,1.3855,103.8948,COMPASSVALE,NORTH-EAST
21284,2013,Mar,542272,-,-,334.9,-,SENGKANG,1.3848,103.8936,COMPASSVALE,NORTH-EAST
21285,2013,Mar,542273,-,-,308.6,-,SENGKANG,1.3844,103.895,COMPASSVALE,NORTH-EAST
21286,2013,Mar,542275,-,-,338.3,-,SENGKANG,1.3832,103.8946,COMPASSVALE,NORTH-EAST
21287,2013,Mar,542277,-,-,391.5,-,SENGKANG,1.382,103.8941,COMPASSVALE,NORTH-EAST
21361,2013,Mar,543264,-,-,354.6,-,SENGKANG,1.3814,103.8963,COMPASSVALE,NORTH-EAST
21362,2013,Mar,543265,-,-,330.8,-,SENGKANG,1.3823,103.8961,COMPASSVALE,NORTH-EAST
21363,2013,Mar,543266,-,-,389.0,-,SENGKANG,1.3825,103.8973,COMPASSVALE,NORTH-EAST
21364,2013,Mar,543268,-,-,326.9,440.3,SENGKANG,1.3848,103.8959,COMPASSVALE,NORTH-EAST
21365,2013,Mar,543269,-,-,316.1,437.9,SENGKANG,1.3834,103.8962,COMPASSVALE,NORTH-EAST
21366,2013,Mar,543271,-,-,281.4,-,SENGKANG,1.385,103.8947,COMPASSVALE,NORTH-EAST
21367,2013,Mar,543272,-,-,375.7,-,SENGKANG,1.3849,103.8936,COMPASSVALE,NORTH-EAST
21368,2013,Mar,543273,-,-,351.3,-,SENGKANG,1.3845,103.8948,COMPASSVALE,NORTH-EAST
