index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8299,2013,Jan,791403,-,-,376.4,382.2,SENGKANG,1.3891,103.8732,FERNVALE,NORTH-EAST
8300,2013,Jan,791404,-,-,328.8,446.6,SENGKANG,1.3884,103.8739,FERNVALE,NORTH-EAST
8301,2013,Jan,791405,-,-,373.8,365.1,SENGKANG,1.3889,103.874,FERNVALE,NORTH-EAST
8302,2013,Jan,791406,-,-,412.0,433.9,SENGKANG,1.3881,103.8741,FERNVALE,NORTH-EAST
8303,2013,Jan,791407,-,-,401.9,419.4,SENGKANG,1.3885,103.8755,FERNVALE,NORTH-EAST
8304,2013,Jan,791408,-,-,376.3,407.8,SENGKANG,1.3886,103.8764,FERNVALE,NORTH-EAST
8305,2013,Jan,791409,-,-,373.8,359.5,SENGKANG,1.3889,103.8772,FERNVALE,NORTH-EAST
8306,2013,Jan,791410,-,-,284.5,-,SENGKANG,1.3902,103.8761,FERNVALE,NORTH-EAST
8307,2013,Jan,791411,-,-,313.8,-,SENGKANG,1.3907,103.8768,FERNVALE,NORTH-EAST
8308,2013,Jan,791412,-,-,339.3,491.6,SENGKANG,1.389,103.8779,FERNVALE,NORTH-EAST
8309,2013,Jan,791413,-,-,383.0,414.9,SENGKANG,1.389,103.8785,FERNVALE,NORTH-EAST
8310,2013,Jan,791434,-,238.5,301.1,-,SENGKANG,1.3944,103.8762,FERNVALE,NORTH-EAST
8311,2013,Jan,791435,-,-,268.5,348.5,SENGKANG,1.3934,103.8761,FERNVALE,NORTH-EAST
8312,2013,Jan,791436,-,248.5,441.0,-,SENGKANG,1.393,103.8765,FERNVALE,NORTH-EAST
8313,2013,Jan,791438,-,314.5,344.6,-,SENGKANG,1.3929,103.8774,FERNVALE,NORTH-EAST
8314,2013,Jan,791439,-,284.8,380.3,-,SENGKANG,1.3918,103.8775,FERNVALE,NORTH-EAST
8315,2013,Jan,791441,-,266.5,358.3,-,SENGKANG,1.391,103.8752,FERNVALE,NORTH-EAST
8316,2013,Jan,791443,-,-,311.7,-,SENGKANG,1.3911,103.8743,FERNVALE,NORTH-EAST
8317,2013,Jan,791445,179.4,255.6,241.9,-,SENGKANG,1.3921,103.8743,FERNVALE,NORTH-EAST
8318,2013,Jan,791446,159.9,-,-,-,SENGKANG,1.3918,103.8728,FERNVALE,NORTH-EAST
8319,2013,Jan,791447,219.9,297.3,248.1,-,SENGKANG,1.3924,103.8726,FERNVALE,NORTH-EAST
8320,2013,Jan,792403,-,-,367.4,471.8,SENGKANG,1.3889,103.8729,FERNVALE,NORTH-EAST
8321,2013,Jan,792404,-,-,394.7,423.2,SENGKANG,1.3883,103.8739,FERNVALE,NORTH-EAST
8322,2013,Jan,792405,-,-,379.7,429.8,SENGKANG,1.3893,103.8737,FERNVALE,NORTH-EAST
8323,2013,Jan,792406,-,-,356.8,477.5,SENGKANG,1.3886,103.8742,FERNVALE,NORTH-EAST
8324,2013,Jan,792407,-,-,397.9,460.2,SENGKANG,1.3891,103.875,FERNVALE,NORTH-EAST
8325,2013,Jan,792408,-,-,344.4,424.3,SENGKANG,1.3892,103.8759,FERNVALE,NORTH-EAST
8326,2013,Jan,792409,-,-,443.8,423.6,SENGKANG,1.3896,103.8768,FERNVALE,NORTH-EAST
8327,2013,Jan,792410,-,-,303.4,-,SENGKANG,1.3897,103.8759,FERNVALE,NORTH-EAST
8328,2013,Jan,792411,-,-,300.0,-,SENGKANG,1.3903,103.8772,FERNVALE,NORTH-EAST
8329,2013,Jan,792412,-,-,318.3,442.1,SENGKANG,1.3899,103.878,FERNVALE,NORTH-EAST
8330,2013,Jan,792413,-,-,401.4,394.5,SENGKANG,1.3898,103.8788,FERNVALE,NORTH-EAST
8331,2013,Jan,792434,-,-,254.8,327.3,SENGKANG,1.3948,103.8766,FERNVALE,NORTH-EAST
8332,2013,Jan,792435,-,162.9,276.1,-,SENGKANG,1.3933,103.8766,FERNVALE,NORTH-EAST
8333,2013,Jan,792436,-,310.9,418.8,-,SENGKANG,1.393,103.8768,FERNVALE,NORTH-EAST
8334,2013,Jan,792438,-,284.8,351.0,-,SENGKANG,1.3929,103.8777,FERNVALE,NORTH-EAST
8335,2013,Jan,792439,-,335.0,349.3,-,SENGKANG,1.392,103.8784,FERNVALE,NORTH-EAST
8336,2013,Jan,792441,166.3,246.8,392.4,-,SENGKANG,1.3911,103.8747,FERNVALE,NORTH-EAST
8337,2013,Jan,792443,180.3,237.7,311.2,-,SENGKANG,1.3912,103.8738,FERNVALE,NORTH-EAST
8338,2013,Jan,792445,207.2,257.7,319.0,-,SENGKANG,1.3922,103.8741,FERNVALE,NORTH-EAST
8339,2013,Jan,792446,-,-,216.9,-,SENGKANG,1.3916,103.8733,FERNVALE,NORTH-EAST
8340,2013,Jan,792447,223.2,268.0,216.9,-,SENGKANG,1.3926,103.8732,FERNVALE,NORTH-EAST
8341,2013,Jan,793403,-,-,404.3,466.2,SENGKANG,1.3884,103.8728,FERNVALE,NORTH-EAST
8342,2013,Jan,793405,-,-,397.1,410.4,SENGKANG,1.3893,103.8733,FERNVALE,NORTH-EAST
8343,2013,Jan,793406,-,-,359.1,423.3,SENGKANG,1.3888,103.8746,FERNVALE,NORTH-EAST
8344,2013,Jan,793408,-,-,379.8,435.8,SENGKANG,1.3894,103.8762,FERNVALE,NORTH-EAST
8345,2013,Jan,793410,-,-,302.3,-,SENGKANG,1.3897,103.8765,FERNVALE,NORTH-EAST
8346,2013,Jan,793435,-,-,210.1,298.6,SENGKANG,1.3935,103.8771,FERNVALE,NORTH-EAST
8347,2013,Jan,793436,-,328.6,346.6,-,SENGKANG,1.3922,103.877,FERNVALE,NORTH-EAST
8348,2013,Jan,793439,-,269.7,348.7,-,SENGKANG,1.3921,103.8787,FERNVALE,NORTH-EAST
8349,2013,Jan,793441,172.9,307.6,351.6,-,SENGKANG,1.392,103.8754,FERNVALE,NORTH-EAST
8350,2013,Jan,793443,176.9,317.8,274.9,-,SENGKANG,1.3912,103.8735,FERNVALE,NORTH-EAST
8351,2013,Jan,793446,-,-,219.5,-,SENGKANG,1.3916,103.8735,FERNVALE,NORTH-EAST
8352,2013,Jan,794403,-,-,375.9,439.1,SENGKANG,1.3882,103.8728,FERNVALE,NORTH-EAST
8353,2013,Jan,794436,-,325.0,382.9,-,SENGKANG,1.392,103.8766,FERNVALE,NORTH-EAST
8354,2013,Jan,794441,-,203.8,326.5,-,SENGKANG,1.3922,103.8751,FERNVALE,NORTH-EAST
16931,2013,Feb,791403,-,-,267.2,289.5,SENGKANG,1.3891,103.8732,FERNVALE,NORTH-EAST
16932,2013,Feb,791404,-,-,262.8,323.7,SENGKANG,1.3884,103.8739,FERNVALE,NORTH-EAST
16933,2013,Feb,791405,-,-,303.4,292.8,SENGKANG,1.3889,103.874,FERNVALE,NORTH-EAST
16934,2013,Feb,791406,-,-,346.5,367.1,SENGKANG,1.3881,103.8741,FERNVALE,NORTH-EAST
16935,2013,Feb,791407,-,-,281.9,344.5,SENGKANG,1.3885,103.8755,FERNVALE,NORTH-EAST
16936,2013,Feb,791408,-,-,311.3,333.6,SENGKANG,1.3886,103.8764,FERNVALE,NORTH-EAST
16937,2013,Feb,791409,-,-,279.8,259.5,SENGKANG,1.3889,103.8772,FERNVALE,NORTH-EAST
16938,2013,Feb,791410,-,-,265.0,-,SENGKANG,1.3902,103.8761,FERNVALE,NORTH-EAST
16939,2013,Feb,791411,-,-,253.9,-,SENGKANG,1.3907,103.8768,FERNVALE,NORTH-EAST
16940,2013,Feb,791412,-,-,232.6,358.6,SENGKANG,1.389,103.8779,FERNVALE,NORTH-EAST
16941,2013,Feb,791413,-,-,269.2,347.7,SENGKANG,1.389,103.8785,FERNVALE,NORTH-EAST
16942,2013,Feb,791434,-,224.5,278.2,-,SENGKANG,1.3944,103.8762,FERNVALE,NORTH-EAST
16943,2013,Feb,791435,-,-,232.3,345.6,SENGKANG,1.3934,103.8761,FERNVALE,NORTH-EAST
16944,2013,Feb,791436,-,170.9,323.6,-,SENGKANG,1.393,103.8765,FERNVALE,NORTH-EAST
16945,2013,Feb,791438,-,206.9,254.8,-,SENGKANG,1.3929,103.8774,FERNVALE,NORTH-EAST
16946,2013,Feb,791439,-,229.1,317.1,-,SENGKANG,1.3918,103.8775,FERNVALE,NORTH-EAST
16947,2013,Feb,791441,-,214.0,280.3,-,SENGKANG,1.391,103.8752,FERNVALE,NORTH-EAST
16948,2013,Feb,791443,-,-,276.3,-,SENGKANG,1.3911,103.8743,FERNVALE,NORTH-EAST
16949,2013,Feb,791445,166.5,230.6,196.2,-,SENGKANG,1.3921,103.8743,FERNVALE,NORTH-EAST
16950,2013,Feb,791446,133.2,-,-,-,SENGKANG,1.3918,103.8728,FERNVALE,NORTH-EAST
16951,2013,Feb,791447,204.1,225.7,219.4,-,SENGKANG,1.3924,103.8726,FERNVALE,NORTH-EAST
16952,2013,Feb,791450,-,5.9,2.7,-,SENGKANG,1.3946,103.8736,FERNVALE,NORTH-EAST
16953,2013,Feb,792403,-,-,309.6,329.1,SENGKANG,1.3889,103.8729,FERNVALE,NORTH-EAST
16954,2013,Feb,792404,-,-,298.4,327.0,SENGKANG,1.3883,103.8739,FERNVALE,NORTH-EAST
16955,2013,Feb,792405,-,-,283.8,336.4,SENGKANG,1.3893,103.8737,FERNVALE,NORTH-EAST
16956,2013,Feb,792406,-,-,286.3,407.2,SENGKANG,1.3886,103.8742,FERNVALE,NORTH-EAST
16957,2013,Feb,792407,-,-,310.6,324.5,SENGKANG,1.3891,103.875,FERNVALE,NORTH-EAST
16958,2013,Feb,792408,-,-,273.7,303.6,SENGKANG,1.3892,103.8759,FERNVALE,NORTH-EAST
16959,2013,Feb,792409,-,-,314.3,337.1,SENGKANG,1.3896,103.8768,FERNVALE,NORTH-EAST
16960,2013,Feb,792410,-,-,246.4,-,SENGKANG,1.3897,103.8759,FERNVALE,NORTH-EAST
16961,2013,Feb,792411,-,-,231.0,-,SENGKANG,1.3903,103.8772,FERNVALE,NORTH-EAST
16962,2013,Feb,792412,-,-,239.9,329.3,SENGKANG,1.3899,103.878,FERNVALE,NORTH-EAST
16963,2013,Feb,792413,-,-,301.2,299.5,SENGKANG,1.3898,103.8788,FERNVALE,NORTH-EAST
16964,2013,Feb,792434,-,-,245.4,320.9,SENGKANG,1.3948,103.8766,FERNVALE,NORTH-EAST
16965,2013,Feb,792435,-,171.7,264.3,-,SENGKANG,1.3933,103.8766,FERNVALE,NORTH-EAST
16966,2013,Feb,792436,-,210.3,316.3,-,SENGKANG,1.393,103.8768,FERNVALE,NORTH-EAST
16967,2013,Feb,792438,-,216.7,262.9,-,SENGKANG,1.3929,103.8777,FERNVALE,NORTH-EAST
16968,2013,Feb,792439,-,211.6,285.7,-,SENGKANG,1.392,103.8784,FERNVALE,NORTH-EAST
16969,2013,Feb,792441,125.4,207.2,314.2,-,SENGKANG,1.3911,103.8747,FERNVALE,NORTH-EAST
16970,2013,Feb,792443,157.0,222.2,280.4,-,SENGKANG,1.3912,103.8738,FERNVALE,NORTH-EAST
16971,2013,Feb,792445,157.0,225.0,250.7,-,SENGKANG,1.3922,103.8741,FERNVALE,NORTH-EAST
16972,2013,Feb,792446,-,-,223.0,-,SENGKANG,1.3916,103.8733,FERNVALE,NORTH-EAST
16973,2013,Feb,792447,188.9,255.8,268.7,-,SENGKANG,1.3926,103.8732,FERNVALE,NORTH-EAST
16974,2013,Feb,793403,-,-,279.2,344.3,SENGKANG,1.3884,103.8728,FERNVALE,NORTH-EAST
16975,2013,Feb,793405,-,-,290.8,293.5,SENGKANG,1.3893,103.8733,FERNVALE,NORTH-EAST
16976,2013,Feb,793406,-,-,279.0,349.8,SENGKANG,1.3888,103.8746,FERNVALE,NORTH-EAST
16977,2013,Feb,793408,-,-,305.9,342.7,SENGKANG,1.3894,103.8762,FERNVALE,NORTH-EAST
16978,2013,Feb,793410,-,-,255.7,-,SENGKANG,1.3897,103.8765,FERNVALE,NORTH-EAST
16979,2013,Feb,793435,-,-,224.1,281.8,SENGKANG,1.3935,103.8771,FERNVALE,NORTH-EAST
16980,2013,Feb,793436,-,262.0,268.5,-,SENGKANG,1.3922,103.877,FERNVALE,NORTH-EAST
16981,2013,Feb,793439,-,214.9,281.6,-,SENGKANG,1.3921,103.8787,FERNVALE,NORTH-EAST
16982,2013,Feb,793441,142.4,231.5,282.0,-,SENGKANG,1.392,103.8754,FERNVALE,NORTH-EAST
16983,2013,Feb,793443,161.0,293.4,278.3,-,SENGKANG,1.3912,103.8735,FERNVALE,NORTH-EAST
16984,2013,Feb,793446,-,-,241.8,-,SENGKANG,1.3916,103.8735,FERNVALE,NORTH-EAST
16985,2013,Feb,794403,-,-,331.9,331.5,SENGKANG,1.3882,103.8728,FERNVALE,NORTH-EAST
16986,2013,Feb,794436,-,283.2,278.6,-,SENGKANG,1.392,103.8766,FERNVALE,NORTH-EAST
16987,2013,Feb,794441,-,199.8,267.0,-,SENGKANG,1.3922,103.8751,FERNVALE,NORTH-EAST
25577,2013,Mar,791403,-,-,332.6,356.3,SENGKANG,1.3891,103.8732,FERNVALE,NORTH-EAST
25578,2013,Mar,791404,-,-,305.8,414.9,SENGKANG,1.3884,103.8739,FERNVALE,NORTH-EAST
25579,2013,Mar,791405,-,-,359.1,343.9,SENGKANG,1.3889,103.874,FERNVALE,NORTH-EAST
25580,2013,Mar,791406,-,-,389.2,414.8,SENGKANG,1.3881,103.8741,FERNVALE,NORTH-EAST
25581,2013,Mar,791407,-,-,350.1,394.3,SENGKANG,1.3885,103.8755,FERNVALE,NORTH-EAST
25582,2013,Mar,791408,-,-,348.7,384.3,SENGKANG,1.3886,103.8764,FERNVALE,NORTH-EAST
25583,2013,Mar,791409,-,-,341.8,330.4,SENGKANG,1.3889,103.8772,FERNVALE,NORTH-EAST
25584,2013,Mar,791410,-,-,285.5,-,SENGKANG,1.3902,103.8761,FERNVALE,NORTH-EAST
25585,2013,Mar,791411,-,-,293.9,-,SENGKANG,1.3907,103.8768,FERNVALE,NORTH-EAST
25586,2013,Mar,791412,-,-,287.9,437.1,SENGKANG,1.389,103.8779,FERNVALE,NORTH-EAST
25587,2013,Mar,791413,-,-,340.9,368.8,SENGKANG,1.389,103.8785,FERNVALE,NORTH-EAST
25588,2013,Mar,791434,-,231.5,298.8,-,SENGKANG,1.3944,103.8762,FERNVALE,NORTH-EAST
25589,2013,Mar,791435,-,-,260.6,358.6,SENGKANG,1.3934,103.8761,FERNVALE,NORTH-EAST
25590,2013,Mar,791436,-,204.1,390.5,-,SENGKANG,1.393,103.8765,FERNVALE,NORTH-EAST
25591,2013,Mar,791438,-,269.5,313.0,-,SENGKANG,1.3929,103.8774,FERNVALE,NORTH-EAST
25592,2013,Mar,791439,-,265.6,356.2,-,SENGKANG,1.3918,103.8775,FERNVALE,NORTH-EAST
25593,2013,Mar,791441,-,248.3,326.5,-,SENGKANG,1.391,103.8752,FERNVALE,NORTH-EAST
25594,2013,Mar,791443,-,-,304.1,-,SENGKANG,1.3911,103.8743,FERNVALE,NORTH-EAST
25595,2013,Mar,791445,174.3,251.4,224.3,-,SENGKANG,1.3921,103.8743,FERNVALE,NORTH-EAST
25596,2013,Mar,791446,150.2,-,-,-,SENGKANG,1.3918,103.8728,FERNVALE,NORTH-EAST
25597,2013,Mar,791447,227.1,257.8,224.2,-,SENGKANG,1.3924,103.8726,FERNVALE,NORTH-EAST
25598,2013,Mar,791450,-,22.7,4.1,-,SENGKANG,1.3946,103.8736,FERNVALE,NORTH-EAST
25599,2013,Mar,792403,-,-,349.9,415.5,SENGKANG,1.3889,103.8729,FERNVALE,NORTH-EAST
25600,2013,Mar,792404,-,-,348.1,374.1,SENGKANG,1.3883,103.8739,FERNVALE,NORTH-EAST
25601,2013,Mar,792405,-,-,338.2,421.2,SENGKANG,1.3893,103.8737,FERNVALE,NORTH-EAST
25602,2013,Mar,792406,-,-,325.3,460.4,SENGKANG,1.3886,103.8742,FERNVALE,NORTH-EAST
25603,2013,Mar,792407,-,-,364.8,393.9,SENGKANG,1.3891,103.875,FERNVALE,NORTH-EAST
25604,2013,Mar,792408,-,-,318.1,379.0,SENGKANG,1.3892,103.8759,FERNVALE,NORTH-EAST
25605,2013,Mar,792409,-,-,389.2,392.5,SENGKANG,1.3896,103.8768,FERNVALE,NORTH-EAST
25606,2013,Mar,792410,-,-,284.0,-,SENGKANG,1.3897,103.8759,FERNVALE,NORTH-EAST
25607,2013,Mar,792411,-,-,272.8,-,SENGKANG,1.3903,103.8772,FERNVALE,NORTH-EAST
25608,2013,Mar,792412,-,-,288.9,401.0,SENGKANG,1.3899,103.878,FERNVALE,NORTH-EAST
25609,2013,Mar,792413,-,-,386.8,357.6,SENGKANG,1.3898,103.8788,FERNVALE,NORTH-EAST
25610,2013,Mar,792434,-,-,257.7,334.7,SENGKANG,1.3948,103.8766,FERNVALE,NORTH-EAST
25611,2013,Mar,792435,-,173.0,281.6,-,SENGKANG,1.3933,103.8766,FERNVALE,NORTH-EAST
25612,2013,Mar,792436,-,269.3,379.8,-,SENGKANG,1.393,103.8768,FERNVALE,NORTH-EAST
25613,2013,Mar,792438,-,258.6,315.2,-,SENGKANG,1.3929,103.8777,FERNVALE,NORTH-EAST
25614,2013,Mar,792439,-,282.5,328.4,-,SENGKANG,1.392,103.8784,FERNVALE,NORTH-EAST
25615,2013,Mar,792441,150.8,235.2,363.8,-,SENGKANG,1.3911,103.8747,FERNVALE,NORTH-EAST
25616,2013,Mar,792443,174.4,235.6,306.6,-,SENGKANG,1.3912,103.8738,FERNVALE,NORTH-EAST
25617,2013,Mar,792445,183.1,253.0,294.3,-,SENGKANG,1.3922,103.8741,FERNVALE,NORTH-EAST
25618,2013,Mar,792446,-,-,229.2,-,SENGKANG,1.3916,103.8733,FERNVALE,NORTH-EAST
25619,2013,Mar,792447,202.9,263.8,250.9,-,SENGKANG,1.3926,103.8732,FERNVALE,NORTH-EAST
25620,2013,Mar,792450,3.5,11.7,-,-,SENGKANG,1.394,103.8731,FERNVALE,NORTH-EAST
25621,2013,Mar,793403,-,-,341.6,438.7,SENGKANG,1.3884,103.8728,FERNVALE,NORTH-EAST
25622,2013,Mar,793405,-,-,355.4,413.3,SENGKANG,1.3893,103.8733,FERNVALE,NORTH-EAST
25623,2013,Mar,793406,-,-,329.8,405.5,SENGKANG,1.3888,103.8746,FERNVALE,NORTH-EAST
25624,2013,Mar,793408,-,-,357.1,409.0,SENGKANG,1.3894,103.8762,FERNVALE,NORTH-EAST
25625,2013,Mar,793410,-,-,288.1,-,SENGKANG,1.3897,103.8765,FERNVALE,NORTH-EAST
25626,2013,Mar,793435,-,-,224.5,296.9,SENGKANG,1.3935,103.8771,FERNVALE,NORTH-EAST
25627,2013,Mar,793436,-,294.7,310.6,-,SENGKANG,1.3922,103.877,FERNVALE,NORTH-EAST
25628,2013,Mar,793439,-,250.4,325.8,-,SENGKANG,1.3921,103.8787,FERNVALE,NORTH-EAST
25629,2013,Mar,793441,162.9,268.0,333.1,-,SENGKANG,1.392,103.8754,FERNVALE,NORTH-EAST
25630,2013,Mar,793443,174.6,315.3,280.1,-,SENGKANG,1.3912,103.8735,FERNVALE,NORTH-EAST
25631,2013,Mar,793446,-,-,259.9,-,SENGKANG,1.3916,103.8735,FERNVALE,NORTH-EAST
25632,2013,Mar,794403,-,-,372.7,399.4,SENGKANG,1.3882,103.8728,FERNVALE,NORTH-EAST
25633,2013,Mar,794436,-,314.4,343.2,-,SENGKANG,1.392,103.8766,FERNVALE,NORTH-EAST
25634,2013,Mar,794441,-,208.5,299.9,-,SENGKANG,1.3922,103.8751,FERNVALE,NORTH-EAST
34262,2013,Apr,791403,-,-,380.8,419.5,SENGKANG,1.3891,103.8732,FERNVALE,NORTH-EAST
34263,2013,Apr,791404,-,-,329.8,463.3,SENGKANG,1.3884,103.8739,FERNVALE,NORTH-EAST
34264,2013,Apr,791405,-,-,368.3,418.0,SENGKANG,1.3889,103.874,FERNVALE,NORTH-EAST
34265,2013,Apr,791406,-,-,434.7,485.6,SENGKANG,1.3881,103.8741,FERNVALE,NORTH-EAST
34266,2013,Apr,791407,-,-,361.5,420.9,SENGKANG,1.3885,103.8755,FERNVALE,NORTH-EAST
34267,2013,Apr,791408,-,-,376.7,425.7,SENGKANG,1.3886,103.8764,FERNVALE,NORTH-EAST
34268,2013,Apr,791409,-,-,340.2,346.1,SENGKANG,1.3889,103.8772,FERNVALE,NORTH-EAST
34269,2013,Apr,791410,-,-,309.1,-,SENGKANG,1.3902,103.8761,FERNVALE,NORTH-EAST
34270,2013,Apr,791411,-,-,321.2,-,SENGKANG,1.3907,103.8768,FERNVALE,NORTH-EAST
34271,2013,Apr,791412,-,-,310.5,467.9,SENGKANG,1.389,103.8779,FERNVALE,NORTH-EAST
34272,2013,Apr,791413,-,-,381.3,402.5,SENGKANG,1.389,103.8785,FERNVALE,NORTH-EAST
34273,2013,Apr,791434,-,239.5,328.5,-,SENGKANG,1.3944,103.8762,FERNVALE,NORTH-EAST
34274,2013,Apr,791435,-,-,303.6,406.6,SENGKANG,1.3934,103.8761,FERNVALE,NORTH-EAST
34275,2013,Apr,791436,-,246.8,409.8,-,SENGKANG,1.393,103.8765,FERNVALE,NORTH-EAST
34276,2013,Apr,791438,-,281.5,346.7,-,SENGKANG,1.3929,103.8774,FERNVALE,NORTH-EAST
34277,2013,Apr,791439,-,268.2,368.1,-,SENGKANG,1.3918,103.8775,FERNVALE,NORTH-EAST
34278,2013,Apr,791441,-,263.7,357.4,-,SENGKANG,1.391,103.8752,FERNVALE,NORTH-EAST
34279,2013,Apr,791443,-,-,328.4,-,SENGKANG,1.3911,103.8743,FERNVALE,NORTH-EAST
34280,2013,Apr,791445,170.4,267.2,272.0,-,SENGKANG,1.3921,103.8743,FERNVALE,NORTH-EAST
34281,2013,Apr,791446,169.7,-,-,-,SENGKANG,1.3918,103.8728,FERNVALE,NORTH-EAST
34282,2013,Apr,791447,207.7,294.8,346.6,-,SENGKANG,1.3924,103.8726,FERNVALE,NORTH-EAST
34283,2013,Apr,791450,-,87.9,57.1,-,SENGKANG,1.3946,103.8736,FERNVALE,NORTH-EAST
34284,2013,Apr,792403,-,-,397.5,510.3,SENGKANG,1.3889,103.8729,FERNVALE,NORTH-EAST
34285,2013,Apr,792404,-,-,387.1,387.7,SENGKANG,1.3883,103.8739,FERNVALE,NORTH-EAST
34286,2013,Apr,792405,-,-,385.0,470.5,SENGKANG,1.3893,103.8737,FERNVALE,NORTH-EAST
34287,2013,Apr,792406,-,-,385.6,504.9,SENGKANG,1.3886,103.8742,FERNVALE,NORTH-EAST
34288,2013,Apr,792407,-,-,402.2,427.3,SENGKANG,1.3891,103.875,FERNVALE,NORTH-EAST
34289,2013,Apr,792408,-,-,367.4,398.1,SENGKANG,1.3892,103.8759,FERNVALE,NORTH-EAST
34290,2013,Apr,792409,-,-,390.4,470.5,SENGKANG,1.3896,103.8768,FERNVALE,NORTH-EAST
34291,2013,Apr,792410,-,-,319.6,-,SENGKANG,1.3897,103.8759,FERNVALE,NORTH-EAST
34292,2013,Apr,792411,-,-,294.1,-,SENGKANG,1.3903,103.8772,FERNVALE,NORTH-EAST
34293,2013,Apr,792412,-,-,296.0,465.7,SENGKANG,1.3899,103.878,FERNVALE,NORTH-EAST
34294,2013,Apr,792413,-,-,434.6,392.5,SENGKANG,1.3898,103.8788,FERNVALE,NORTH-EAST
34295,2013,Apr,792434,-,-,300.6,366.1,SENGKANG,1.3948,103.8766,FERNVALE,NORTH-EAST
34296,2013,Apr,792435,-,200.6,308.5,-,SENGKANG,1.3933,103.8766,FERNVALE,NORTH-EAST
34297,2013,Apr,792436,-,320.5,408.7,-,SENGKANG,1.393,103.8768,FERNVALE,NORTH-EAST
34298,2013,Apr,792438,-,272.3,360.0,-,SENGKANG,1.3929,103.8777,FERNVALE,NORTH-EAST
34299,2013,Apr,792439,-,300.9,348.8,-,SENGKANG,1.392,103.8784,FERNVALE,NORTH-EAST
34300,2013,Apr,792441,171.6,231.3,407.7,-,SENGKANG,1.3911,103.8747,FERNVALE,NORTH-EAST
34301,2013,Apr,792443,179.1,234.4,298.1,-,SENGKANG,1.3912,103.8738,FERNVALE,NORTH-EAST
34302,2013,Apr,792445,217.5,262.0,344.3,-,SENGKANG,1.3922,103.8741,FERNVALE,NORTH-EAST
