index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1732,2013,Jan,450002,163.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
1733,2013,Jan,450004,204.0,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
10382,2013,Feb,450002,132.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
10383,2013,Feb,450004,162.4,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
19017,2013,Mar,450002,156.0,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
19018,2013,Mar,450004,194.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
27686,2013,Apr,450002,206.2,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
27687,2013,Apr,450004,262.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
36368,2013,May,450002,173.8,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
36369,2013,May,450004,212.1,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
44951,2013,Jun,450002,201.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
44952,2013,Jun,450004,266.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
53622,2013,Jul,450002,182.7,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
53623,2013,Jul,450004,214.9,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
62293,2013,Aug,450002,174.1,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
62294,2013,Aug,450004,210.8,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
70960,2013,Sep,450002,191.1,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
70961,2013,Sep,450004,215.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
79639,2013,Oct,450002,252.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
79640,2013,Oct,450004,196.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
88311,2013,Nov,450002,229.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
88312,2013,Nov,450004,210.5,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
97009,2013,Dec,450002,162.2,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
97010,2013,Dec,450004,174.7,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
105716,2014,Jan,450002,213.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
105717,2014,Jan,450004,190.9,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
114447,2014,Feb,450002,159.8,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
114448,2014,Feb,450004,167.8,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
123183,2014,Mar,450002,183.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
123184,2014,Mar,450004,204.7,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
131950,2014,Apr,450002,261.5,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
131951,2014,Apr,450004,287.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
140768,2014,May,450002,218.8,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
140769,2014,May,450004,239.4,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
149599,2014,Jun,450002,254.6,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
149600,2014,Jun,450004,317.7,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
158421,2014,Jul,450002,255.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
158422,2014,Jul,450004,279.0,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
167237,2014,Aug,450002,212.3,-,-,-,BEDOK,1.3119,103.9234,FRANKEL,EAST
