index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1255,2013,Jan,330053,-,-,-,366.7,KALLANG,1.3246,103.8683,GEYLANG BAHRU,CENTRAL
1256,2013,Jan,330054,-,-,-,341.5,KALLANG,1.3237,103.8679,GEYLANG BAHRU,CENTRAL
1257,2013,Jan,330055,-,-,-,361.0,KALLANG,1.3243,103.8687,GEYLANG BAHRU,CENTRAL
1258,2013,Jan,330056,-,-,-,353.0,KALLANG,1.3236,103.8681,GEYLANG BAHRU,CENTRAL
1259,2013,Jan,330057,-,265.0,-,404.4,KALLANG,1.3231,103.8687,GEYLANG BAHRU,CENTRAL
1260,2013,Jan,330058,-,-,321.0,363.9,KALLANG,1.3233,103.8682,GEYLANG BAHRU,CENTRAL
1261,2013,Jan,330059,-,-,310.9,403.8,KALLANG,1.3232,103.8683,GEYLANG BAHRU,CENTRAL
1262,2013,Jan,330060,-,-,387.9,437.1,KALLANG,1.3227,103.8691,GEYLANG BAHRU,CENTRAL
1263,2013,Jan,330061,111.7,-,-,-,KALLANG,1.3224,103.8692,GEYLANG BAHRU,CENTRAL
1264,2013,Jan,330062,122.3,-,-,-,KALLANG,1.3219,103.8684,GEYLANG BAHRU,CENTRAL
1265,2013,Jan,330063,-,321.6,-,543.8,KALLANG,1.3216,103.8685,GEYLANG BAHRU,CENTRAL
1266,2013,Jan,330064,-,306.1,-,585.3,KALLANG,1.3209,103.8685,GEYLANG BAHRU,CENTRAL
1267,2013,Jan,330065,-,321.6,-,593.7,KALLANG,1.3203,103.8686,GEYLANG BAHRU,CENTRAL
1268,2013,Jan,330066,-,405.6,-,-,KALLANG,1.3208,103.8699,GEYLANG BAHRU,CENTRAL
1269,2013,Jan,330067,-,327.3,-,-,KALLANG,1.3215,103.8689,GEYLANG BAHRU,CENTRAL
1270,2013,Jan,330068,-,278.1,-,657.0,KALLANG,1.3222,103.87,GEYLANG BAHRU,CENTRAL
1271,2013,Jan,330072,-,255.6,-,380.5,KALLANG,1.3219,103.8716,GEYLANG BAHRU,CENTRAL
1272,2013,Jan,330093,-,246.8,-,-,KALLANG,1.3223,103.8715,GEYLANG BAHRU,CENTRAL
1273,2013,Jan,330094,-,231.7,284.7,-,KALLANG,1.3228,103.8712,GEYLANG BAHRU,CENTRAL
1274,2013,Jan,330095,-,235.1,-,-,KALLANG,1.3229,103.8712,GEYLANG BAHRU,CENTRAL
1275,2013,Jan,330096,-,190.9,-,-,KALLANG,1.3233,103.8705,GEYLANG BAHRU,CENTRAL
1276,2013,Jan,330097,-,240.6,-,-,KALLANG,1.3237,103.8704,GEYLANG BAHRU,CENTRAL
1279,2013,Jan,331059,-,-,349.0,428.3,KALLANG,1.3223,103.8682,GEYLANG BAHRU,CENTRAL
1281,2013,Jan,332059,-,-,357.3,441.6,KALLANG,1.3222,103.8686,GEYLANG BAHRU,CENTRAL
9912,2013,Feb,330053,-,-,-,428.0,KALLANG,1.3246,103.8683,GEYLANG BAHRU,CENTRAL
9913,2013,Feb,330054,-,-,-,388.8,KALLANG,1.3237,103.8679,GEYLANG BAHRU,CENTRAL
9914,2013,Feb,330055,-,-,-,398.7,KALLANG,1.3243,103.8687,GEYLANG BAHRU,CENTRAL
9915,2013,Feb,330056,-,-,-,425.9,KALLANG,1.3236,103.8681,GEYLANG BAHRU,CENTRAL
9916,2013,Feb,330057,-,294.9,-,437.2,KALLANG,1.3231,103.8687,GEYLANG BAHRU,CENTRAL
9917,2013,Feb,330058,-,-,346.0,404.5,KALLANG,1.3233,103.8682,GEYLANG BAHRU,CENTRAL
9918,2013,Feb,330059,-,-,329.6,438.6,KALLANG,1.3232,103.8683,GEYLANG BAHRU,CENTRAL
9919,2013,Feb,330060,-,-,414.1,461.1,KALLANG,1.3227,103.8691,GEYLANG BAHRU,CENTRAL
9920,2013,Feb,330061,118.1,-,-,-,KALLANG,1.3224,103.8692,GEYLANG BAHRU,CENTRAL
9921,2013,Feb,330062,125.2,-,-,-,KALLANG,1.3219,103.8684,GEYLANG BAHRU,CENTRAL
9922,2013,Feb,330063,-,274.7,-,504.2,KALLANG,1.3216,103.8685,GEYLANG BAHRU,CENTRAL
9923,2013,Feb,330064,-,252.3,-,415.0,KALLANG,1.3209,103.8685,GEYLANG BAHRU,CENTRAL
9924,2013,Feb,330065,-,281.5,-,542.3,KALLANG,1.3203,103.8686,GEYLANG BAHRU,CENTRAL
9925,2013,Feb,330066,-,333.6,-,-,KALLANG,1.3208,103.8699,GEYLANG BAHRU,CENTRAL
9926,2013,Feb,330067,-,299.4,-,-,KALLANG,1.3215,103.8689,GEYLANG BAHRU,CENTRAL
9927,2013,Feb,330068,-,296.5,-,706.9,KALLANG,1.3222,103.87,GEYLANG BAHRU,CENTRAL
9928,2013,Feb,330072,-,266.4,-,395.0,KALLANG,1.3219,103.8716,GEYLANG BAHRU,CENTRAL
9929,2013,Feb,330093,-,251.3,-,-,KALLANG,1.3223,103.8715,GEYLANG BAHRU,CENTRAL
9930,2013,Feb,330094,-,260.6,353.1,-,KALLANG,1.3228,103.8712,GEYLANG BAHRU,CENTRAL
9931,2013,Feb,330095,-,276.8,-,-,KALLANG,1.3229,103.8712,GEYLANG BAHRU,CENTRAL
