index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1511,2013,Jan,400001,188.8,-,-,-,GEYLANG,1.3207,103.9023,GEYLANG EAST,CENTRAL
1512,2013,Jan,400002,193.0,-,-,-,GEYLANG,1.3207,103.9027,GEYLANG EAST,CENTRAL
1513,2013,Jan,400009,-,-,355.7,-,GEYLANG,1.3219999999999998,103.9027,GEYLANG EAST,CENTRAL
1514,2013,Jan,400010,-,-,369.3,-,GEYLANG,1.3225,103.9027,GEYLANG EAST,CENTRAL
1515,2013,Jan,400011,-,-,370.1,-,GEYLANG,1.3216,103.9044,GEYLANG EAST,CENTRAL
1516,2013,Jan,400012,175.8,-,-,-,GEYLANG,1.3224,103.9041,GEYLANG EAST,CENTRAL
1517,2013,Jan,400013,-,-,302.9,423.4,GEYLANG,1.3226,103.9038,GEYLANG EAST,CENTRAL
1518,2013,Jan,400014,-,-,322.2,407.2,GEYLANG,1.3232,103.9038,GEYLANG EAST,CENTRAL
1519,2013,Jan,400015,-,-,387.1,427.1,GEYLANG,1.324,103.9033,GEYLANG EAST,CENTRAL
1520,2013,Jan,400017,-,275.7,-,434.3,GEYLANG,1.3232,103.9043,GEYLANG EAST,CENTRAL
1521,2013,Jan,400018,-,260.1,-,680.0,GEYLANG,1.3232,103.9045,GEYLANG EAST,CENTRAL
1522,2013,Jan,400020,-,297.8,-,451.3,GEYLANG,1.3241,103.9034,GEYLANG EAST,CENTRAL
1523,2013,Jan,400022,-,-,434.8,464.4,GEYLANG,1.3242,103.9021,GEYLANG EAST,CENTRAL
1524,2013,Jan,400023,-,-,355.1,406.9,GEYLANG,1.3242,103.9022,GEYLANG EAST,CENTRAL
1525,2013,Jan,400024,-,271.2,-,595.5,GEYLANG,1.3239,103.9022,GEYLANG EAST,CENTRAL
1526,2013,Jan,400031,175.1,289.3,385.4,-,GEYLANG,1.3203,103.9019,GEYLANG EAST,CENTRAL
1527,2013,Jan,400032,138.2,223.1,411.4,-,GEYLANG,1.3202,103.9014,GEYLANG EAST,CENTRAL
1528,2013,Jan,400033,136.1,242.4,404.6,-,GEYLANG,1.3201,103.9008,GEYLANG EAST,CENTRAL
1529,2013,Jan,400034,-,250.0,359.3,492.4,GEYLANG,1.3211,103.901,GEYLANG EAST,CENTRAL
1530,2013,Jan,400035,-,267.7,356.4,451.9,GEYLANG,1.3212,103.9014,GEYLANG EAST,CENTRAL
1531,2013,Jan,400036,-,215.0,378.8,497.6,GEYLANG,1.3213,103.9017,GEYLANG EAST,CENTRAL
1577,2013,Jan,400410,-,395.2,-,-,GEYLANG,1.319,103.8997,GEYLANG EAST,CENTRAL
1578,2013,Jan,400411,-,-,404.8,420.4,GEYLANG,1.3189,103.8994,GEYLANG EAST,CENTRAL
1579,2013,Jan,400412,-,-,472.7,442.0,GEYLANG,1.3189,103.8989,GEYLANG EAST,CENTRAL
1580,2013,Jan,400413,-,-,445.3,422.0,GEYLANG,1.3187,103.8991,GEYLANG EAST,CENTRAL
1581,2013,Jan,400414,-,317.6,-,-,GEYLANG,1.3182,103.8982,GEYLANG EAST,CENTRAL
1582,2013,Jan,400415,-,-,409.4,420.0,GEYLANG,1.3185,103.8976,GEYLANG EAST,CENTRAL
1583,2013,Jan,400416,-,336.8,-,-,GEYLANG,1.3184,103.8974,GEYLANG EAST,CENTRAL
1584,2013,Jan,400417,-,-,392.8,541.5,GEYLANG,1.3184,103.8969,GEYLANG EAST,CENTRAL
