index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6132,2013,Jan,650383,-,-,304.7,346.6,BUKIT BATOK,1.3623,103.7519,GOMBAK,WEST
6133,2013,Jan,650384,-,-,309.6,375.6,BUKIT BATOK,1.3632,103.7521,GOMBAK,WEST
6134,2013,Jan,650385,-,-,311.4,408.1,BUKIT BATOK,1.3636,103.7522,GOMBAK,WEST
6135,2013,Jan,650386,-,-,335.6,377.3,BUKIT BATOK,1.3637,103.7525,GOMBAK,WEST
6136,2013,Jan,650387,-,-,-,413.1,BUKIT BATOK,1.3647,103.7525,GOMBAK,WEST
6137,2013,Jan,650388,-,-,-,438.1,BUKIT BATOK,1.3646,103.7517,GOMBAK,WEST
6138,2013,Jan,650389,-,-,-,402.2,BUKIT BATOK,1.3655,103.7521,GOMBAK,WEST
6139,2013,Jan,650390,-,-,-,414.2,BUKIT BATOK,1.3654,103.7527,GOMBAK,WEST
6140,2013,Jan,650391,-,-,305.4,-,BUKIT BATOK,1.3661,103.7527,GOMBAK,WEST
6141,2013,Jan,650392,-,-,308.4,390.9,BUKIT BATOK,1.3657,103.7532,GOMBAK,WEST
6142,2013,Jan,650393,-,-,320.8,376.4,BUKIT BATOK,1.3666,103.7532,GOMBAK,WEST
6143,2013,Jan,650394,-,-,299.3,377.0,BUKIT BATOK,1.3666,103.7527,GOMBAK,WEST
6144,2013,Jan,650395,-,-,306.3,-,BUKIT BATOK,1.3662,103.7523,GOMBAK,WEST
14769,2013,Feb,650383,-,-,294.7,369.2,BUKIT BATOK,1.3623,103.7519,GOMBAK,WEST
14770,2013,Feb,650384,-,-,303.0,371.5,BUKIT BATOK,1.3632,103.7521,GOMBAK,WEST
14771,2013,Feb,650385,-,-,306.0,362.1,BUKIT BATOK,1.3636,103.7522,GOMBAK,WEST
14772,2013,Feb,650386,-,-,333.2,374.4,BUKIT BATOK,1.3637,103.7525,GOMBAK,WEST
14773,2013,Feb,650387,-,-,-,381.6,BUKIT BATOK,1.3647,103.7525,GOMBAK,WEST
14774,2013,Feb,650388,-,-,-,416.9,BUKIT BATOK,1.3646,103.7517,GOMBAK,WEST
14775,2013,Feb,650389,-,-,-,388.1,BUKIT BATOK,1.3655,103.7521,GOMBAK,WEST
14776,2013,Feb,650390,-,-,-,394.6,BUKIT BATOK,1.3654,103.7527,GOMBAK,WEST
14777,2013,Feb,650391,-,-,294.9,-,BUKIT BATOK,1.3661,103.7527,GOMBAK,WEST
14778,2013,Feb,650392,-,-,295.0,377.0,BUKIT BATOK,1.3657,103.7532,GOMBAK,WEST
14779,2013,Feb,650393,-,-,306.8,358.1,BUKIT BATOK,1.3666,103.7532,GOMBAK,WEST
14780,2013,Feb,650394,-,-,302.8,376.1,BUKIT BATOK,1.3666,103.7527,GOMBAK,WEST
14781,2013,Feb,650395,-,-,303.8,-,BUKIT BATOK,1.3662,103.7523,GOMBAK,WEST
23415,2013,Mar,650383,-,-,289.0,383.7,BUKIT BATOK,1.3623,103.7519,GOMBAK,WEST
23416,2013,Mar,650384,-,-,285.3,308.5,BUKIT BATOK,1.3632,103.7521,GOMBAK,WEST
23417,2013,Mar,650385,-,-,276.9,351.5,BUKIT BATOK,1.3636,103.7522,GOMBAK,WEST
23418,2013,Mar,650386,-,-,340.2,384.5,BUKIT BATOK,1.3637,103.7525,GOMBAK,WEST
23419,2013,Mar,650387,-,-,-,388.2,BUKIT BATOK,1.3647,103.7525,GOMBAK,WEST
23420,2013,Mar,650388,-,-,-,406.5,BUKIT BATOK,1.3646,103.7517,GOMBAK,WEST
23421,2013,Mar,650389,-,-,-,389.3,BUKIT BATOK,1.3655,103.7521,GOMBAK,WEST
23422,2013,Mar,650390,-,-,-,381.3,BUKIT BATOK,1.3654,103.7527,GOMBAK,WEST
23423,2013,Mar,650391,-,-,303.3,-,BUKIT BATOK,1.3661,103.7527,GOMBAK,WEST
