index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
551,2013,Jan,150091,195.7,-,-,-,BUKIT MERAH,1.2877,103.8214,HENDERSON HILL,CENTRAL
552,2013,Jan,150092,195.6,-,-,-,BUKIT MERAH,1.2866,103.8204,HENDERSON HILL,CENTRAL
553,2013,Jan,150093,189.6,-,-,-,BUKIT MERAH,1.2866,103.8204,HENDERSON HILL,CENTRAL
554,2013,Jan,150095,6.2,-,-,-,BUKIT MERAH,1.2871,103.8215,HENDERSON HILL,CENTRAL
555,2013,Jan,150101,-,-,382.9,-,BUKIT MERAH,1.2906,103.8214,HENDERSON HILL,CENTRAL
556,2013,Jan,150102,-,-,365.3,-,BUKIT MERAH,1.2905,103.8214,HENDERSON HILL,CENTRAL
557,2013,Jan,150103,-,-,328.6,-,BUKIT MERAH,1.29,103.8212,HENDERSON HILL,CENTRAL
558,2013,Jan,150104,-,-,308.7,-,BUKIT MERAH,1.2894,103.8211,HENDERSON HILL,CENTRAL
559,2013,Jan,150106,-,-,365.8,-,BUKIT MERAH,1.2894,103.8222,HENDERSON HILL,CENTRAL
560,2013,Jan,150110,-,-,285.7,-,BUKIT MERAH,1.287,103.8233,HENDERSON HILL,CENTRAL
561,2013,Jan,150111,-,-,293.5,-,BUKIT MERAH,1.2865,103.8238,HENDERSON HILL,CENTRAL
562,2013,Jan,150112,-,-,616.8,-,BUKIT MERAH,1.2862,103.8241,HENDERSON HILL,CENTRAL
563,2013,Jan,150114,-,254.8,-,-,BUKIT MERAH,1.2864,103.8225,HENDERSON HILL,CENTRAL
567,2013,Jan,150118,114.5,-,-,-,BUKIT MERAH,1.2843,103.8211,HENDERSON HILL,CENTRAL
570,2013,Jan,150128,-,252.6,-,738.3,BUKIT MERAH,1.283,103.8234,HENDERSON HILL,CENTRAL
571,2013,Jan,150129,-,228.6,-,448.6,BUKIT MERAH,1.2837,103.8232,HENDERSON HILL,CENTRAL
572,2013,Jan,150130,-,240.5,-,383.2,BUKIT MERAH,1.2848,103.8237,HENDERSON HILL,CENTRAL
604,2013,Jan,151116,-,241.3,-,-,BUKIT MERAH,1.2844,103.821,HENDERSON HILL,CENTRAL
605,2013,Jan,151117,112.4,-,-,-,BUKIT MERAH,1.2842,103.8218,HENDERSON HILL,CENTRAL
607,2013,Jan,151121,113.1,-,-,-,BUKIT MERAH,1.2833,103.8228,HENDERSON HILL,CENTRAL
608,2013,Jan,151123,105.9,-,-,-,BUKIT MERAH,1.2843,103.8233,HENDERSON HILL,CENTRAL
609,2013,Jan,151124,-,-,403.0,362.9,BUKIT MERAH,1.2849,103.8229,HENDERSON HILL,CENTRAL
610,2013,Jan,151125,-,-,323.4,445.7,BUKIT MERAH,1.2849,103.8238,HENDERSON HILL,CENTRAL
