index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
366,2013,Jan,140007,-,-,441.9,493.4,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
467,2013,Jan,141007,-,-,426.0,508.0,QUEENSTOWN,1.3067,103.7952,HOLLAND DRIVE,CENTRAL
913,2013,Jan,270030,-,-,384.4,439.2,QUEENSTOWN,1.3079,103.7966,HOLLAND DRIVE,CENTRAL
914,2013,Jan,270031,-,271.1,-,445.7,QUEENSTOWN,1.3071,103.7971,HOLLAND DRIVE,CENTRAL
915,2013,Jan,270032,-,250.7,-,636.2,QUEENSTOWN,1.3066,103.7966,HOLLAND DRIVE,CENTRAL
916,2013,Jan,270040,-,318.3,-,-,QUEENSTOWN,1.3076,103.7938,HOLLAND DRIVE,CENTRAL
917,2013,Jan,270041,-,288.1,-,-,QUEENSTOWN,1.3076,103.7935,HOLLAND DRIVE,CENTRAL
918,2013,Jan,270042,-,384.0,-,-,QUEENSTOWN,1.3078,103.793,HOLLAND DRIVE,CENTRAL
919,2013,Jan,270046,-,274.6,-,-,QUEENSTOWN,1.3087,103.7927,HOLLAND DRIVE,CENTRAL
920,2013,Jan,271001,122.8,-,-,-,QUEENSTOWN,1.3089,103.7965,HOLLAND DRIVE,CENTRAL
921,2013,Jan,271002,-,262.5,325.0,495.9,QUEENSTOWN,1.3096,103.7954,HOLLAND DRIVE,CENTRAL
922,2013,Jan,271003,-,-,352.9,440.1,QUEENSTOWN,1.3082,103.7968,HOLLAND DRIVE,CENTRAL
923,2013,Jan,271004,-,264.2,-,-,QUEENSTOWN,1.3083,103.7961,HOLLAND DRIVE,CENTRAL
924,2013,Jan,271006,-,269.0,362.7,397.7,QUEENSTOWN,1.3075,103.7957,HOLLAND DRIVE,CENTRAL
925,2013,Jan,271008,-,234.0,335.3,403.7,QUEENSTOWN,1.307,103.7938,HOLLAND DRIVE,CENTRAL
926,2013,Jan,271010,-,-,338.5,-,QUEENSTOWN,1.308,103.7944,HOLLAND DRIVE,CENTRAL
927,2013,Jan,271011,-,270.7,344.4,592.0,QUEENSTOWN,1.3088,103.7934,HOLLAND DRIVE,CENTRAL
928,2013,Jan,271013,-,263.4,350.5,649.8,QUEENSTOWN,1.3094,103.793,HOLLAND DRIVE,CENTRAL
929,2013,Jan,271020,-,-,-,420.4,QUEENSTOWN,1.3103,103.7921,HOLLAND DRIVE,CENTRAL
930,2013,Jan,271021,-,-,-,404.1,QUEENSTOWN,1.3108,103.7925,HOLLAND DRIVE,CENTRAL
933,2013,Jan,271030,-,-,383.5,382.1,QUEENSTOWN,1.3074,103.7971,HOLLAND DRIVE,CENTRAL
934,2013,Jan,272003,-,-,379.7,399.2,QUEENSTOWN,1.3084,103.797,HOLLAND DRIVE,CENTRAL
935,2013,Jan,272005,-,-,347.1,442.6,QUEENSTOWN,1.3077,103.796,HOLLAND DRIVE,CENTRAL
936,2013,Jan,272009,-,274.4,341.1,691.0,QUEENSTOWN,1.3078,103.7951,HOLLAND DRIVE,CENTRAL
937,2013,Jan,272012,-,260.0,353.3,484.0,QUEENSTOWN,1.3093,103.7951,HOLLAND DRIVE,CENTRAL
938,2013,Jan,272018,-,217.2,274.6,-,QUEENSTOWN,1.3111,103.7918,HOLLAND DRIVE,CENTRAL
939,2013,Jan,273018,-,221.0,296.1,-,QUEENSTOWN,1.3111,103.7916,HOLLAND DRIVE,CENTRAL
940,2013,Jan,274018,-,-,305.0,401.9,QUEENSTOWN,1.3104,103.7915,HOLLAND DRIVE,CENTRAL
941,2013,Jan,275018,-,-,303.3,402.6,QUEENSTOWN,1.3102,103.7925,HOLLAND DRIVE,CENTRAL
9011,2013,Feb,140007,-,-,362.7,460.6,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
9113,2013,Feb,141007,-,-,398.0,415.7,QUEENSTOWN,1.3067,103.7952,HOLLAND DRIVE,CENTRAL
9569,2013,Feb,270030,-,-,337.9,400.5,QUEENSTOWN,1.3079,103.7966,HOLLAND DRIVE,CENTRAL
9570,2013,Feb,270031,-,236.1,-,510.7,QUEENSTOWN,1.3071,103.7971,HOLLAND DRIVE,CENTRAL
9571,2013,Feb,270032,-,233.7,-,391.7,QUEENSTOWN,1.3066,103.7966,HOLLAND DRIVE,CENTRAL
9572,2013,Feb,270040,-,243.8,-,-,QUEENSTOWN,1.3076,103.7938,HOLLAND DRIVE,CENTRAL
9573,2013,Feb,270041,-,212.5,-,-,QUEENSTOWN,1.3076,103.7935,HOLLAND DRIVE,CENTRAL
9574,2013,Feb,270042,-,356.7,-,-,QUEENSTOWN,1.3078,103.793,HOLLAND DRIVE,CENTRAL
9575,2013,Feb,270046,-,258.6,-,-,QUEENSTOWN,1.3087,103.7927,HOLLAND DRIVE,CENTRAL
9576,2013,Feb,271001,113.8,-,-,-,QUEENSTOWN,1.3089,103.7965,HOLLAND DRIVE,CENTRAL
9577,2013,Feb,271002,-,218.2,313.6,406.0,QUEENSTOWN,1.3096,103.7954,HOLLAND DRIVE,CENTRAL
9578,2013,Feb,271003,-,-,332.8,374.3,QUEENSTOWN,1.3082,103.7968,HOLLAND DRIVE,CENTRAL
9579,2013,Feb,271004,-,246.1,-,-,QUEENSTOWN,1.3083,103.7961,HOLLAND DRIVE,CENTRAL
9580,2013,Feb,271006,-,251.0,323.1,274.7,QUEENSTOWN,1.3075,103.7957,HOLLAND DRIVE,CENTRAL
9581,2013,Feb,271008,-,221.5,298.4,389.2,QUEENSTOWN,1.307,103.7938,HOLLAND DRIVE,CENTRAL
9582,2013,Feb,271010,-,-,285.6,-,QUEENSTOWN,1.308,103.7944,HOLLAND DRIVE,CENTRAL
9583,2013,Feb,271011,-,238.1,287.9,509.3,QUEENSTOWN,1.3088,103.7934,HOLLAND DRIVE,CENTRAL
9584,2013,Feb,271013,-,206.5,271.9,572.8,QUEENSTOWN,1.3094,103.793,HOLLAND DRIVE,CENTRAL
9585,2013,Feb,271020,-,-,-,365.3,QUEENSTOWN,1.3103,103.7921,HOLLAND DRIVE,CENTRAL
9586,2013,Feb,271021,-,-,-,330.8,QUEENSTOWN,1.3108,103.7925,HOLLAND DRIVE,CENTRAL
9589,2013,Feb,271030,-,-,330.6,350.6,QUEENSTOWN,1.3074,103.7971,HOLLAND DRIVE,CENTRAL
9590,2013,Feb,272003,-,-,331.5,334.9,QUEENSTOWN,1.3084,103.797,HOLLAND DRIVE,CENTRAL
9591,2013,Feb,272005,-,-,324.3,379.4,QUEENSTOWN,1.3077,103.796,HOLLAND DRIVE,CENTRAL
9592,2013,Feb,272009,-,237.6,320.8,700.4,QUEENSTOWN,1.3078,103.7951,HOLLAND DRIVE,CENTRAL
9593,2013,Feb,272012,-,230.6,325.5,451.4,QUEENSTOWN,1.3093,103.7951,HOLLAND DRIVE,CENTRAL
9594,2013,Feb,272018,-,171.4,241.3,-,QUEENSTOWN,1.3111,103.7918,HOLLAND DRIVE,CENTRAL
9595,2013,Feb,273018,-,182.3,288.3,-,QUEENSTOWN,1.3111,103.7916,HOLLAND DRIVE,CENTRAL
9596,2013,Feb,274018,-,-,262.7,354.9,QUEENSTOWN,1.3104,103.7915,HOLLAND DRIVE,CENTRAL
9597,2013,Feb,275018,-,-,253.7,334.7,QUEENSTOWN,1.3102,103.7925,HOLLAND DRIVE,CENTRAL
17642,2013,Mar,140007,-,-,363.5,430.7,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
17744,2013,Mar,141007,-,-,372.4,417.3,QUEENSTOWN,1.3067,103.7952,HOLLAND DRIVE,CENTRAL
18198,2013,Mar,270030,-,-,326.2,378.8,QUEENSTOWN,1.3079,103.7966,HOLLAND DRIVE,CENTRAL
18199,2013,Mar,270031,-,238.9,-,431.7,QUEENSTOWN,1.3071,103.7971,HOLLAND DRIVE,CENTRAL
18200,2013,Mar,270032,-,216.8,-,464.0,QUEENSTOWN,1.3066,103.7966,HOLLAND DRIVE,CENTRAL
18201,2013,Mar,270040,-,276.4,-,-,QUEENSTOWN,1.3076,103.7938,HOLLAND DRIVE,CENTRAL
18202,2013,Mar,270041,-,245.1,-,-,QUEENSTOWN,1.3076,103.7935,HOLLAND DRIVE,CENTRAL
18203,2013,Mar,270042,-,322.6,-,-,QUEENSTOWN,1.3078,103.793,HOLLAND DRIVE,CENTRAL
18204,2013,Mar,270046,-,277.1,-,-,QUEENSTOWN,1.3087,103.7927,HOLLAND DRIVE,CENTRAL
18205,2013,Mar,271001,111.0,-,-,-,QUEENSTOWN,1.3089,103.7965,HOLLAND DRIVE,CENTRAL
18206,2013,Mar,271002,-,222.4,281.1,407.3,QUEENSTOWN,1.3096,103.7954,HOLLAND DRIVE,CENTRAL
18207,2013,Mar,271003,-,-,315.4,379.7,QUEENSTOWN,1.3082,103.7968,HOLLAND DRIVE,CENTRAL
18208,2013,Mar,271004,-,226.1,-,-,QUEENSTOWN,1.3083,103.7961,HOLLAND DRIVE,CENTRAL
18209,2013,Mar,271006,-,238.1,313.2,303.7,QUEENSTOWN,1.3075,103.7957,HOLLAND DRIVE,CENTRAL
18210,2013,Mar,271008,-,206.6,287.1,358.0,QUEENSTOWN,1.307,103.7938,HOLLAND DRIVE,CENTRAL
18211,2013,Mar,271010,-,-,279.7,-,QUEENSTOWN,1.308,103.7944,HOLLAND DRIVE,CENTRAL
18212,2013,Mar,271011,-,249.7,308.8,531.1,QUEENSTOWN,1.3088,103.7934,HOLLAND DRIVE,CENTRAL
18213,2013,Mar,271013,-,233.6,305.9,606.2,QUEENSTOWN,1.3094,103.793,HOLLAND DRIVE,CENTRAL
18214,2013,Mar,271020,-,-,-,385.5,QUEENSTOWN,1.3103,103.7921,HOLLAND DRIVE,CENTRAL
18215,2013,Mar,271021,-,-,-,361.6,QUEENSTOWN,1.3108,103.7925,HOLLAND DRIVE,CENTRAL
18218,2013,Mar,271030,-,-,323.3,331.0,QUEENSTOWN,1.3074,103.7971,HOLLAND DRIVE,CENTRAL
18219,2013,Mar,272003,-,-,319.1,332.7,QUEENSTOWN,1.3084,103.797,HOLLAND DRIVE,CENTRAL
18220,2013,Mar,272005,-,-,303.7,378.5,QUEENSTOWN,1.3077,103.796,HOLLAND DRIVE,CENTRAL
18221,2013,Mar,272009,-,233.3,292.2,631.1,QUEENSTOWN,1.3078,103.7951,HOLLAND DRIVE,CENTRAL
18222,2013,Mar,272012,-,224.9,307.9,422.4,QUEENSTOWN,1.3093,103.7951,HOLLAND DRIVE,CENTRAL
18223,2013,Mar,272018,-,191.4,258.5,-,QUEENSTOWN,1.3111,103.7918,HOLLAND DRIVE,CENTRAL
18224,2013,Mar,273018,-,198.3,293.6,-,QUEENSTOWN,1.3111,103.7916,HOLLAND DRIVE,CENTRAL
18225,2013,Mar,274018,-,-,279.3,370.0,QUEENSTOWN,1.3104,103.7915,HOLLAND DRIVE,CENTRAL
18226,2013,Mar,275018,-,-,273.5,362.6,QUEENSTOWN,1.3102,103.7925,HOLLAND DRIVE,CENTRAL
26288,2013,Apr,140007,-,-,517.2,509.4,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
26391,2013,Apr,141007,-,-,496.6,546.5,QUEENSTOWN,1.3067,103.7952,HOLLAND DRIVE,CENTRAL
26852,2013,Apr,270030,-,-,445.9,485.2,QUEENSTOWN,1.3079,103.7966,HOLLAND DRIVE,CENTRAL
26853,2013,Apr,270031,-,316.1,-,642.7,QUEENSTOWN,1.3071,103.7971,HOLLAND DRIVE,CENTRAL
26854,2013,Apr,270032,-,292.1,-,702.2,QUEENSTOWN,1.3066,103.7966,HOLLAND DRIVE,CENTRAL
26855,2013,Apr,270040,-,296.9,-,-,QUEENSTOWN,1.3076,103.7938,HOLLAND DRIVE,CENTRAL
26856,2013,Apr,270041,-,273.5,-,-,QUEENSTOWN,1.3076,103.7935,HOLLAND DRIVE,CENTRAL
26857,2013,Apr,270042,-,317.2,-,-,QUEENSTOWN,1.3078,103.793,HOLLAND DRIVE,CENTRAL
26858,2013,Apr,270046,-,268.5,-,-,QUEENSTOWN,1.3087,103.7927,HOLLAND DRIVE,CENTRAL
26859,2013,Apr,271001,133.2,-,-,-,QUEENSTOWN,1.3089,103.7965,HOLLAND DRIVE,CENTRAL
26860,2013,Apr,271002,-,288.9,346.2,536.6,QUEENSTOWN,1.3096,103.7954,HOLLAND DRIVE,CENTRAL
26861,2013,Apr,271003,-,-,412.0,473.1,QUEENSTOWN,1.3082,103.7968,HOLLAND DRIVE,CENTRAL
26862,2013,Apr,271004,-,293.9,-,-,QUEENSTOWN,1.3083,103.7961,HOLLAND DRIVE,CENTRAL
26863,2013,Apr,271006,-,305.9,375.0,447.7,QUEENSTOWN,1.3075,103.7957,HOLLAND DRIVE,CENTRAL
26864,2013,Apr,271008,-,267.6,380.8,541.3,QUEENSTOWN,1.307,103.7938,HOLLAND DRIVE,CENTRAL
26865,2013,Apr,271010,-,-,352.6,-,QUEENSTOWN,1.308,103.7944,HOLLAND DRIVE,CENTRAL
26866,2013,Apr,271011,-,245.7,279.3,402.9,QUEENSTOWN,1.3088,103.7934,HOLLAND DRIVE,CENTRAL
26867,2013,Apr,271013,-,245.7,308.7,566.0,QUEENSTOWN,1.3094,103.793,HOLLAND DRIVE,CENTRAL
26868,2013,Apr,271020,-,-,-,369.6,QUEENSTOWN,1.3103,103.7921,HOLLAND DRIVE,CENTRAL
26869,2013,Apr,271021,-,-,-,357.6,QUEENSTOWN,1.3108,103.7925,HOLLAND DRIVE,CENTRAL
26872,2013,Apr,271030,-,-,472.2,412.9,QUEENSTOWN,1.3074,103.7971,HOLLAND DRIVE,CENTRAL
26873,2013,Apr,272003,-,-,445.5,464.1,QUEENSTOWN,1.3084,103.797,HOLLAND DRIVE,CENTRAL
26874,2013,Apr,272005,-,-,428.2,487.0,QUEENSTOWN,1.3077,103.796,HOLLAND DRIVE,CENTRAL
26875,2013,Apr,272009,-,298.2,360.5,845.0,QUEENSTOWN,1.3078,103.7951,HOLLAND DRIVE,CENTRAL
26876,2013,Apr,272012,-,296.8,380.1,511.4,QUEENSTOWN,1.3093,103.7951,HOLLAND DRIVE,CENTRAL
26877,2013,Apr,272018,-,214.6,292.2,-,QUEENSTOWN,1.3111,103.7918,HOLLAND DRIVE,CENTRAL
26878,2013,Apr,273018,-,196.0,276.3,-,QUEENSTOWN,1.3111,103.7916,HOLLAND DRIVE,CENTRAL
26879,2013,Apr,274018,-,-,303.7,389.0,QUEENSTOWN,1.3104,103.7915,HOLLAND DRIVE,CENTRAL
26880,2013,Apr,275018,-,-,289.9,391.6,QUEENSTOWN,1.3102,103.7925,HOLLAND DRIVE,CENTRAL
34982,2013,May,140007,-,-,469.8,502.0,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
35085,2013,May,141007,-,-,464.6,509.9,QUEENSTOWN,1.3067,103.7952,HOLLAND DRIVE,CENTRAL
35542,2013,May,270030,-,-,404.1,461.5,QUEENSTOWN,1.3079,103.7966,HOLLAND DRIVE,CENTRAL
35543,2013,May,270031,-,290.9,-,574.3,QUEENSTOWN,1.3071,103.7971,HOLLAND DRIVE,CENTRAL
35544,2013,May,270032,-,269.3,-,623.3,QUEENSTOWN,1.3066,103.7966,HOLLAND DRIVE,CENTRAL
35545,2013,May,270040,-,311.1,-,-,QUEENSTOWN,1.3076,103.7938,HOLLAND DRIVE,CENTRAL
35546,2013,May,270041,-,284.0,-,-,QUEENSTOWN,1.3076,103.7935,HOLLAND DRIVE,CENTRAL
35547,2013,May,270042,-,375.9,-,-,QUEENSTOWN,1.3078,103.793,HOLLAND DRIVE,CENTRAL
35548,2013,May,270046,-,299.8,-,-,QUEENSTOWN,1.3087,103.7927,HOLLAND DRIVE,CENTRAL
35549,2013,May,271001,130.9,-,-,-,QUEENSTOWN,1.3089,103.7965,HOLLAND DRIVE,CENTRAL
35550,2013,May,271002,-,274.1,340.1,504.5,QUEENSTOWN,1.3096,103.7954,HOLLAND DRIVE,CENTRAL
35551,2013,May,271003,-,-,380.5,450.2,QUEENSTOWN,1.3082,103.7968,HOLLAND DRIVE,CENTRAL
35552,2013,May,271004,-,277.0,-,-,QUEENSTOWN,1.3083,103.7961,HOLLAND DRIVE,CENTRAL
35553,2013,May,271006,-,288.1,370.1,401.3,QUEENSTOWN,1.3075,103.7957,HOLLAND DRIVE,CENTRAL
35554,2013,May,271008,-,251.1,347.8,480.7,QUEENSTOWN,1.307,103.7938,HOLLAND DRIVE,CENTRAL
35555,2013,May,271010,-,-,340.6,-,QUEENSTOWN,1.308,103.7944,HOLLAND DRIVE,CENTRAL
35556,2013,May,271011,-,265.0,330.0,546.0,QUEENSTOWN,1.3088,103.7934,HOLLAND DRIVE,CENTRAL
35557,2013,May,271013,-,258.9,343.3,667.0,QUEENSTOWN,1.3094,103.793,HOLLAND DRIVE,CENTRAL
35558,2013,May,271020,-,-,-,414.3,QUEENSTOWN,1.3103,103.7921,HOLLAND DRIVE,CENTRAL
35559,2013,May,271021,-,-,-,391.3,QUEENSTOWN,1.3108,103.7925,HOLLAND DRIVE,CENTRAL
35562,2013,May,271030,-,-,425.2,397.5,QUEENSTOWN,1.3074,103.7971,HOLLAND DRIVE,CENTRAL
35563,2013,May,272003,-,-,395.8,424.8,QUEENSTOWN,1.3084,103.797,HOLLAND DRIVE,CENTRAL
35564,2013,May,272005,-,-,393.6,464.0,QUEENSTOWN,1.3077,103.796,HOLLAND DRIVE,CENTRAL
35565,2013,May,272009,-,283.5,347.8,760.7,QUEENSTOWN,1.3078,103.7951,HOLLAND DRIVE,CENTRAL
35566,2013,May,272012,-,278.8,365.8,499.3,QUEENSTOWN,1.3093,103.7951,HOLLAND DRIVE,CENTRAL
35567,2013,May,272018,-,221.4,302.2,-,QUEENSTOWN,1.3111,103.7918,HOLLAND DRIVE,CENTRAL
35568,2013,May,273018,-,213.9,311.9,-,QUEENSTOWN,1.3111,103.7916,HOLLAND DRIVE,CENTRAL
35569,2013,May,274018,-,-,316.2,413.1,QUEENSTOWN,1.3104,103.7915,HOLLAND DRIVE,CENTRAL
35570,2013,May,275018,-,-,305.7,409.1,QUEENSTOWN,1.3102,103.7925,HOLLAND DRIVE,CENTRAL
43572,2013,Jun,140007,-,-,435.6,454.0,QUEENSTOWN,1.3064,103.7948,HOLLAND DRIVE,CENTRAL
