index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5348,2013,Jan,640401,-,-,409.1,469.1,JURONG WEST,1.3537,103.7212,HONG KAH,WEST
5349,2013,Jan,640402,-,-,363.1,487.1,JURONG WEST,1.3536,103.7224,HONG KAH,WEST
5350,2013,Jan,640403,-,-,385.6,-,JURONG WEST,1.3537,103.7214,HONG KAH,WEST
5351,2013,Jan,640404,-,-,382.5,502.6,JURONG WEST,1.3537,103.7221,HONG KAH,WEST
5352,2013,Jan,640405,-,-,-,487.0,JURONG WEST,1.3545,103.7218,HONG KAH,WEST
5353,2013,Jan,640406,-,-,399.0,-,JURONG WEST,1.3545,103.7224,HONG KAH,WEST
5354,2013,Jan,640407,-,-,-,541.3,JURONG WEST,1.3546,103.7216,HONG KAH,WEST
5355,2013,Jan,640408,-,-,451.5,475.0,JURONG WEST,1.3546,103.723,HONG KAH,WEST
5356,2013,Jan,640409,-,-,-,523.4,JURONG WEST,1.354,103.7253,HONG KAH,WEST
5357,2013,Jan,640410,-,-,-,494.0,JURONG WEST,1.3536,103.7264,HONG KAH,WEST
5358,2013,Jan,640411,-,-,397.7,-,JURONG WEST,1.3536,103.725,HONG KAH,WEST
5359,2013,Jan,640412,-,-,363.8,-,JURONG WEST,1.3537,103.7259,HONG KAH,WEST
5360,2013,Jan,640413,-,-,392.4,-,JURONG WEST,1.3529,103.7254,HONG KAH,WEST
5361,2013,Jan,640414,-,-,365.4,-,JURONG WEST,1.3530000000000002,103.7261,HONG KAH,WEST
5362,2013,Jan,640415,-,-,356.5,447.6,JURONG WEST,1.3530000000000002,103.7249,HONG KAH,WEST
5363,2013,Jan,640416,-,-,397.3,490.3,JURONG WEST,1.3527,103.7257,HONG KAH,WEST
5364,2013,Jan,640417,-,284.8,402.2,-,JURONG WEST,1.3513,103.7263,HONG KAH,WEST
5365,2013,Jan,640418,-,233.4,510.7,-,JURONG WEST,1.3511,103.7266,HONG KAH,WEST
5366,2013,Jan,640419,-,-,361.4,-,JURONG WEST,1.3511,103.7272,HONG KAH,WEST
5367,2013,Jan,640420,-,-,359.0,-,JURONG WEST,1.3507,103.7272,HONG KAH,WEST
5368,2013,Jan,640421,-,297.9,383.9,-,JURONG WEST,1.3504,103.7274,HONG KAH,WEST
5369,2013,Jan,640422,-,283.9,374.3,-,JURONG WEST,1.3505,103.7264,HONG KAH,WEST
5370,2013,Jan,640423,-,331.2,419.0,-,JURONG WEST,1.3508,103.7254,HONG KAH,WEST
5371,2013,Jan,640424,-,332.0,531.8,-,JURONG WEST,1.3511,103.7248,HONG KAH,WEST
5372,2013,Jan,640425,-,282.7,-,-,JURONG WEST,1.3507,103.724,HONG KAH,WEST
5373,2013,Jan,640426,-,-,358.6,479.3,JURONG WEST,1.3515,103.7251,HONG KAH,WEST
5374,2013,Jan,640427,-,-,500.2,506.7,JURONG WEST,1.3507,103.7258,HONG KAH,WEST
5375,2013,Jan,640428,-,328.3,468.6,-,JURONG WEST,1.3517,103.7252,HONG KAH,WEST
5376,2013,Jan,640429,-,326.9,332.8,-,JURONG WEST,1.3515,103.7243,HONG KAH,WEST
5377,2013,Jan,640431,-,307.3,411.0,-,JURONG WEST,1.352,103.725,HONG KAH,WEST
5378,2013,Jan,640432,-,283.9,378.7,-,JURONG WEST,1.3526,103.7241,HONG KAH,WEST
5379,2013,Jan,640433,-,343.3,362.9,-,JURONG WEST,1.3526,103.723,HONG KAH,WEST
5380,2013,Jan,640434,-,253.6,433.9,-,JURONG WEST,1.3531,103.7226,HONG KAH,WEST
