index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6060,2013,Jan,650301,-,-,314.1,322.1,BUKIT BATOK,1.3571,103.7487,HONG KAH NORTH,WEST
6061,2013,Jan,650303,-,-,427.2,368.6,BUKIT BATOK,1.3576,103.7481,HONG KAH NORTH,WEST
6062,2013,Jan,650304,-,224.4,353.0,-,BUKIT BATOK,1.3576,103.7479,HONG KAH NORTH,WEST
6063,2013,Jan,650305,-,243.2,338.3,-,BUKIT BATOK,1.358,103.7479,HONG KAH NORTH,WEST
6064,2013,Jan,650306,-,305.8,298.2,-,BUKIT BATOK,1.3584,103.7477,HONG KAH NORTH,WEST
6065,2013,Jan,650307,-,239.9,386.7,-,BUKIT BATOK,1.3581,103.7481,HONG KAH NORTH,WEST
6066,2013,Jan,650308,-,212.9,276.7,-,BUKIT BATOK,1.3584,103.7481,HONG KAH NORTH,WEST
6067,2013,Jan,650309,-,240.4,423.2,-,BUKIT BATOK,1.3583,103.7487,HONG KAH NORTH,WEST
6068,2013,Jan,650310,-,242.8,344.6,-,BUKIT BATOK,1.3597,103.749,HONG KAH NORTH,WEST
6069,2013,Jan,650311,-,274.3,328.1,-,BUKIT BATOK,1.36,103.7483,HONG KAH NORTH,WEST
6070,2013,Jan,650312,-,216.6,335.4,-,BUKIT BATOK,1.36,103.7473,HONG KAH NORTH,WEST
6071,2013,Jan,650313,-,226.4,340.3,-,BUKIT BATOK,1.3601,103.7478,HONG KAH NORTH,WEST
6072,2013,Jan,650315,-,-,359.8,477.3,BUKIT BATOK,1.3603,103.7465,HONG KAH NORTH,WEST
6073,2013,Jan,650316,-,220.3,362.0,-,BUKIT BATOK,1.3605,103.7468,HONG KAH NORTH,WEST
6074,2013,Jan,650317,-,230.0,424.8,-,BUKIT BATOK,1.3608,103.7476,HONG KAH NORTH,WEST
6075,2013,Jan,650318,-,256.8,373.9,-,BUKIT BATOK,1.3608,103.747,HONG KAH NORTH,WEST
6076,2013,Jan,650319,-,-,396.2,406.3,BUKIT BATOK,1.3612,103.7465,HONG KAH NORTH,WEST
6077,2013,Jan,650320,-,292.8,457.6,-,BUKIT BATOK,1.3613,103.7468,HONG KAH NORTH,WEST
6078,2013,Jan,650321,-,257.1,345.2,-,BUKIT BATOK,1.3612,103.7473,HONG KAH NORTH,WEST
6079,2013,Jan,650322,-,290.5,348.9,-,BUKIT BATOK,1.3616,103.7475,HONG KAH NORTH,WEST
6080,2013,Jan,650323,-,281.6,-,-,BUKIT BATOK,1.3614,103.7481,HONG KAH NORTH,WEST
6081,2013,Jan,650324,-,235.1,318.9,-,BUKIT BATOK,1.3623,103.7478,HONG KAH NORTH,WEST
6082,2013,Jan,650325,-,-,342.4,380.0,BUKIT BATOK,1.3623,103.7471,HONG KAH NORTH,WEST
6083,2013,Jan,650326,-,-,-,565.1,BUKIT BATOK,1.3626,103.7481,HONG KAH NORTH,WEST
6084,2013,Jan,650327,-,236.3,361.9,-,BUKIT BATOK,1.3629,103.748,HONG KAH NORTH,WEST
6085,2013,Jan,650328,-,204.6,386.8,-,BUKIT BATOK,1.3629,103.748,HONG KAH NORTH,WEST
