index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3660,2013,Jan,530806,-,281.1,497.6,-,HOUGANG,1.3711,103.8941,HOUGANG CENTRAL,NORTH-EAST
3661,2013,Jan,530809,-,197.5,300.2,-,HOUGANG,1.3713,103.8939,HOUGANG CENTRAL,NORTH-EAST
3662,2013,Jan,530811,-,281.5,-,-,HOUGANG,1.3717,103.8939,HOUGANG CENTRAL,NORTH-EAST
3663,2013,Jan,530830,-,-,380.1,339.2,HOUGANG,1.371,103.8904,HOUGANG CENTRAL,NORTH-EAST
3664,2013,Jan,530831,-,-,391.8,541.8,HOUGANG,1.3713,103.8902,HOUGANG CENTRAL,NORTH-EAST
3665,2013,Jan,530832,-,-,364.2,532.5,HOUGANG,1.3705,103.8898,HOUGANG CENTRAL,NORTH-EAST
3666,2013,Jan,530833,-,-,-,562.1,HOUGANG,1.3706,103.8895,HOUGANG CENTRAL,NORTH-EAST
3667,2013,Jan,530834,-,-,-,553.6,HOUGANG,1.3697,103.89,HOUGANG CENTRAL,NORTH-EAST
3668,2013,Jan,530835,-,-,363.7,350.7,HOUGANG,1.3704,103.89,HOUGANG CENTRAL,NORTH-EAST
3669,2013,Jan,530836,-,-,352.6,415.0,HOUGANG,1.3699,103.8908,HOUGANG CENTRAL,NORTH-EAST
3670,2013,Jan,530837,-,-,332.9,433.6,HOUGANG,1.3694,103.8913,HOUGANG CENTRAL,NORTH-EAST
3671,2013,Jan,530838,-,-,422.4,512.4,HOUGANG,1.3702,103.8914,HOUGANG CENTRAL,NORTH-EAST
3672,2013,Jan,530850,-,-,-,626.6,HOUGANG,1.37,103.8938,HOUGANG CENTRAL,NORTH-EAST
3673,2013,Jan,530851,-,-,-,569.6,HOUGANG,1.3701,103.8938,HOUGANG CENTRAL,NORTH-EAST
3674,2013,Jan,530852,-,-,-,499.3,HOUGANG,1.3699,103.8938,HOUGANG CENTRAL,NORTH-EAST
3675,2013,Jan,530853,-,-,-,591.0,HOUGANG,1.3696,103.8942,HOUGANG CENTRAL,NORTH-EAST
12306,2013,Feb,530806,-,249.0,392.6,-,HOUGANG,1.3711,103.8941,HOUGANG CENTRAL,NORTH-EAST
12307,2013,Feb,530809,-,172.5,220.0,-,HOUGANG,1.3713,103.8939,HOUGANG CENTRAL,NORTH-EAST
12308,2013,Feb,530811,-,266.4,-,-,HOUGANG,1.3717,103.8939,HOUGANG CENTRAL,NORTH-EAST
12309,2013,Feb,530830,-,-,268.0,343.5,HOUGANG,1.371,103.8904,HOUGANG CENTRAL,NORTH-EAST
12310,2013,Feb,530831,-,-,320.2,500.0,HOUGANG,1.3713,103.8902,HOUGANG CENTRAL,NORTH-EAST
12311,2013,Feb,530832,-,-,271.4,336.6,HOUGANG,1.3705,103.8898,HOUGANG CENTRAL,NORTH-EAST
12312,2013,Feb,530833,-,-,-,426.8,HOUGANG,1.3706,103.8895,HOUGANG CENTRAL,NORTH-EAST
12313,2013,Feb,530834,-,-,-,509.7,HOUGANG,1.3697,103.89,HOUGANG CENTRAL,NORTH-EAST
12314,2013,Feb,530835,-,-,331.0,327.1,HOUGANG,1.3704,103.89,HOUGANG CENTRAL,NORTH-EAST
12315,2013,Feb,530836,-,-,311.8,419.0,HOUGANG,1.3699,103.8908,HOUGANG CENTRAL,NORTH-EAST
12316,2013,Feb,530837,-,-,256.4,324.8,HOUGANG,1.3694,103.8913,HOUGANG CENTRAL,NORTH-EAST
12317,2013,Feb,530838,-,-,308.7,341.8,HOUGANG,1.3702,103.8914,HOUGANG CENTRAL,NORTH-EAST
12318,2013,Feb,530850,-,-,-,532.6,HOUGANG,1.37,103.8938,HOUGANG CENTRAL,NORTH-EAST
12319,2013,Feb,530851,-,-,-,404.1,HOUGANG,1.3701,103.8938,HOUGANG CENTRAL,NORTH-EAST
12320,2013,Feb,530852,-,-,-,463.5,HOUGANG,1.3699,103.8938,HOUGANG CENTRAL,NORTH-EAST
12321,2013,Feb,530853,-,-,-,429.0,HOUGANG,1.3696,103.8942,HOUGANG CENTRAL,NORTH-EAST
20945,2013,Mar,530806,-,265.1,444.8,-,HOUGANG,1.3711,103.8941,HOUGANG CENTRAL,NORTH-EAST
20946,2013,Mar,530809,-,185.1,260.2,-,HOUGANG,1.3713,103.8939,HOUGANG CENTRAL,NORTH-EAST
20947,2013,Mar,530811,-,284.8,-,-,HOUGANG,1.3717,103.8939,HOUGANG CENTRAL,NORTH-EAST
20948,2013,Mar,530830,-,-,321.6,407.5,HOUGANG,1.371,103.8904,HOUGANG CENTRAL,NORTH-EAST
20949,2013,Mar,530831,-,-,356.1,521.0,HOUGANG,1.3713,103.8902,HOUGANG CENTRAL,NORTH-EAST
20950,2013,Mar,530832,-,-,318.9,434.8,HOUGANG,1.3705,103.8898,HOUGANG CENTRAL,NORTH-EAST
20951,2013,Mar,530833,-,-,-,507.6,HOUGANG,1.3706,103.8895,HOUGANG CENTRAL,NORTH-EAST
20952,2013,Mar,530834,-,-,-,526.5,HOUGANG,1.3697,103.89,HOUGANG CENTRAL,NORTH-EAST
20953,2013,Mar,530835,-,-,355.7,342.8,HOUGANG,1.3704,103.89,HOUGANG CENTRAL,NORTH-EAST
20954,2013,Mar,530836,-,-,333.4,417.2,HOUGANG,1.3699,103.8908,HOUGANG CENTRAL,NORTH-EAST
20955,2013,Mar,530837,-,-,294.7,379.3,HOUGANG,1.3694,103.8913,HOUGANG CENTRAL,NORTH-EAST
20956,2013,Mar,530838,-,-,373.5,430.3,HOUGANG,1.3702,103.8914,HOUGANG CENTRAL,NORTH-EAST
20957,2013,Mar,530850,-,-,-,577.2,HOUGANG,1.37,103.8938,HOUGANG CENTRAL,NORTH-EAST
20958,2013,Mar,530851,-,-,-,491.3,HOUGANG,1.3701,103.8938,HOUGANG CENTRAL,NORTH-EAST
20959,2013,Mar,530852,-,-,-,449.0,HOUGANG,1.3699,103.8938,HOUGANG CENTRAL,NORTH-EAST
20960,2013,Mar,530853,-,-,-,528.9,HOUGANG,1.3696,103.8942,HOUGANG CENTRAL,NORTH-EAST
29617,2013,Apr,530806,-,358.9,447.0,-,HOUGANG,1.3711,103.8941,HOUGANG CENTRAL,NORTH-EAST
29618,2013,Apr,530809,-,266.6,374.2,-,HOUGANG,1.3713,103.8939,HOUGANG CENTRAL,NORTH-EAST
29619,2013,Apr,530811,-,324.0,-,-,HOUGANG,1.3717,103.8939,HOUGANG CENTRAL,NORTH-EAST
29620,2013,Apr,530830,-,-,435.9,514.1,HOUGANG,1.371,103.8904,HOUGANG CENTRAL,NORTH-EAST
29621,2013,Apr,530831,-,-,465.5,634.2,HOUGANG,1.3713,103.8902,HOUGANG CENTRAL,NORTH-EAST
29622,2013,Apr,530832,-,-,442.8,624.3,HOUGANG,1.3705,103.8898,HOUGANG CENTRAL,NORTH-EAST
29623,2013,Apr,530833,-,-,-,699.2,HOUGANG,1.3706,103.8895,HOUGANG CENTRAL,NORTH-EAST
29624,2013,Apr,530834,-,-,-,680.4,HOUGANG,1.3697,103.89,HOUGANG CENTRAL,NORTH-EAST
29625,2013,Apr,530835,-,-,431.2,480.5,HOUGANG,1.3704,103.89,HOUGANG CENTRAL,NORTH-EAST
