index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3408,2013,Jan,530401,-,250.9,376.8,-,HOUGANG,1.3747,103.897,HOUGANG EAST,NORTH-EAST
3409,2013,Jan,530402,-,-,385.7,-,HOUGANG,1.3743,103.8967,HOUGANG EAST,NORTH-EAST
3410,2013,Jan,530403,-,326.0,428.4,-,HOUGANG,1.3746,103.8962,HOUGANG EAST,NORTH-EAST
3411,2013,Jan,530404,-,298.9,452.4,-,HOUGANG,1.3739,103.8956,HOUGANG EAST,NORTH-EAST
3412,2013,Jan,530405,-,-,412.9,-,HOUGANG,1.3742,103.8964,HOUGANG EAST,NORTH-EAST
3413,2013,Jan,530406,-,-,350.6,-,HOUGANG,1.3735,103.8962,HOUGANG EAST,NORTH-EAST
3414,2013,Jan,530407,-,-,-,576.1,HOUGANG,1.3732,103.8958,HOUGANG EAST,NORTH-EAST
3415,2013,Jan,530408,-,-,394.2,384.5,HOUGANG,1.3728,103.8952,HOUGANG EAST,NORTH-EAST
3416,2013,Jan,530409,-,-,358.8,393.5,HOUGANG,1.3742,103.8951,HOUGANG EAST,NORTH-EAST
3417,2013,Jan,530410,-,302.0,415.3,-,HOUGANG,1.374,103.8944,HOUGANG EAST,NORTH-EAST
3418,2013,Jan,530411,-,-,402.2,-,HOUGANG,1.374,103.8953,HOUGANG EAST,NORTH-EAST
3419,2013,Jan,530412,-,274.2,442.6,-,HOUGANG,1.3749,103.8952,HOUGANG EAST,NORTH-EAST
3420,2013,Jan,530413,-,-,392.9,-,HOUGANG,1.3744,103.8957,HOUGANG EAST,NORTH-EAST
3421,2013,Jan,530414,-,-,343.5,-,HOUGANG,1.375,103.896,HOUGANG EAST,NORTH-EAST
3422,2013,Jan,530415,-,241.1,350.7,-,HOUGANG,1.3753,103.8961,HOUGANG EAST,NORTH-EAST
3423,2013,Jan,530416,-,-,427.4,448.1,HOUGANG,1.3753,103.896,HOUGANG EAST,NORTH-EAST
3424,2013,Jan,530417,-,-,390.9,497.7,HOUGANG,1.3764,103.8949,HOUGANG EAST,NORTH-EAST
3425,2013,Jan,530418,-,-,455.7,389.6,HOUGANG,1.3766,103.8957,HOUGANG EAST,NORTH-EAST
3426,2013,Jan,530419,-,-,432.5,440.1,HOUGANG,1.3762,103.8952,HOUGANG EAST,NORTH-EAST
3427,2013,Jan,530420,-,-,397.8,553.8,HOUGANG,1.3753,103.8955,HOUGANG EAST,NORTH-EAST
3428,2013,Jan,530421,-,-,461.1,486.2,HOUGANG,1.3756,103.8946,HOUGANG EAST,NORTH-EAST
3429,2013,Jan,530422,-,-,386.5,472.9,HOUGANG,1.3745,103.8942,HOUGANG EAST,NORTH-EAST
3430,2013,Jan,530423,-,-,426.1,548.6,HOUGANG,1.3743,103.894,HOUGANG EAST,NORTH-EAST
3431,2013,Jan,530424,-,-,391.5,571.0,HOUGANG,1.374,103.8933,HOUGANG EAST,NORTH-EAST
3432,2013,Jan,530425,-,-,376.6,345.1,HOUGANG,1.3735,103.8935,HOUGANG EAST,NORTH-EAST
3433,2013,Jan,530426,-,-,405.6,459.8,HOUGANG,1.3737,103.8932,HOUGANG EAST,NORTH-EAST
