index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3475,2013,Jan,530501,-,275.6,-,-,HOUGANG,1.3723,103.8867,HOUGANG WEST,NORTH-EAST
3476,2013,Jan,530502,-,-,352.2,444.2,HOUGANG,1.3727,103.887,HOUGANG WEST,NORTH-EAST
3477,2013,Jan,530503,-,-,397.1,484.9,HOUGANG,1.3735,103.8876,HOUGANG WEST,NORTH-EAST
3478,2013,Jan,530504,-,-,392.1,434.6,HOUGANG,1.3734,103.8881,HOUGANG WEST,NORTH-EAST
3479,2013,Jan,530505,-,292.3,391.5,-,HOUGANG,1.3731,103.8876,HOUGANG WEST,NORTH-EAST
3480,2013,Jan,530506,-,-,380.7,-,HOUGANG,1.3727,103.8877,HOUGANG WEST,NORTH-EAST
3481,2013,Jan,530507,-,-,410.6,-,HOUGANG,1.3726,103.8876,HOUGANG WEST,NORTH-EAST
3482,2013,Jan,530508,-,-,-,537.8,HOUGANG,1.3719,103.8878,HOUGANG WEST,NORTH-EAST
3483,2013,Jan,530509,-,-,361.0,-,HOUGANG,1.3722,103.888,HOUGANG WEST,NORTH-EAST
3484,2013,Jan,530510,-,-,478.2,-,HOUGANG,1.3722,103.888,HOUGANG WEST,NORTH-EAST
3485,2013,Jan,530511,-,263.9,360.5,-,HOUGANG,1.3719,103.8886,HOUGANG WEST,NORTH-EAST
3486,2013,Jan,530512,-,-,396.6,463.6,HOUGANG,1.3715,103.8886,HOUGANG WEST,NORTH-EAST
3487,2013,Jan,530513,-,-,413.4,400.8,HOUGANG,1.3722,103.8896,HOUGANG WEST,NORTH-EAST
3488,2013,Jan,530514,-,330.5,470.3,-,HOUGANG,1.3721,103.8893,HOUGANG WEST,NORTH-EAST
3489,2013,Jan,530515,-,-,420.8,-,HOUGANG,1.3725,103.889,HOUGANG WEST,NORTH-EAST
3490,2013,Jan,530516,-,-,371.9,-,HOUGANG,1.3726,103.889,HOUGANG WEST,NORTH-EAST
3491,2013,Jan,530517,-,311.8,423.9,-,HOUGANG,1.3727,103.8898,HOUGANG WEST,NORTH-EAST
3492,2013,Jan,530520,-,265.9,475.2,-,HOUGANG,1.3736,103.8902,HOUGANG WEST,NORTH-EAST
3493,2013,Jan,530521,-,-,353.4,412.9,HOUGANG,1.3733,103.8906,HOUGANG WEST,NORTH-EAST
3494,2013,Jan,530522,-,-,-,492.2,HOUGANG,1.3739,103.892,HOUGANG WEST,NORTH-EAST
3495,2013,Jan,530523,-,256.8,406.4,-,HOUGANG,1.3736,103.8908,HOUGANG WEST,NORTH-EAST
3496,2013,Jan,530524,-,232.6,415.2,-,HOUGANG,1.374,103.8905,HOUGANG WEST,NORTH-EAST
3497,2013,Jan,530525,-,-,406.2,494.8,HOUGANG,1.375,103.8913,HOUGANG WEST,NORTH-EAST
3498,2013,Jan,530526,-,-,411.3,461.4,HOUGANG,1.3742,103.8902,HOUGANG WEST,NORTH-EAST
3499,2013,Jan,530527,-,-,357.5,432.9,HOUGANG,1.375,103.8903,HOUGANG WEST,NORTH-EAST
