index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1327,2013,Jan,360003,-,225.5,-,-,TOA PAYOH,1.3339,103.8799,JOO SENG,CENTRAL
1328,2013,Jan,360005,-,219.9,325.0,-,TOA PAYOH,1.3338,103.8798,JOO SENG,CENTRAL
1329,2013,Jan,360008,-,-,-,456.3,TOA PAYOH,1.3353,103.8787,JOO SENG,CENTRAL
1330,2013,Jan,360010,-,-,-,465.9,TOA PAYOH,1.3345,103.8803,JOO SENG,CENTRAL
1331,2013,Jan,360011,-,-,-,352.4,TOA PAYOH,1.3349,103.8805,JOO SENG,CENTRAL
1332,2013,Jan,360012,-,-,358.4,460.9,TOA PAYOH,1.3356,103.8788,JOO SENG,CENTRAL
1333,2013,Jan,360013,-,-,405.7,-,TOA PAYOH,1.3357,103.8792,JOO SENG,CENTRAL
1334,2013,Jan,360014,-,-,417.1,392.0,TOA PAYOH,1.3362,103.8799,JOO SENG,CENTRAL
1335,2013,Jan,360015,-,-,366.0,-,TOA PAYOH,1.3356,103.8801,JOO SENG,CENTRAL
1336,2013,Jan,360016,-,-,389.0,465.9,TOA PAYOH,1.3367,103.8804,JOO SENG,CENTRAL
1337,2013,Jan,360017,-,-,383.8,-,TOA PAYOH,1.3364,103.8809,JOO SENG,CENTRAL
1338,2013,Jan,360018,-,-,380.9,-,TOA PAYOH,1.3367,103.8812,JOO SENG,CENTRAL
1339,2013,Jan,360019,-,-,-,403.0,TOA PAYOH,1.3347,103.8809,JOO SENG,CENTRAL
1340,2013,Jan,360020,-,-,-,532.2,TOA PAYOH,1.3346,103.8809,JOO SENG,CENTRAL
1341,2013,Jan,360021,-,-,-,466.5,TOA PAYOH,1.3341,103.881,JOO SENG,CENTRAL
9983,2013,Feb,360003,-,239.2,-,-,TOA PAYOH,1.3339,103.8799,JOO SENG,CENTRAL
9984,2013,Feb,360005,-,233.4,390.3,-,TOA PAYOH,1.3338,103.8798,JOO SENG,CENTRAL
9985,2013,Feb,360008,-,-,-,422.9,TOA PAYOH,1.3353,103.8787,JOO SENG,CENTRAL
9986,2013,Feb,360010,-,-,-,380.4,TOA PAYOH,1.3345,103.8803,JOO SENG,CENTRAL
9987,2013,Feb,360011,-,-,-,326.1,TOA PAYOH,1.3349,103.8805,JOO SENG,CENTRAL
9988,2013,Feb,360012,-,-,309.7,410.4,TOA PAYOH,1.3356,103.8788,JOO SENG,CENTRAL
