index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5488,2013,Jan,640601,-,-,291.3,428.3,JURONG WEST,1.3401,103.7003,JURONG WEST CENTRAL,WEST
5489,2013,Jan,640602,-,-,376.9,397.9,JURONG WEST,1.3392,103.7001,JURONG WEST CENTRAL,WEST
5490,2013,Jan,640603,-,-,408.5,416.4,JURONG WEST,1.3389,103.7002,JURONG WEST CENTRAL,WEST
5491,2013,Jan,640604,-,-,345.8,404.1,JURONG WEST,1.3387,103.7002,JURONG WEST CENTRAL,WEST
5492,2013,Jan,640605,-,-,300.7,371.6,JURONG WEST,1.3386,103.6993,JURONG WEST CENTRAL,WEST
5493,2013,Jan,640606,-,-,380.6,405.0,JURONG WEST,1.3383,103.6993,JURONG WEST CENTRAL,WEST
5494,2013,Jan,640607,-,-,267.0,405.2,JURONG WEST,1.3379,103.6996,JURONG WEST CENTRAL,WEST
5495,2013,Jan,640608,-,-,263.1,413.7,JURONG WEST,1.3379,103.7002,JURONG WEST CENTRAL,WEST
5496,2013,Jan,640609,-,-,356.5,463.9,JURONG WEST,1.3379,103.7004,JURONG WEST CENTRAL,WEST
5497,2013,Jan,640610,-,-,280.0,370.5,JURONG WEST,1.3382,103.7011,JURONG WEST CENTRAL,WEST
5498,2013,Jan,640611,-,-,323.1,379.6,JURONG WEST,1.339,103.701,JURONG WEST CENTRAL,WEST
5499,2013,Jan,640612,-,-,287.9,370.3,JURONG WEST,1.3394,103.7009,JURONG WEST CENTRAL,WEST
5500,2013,Jan,640613,-,-,302.2,373.6,JURONG WEST,1.3401,103.7006,JURONG WEST CENTRAL,WEST
5501,2013,Jan,640617,-,-,299.4,-,JURONG WEST,1.3409,103.7007,JURONG WEST CENTRAL,WEST
5502,2013,Jan,640618,-,-,321.6,312.2,JURONG WEST,1.3414,103.7004,JURONG WEST CENTRAL,WEST
5503,2013,Jan,640619,-,-,336.0,328.2,JURONG WEST,1.3413,103.6998,JURONG WEST CENTRAL,WEST
5504,2013,Jan,640620,-,-,306.9,336.1,JURONG WEST,1.3408,103.6994,JURONG WEST CENTRAL,WEST
5505,2013,Jan,640621,-,-,332.1,-,JURONG WEST,1.3408,103.6996,JURONG WEST CENTRAL,WEST
