index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1619,2013,Jan,410633,-,-,-,435.9,BEDOK,1.3306,103.9051,KAKI BUKIT,EAST
1620,2013,Jan,410634,-,-,-,486.8,BEDOK,1.3301,103.9052,KAKI BUKIT,EAST
1621,2013,Jan,410635,-,-,-,490.5,BEDOK,1.3309,103.9047,KAKI BUKIT,EAST
1622,2013,Jan,410636,-,-,-,393.5,BEDOK,1.331,103.9043,KAKI BUKIT,EAST
1623,2013,Jan,410637,-,-,-,440.4,BEDOK,1.3311,103.904,KAKI BUKIT,EAST
1624,2013,Jan,410638,-,-,-,399.3,BEDOK,1.3318,103.9048,KAKI BUKIT,EAST
1625,2013,Jan,410639,-,-,-,446.6,BEDOK,1.3318,103.9048,KAKI BUKIT,EAST
1626,2013,Jan,410640,-,-,-,377.4,BEDOK,1.3311,103.9042,KAKI BUKIT,EAST
1627,2013,Jan,410641,-,-,-,358.5,BEDOK,1.3316,103.9051,KAKI BUKIT,EAST
1628,2013,Jan,410642,-,-,-,425.2,BEDOK,1.3312,103.9054,KAKI BUKIT,EAST
1629,2013,Jan,410643,-,-,-,430.9,BEDOK,1.3309,103.9053,KAKI BUKIT,EAST
1630,2013,Jan,410644,-,-,-,403.4,BEDOK,1.3306,103.9055,KAKI BUKIT,EAST
1631,2013,Jan,410645,-,-,-,385.8,BEDOK,1.3317,103.907,KAKI BUKIT,EAST
1632,2013,Jan,410646,-,-,376.3,434.6,BEDOK,1.3313,103.9062,KAKI BUKIT,EAST
1633,2013,Jan,410647,-,-,269.0,347.0,BEDOK,1.3318,103.9058,KAKI BUKIT,EAST
1634,2013,Jan,410648,-,-,296.9,384.6,BEDOK,1.3323,103.9057,KAKI BUKIT,EAST
1635,2013,Jan,410649,-,-,-,372.2,BEDOK,1.3324,103.9063,KAKI BUKIT,EAST
1636,2013,Jan,410650,-,-,347.6,364.6,BEDOK,1.3321,103.9077,KAKI BUKIT,EAST
1637,2013,Jan,410651,-,-,301.5,443.9,BEDOK,1.3322,103.9072,KAKI BUKIT,EAST
1638,2013,Jan,410652,-,-,-,396.1,BEDOK,1.3325,103.9076,KAKI BUKIT,EAST
1639,2013,Jan,410653,-,-,-,357.6,BEDOK,1.3329,103.9072,KAKI BUKIT,EAST
1640,2013,Jan,410654,-,-,319.5,374.3,BEDOK,1.3329,103.907,KAKI BUKIT,EAST
1641,2013,Jan,410655,-,-,357.4,367.5,BEDOK,1.3334,103.9067,KAKI BUKIT,EAST
1642,2013,Jan,410656,-,-,356.2,368.3,BEDOK,1.3335,103.9074,KAKI BUKIT,EAST
1643,2013,Jan,410657,-,-,312.1,408.2,BEDOK,1.3341,103.9072,KAKI BUKIT,EAST
1644,2013,Jan,410658,-,-,313.4,372.4,BEDOK,1.3335,103.9065,KAKI BUKIT,EAST
1645,2013,Jan,410659,-,-,333.1,449.1,BEDOK,1.3342,103.9063,KAKI BUKIT,EAST
1646,2013,Jan,410660,-,-,316.3,377.0,BEDOK,1.3343,103.907,KAKI BUKIT,EAST
1647,2013,Jan,410661,-,-,-,512.1,BEDOK,1.3345,103.9081,KAKI BUKIT,EAST
1648,2013,Jan,410662,-,-,-,423.5,BEDOK,1.3343,103.9084,KAKI BUKIT,EAST
1649,2013,Jan,410663,-,-,-,391.1,BEDOK,1.3346,103.9088,KAKI BUKIT,EAST
1650,2013,Jan,410664,-,-,-,401.2,BEDOK,1.3342,103.9088,KAKI BUKIT,EAST
1651,2013,Jan,410665,-,-,-,398.5,BEDOK,1.3342,103.9081,KAKI BUKIT,EAST
1652,2013,Jan,410666,-,-,257.1,351.0,BEDOK,1.3342,103.908,KAKI BUKIT,EAST
1653,2013,Jan,410667,-,-,300.9,486.8,BEDOK,1.3338,103.9091,KAKI BUKIT,EAST
1654,2013,Jan,410668,-,-,339.8,333.6,BEDOK,1.3334,103.9087,KAKI BUKIT,EAST
1655,2013,Jan,410669,-,-,-,377.4,BEDOK,1.3336,103.9084,KAKI BUKIT,EAST
1656,2013,Jan,410670,-,-,-,334.4,BEDOK,1.3326,103.9087,KAKI BUKIT,EAST
1657,2013,Jan,410671,-,-,303.5,398.6,BEDOK,1.3324,103.9094,KAKI BUKIT,EAST
1658,2013,Jan,410672,-,-,356.6,380.6,BEDOK,1.3323,103.9085,KAKI BUKIT,EAST
2020,2013,Jan,470101,-,-,332.1,484.5,BEDOK,1.3289,103.9097,KAKI BUKIT,EAST
2021,2013,Jan,470102,-,333.2,436.3,-,BEDOK,1.3284,103.9092,KAKI BUKIT,EAST
2022,2013,Jan,470103,-,249.9,394.9,-,BEDOK,1.3289,103.9093,KAKI BUKIT,EAST
2023,2013,Jan,470104,-,-,568.8,456.2,BEDOK,1.3294,103.9089,KAKI BUKIT,EAST
2024,2013,Jan,470105,-,273.3,413.0,-,BEDOK,1.329,103.9091,KAKI BUKIT,EAST
2025,2013,Jan,470106,-,-,402.0,-,BEDOK,1.3294,103.9093,KAKI BUKIT,EAST
2026,2013,Jan,470107,-,254.4,418.0,-,BEDOK,1.3298,103.9092,KAKI BUKIT,EAST
2027,2013,Jan,470108,-,288.4,-,-,BEDOK,1.3301,103.9095,KAKI BUKIT,EAST
2028,2013,Jan,470109,-,302.1,383.9,-,BEDOK,1.3293,103.9097,KAKI BUKIT,EAST
2029,2013,Jan,470110,-,-,390.6,-,BEDOK,1.33,103.9106,KAKI BUKIT,EAST
2030,2013,Jan,470111,-,281.6,360.1,-,BEDOK,1.3303,103.9101,KAKI BUKIT,EAST
2031,2013,Jan,470112,-,-,442.4,440.3,BEDOK,1.3299,103.9105,KAKI BUKIT,EAST
