index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1532,2013,Jan,400301,-,326.8,430.2,-,GEYLANG,1.3309,103.9019,KAMPONG UBI,CENTRAL
1533,2013,Jan,400302,-,331.3,524.6,-,GEYLANG,1.3304,103.9013,KAMPONG UBI,CENTRAL
1534,2013,Jan,400304,-,334.7,447.0,-,GEYLANG,1.3297,103.9014,KAMPONG UBI,CENTRAL
1535,2013,Jan,400305,-,304.7,428.4,-,GEYLANG,1.3294,103.9023,KAMPONG UBI,CENTRAL
1536,2013,Jan,400311,-,-,327.2,406.5,GEYLANG,1.3299,103.9031,KAMPONG UBI,CENTRAL
1537,2013,Jan,400312,-,260.9,321.3,-,GEYLANG,1.3301,103.9033,KAMPONG UBI,CENTRAL
1538,2013,Jan,400313,-,-,380.9,-,GEYLANG,1.3292,103.9039,KAMPONG UBI,CENTRAL
1539,2013,Jan,400314,-,-,422.4,-,GEYLANG,1.3291,103.9033,KAMPONG UBI,CENTRAL
1540,2013,Jan,400315,-,-,374.1,-,GEYLANG,1.3294,103.9031,KAMPONG UBI,CENTRAL
1541,2013,Jan,400316,-,281.7,-,-,GEYLANG,1.3293,103.9025,KAMPONG UBI,CENTRAL
1542,2013,Jan,400317,-,212.6,243.8,-,GEYLANG,1.3287,103.9027,KAMPONG UBI,CENTRAL
1543,2013,Jan,400318,-,-,373.7,-,GEYLANG,1.3286,103.9033,KAMPONG UBI,CENTRAL
1544,2013,Jan,400319,-,-,382.9,-,GEYLANG,1.3281,103.9036,KAMPONG UBI,CENTRAL
1545,2013,Jan,400320,-,-,366.5,-,GEYLANG,1.3286,103.9043,KAMPONG UBI,CENTRAL
1546,2013,Jan,400321,-,309.0,183.4,-,GEYLANG,1.3279,103.9039,KAMPONG UBI,CENTRAL
1547,2013,Jan,400322,-,-,348.0,406.9,GEYLANG,1.3281,103.9049,KAMPONG UBI,CENTRAL
1548,2013,Jan,400323,-,-,349.8,-,GEYLANG,1.3279,103.9045,KAMPONG UBI,CENTRAL
1549,2013,Jan,400324,-,-,376.2,-,GEYLANG,1.3284,103.9041,KAMPONG UBI,CENTRAL
1550,2013,Jan,400325,-,265.1,497.4,-,GEYLANG,1.3278,103.9039,KAMPONG UBI,CENTRAL
1551,2013,Jan,400326,-,-,-,450.2,GEYLANG,1.3271,103.9039,KAMPONG UBI,CENTRAL
1552,2013,Jan,400327,-,-,375.6,-,GEYLANG,1.327,103.9039,KAMPONG UBI,CENTRAL
1553,2013,Jan,400328,-,263.0,323.3,-,GEYLANG,1.3276,103.9046,KAMPONG UBI,CENTRAL
1554,2013,Jan,400329,-,-,408.5,486.4,GEYLANG,1.3272,103.9049,KAMPONG UBI,CENTRAL
1555,2013,Jan,400330,-,-,398.3,468.6,GEYLANG,1.3266,103.904,KAMPONG UBI,CENTRAL
1556,2013,Jan,400331,-,-,-,519.7,GEYLANG,1.3264,103.9026,KAMPONG UBI,CENTRAL
1557,2013,Jan,400332,-,-,-,496.4,GEYLANG,1.3269,103.9025,KAMPONG UBI,CENTRAL
1558,2013,Jan,400333,-,-,-,438.6,GEYLANG,1.3267,103.9032,KAMPONG UBI,CENTRAL
1559,2013,Jan,400334,-,-,-,494.2,GEYLANG,1.3265,103.903,KAMPONG UBI,CENTRAL
1560,2013,Jan,400335,-,-,-,466.5,GEYLANG,1.3259999999999998,103.9027,KAMPONG UBI,CENTRAL
1561,2013,Jan,400336,-,-,342.3,413.0,GEYLANG,1.3259,103.9021,KAMPONG UBI,CENTRAL
1562,2013,Jan,400337,-,-,420.4,458.6,GEYLANG,1.3259,103.9012,KAMPONG UBI,CENTRAL
1563,2013,Jan,400338,-,-,307.7,-,GEYLANG,1.3262,103.902,KAMPONG UBI,CENTRAL
1564,2013,Jan,400339,-,-,275.7,-,GEYLANG,1.3266,103.902,KAMPONG UBI,CENTRAL
1565,2013,Jan,400340,-,-,353.0,609.5,GEYLANG,1.3263,103.9011,KAMPONG UBI,CENTRAL
1566,2013,Jan,400341,-,-,297.7,-,GEYLANG,1.3267,103.9018,KAMPONG UBI,CENTRAL
1567,2013,Jan,400342,-,258.5,294.5,-,GEYLANG,1.3264,103.9011,KAMPONG UBI,CENTRAL
1568,2013,Jan,400343,-,-,333.6,-,GEYLANG,1.3267,103.9004,KAMPONG UBI,CENTRAL
1569,2013,Jan,400344,-,-,343.6,-,GEYLANG,1.3262,103.8995,KAMPONG UBI,CENTRAL
1570,2013,Jan,400345,-,-,391.9,-,GEYLANG,1.3259,103.899,KAMPONG UBI,CENTRAL
1571,2013,Jan,400346,-,-,389.6,-,GEYLANG,1.3261,103.8997,KAMPONG UBI,CENTRAL
1572,2013,Jan,400347,-,-,414.9,-,GEYLANG,1.3255,103.8997,KAMPONG UBI,CENTRAL
1573,2013,Jan,400348,-,-,402.7,-,GEYLANG,1.3263,103.9006,KAMPONG UBI,CENTRAL
1574,2013,Jan,400349,-,-,415.8,-,GEYLANG,1.3259,103.9005,KAMPONG UBI,CENTRAL
1575,2013,Jan,400351,-,-,399.7,528.8,GEYLANG,1.3256,103.9007,KAMPONG UBI,CENTRAL
1576,2013,Jan,400352,-,-,501.5,595.9,GEYLANG,1.3254,103.8997,KAMPONG UBI,CENTRAL
10189,2013,Feb,400301,-,343.9,467.1,-,GEYLANG,1.3309,103.9019,KAMPONG UBI,CENTRAL
10190,2013,Feb,400302,-,342.8,539.6,-,GEYLANG,1.3304,103.9013,KAMPONG UBI,CENTRAL
10191,2013,Feb,400304,-,349.3,521.8,-,GEYLANG,1.3297,103.9014,KAMPONG UBI,CENTRAL
10192,2013,Feb,400305,-,354.8,457.8,-,GEYLANG,1.3294,103.9023,KAMPONG UBI,CENTRAL
10193,2013,Feb,400311,-,-,351.8,463.9,GEYLANG,1.3299,103.9031,KAMPONG UBI,CENTRAL
10194,2013,Feb,400312,-,275.1,335.1,-,GEYLANG,1.3301,103.9033,KAMPONG UBI,CENTRAL
10195,2013,Feb,400313,-,-,425.9,-,GEYLANG,1.3292,103.9039,KAMPONG UBI,CENTRAL
10196,2013,Feb,400314,-,-,473.4,-,GEYLANG,1.3291,103.9033,KAMPONG UBI,CENTRAL
10197,2013,Feb,400315,-,-,411.9,-,GEYLANG,1.3294,103.9031,KAMPONG UBI,CENTRAL
10198,2013,Feb,400316,-,299.1,-,-,GEYLANG,1.3293,103.9025,KAMPONG UBI,CENTRAL
10199,2013,Feb,400317,-,247.4,272.1,-,GEYLANG,1.3287,103.9027,KAMPONG UBI,CENTRAL
10200,2013,Feb,400318,-,-,414.0,-,GEYLANG,1.3286,103.9033,KAMPONG UBI,CENTRAL
10201,2013,Feb,400319,-,-,415.2,-,GEYLANG,1.3281,103.9036,KAMPONG UBI,CENTRAL
10202,2013,Feb,400320,-,-,398.2,-,GEYLANG,1.3286,103.9043,KAMPONG UBI,CENTRAL
10203,2013,Feb,400321,-,350.4,335.3,-,GEYLANG,1.3279,103.9039,KAMPONG UBI,CENTRAL
10204,2013,Feb,400322,-,-,369.0,446.2,GEYLANG,1.3281,103.9049,KAMPONG UBI,CENTRAL
10205,2013,Feb,400323,-,-,371.8,-,GEYLANG,1.3279,103.9045,KAMPONG UBI,CENTRAL
10206,2013,Feb,400324,-,-,413.9,-,GEYLANG,1.3284,103.9041,KAMPONG UBI,CENTRAL
10207,2013,Feb,400326,-,-,-,535.6,GEYLANG,1.3271,103.9039,KAMPONG UBI,CENTRAL
10208,2013,Feb,400327,-,-,411.5,-,GEYLANG,1.327,103.9039,KAMPONG UBI,CENTRAL
10209,2013,Feb,400328,-,316.8,399.1,-,GEYLANG,1.3276,103.9046,KAMPONG UBI,CENTRAL
10210,2013,Feb,400329,-,-,438.2,547.3,GEYLANG,1.3272,103.9049,KAMPONG UBI,CENTRAL
10211,2013,Feb,400330,-,-,441.0,504.8,GEYLANG,1.3266,103.904,KAMPONG UBI,CENTRAL
10212,2013,Feb,400331,-,-,-,607.0,GEYLANG,1.3264,103.9026,KAMPONG UBI,CENTRAL
10213,2013,Feb,400332,-,-,-,594.3,GEYLANG,1.3269,103.9025,KAMPONG UBI,CENTRAL
10214,2013,Feb,400333,-,-,-,508.3,GEYLANG,1.3267,103.9032,KAMPONG UBI,CENTRAL
10215,2013,Feb,400334,-,-,-,514.5,GEYLANG,1.3265,103.903,KAMPONG UBI,CENTRAL
10216,2013,Feb,400335,-,-,-,526.5,GEYLANG,1.3259999999999998,103.9027,KAMPONG UBI,CENTRAL
10217,2013,Feb,400336,-,-,394.1,480.2,GEYLANG,1.3259,103.9021,KAMPONG UBI,CENTRAL
10218,2013,Feb,400337,-,-,449.0,521.2,GEYLANG,1.3259,103.9012,KAMPONG UBI,CENTRAL
10219,2013,Feb,400338,-,-,356.8,-,GEYLANG,1.3262,103.902,KAMPONG UBI,CENTRAL
10220,2013,Feb,400339,-,-,347.0,-,GEYLANG,1.3266,103.902,KAMPONG UBI,CENTRAL
