index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3246,2013,Jan,530001,-,230.1,-,326.0,HOUGANG,1.3639,103.8926,KANGKAR,NORTH-EAST
3247,2013,Jan,530002,-,211.7,-,524.5,HOUGANG,1.3630000000000002,103.8929,KANGKAR,NORTH-EAST
3248,2013,Jan,530006,-,236.0,-,-,HOUGANG,1.3627,103.8941,KANGKAR,NORTH-EAST
3249,2013,Jan,530007,-,196.3,-,-,HOUGANG,1.3622,103.8935,KANGKAR,NORTH-EAST
3259,2013,Jan,530024,-,230.9,-,-,HOUGANG,1.3654,103.8922,KANGKAR,NORTH-EAST
3260,2013,Jan,530025,129.3,-,-,-,HOUGANG,1.3655,103.8913,KANGKAR,NORTH-EAST
3350,2013,Jan,530301,-,186.2,284.9,-,HOUGANG,1.368,103.8942,KANGKAR,NORTH-EAST
3351,2013,Jan,530302,-,-,349.0,363.6,HOUGANG,1.3682,103.8943,KANGKAR,NORTH-EAST
3352,2013,Jan,530303,-,271.1,331.5,-,HOUGANG,1.3682,103.8946,KANGKAR,NORTH-EAST
3353,2013,Jan,530304,-,243.7,-,-,HOUGANG,1.3676,103.895,KANGKAR,NORTH-EAST
3354,2013,Jan,530305,-,328.2,-,-,HOUGANG,1.3671,103.8946,KANGKAR,NORTH-EAST
3355,2013,Jan,530306,-,-,398.0,346.8,HOUGANG,1.3674,103.8955,KANGKAR,NORTH-EAST
3356,2013,Jan,530307,-,215.6,-,-,HOUGANG,1.3668,103.8949,KANGKAR,NORTH-EAST
3357,2013,Jan,530308,-,222.7,-,-,HOUGANG,1.3666,103.8957,KANGKAR,NORTH-EAST
3358,2013,Jan,530309,-,221.4,-,-,HOUGANG,1.3661,103.8951,KANGKAR,NORTH-EAST
3359,2013,Jan,530310,-,-,328.5,366.0,HOUGANG,1.3665,103.8961,KANGKAR,NORTH-EAST
3360,2013,Jan,530311,-,224.2,255.9,-,HOUGANG,1.3655,103.8949,KANGKAR,NORTH-EAST
3361,2013,Jan,530312,-,-,-,334.8,HOUGANG,1.3646,103.8943,KANGKAR,NORTH-EAST
3362,2013,Jan,530313,146.1,84.9,-,-,HOUGANG,1.3654,103.8948,KANGKAR,NORTH-EAST
3363,2013,Jan,530314,-,-,344.7,-,HOUGANG,1.3646,103.8944,KANGKAR,NORTH-EAST
3364,2013,Jan,530316,107.7,149.7,-,-,HOUGANG,1.3648,103.897,KANGKAR,NORTH-EAST
3365,2013,Jan,530317,-,246.6,307.7,-,HOUGANG,1.3652,103.8965,KANGKAR,NORTH-EAST
3366,2013,Jan,530318,-,245.5,280.1,-,HOUGANG,1.366,103.8962,KANGKAR,NORTH-EAST
3367,2013,Jan,530319,-,235.5,339.0,-,HOUGANG,1.366,103.8975,KANGKAR,NORTH-EAST
3368,2013,Jan,530320,-,-,416.5,465.1,HOUGANG,1.3666,103.8982,KANGKAR,NORTH-EAST
3369,2013,Jan,530321,-,238.5,378.0,-,HOUGANG,1.3669,103.8981,KANGKAR,NORTH-EAST
3370,2013,Jan,530322,-,240.2,328.0,-,HOUGANG,1.3669,103.8968,KANGKAR,NORTH-EAST
3371,2013,Jan,530323,-,346.0,355.1,-,HOUGANG,1.3672,103.8977,KANGKAR,NORTH-EAST
3372,2013,Jan,530324,-,-,389.2,-,HOUGANG,1.3674,103.8974,KANGKAR,NORTH-EAST
3373,2013,Jan,530325,-,-,356.9,435.3,HOUGANG,1.3677,103.8988,KANGKAR,NORTH-EAST
3374,2013,Jan,530326,-,-,399.5,-,HOUGANG,1.368,103.8985,KANGKAR,NORTH-EAST
