index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6606,2013,Jan,680204,-,-,-,539.5,CHOA CHU KANG,1.3764,103.7442,KEAT HONG,WEST
6641,2013,Jan,680248,-,-,377.7,460.5,CHOA CHU KANG,1.3792,103.7462,KEAT HONG,WEST
6642,2013,Jan,680249,-,-,391.8,443.3,CHOA CHU KANG,1.3797,103.745,KEAT HONG,WEST
6643,2013,Jan,680250,-,-,410.9,436.1,CHOA CHU KANG,1.3793,103.7454,KEAT HONG,WEST
6644,2013,Jan,680251,-,-,404.5,427.8,CHOA CHU KANG,1.3782,103.7446,KEAT HONG,WEST
6645,2013,Jan,680252,-,-,357.3,340.5,CHOA CHU KANG,1.3781,103.7452,KEAT HONG,WEST
6646,2013,Jan,680254,-,-,377.2,392.2,CHOA CHU KANG,1.3784,103.744,KEAT HONG,WEST
6647,2013,Jan,680271,-,-,-,497.0,CHOA CHU KANG,1.3788,103.7423,KEAT HONG,WEST
6648,2013,Jan,680272,-,-,-,532.2,CHOA CHU KANG,1.3788,103.7429,KEAT HONG,WEST
6649,2013,Jan,680273,-,-,-,464.8,CHOA CHU KANG,1.3792,103.7429,KEAT HONG,WEST
6650,2013,Jan,680274,-,-,-,424.4,CHOA CHU KANG,1.3793,103.7428,KEAT HONG,WEST
6651,2013,Jan,680275,-,-,-,530.0,CHOA CHU KANG,1.3793,103.7424,KEAT HONG,WEST
6652,2013,Jan,680276,-,-,457.5,416.1,CHOA CHU KANG,1.3795,103.7443,KEAT HONG,WEST
6653,2013,Jan,680277,-,-,395.4,420.1,CHOA CHU KANG,1.3799,103.7449,KEAT HONG,WEST
6654,2013,Jan,680278,-,-,427.0,560.0,CHOA CHU KANG,1.3801,103.7435,KEAT HONG,WEST
6655,2013,Jan,680279,-,-,413.4,725.3,CHOA CHU KANG,1.3807,103.7433,KEAT HONG,WEST
6656,2013,Jan,680280,-,-,361.2,-,CHOA CHU KANG,1.3808,103.7429,KEAT HONG,WEST
