index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4382,2013,Jan,560101,-,-,355.0,431.6,ANG MO KIO,1.3704,103.8394,KEBUN BAHRU,NORTH-EAST
4383,2013,Jan,560102,-,-,354.7,421.3,ANG MO KIO,1.3705,103.8394,KEBUN BAHRU,NORTH-EAST
4384,2013,Jan,560103,-,276.6,-,-,ANG MO KIO,1.3705,103.8394,KEBUN BAHRU,NORTH-EAST
4385,2013,Jan,560104,-,-,-,515.1,ANG MO KIO,1.3717,103.839,KEBUN BAHRU,NORTH-EAST
4386,2013,Jan,560105,-,-,361.8,-,ANG MO KIO,1.3718,103.8374,KEBUN BAHRU,NORTH-EAST
4387,2013,Jan,560106,-,266.8,-,-,ANG MO KIO,1.3718,103.8374,KEBUN BAHRU,NORTH-EAST
4388,2013,Jan,560107,-,318.3,-,-,ANG MO KIO,1.3715,103.8373,KEBUN BAHRU,NORTH-EAST
4389,2013,Jan,560108,-,288.1,-,-,ANG MO KIO,1.3708,103.8382,KEBUN BAHRU,NORTH-EAST
4390,2013,Jan,560109,-,271.6,340.9,-,ANG MO KIO,1.3703,103.838,KEBUN BAHRU,NORTH-EAST
4391,2013,Jan,560110,-,296.8,-,-,ANG MO KIO,1.3706,103.8374,KEBUN BAHRU,NORTH-EAST
4392,2013,Jan,560111,-,-,329.3,431.4,ANG MO KIO,1.3707,103.8373,KEBUN BAHRU,NORTH-EAST
4393,2013,Jan,560112,-,289.1,-,-,ANG MO KIO,1.3712,103.8365,KEBUN BAHRU,NORTH-EAST
4394,2013,Jan,560113,-,-,328.0,-,ANG MO KIO,1.372,103.836,KEBUN BAHRU,NORTH-EAST
4395,2013,Jan,560114,-,317.8,-,-,ANG MO KIO,1.3725,103.8361,KEBUN BAHRU,NORTH-EAST
4396,2013,Jan,560115,117.6,-,-,-,ANG MO KIO,1.3734,103.8366,KEBUN BAHRU,NORTH-EAST
4397,2013,Jan,560116,164.0,-,-,-,ANG MO KIO,1.3734,103.8365,KEBUN BAHRU,NORTH-EAST
4398,2013,Jan,560117,-,294.8,-,-,ANG MO KIO,1.3734,103.8352,KEBUN BAHRU,NORTH-EAST
4399,2013,Jan,560118,-,299.0,378.1,545.7,ANG MO KIO,1.3732,103.8354,KEBUN BAHRU,NORTH-EAST
