index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1604,2013,Jan,410102,-,-,393.7,508.5,BEDOK,1.3257,103.9108,KEMBANGAN,EAST
1605,2013,Jan,410103,-,-,459.5,513.7,BEDOK,1.3258,103.9107,KEMBANGAN,EAST
1606,2013,Jan,410104,-,-,-,617.7,BEDOK,1.3258,103.9111,KEMBANGAN,EAST
1607,2013,Jan,410105,-,-,-,678.5,BEDOK,1.3257,103.9101,KEMBANGAN,EAST
1608,2013,Jan,410106,-,-,-,563.8,BEDOK,1.3254,103.9098,KEMBANGAN,EAST
1609,2013,Jan,410107,-,-,-,696.9,BEDOK,1.325,103.9103,KEMBANGAN,EAST
1610,2013,Jan,410108,-,-,-,664.4,BEDOK,1.3248,103.9104,KEMBANGAN,EAST
1611,2013,Jan,410109,-,-,549.1,504.8,BEDOK,1.3248,103.9108,KEMBANGAN,EAST
1612,2013,Jan,410110,-,-,445.8,516.2,BEDOK,1.3237,103.9107,KEMBANGAN,EAST
1613,2013,Jan,410111,-,-,477.5,460.6,BEDOK,1.3241,103.9112,KEMBANGAN,EAST
1614,2013,Jan,410112,-,-,388.7,456.7,BEDOK,1.3237,103.9113,KEMBANGAN,EAST
1615,2013,Jan,410113,-,-,514.2,475.5,BEDOK,1.3235,103.9118,KEMBANGAN,EAST
1616,2013,Jan,410114,-,-,412.3,424.1,BEDOK,1.3233,103.9118,KEMBANGAN,EAST
1617,2013,Jan,410115,-,-,365.6,636.7,BEDOK,1.3229,103.9112,KEMBANGAN,EAST
1618,2013,Jan,410116,-,-,390.6,452.2,BEDOK,1.3226,103.9117,KEMBANGAN,EAST
1739,2013,Jan,460011,-,-,363.6,400.2,BEDOK,1.327,103.9245,KEMBANGAN,EAST
1750,2013,Jan,460024,127.1,-,-,-,BEDOK,1.3247,103.9225,KEMBANGAN,EAST
1751,2013,Jan,460025,-,-,322.9,417.0,BEDOK,1.3238,103.9241,KEMBANGAN,EAST
1752,2013,Jan,460026,-,-,310.6,459.6,BEDOK,1.3235,103.9236,KEMBANGAN,EAST
1753,2013,Jan,460027,-,-,353.9,326.5,BEDOK,1.324,103.9234,KEMBANGAN,EAST
1754,2013,Jan,460029,-,-,-,545.0,BEDOK,1.3246,103.9243,KEMBANGAN,EAST
1755,2013,Jan,460030,119.4,-,-,-,BEDOK,1.3249,103.925,KEMBANGAN,EAST
1775,2013,Jan,460051,-,-,381.8,402.4,BEDOK,1.329,103.9221,KEMBANGAN,EAST
1776,2013,Jan,460052,-,-,362.3,372.5,BEDOK,1.3289,103.921,KEMBANGAN,EAST
1777,2013,Jan,460053,-,-,388.8,414.9,BEDOK,1.3286,103.9199,KEMBANGAN,EAST
1778,2013,Jan,460054,-,255.3,-,-,BEDOK,1.3292,103.9212,KEMBANGAN,EAST
1779,2013,Jan,460055,-,267.8,-,-,BEDOK,1.3268,103.9186,KEMBANGAN,EAST
1780,2013,Jan,460056,-,-,345.6,-,BEDOK,1.3262,103.9201,KEMBANGAN,EAST
1781,2013,Jan,460057,-,316.1,389.6,-,BEDOK,1.3259999999999998,103.9202,KEMBANGAN,EAST
1782,2013,Jan,460058,-,251.5,-,-,BEDOK,1.3259,103.9199,KEMBANGAN,EAST
1783,2013,Jan,460059,-,252.8,-,-,BEDOK,1.3249,103.9204,KEMBANGAN,EAST
1784,2013,Jan,460060,-,183.5,349.1,-,BEDOK,1.3247,103.9211,KEMBANGAN,EAST
1785,2013,Jan,460061,-,-,355.6,-,BEDOK,1.3253,103.9208,KEMBANGAN,EAST
1786,2013,Jan,460062,-,-,316.4,358.1,BEDOK,1.3258,103.9212,KEMBANGAN,EAST
1787,2013,Jan,460063,-,-,362.7,424.0,BEDOK,1.3258,103.9216,KEMBANGAN,EAST
1965,2013,Jan,460803,-,-,-,411.8,BEDOK,1.3241,103.9229,KEMBANGAN,EAST
1966,2013,Jan,460804,-,-,-,397.0,BEDOK,1.3244,103.9223,KEMBANGAN,EAST
1967,2013,Jan,460805,-,-,-,464.8,BEDOK,1.3245,103.9217,KEMBANGAN,EAST
1968,2013,Jan,461001,-,-,411.7,443.8,BEDOK,1.3276,103.9224,KEMBANGAN,EAST
1969,2013,Jan,461002,-,315.5,399.1,370.9,BEDOK,1.3271,103.9224,KEMBANGAN,EAST
1971,2013,Jan,461022,132.5,-,-,-,BEDOK,1.3253,103.9217,KEMBANGAN,EAST
1972,2013,Jan,461023,122.7,-,-,-,BEDOK,1.3254,103.9229,KEMBANGAN,EAST
1974,2013,Jan,461029,-,-,-,509.4,BEDOK,1.3251,103.9239,KEMBANGAN,EAST
1976,2013,Jan,461031,137.8,-,-,-,BEDOK,1.3241,103.9252,KEMBANGAN,EAST
1977,2013,Jan,461033,-,-,-,351.3,BEDOK,1.3247,103.9257,KEMBANGAN,EAST
1978,2013,Jan,461034,-,-,-,396.6,BEDOK,1.3243,103.9269,KEMBANGAN,EAST
1979,2013,Jan,461035,-,-,325.8,-,BEDOK,1.3249,103.9258,KEMBANGAN,EAST
1980,2013,Jan,461038,129.7,-,-,-,BEDOK,1.3257,103.9258,KEMBANGAN,EAST
1981,2013,Jan,461039,126.1,-,-,-,BEDOK,1.3262,103.9263,KEMBANGAN,EAST
1982,2013,Jan,461041,-,261.0,307.4,-,BEDOK,1.3275,103.926,KEMBANGAN,EAST
1983,2013,Jan,461042,-,236.4,307.2,632.3,BEDOK,1.3278,103.9257,KEMBANGAN,EAST
1984,2013,Jan,461043,-,-,336.3,-,BEDOK,1.3285,103.9254,KEMBANGAN,EAST
1985,2013,Jan,461044,-,240.0,328.5,569.3,BEDOK,1.3288,103.9257,KEMBANGAN,EAST
1986,2013,Jan,461045,-,255.7,-,-,BEDOK,1.3286,103.9247,KEMBANGAN,EAST
1987,2013,Jan,461050,-,250.6,-,-,BEDOK,1.3292,103.9223,KEMBANGAN,EAST
2019,2013,Jan,467010,-,-,342.1,458.9,BEDOK,1.3274,103.9246,KEMBANGAN,EAST
10260,2013,Feb,410101,-,-,-,642.9,BEDOK,1.3252,103.9108,KEMBANGAN,EAST
10261,2013,Feb,410102,-,-,282.2,372.4,BEDOK,1.3257,103.9108,KEMBANGAN,EAST
10262,2013,Feb,410103,-,-,400.3,377.2,BEDOK,1.3258,103.9107,KEMBANGAN,EAST
10263,2013,Feb,410104,-,-,-,484.1,BEDOK,1.3258,103.9111,KEMBANGAN,EAST
10264,2013,Feb,410105,-,-,-,569.5,BEDOK,1.3257,103.9101,KEMBANGAN,EAST
10265,2013,Feb,410106,-,-,-,440.5,BEDOK,1.3254,103.9098,KEMBANGAN,EAST
10266,2013,Feb,410107,-,-,-,535.8,BEDOK,1.325,103.9103,KEMBANGAN,EAST
10267,2013,Feb,410108,-,-,-,470.9,BEDOK,1.3248,103.9104,KEMBANGAN,EAST
10268,2013,Feb,410109,-,-,373.0,368.2,BEDOK,1.3248,103.9108,KEMBANGAN,EAST
10269,2013,Feb,410110,-,-,330.0,410.6,BEDOK,1.3237,103.9107,KEMBANGAN,EAST
10270,2013,Feb,410111,-,-,410.4,361.4,BEDOK,1.3241,103.9112,KEMBANGAN,EAST
10271,2013,Feb,410112,-,-,260.1,332.3,BEDOK,1.3237,103.9113,KEMBANGAN,EAST
10272,2013,Feb,410113,-,-,398.1,412.2,BEDOK,1.3235,103.9118,KEMBANGAN,EAST
10273,2013,Feb,410114,-,-,316.0,347.4,BEDOK,1.3233,103.9118,KEMBANGAN,EAST
10274,2013,Feb,410115,-,-,297.7,420.4,BEDOK,1.3229,103.9112,KEMBANGAN,EAST
10275,2013,Feb,410116,-,-,347.6,371.3,BEDOK,1.3226,103.9117,KEMBANGAN,EAST
10389,2013,Feb,460011,-,-,299.6,294.9,BEDOK,1.327,103.9245,KEMBANGAN,EAST
10399,2013,Feb,460024,109.2,-,-,-,BEDOK,1.3247,103.9225,KEMBANGAN,EAST
10400,2013,Feb,460025,-,-,302.1,340.5,BEDOK,1.3238,103.9241,KEMBANGAN,EAST
10401,2013,Feb,460026,-,-,293.5,411.6,BEDOK,1.3235,103.9236,KEMBANGAN,EAST
10402,2013,Feb,460027,-,-,307.4,323.5,BEDOK,1.324,103.9234,KEMBANGAN,EAST
10403,2013,Feb,460029,-,-,-,498.4,BEDOK,1.3246,103.9243,KEMBANGAN,EAST
10404,2013,Feb,460030,107.6,-,-,-,BEDOK,1.3249,103.925,KEMBANGAN,EAST
10424,2013,Feb,460051,-,-,367.0,367.8,BEDOK,1.329,103.9221,KEMBANGAN,EAST
10425,2013,Feb,460052,-,-,357.0,374.6,BEDOK,1.3289,103.921,KEMBANGAN,EAST
10426,2013,Feb,460053,-,-,375.3,415.9,BEDOK,1.3286,103.9199,KEMBANGAN,EAST
10427,2013,Feb,460054,-,228.0,-,-,BEDOK,1.3292,103.9212,KEMBANGAN,EAST
10428,2013,Feb,460055,-,248.5,-,-,BEDOK,1.3268,103.9186,KEMBANGAN,EAST
10429,2013,Feb,460056,-,-,353.3,-,BEDOK,1.3262,103.9201,KEMBANGAN,EAST
10430,2013,Feb,460057,-,338.5,351.3,-,BEDOK,1.3259999999999998,103.9202,KEMBANGAN,EAST
10431,2013,Feb,460058,-,240.7,-,-,BEDOK,1.3259,103.9199,KEMBANGAN,EAST
10432,2013,Feb,460059,-,235.6,-,-,BEDOK,1.3249,103.9204,KEMBANGAN,EAST
10433,2013,Feb,460060,-,187.7,294.9,-,BEDOK,1.3247,103.9211,KEMBANGAN,EAST
10434,2013,Feb,460061,-,-,334.5,-,BEDOK,1.3253,103.9208,KEMBANGAN,EAST
10435,2013,Feb,460062,-,-,356.5,397.9,BEDOK,1.3258,103.9212,KEMBANGAN,EAST
10436,2013,Feb,460063,-,-,330.5,406.1,BEDOK,1.3258,103.9216,KEMBANGAN,EAST
10612,2013,Feb,460803,-,-,-,378.7,BEDOK,1.3241,103.9229,KEMBANGAN,EAST
10613,2013,Feb,460804,-,-,-,342.6,BEDOK,1.3244,103.9223,KEMBANGAN,EAST
10614,2013,Feb,460805,-,-,-,403.0,BEDOK,1.3245,103.9217,KEMBANGAN,EAST
10615,2013,Feb,461001,-,-,390.8,414.1,BEDOK,1.3276,103.9224,KEMBANGAN,EAST
10616,2013,Feb,461002,-,285.8,335.2,333.6,BEDOK,1.3271,103.9224,KEMBANGAN,EAST
10618,2013,Feb,461022,117.7,-,-,-,BEDOK,1.3253,103.9217,KEMBANGAN,EAST
10619,2013,Feb,461023,111.1,-,-,-,BEDOK,1.3254,103.9229,KEMBANGAN,EAST
10621,2013,Feb,461029,-,-,-,467.6,BEDOK,1.3251,103.9239,KEMBANGAN,EAST
10623,2013,Feb,461031,133.9,-,-,-,BEDOK,1.3241,103.9252,KEMBANGAN,EAST
10624,2013,Feb,461033,-,-,-,336.5,BEDOK,1.3247,103.9257,KEMBANGAN,EAST
10625,2013,Feb,461034,-,-,-,357.1,BEDOK,1.3243,103.9269,KEMBANGAN,EAST
10626,2013,Feb,461035,-,-,267.8,-,BEDOK,1.3249,103.9258,KEMBANGAN,EAST
10627,2013,Feb,461038,111.5,-,-,-,BEDOK,1.3257,103.9258,KEMBANGAN,EAST
10628,2013,Feb,461039,116.2,-,-,-,BEDOK,1.3262,103.9263,KEMBANGAN,EAST
10629,2013,Feb,461041,-,235.7,325.6,-,BEDOK,1.3275,103.926,KEMBANGAN,EAST
10630,2013,Feb,461042,-,213.9,311.5,462.0,BEDOK,1.3278,103.9257,KEMBANGAN,EAST
10631,2013,Feb,461043,-,-,349.2,-,BEDOK,1.3285,103.9254,KEMBANGAN,EAST
10632,2013,Feb,461044,-,230.2,360.5,422.7,BEDOK,1.3288,103.9257,KEMBANGAN,EAST
