index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3647,2013,Jan,530701,-,276.6,341.5,-,HOUGANG,1.3657,103.8901,KOVAN,NORTH-EAST
3648,2013,Jan,530702,-,246.1,332.5,-,HOUGANG,1.3657,103.8896,KOVAN,NORTH-EAST
3649,2013,Jan,530703,-,284.2,438.9,-,HOUGANG,1.3656,103.8895,KOVAN,NORTH-EAST
3650,2013,Jan,530704,-,249.2,413.3,-,HOUGANG,1.3653,103.8893,KOVAN,NORTH-EAST
3651,2013,Jan,530705,-,-,-,509.7,HOUGANG,1.3657,103.8887,KOVAN,NORTH-EAST
3652,2013,Jan,530706,-,-,385.0,-,HOUGANG,1.3658,103.889,KOVAN,NORTH-EAST
3653,2013,Jan,530707,-,-,496.8,402.1,HOUGANG,1.3665,103.8883,KOVAN,NORTH-EAST
3654,2013,Jan,530708,-,332.3,393.5,-,HOUGANG,1.3665,103.8895,KOVAN,NORTH-EAST
3655,2013,Jan,530709,-,330.1,373.1,-,HOUGANG,1.3669,103.8884,KOVAN,NORTH-EAST
3656,2013,Jan,530710,-,-,414.6,411.3,HOUGANG,1.3668,103.8875,KOVAN,NORTH-EAST
3657,2013,Jan,530711,-,-,376.6,-,HOUGANG,1.3662,103.8881,KOVAN,NORTH-EAST
3658,2013,Jan,530712,-,-,-,500.4,HOUGANG,1.366,103.887,KOVAN,NORTH-EAST
3659,2013,Jan,530719,-,-,-,572.4,HOUGANG,1.3668,103.8863,KOVAN,NORTH-EAST
12293,2013,Feb,530701,-,247.8,306.3,-,HOUGANG,1.3657,103.8901,KOVAN,NORTH-EAST
12294,2013,Feb,530702,-,210.8,287.5,-,HOUGANG,1.3657,103.8896,KOVAN,NORTH-EAST
12295,2013,Feb,530703,-,237.9,375.2,-,HOUGANG,1.3656,103.8895,KOVAN,NORTH-EAST
12296,2013,Feb,530704,-,214.7,343.0,-,HOUGANG,1.3653,103.8893,KOVAN,NORTH-EAST
12297,2013,Feb,530705,-,-,-,454.4,HOUGANG,1.3657,103.8887,KOVAN,NORTH-EAST
12298,2013,Feb,530706,-,-,343.3,-,HOUGANG,1.3658,103.889,KOVAN,NORTH-EAST
12299,2013,Feb,530707,-,-,456.6,365.6,HOUGANG,1.3665,103.8883,KOVAN,NORTH-EAST
12300,2013,Feb,530708,-,307.4,329.6,-,HOUGANG,1.3665,103.8895,KOVAN,NORTH-EAST
12301,2013,Feb,530709,-,266.4,287.6,-,HOUGANG,1.3669,103.8884,KOVAN,NORTH-EAST
12302,2013,Feb,530710,-,-,315.7,321.7,HOUGANG,1.3668,103.8875,KOVAN,NORTH-EAST
12303,2013,Feb,530711,-,-,332.9,-,HOUGANG,1.3662,103.8881,KOVAN,NORTH-EAST
12304,2013,Feb,530712,-,-,-,472.5,HOUGANG,1.366,103.887,KOVAN,NORTH-EAST
12305,2013,Feb,530719,-,-,-,427.6,HOUGANG,1.3668,103.8863,KOVAN,NORTH-EAST
20932,2013,Mar,530701,-,263.0,323.8,-,HOUGANG,1.3657,103.8901,KOVAN,NORTH-EAST
20933,2013,Mar,530702,-,235.4,310.2,-,HOUGANG,1.3657,103.8896,KOVAN,NORTH-EAST
20934,2013,Mar,530703,-,258.1,407.2,-,HOUGANG,1.3656,103.8895,KOVAN,NORTH-EAST
20935,2013,Mar,530704,-,233.3,379.0,-,HOUGANG,1.3653,103.8893,KOVAN,NORTH-EAST
20936,2013,Mar,530705,-,-,-,485.0,HOUGANG,1.3657,103.8887,KOVAN,NORTH-EAST
20937,2013,Mar,530706,-,-,364.9,-,HOUGANG,1.3658,103.889,KOVAN,NORTH-EAST
20938,2013,Mar,530707,-,-,476.7,391.5,HOUGANG,1.3665,103.8883,KOVAN,NORTH-EAST
20939,2013,Mar,530708,-,319.9,351.5,-,HOUGANG,1.3665,103.8895,KOVAN,NORTH-EAST
20940,2013,Mar,530709,-,298.1,325.9,-,HOUGANG,1.3669,103.8884,KOVAN,NORTH-EAST
20941,2013,Mar,530710,-,-,347.2,369.3,HOUGANG,1.3668,103.8875,KOVAN,NORTH-EAST
20942,2013,Mar,530711,-,-,346.2,-,HOUGANG,1.3662,103.8881,KOVAN,NORTH-EAST
20943,2013,Mar,530712,-,-,-,486.4,HOUGANG,1.366,103.887,KOVAN,NORTH-EAST
20944,2013,Mar,530719,-,-,-,480.9,HOUGANG,1.3668,103.8863,KOVAN,NORTH-EAST
29604,2013,Apr,530701,-,271.4,347.0,-,HOUGANG,1.3657,103.8901,KOVAN,NORTH-EAST
29605,2013,Apr,530702,-,266.3,345.3,-,HOUGANG,1.3657,103.8896,KOVAN,NORTH-EAST
29606,2013,Apr,530703,-,306.2,449.6,-,HOUGANG,1.3656,103.8895,KOVAN,NORTH-EAST
29607,2013,Apr,530704,-,280.2,472.2,-,HOUGANG,1.3653,103.8893,KOVAN,NORTH-EAST
29608,2013,Apr,530705,-,-,-,544.2,HOUGANG,1.3657,103.8887,KOVAN,NORTH-EAST
29609,2013,Apr,530706,-,-,417.5,-,HOUGANG,1.3658,103.889,KOVAN,NORTH-EAST
29610,2013,Apr,530707,-,-,505.6,428.8,HOUGANG,1.3665,103.8883,KOVAN,NORTH-EAST
29611,2013,Apr,530708,-,348.9,369.8,-,HOUGANG,1.3665,103.8895,KOVAN,NORTH-EAST
29612,2013,Apr,530709,-,352.4,375.5,-,HOUGANG,1.3669,103.8884,KOVAN,NORTH-EAST
29613,2013,Apr,530710,-,-,384.4,416.9,HOUGANG,1.3668,103.8875,KOVAN,NORTH-EAST
29614,2013,Apr,530711,-,-,377.7,-,HOUGANG,1.3662,103.8881,KOVAN,NORTH-EAST
29615,2013,Apr,530712,-,-,-,533.4,HOUGANG,1.366,103.887,KOVAN,NORTH-EAST
