index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5302,2013,Jan,618643,-,-,-,539.8,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
5303,2013,Jan,618644,-,-,-,356.2,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
5304,2013,Jan,618645,-,-,-,353.0,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
13947,2013,Feb,618643,-,-,-,538.0,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
13948,2013,Feb,618644,-,-,-,426.4,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
13949,2013,Feb,618645,-,-,-,492.0,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
22591,2013,Mar,618643,-,-,-,515.1,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
22592,2013,Mar,618644,-,-,-,362.9,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
22593,2013,Mar,618645,-,-,-,392.4,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
31260,2013,Apr,618643,-,-,-,559.9,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
31261,2013,Apr,618644,-,-,-,422.0,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
31262,2013,Apr,618645,-,-,-,445.2,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
39946,2013,May,618643,-,-,-,646.9,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
39947,2013,May,618644,-,-,-,547.1,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
39948,2013,May,618645,-,-,-,567.1,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
48522,2013,Jun,618643,-,-,-,636.3,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
48523,2013,Jun,618644,-,-,-,502.6,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
48524,2013,Jun,618645,-,-,-,514.4,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
57201,2013,Jul,618643,-,-,-,540.5,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
57202,2013,Jul,618644,-,-,-,597.1,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
57203,2013,Jul,618645,-,-,-,504.0,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
65859,2013,Aug,618643,-,-,-,572.0,JURONG EAST,1.3332,103.7251,LAKESIDE,WEST
65860,2013,Aug,618644,-,-,-,549.0,JURONG EAST,1.3338,103.7251,LAKESIDE,WEST
65861,2013,Aug,618645,-,-,-,517.6,JURONG EAST,1.3345,103.7251,LAKESIDE,WEST
