index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
834,2013,Jan,200632,-,350.2,396.5,431.9,ROCHOR,1.3062,103.8546,LITTLE INDIA,CENTRAL
835,2013,Jan,200633,-,282.1,375.4,591.3,ROCHOR,1.3065,103.8557,LITTLE INDIA,CENTRAL
836,2013,Jan,200634,-,340.8,369.4,442.2,ROCHOR,1.3061,103.8548,LITTLE INDIA,CENTRAL
837,2013,Jan,200635,-,335.1,355.6,-,ROCHOR,1.3067,103.8554,LITTLE INDIA,CENTRAL
838,2013,Jan,200636,-,265.6,-,-,ROCHOR,1.3066,103.8556,LITTLE INDIA,CENTRAL
839,2013,Jan,200637,-,325.5,-,-,ROCHOR,1.3069,103.8554,LITTLE INDIA,CENTRAL
840,2013,Jan,200639,-,289.8,422.6,483.5,ROCHOR,1.3078,103.8551,LITTLE INDIA,CENTRAL
841,2013,Jan,200640,-,308.0,-,-,ROCHOR,1.3076,103.8548,LITTLE INDIA,CENTRAL
842,2013,Jan,200641,-,218.1,366.0,440.1,ROCHOR,1.3083,103.8552,LITTLE INDIA,CENTRAL
843,2013,Jan,200642,-,-,419.8,508.5,ROCHOR,1.3077,103.8564,LITTLE INDIA,CENTRAL
9490,2013,Feb,200632,-,256.8,296.2,372.7,ROCHOR,1.3062,103.8546,LITTLE INDIA,CENTRAL
9491,2013,Feb,200633,-,218.0,285.9,399.7,ROCHOR,1.3065,103.8557,LITTLE INDIA,CENTRAL
9492,2013,Feb,200634,-,237.5,277.3,353.6,ROCHOR,1.3061,103.8548,LITTLE INDIA,CENTRAL
9493,2013,Feb,200635,-,223.6,285.8,-,ROCHOR,1.3067,103.8554,LITTLE INDIA,CENTRAL
9494,2013,Feb,200636,-,183.7,-,-,ROCHOR,1.3066,103.8556,LITTLE INDIA,CENTRAL
9495,2013,Feb,200637,-,251.6,-,-,ROCHOR,1.3069,103.8554,LITTLE INDIA,CENTRAL
9496,2013,Feb,200639,-,228.7,296.2,437.4,ROCHOR,1.3078,103.8551,LITTLE INDIA,CENTRAL
9497,2013,Feb,200640,-,230.1,-,-,ROCHOR,1.3076,103.8548,LITTLE INDIA,CENTRAL
9498,2013,Feb,200641,-,158.9,294.3,302.4,ROCHOR,1.3083,103.8552,LITTLE INDIA,CENTRAL
9499,2013,Feb,200642,-,-,334.6,445.4,ROCHOR,1.3077,103.8564,LITTLE INDIA,CENTRAL
18119,2013,Mar,200632,-,319.0,365.6,416.6,ROCHOR,1.3062,103.8546,LITTLE INDIA,CENTRAL
18120,2013,Mar,200633,-,259.8,348.6,520.7,ROCHOR,1.3065,103.8557,LITTLE INDIA,CENTRAL
18121,2013,Mar,200634,-,351.1,339.4,417.6,ROCHOR,1.3061,103.8548,LITTLE INDIA,CENTRAL
18122,2013,Mar,200635,-,291.8,335.3,-,ROCHOR,1.3067,103.8554,LITTLE INDIA,CENTRAL
18123,2013,Mar,200636,-,236.0,-,-,ROCHOR,1.3066,103.8556,LITTLE INDIA,CENTRAL
18124,2013,Mar,200637,-,305.0,-,-,ROCHOR,1.3069,103.8554,LITTLE INDIA,CENTRAL
18125,2013,Mar,200639,-,272.3,371.9,511.4,ROCHOR,1.3078,103.8551,LITTLE INDIA,CENTRAL
18126,2013,Mar,200640,-,283.3,-,-,ROCHOR,1.3076,103.8548,LITTLE INDIA,CENTRAL
18127,2013,Mar,200641,-,198.2,342.9,392.0,ROCHOR,1.3083,103.8552,LITTLE INDIA,CENTRAL
18128,2013,Mar,200642,-,-,394.8,434.9,ROCHOR,1.3077,103.8564,LITTLE INDIA,CENTRAL
26773,2013,Apr,200632,-,330.1,416.5,489.0,ROCHOR,1.3062,103.8546,LITTLE INDIA,CENTRAL
26774,2013,Apr,200633,-,290.5,406.0,770.0,ROCHOR,1.3065,103.8557,LITTLE INDIA,CENTRAL
26775,2013,Apr,200634,-,425.4,379.0,434.7,ROCHOR,1.3061,103.8548,LITTLE INDIA,CENTRAL
26776,2013,Apr,200635,-,373.9,349.8,-,ROCHOR,1.3067,103.8554,LITTLE INDIA,CENTRAL
26777,2013,Apr,200636,-,260.9,-,-,ROCHOR,1.3066,103.8556,LITTLE INDIA,CENTRAL
26778,2013,Apr,200637,-,373.9,-,-,ROCHOR,1.3069,103.8554,LITTLE INDIA,CENTRAL
26779,2013,Apr,200639,-,270.2,449.0,585.4,ROCHOR,1.3078,103.8551,LITTLE INDIA,CENTRAL
26780,2013,Apr,200640,-,341.7,-,-,ROCHOR,1.3076,103.8548,LITTLE INDIA,CENTRAL
26781,2013,Apr,200641,-,211.1,378.6,397.3,ROCHOR,1.3083,103.8552,LITTLE INDIA,CENTRAL
