index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
943,2013,Jan,310002,-,258.2,-,-,TOA PAYOH,1.3387,103.8542,LORONG 8 TOA PAYOH,CENTRAL
944,2013,Jan,310003,-,267.5,-,505.8,TOA PAYOH,1.3389,103.8544,LORONG 8 TOA PAYOH,CENTRAL
945,2013,Jan,310005,106.3,-,-,-,TOA PAYOH,1.3388,103.8558,LORONG 8 TOA PAYOH,CENTRAL
1071,2013,Jan,310213,-,-,288.7,-,TOA PAYOH,1.3409,103.8544,LORONG 8 TOA PAYOH,CENTRAL
1072,2013,Jan,310214,-,-,300.4,-,TOA PAYOH,1.3416,103.8544,LORONG 8 TOA PAYOH,CENTRAL
1073,2013,Jan,310215,-,-,-,299.2,TOA PAYOH,1.3416,103.8551,LORONG 8 TOA PAYOH,CENTRAL
1074,2013,Jan,310216,-,-,-,328.7,TOA PAYOH,1.3425,103.8544,LORONG 8 TOA PAYOH,CENTRAL
1075,2013,Jan,310217,-,-,-,367.1,TOA PAYOH,1.3427,103.8545,LORONG 8 TOA PAYOH,CENTRAL
1076,2013,Jan,310218,-,-,-,293.3,TOA PAYOH,1.3426,103.8552,LORONG 8 TOA PAYOH,CENTRAL
1077,2013,Jan,310219,-,-,303.9,-,TOA PAYOH,1.3427,103.8559,LORONG 8 TOA PAYOH,CENTRAL
1078,2013,Jan,310220,-,-,293.9,-,TOA PAYOH,1.3423,103.8564,LORONG 8 TOA PAYOH,CENTRAL
1079,2013,Jan,310221,-,-,294.3,-,TOA PAYOH,1.3426,103.8573,LORONG 8 TOA PAYOH,CENTRAL
1080,2013,Jan,310222,-,-,282.0,-,TOA PAYOH,1.3416,103.856,LORONG 8 TOA PAYOH,CENTRAL
1081,2013,Jan,310223,-,-,-,347.7,TOA PAYOH,1.3415,103.8555,LORONG 8 TOA PAYOH,CENTRAL
1082,2013,Jan,310224,-,-,-,342.7,TOA PAYOH,1.3414,103.8561,LORONG 8 TOA PAYOH,CENTRAL
1083,2013,Jan,310225,-,257.6,-,365.3,TOA PAYOH,1.3398,103.8559,LORONG 8 TOA PAYOH,CENTRAL
9599,2013,Feb,310002,-,254.2,-,-,TOA PAYOH,1.3387,103.8542,LORONG 8 TOA PAYOH,CENTRAL
9600,2013,Feb,310003,-,272.5,-,481.3,TOA PAYOH,1.3389,103.8544,LORONG 8 TOA PAYOH,CENTRAL
9601,2013,Feb,310005,107.7,-,-,-,TOA PAYOH,1.3388,103.8558,LORONG 8 TOA PAYOH,CENTRAL
9726,2013,Feb,310213,-,-,333.1,-,TOA PAYOH,1.3409,103.8544,LORONG 8 TOA PAYOH,CENTRAL
9727,2013,Feb,310214,-,-,340.9,-,TOA PAYOH,1.3416,103.8544,LORONG 8 TOA PAYOH,CENTRAL
9728,2013,Feb,310215,-,-,-,365.1,TOA PAYOH,1.3416,103.8551,LORONG 8 TOA PAYOH,CENTRAL
