index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3473,2013,Jan,530467,-,-,423.0,433.4,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
12119,2013,Feb,530467,-,-,299.4,294.5,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
20757,2013,Mar,530467,-,-,361.2,368.4,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
29430,2013,Apr,530467,-,-,460.8,484.4,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
38110,2013,May,530467,-,-,388.1,418.2,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
46695,2013,Jun,530467,-,-,492.4,494.1,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
55367,2013,Jul,530467,-,-,463.9,448.0,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
64034,2013,Aug,530467,-,-,495.4,531.9,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
72706,2013,Sep,530467,-,-,462.3,472.2,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
81375,2013,Oct,530467,-,-,335.4,339.0,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
90049,2013,Nov,530467,-,-,412.2,427.7,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
98753,2013,Dec,530467,-,-,388.2,418.4,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
107459,2014,Jan,530467,-,-,382.9,405.8,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
116193,2014,Feb,530467,-,-,361.6,401.5,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
124926,2014,Mar,530467,-,-,338.0,370.6,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
133699,2014,Apr,530467,-,-,419.2,483.4,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
142524,2014,May,530467,-,-,360.8,412.8,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
151349,2014,Jun,530467,-,-,459.1,548.8,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
160181,2014,Jul,530467,-,-,414.8,482.7,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
169000,2014,Aug,530467,-,-,425.6,478.6,SERANGOON,1.344,103.8705,LORONG CHUAN,NORTH-EAST
