index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1342,2013,Jan,360081,192.7,-,-,-,GEYLANG,1.3324,103.8858,MACPHERSON,CENTRAL
1343,2013,Jan,360082,-,307.8,-,-,GEYLANG,1.3323,103.8856,MACPHERSON,CENTRAL
1344,2013,Jan,360083,-,285.6,-,-,GEYLANG,1.3315,103.8855,MACPHERSON,CENTRAL
1345,2013,Jan,370012,181.1,-,-,-,GEYLANG,1.3274,103.8843,MACPHERSON,CENTRAL
1346,2013,Jan,370013,170.0,-,-,-,GEYLANG,1.3275,103.8837,MACPHERSON,CENTRAL
1347,2013,Jan,370014,155.2,-,-,-,GEYLANG,1.3275,103.8831,MACPHERSON,CENTRAL
1348,2013,Jan,370019,-,246.5,-,-,GEYLANG,1.3311,103.8873,MACPHERSON,CENTRAL
1349,2013,Jan,370020,-,265.1,-,-,GEYLANG,1.331,103.8875,MACPHERSON,CENTRAL
1350,2013,Jan,370021,-,258.5,-,-,GEYLANG,1.3311,103.8871,MACPHERSON,CENTRAL
1351,2013,Jan,370022,-,235.2,-,-,GEYLANG,1.3302,103.8874,MACPHERSON,CENTRAL
1352,2013,Jan,370023,-,254.4,-,-,GEYLANG,1.3309,103.8865,MACPHERSON,CENTRAL
1353,2013,Jan,370024,-,246.0,-,-,GEYLANG,1.3302,103.8874,MACPHERSON,CENTRAL
1354,2013,Jan,370027,-,-,326.7,398.1,GEYLANG,1.3301,103.8865,MACPHERSON,CENTRAL
1355,2013,Jan,370028,-,-,341.1,344.3,GEYLANG,1.3308,103.8865,MACPHERSON,CENTRAL
1356,2013,Jan,370029,-,-,300.0,408.2,GEYLANG,1.3301,103.8868,MACPHERSON,CENTRAL
1357,2013,Jan,370030,153.3,241.3,426.4,-,GEYLANG,1.3298,103.8872,MACPHERSON,CENTRAL
1358,2013,Jan,370031,-,235.0,317.6,-,GEYLANG,1.3299,103.8858,MACPHERSON,CENTRAL
1359,2013,Jan,370032,-,285.1,-,-,GEYLANG,1.3297,103.8867,MACPHERSON,CENTRAL
1360,2013,Jan,370033,-,-,344.3,432.6,GEYLANG,1.3296,103.8862,MACPHERSON,CENTRAL
1361,2013,Jan,370034,-,311.0,-,-,GEYLANG,1.3289,103.8876,MACPHERSON,CENTRAL
1362,2013,Jan,370035,-,306.3,384.3,-,GEYLANG,1.329,103.8861,MACPHERSON,CENTRAL
1363,2013,Jan,370036,-,281.7,275.3,-,GEYLANG,1.3289,103.8868,MACPHERSON,CENTRAL
1364,2013,Jan,370037,190.4,-,-,-,GEYLANG,1.3283,103.8865,MACPHERSON,CENTRAL
1365,2013,Jan,370038,-,271.6,-,-,GEYLANG,1.328,103.8857,MACPHERSON,CENTRAL
1366,2013,Jan,370039,-,232.9,-,-,GEYLANG,1.3273,103.8856,MACPHERSON,CENTRAL
1367,2013,Jan,370040,-,238.4,-,-,GEYLANG,1.3275,103.886,MACPHERSON,CENTRAL
