index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
367,2013,Jan,140019,-,-,388.8,536.9,QUEENSTOWN,1.2925,103.8003,MEI CHIN,CENTRAL
368,2013,Jan,140020,-,-,392.1,500.8,QUEENSTOWN,1.2927,103.8001,MEI CHIN,CENTRAL
369,2013,Jan,140021,-,-,386.0,459.1,QUEENSTOWN,1.2933,103.7999,MEI CHIN,CENTRAL
370,2013,Jan,140022,-,-,414.1,489.4,QUEENSTOWN,1.2936,103.7994,MEI CHIN,CENTRAL
371,2013,Jan,140023,-,274.8,-,-,QUEENSTOWN,1.2942,103.7997,MEI CHIN,CENTRAL
378,2013,Jan,140041,-,-,405.7,-,QUEENSTOWN,1.2986,103.8019,MEI CHIN,CENTRAL
379,2013,Jan,140045,159.3,50.0,-,-,QUEENSTOWN,1.2974,103.8029,MEI CHIN,CENTRAL
380,2013,Jan,140046,-,-,379.0,-,QUEENSTOWN,1.2984,103.8016,MEI CHIN,CENTRAL
381,2013,Jan,140047,-,-,441.7,-,QUEENSTOWN,1.2983,103.8021,MEI CHIN,CENTRAL
441,2013,Jan,140143,-,-,350.7,347.6,QUEENSTOWN,1.2934,103.8045,MEI CHIN,CENTRAL
442,2013,Jan,140145,-,-,328.4,391.7,QUEENSTOWN,1.294,103.8049,MEI CHIN,CENTRAL
443,2013,Jan,140146,-,-,-,324.5,QUEENSTOWN,1.2938,103.8045,MEI CHIN,CENTRAL
444,2013,Jan,140147,-,-,-,427.8,QUEENSTOWN,1.2945,103.8049,MEI CHIN,CENTRAL
445,2013,Jan,140148,-,-,-,470.9,QUEENSTOWN,1.2946,103.8044,MEI CHIN,CENTRAL
446,2013,Jan,140149,-,-,-,400.9,QUEENSTOWN,1.2947,103.8047,MEI CHIN,CENTRAL
447,2013,Jan,140151,110.8,-,-,-,QUEENSTOWN,1.2947,103.803,MEI CHIN,CENTRAL
448,2013,Jan,140152,-,242.8,-,-,QUEENSTOWN,1.2938,103.8028,MEI CHIN,CENTRAL
449,2013,Jan,140153,-,201.4,-,-,QUEENSTOWN,1.2937,103.8031,MEI CHIN,CENTRAL
450,2013,Jan,140154,-,207.8,-,-,QUEENSTOWN,1.2935,103.8037,MEI CHIN,CENTRAL
451,2013,Jan,140155,150.9,-,-,-,QUEENSTOWN,1.2933,103.8047,MEI CHIN,CENTRAL
452,2013,Jan,140156,151.0,-,-,-,QUEENSTOWN,1.2931,103.8042,MEI CHIN,CENTRAL
453,2013,Jan,140157,-,247.5,-,-,QUEENSTOWN,1.2926,103.8038,MEI CHIN,CENTRAL
454,2013,Jan,140160,-,243.8,-,-,QUEENSTOWN,1.2921,103.804,MEI CHIN,CENTRAL
455,2013,Jan,140161,-,217.5,-,-,QUEENSTOWN,1.2917,103.8035,MEI CHIN,CENTRAL
456,2013,Jan,140162,-,246.8,-,-,QUEENSTOWN,1.2921,103.8028,MEI CHIN,CENTRAL
457,2013,Jan,140164,-,262.1,-,521.3,QUEENSTOWN,1.2917,103.8025,MEI CHIN,CENTRAL
458,2013,Jan,140166,-,243.3,-,569.7,QUEENSTOWN,1.2911,103.8023,MEI CHIN,CENTRAL
459,2013,Jan,140167,-,240.9,-,-,QUEENSTOWN,1.2899,103.8027,MEI CHIN,CENTRAL
460,2013,Jan,140168,-,-,322.5,-,QUEENSTOWN,1.2888,103.8033,MEI CHIN,CENTRAL
461,2013,Jan,140169,-,236.3,-,-,QUEENSTOWN,1.2904,103.8036,MEI CHIN,CENTRAL
462,2013,Jan,140171,-,261.7,-,-,QUEENSTOWN,1.2907,103.8037,MEI CHIN,CENTRAL
463,2013,Jan,140181,-,-,384.3,537.9,QUEENSTOWN,1.2944,103.8054,MEI CHIN,CENTRAL
464,2013,Jan,140182,-,-,347.3,527.1,QUEENSTOWN,1.2951,103.8051,MEI CHIN,CENTRAL
465,2013,Jan,140183,-,-,308.1,446.1,QUEENSTOWN,1.2959,103.8049,MEI CHIN,CENTRAL
466,2013,Jan,140184,-,-,302.5,419.5,QUEENSTOWN,1.2956,103.8041,MEI CHIN,CENTRAL
468,2013,Jan,141023,-,-,356.0,-,QUEENSTOWN,1.2933,103.8004,MEI CHIN,CENTRAL
476,2013,Jan,141044,-,-,422.5,-,QUEENSTOWN,1.2977,103.8026,MEI CHIN,CENTRAL
478,2013,Jan,141048,147.1,169.4,-,-,QUEENSTOWN,1.2978,103.8017,MEI CHIN,CENTRAL
