index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7431,2013,Jan,730801,-,-,352.3,431.8,WOODLANDS,1.4417,103.7862,MIDVIEW,NORTH
7432,2013,Jan,730802,-,-,402.7,468.2,WOODLANDS,1.4409999999999998,103.7862,MIDVIEW,NORTH
7433,2013,Jan,730803,-,277.3,451.5,693.7,WOODLANDS,1.4405,103.7872,MIDVIEW,NORTH
7434,2013,Jan,730804,-,-,-,486.0,WOODLANDS,1.4403,103.7882,MIDVIEW,NORTH
7435,2013,Jan,730805,-,-,-,713.9,WOODLANDS,1.4406,103.7872,MIDVIEW,NORTH
7436,2013,Jan,730806,-,288.6,419.3,-,WOODLANDS,1.4413,103.7866,MIDVIEW,NORTH
7437,2013,Jan,730807,-,269.8,472.7,663.1,WOODLANDS,1.4422,103.7873,MIDVIEW,NORTH
7438,2013,Jan,730808,-,303.2,515.2,562.1,WOODLANDS,1.4423,103.7872,MIDVIEW,NORTH
7439,2013,Jan,730809,-,-,407.1,514.0,WOODLANDS,1.4428,103.788,MIDVIEW,NORTH
7440,2013,Jan,730810,-,-,391.4,397.6,WOODLANDS,1.4428,103.7881,MIDVIEW,NORTH
7441,2013,Jan,730816,-,311.2,492.0,627.8,WOODLANDS,1.4419,103.7901,MIDVIEW,NORTH
7442,2013,Jan,730817,-,-,-,635.4,WOODLANDS,1.4419,103.7907,MIDVIEW,NORTH
7443,2013,Jan,730818,-,-,-,623.8,WOODLANDS,1.4418,103.7901,MIDVIEW,NORTH
7444,2013,Jan,730819,-,-,-,548.3,WOODLANDS,1.4412,103.7906,MIDVIEW,NORTH
7445,2013,Jan,730820,-,138.0,538.3,549.1,WOODLANDS,1.4411,103.7902,MIDVIEW,NORTH
7446,2013,Jan,730821,-,380.8,382.8,581.2,WOODLANDS,1.4409999999999998,103.7902,MIDVIEW,NORTH
7447,2013,Jan,730822,-,-,354.6,457.5,WOODLANDS,1.4418,103.7896,MIDVIEW,NORTH
7448,2013,Jan,730823,-,-,377.6,492.2,WOODLANDS,1.4409999999999998,103.7895,MIDVIEW,NORTH
7449,2013,Jan,730824,-,-,376.0,465.1,WOODLANDS,1.4392,103.7889,MIDVIEW,NORTH
7450,2013,Jan,730825,-,-,383.9,438.8,WOODLANDS,1.439,103.7896,MIDVIEW,NORTH
7451,2013,Jan,730826,-,-,-,418.3,WOODLANDS,1.4391,103.7897,MIDVIEW,NORTH
7452,2013,Jan,730827,-,-,-,422.3,WOODLANDS,1.4401,103.7888,MIDVIEW,NORTH
7453,2013,Jan,730828,-,-,-,559.5,WOODLANDS,1.4393,103.79,MIDVIEW,NORTH
7454,2013,Jan,730829,-,-,-,527.1,WOODLANDS,1.4395,103.7904,MIDVIEW,NORTH
7455,2013,Jan,730830,-,242.2,459.6,636.5,WOODLANDS,1.4394,103.7908,MIDVIEW,NORTH
7456,2013,Jan,730831,-,-,361.4,419.0,WOODLANDS,1.4395,103.7912,MIDVIEW,NORTH
7457,2013,Jan,730832,-,245.8,380.9,627.3,WOODLANDS,1.4395,103.7907,MIDVIEW,NORTH
7458,2013,Jan,730833,-,-,-,464.3,WOODLANDS,1.4395,103.7906,MIDVIEW,NORTH
7459,2013,Jan,730834,-,357.2,425.3,569.3,WOODLANDS,1.44,103.7911,MIDVIEW,NORTH
7460,2013,Jan,730835,-,227.4,491.8,540.1,WOODLANDS,1.4403,103.791,MIDVIEW,NORTH
7461,2013,Jan,730836,-,-,382.5,493.2,WOODLANDS,1.4403,103.7917,MIDVIEW,NORTH
7462,2013,Jan,730837,-,-,-,534.1,WOODLANDS,1.4412,103.7916,MIDVIEW,NORTH
7463,2013,Jan,730838,-,-,-,619.0,WOODLANDS,1.4419,103.7914,MIDVIEW,NORTH
7464,2013,Jan,730839,-,-,393.5,471.8,WOODLANDS,1.4428,103.7918,MIDVIEW,NORTH
7465,2013,Jan,730840,-,-,362.9,-,WOODLANDS,1.444,103.7924,MIDVIEW,NORTH
