index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7000,2013,Jan,730022,-,267.0,-,-,WOODLANDS,1.4424,103.774,NORTH COAST,NORTH
7001,2013,Jan,730023,-,268.2,-,-,WOODLANDS,1.4415,103.7728,NORTH COAST,NORTH
7002,2013,Jan,730024,-,279.7,-,-,WOODLANDS,1.4415,103.7727,NORTH COAST,NORTH
7003,2013,Jan,730025,-,-,352.0,-,WOODLANDS,1.4421,103.772,NORTH COAST,NORTH
7004,2013,Jan,730026,-,-,357.4,-,WOODLANDS,1.4421,103.7732,NORTH COAST,NORTH
7005,2013,Jan,730027,-,-,356.4,-,WOODLANDS,1.4424,103.7741,NORTH COAST,NORTH
7006,2013,Jan,730028,-,-,440.5,-,WOODLANDS,1.4425,103.7739,NORTH COAST,NORTH
7007,2013,Jan,730029,-,-,361.1,-,WOODLANDS,1.4429,103.7731,NORTH COAST,NORTH
7008,2013,Jan,730030,-,312.7,386.6,-,WOODLANDS,1.4424,103.7724,NORTH COAST,NORTH
7009,2013,Jan,730031,-,280.0,-,-,WOODLANDS,1.4432,103.7724,NORTH COAST,NORTH
7010,2013,Jan,730032,-,284.5,-,-,WOODLANDS,1.4433,103.773,NORTH COAST,NORTH
7011,2013,Jan,730033,-,-,344.6,-,WOODLANDS,1.4437,103.7724,NORTH COAST,NORTH
7012,2013,Jan,730034,-,-,374.6,-,WOODLANDS,1.4439,103.7724,NORTH COAST,NORTH
7013,2013,Jan,730035,-,-,-,386.5,WOODLANDS,1.4452,103.7719,NORTH COAST,NORTH
7014,2013,Jan,730036,-,-,-,398.8,WOODLANDS,1.4452,103.7722,NORTH COAST,NORTH
7015,2013,Jan,730037,-,-,-,402.6,WOODLANDS,1.4453,103.7719,NORTH COAST,NORTH
7091,2013,Jan,730201,-,-,376.8,-,WOODLANDS,1.4424,103.775,NORTH COAST,NORTH
7092,2013,Jan,730202,-,273.3,-,-,WOODLANDS,1.4433,103.7751,NORTH COAST,NORTH
7093,2013,Jan,730203,-,264.7,-,-,WOODLANDS,1.4436,103.7746,NORTH COAST,NORTH
7094,2013,Jan,730204,-,261.4,319.5,553.6,WOODLANDS,1.4444,103.7744,NORTH COAST,NORTH
7095,2013,Jan,730205,-,-,363.5,-,WOODLANDS,1.4448,103.7736,NORTH COAST,NORTH
7096,2013,Jan,730206,-,260.8,300.6,-,WOODLANDS,1.4457,103.7733,NORTH COAST,NORTH
7097,2013,Jan,730212,-,268.8,-,-,WOODLANDS,1.4462,103.7735,NORTH COAST,NORTH
7098,2013,Jan,730213,-,249.4,-,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
7099,2013,Jan,730214,-,-,-,364.3,WOODLANDS,1.4471,103.7715,NORTH COAST,NORTH
7100,2013,Jan,730215,-,-,-,380.9,WOODLANDS,1.4475,103.7722,NORTH COAST,NORTH
7101,2013,Jan,730216,-,-,-,410.8,WOODLANDS,1.4473,103.7723,NORTH COAST,NORTH
7102,2013,Jan,730217,-,292.5,401.7,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
7103,2013,Jan,730218,-,239.2,-,-,WOODLANDS,1.4466,103.7734,NORTH COAST,NORTH
7517,2013,Jan,731001,-,318.3,-,500.7,WOODLANDS,1.4418,103.7707,NORTH COAST,NORTH
15636,2013,Feb,730022,-,242.5,-,-,WOODLANDS,1.4424,103.774,NORTH COAST,NORTH
15637,2013,Feb,730023,-,239.2,-,-,WOODLANDS,1.4415,103.7728,NORTH COAST,NORTH
15638,2013,Feb,730024,-,246.0,-,-,WOODLANDS,1.4415,103.7727,NORTH COAST,NORTH
15639,2013,Feb,730025,-,-,343.4,-,WOODLANDS,1.4421,103.772,NORTH COAST,NORTH
15640,2013,Feb,730026,-,-,310.5,-,WOODLANDS,1.4421,103.7732,NORTH COAST,NORTH
15641,2013,Feb,730027,-,-,322.9,-,WOODLANDS,1.4424,103.7741,NORTH COAST,NORTH
15642,2013,Feb,730028,-,-,360.1,-,WOODLANDS,1.4425,103.7739,NORTH COAST,NORTH
15643,2013,Feb,730029,-,-,321.7,-,WOODLANDS,1.4429,103.7731,NORTH COAST,NORTH
15644,2013,Feb,730030,-,253.6,343.3,-,WOODLANDS,1.4424,103.7724,NORTH COAST,NORTH
15645,2013,Feb,730031,-,250.0,-,-,WOODLANDS,1.4432,103.7724,NORTH COAST,NORTH
15646,2013,Feb,730032,-,259.8,-,-,WOODLANDS,1.4433,103.773,NORTH COAST,NORTH
15647,2013,Feb,730033,-,-,337.0,-,WOODLANDS,1.4437,103.7724,NORTH COAST,NORTH
15648,2013,Feb,730034,-,-,336.4,-,WOODLANDS,1.4439,103.7724,NORTH COAST,NORTH
15649,2013,Feb,730035,-,-,-,340.7,WOODLANDS,1.4452,103.7719,NORTH COAST,NORTH
15650,2013,Feb,730036,-,-,-,358.4,WOODLANDS,1.4452,103.7722,NORTH COAST,NORTH
15651,2013,Feb,730037,-,-,-,353.5,WOODLANDS,1.4453,103.7719,NORTH COAST,NORTH
15727,2013,Feb,730201,-,-,331.4,-,WOODLANDS,1.4424,103.775,NORTH COAST,NORTH
15728,2013,Feb,730202,-,243.3,-,-,WOODLANDS,1.4433,103.7751,NORTH COAST,NORTH
15729,2013,Feb,730203,-,236.1,-,-,WOODLANDS,1.4436,103.7746,NORTH COAST,NORTH
15730,2013,Feb,730204,-,251.9,304.7,483.4,WOODLANDS,1.4444,103.7744,NORTH COAST,NORTH
15731,2013,Feb,730205,-,-,303.9,-,WOODLANDS,1.4448,103.7736,NORTH COAST,NORTH
15732,2013,Feb,730206,-,226.8,280.3,-,WOODLANDS,1.4457,103.7733,NORTH COAST,NORTH
15733,2013,Feb,730212,-,237.4,-,-,WOODLANDS,1.4462,103.7735,NORTH COAST,NORTH
15734,2013,Feb,730213,-,231.9,-,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
15735,2013,Feb,730214,-,-,-,345.8,WOODLANDS,1.4471,103.7715,NORTH COAST,NORTH
15736,2013,Feb,730215,-,-,-,338.3,WOODLANDS,1.4475,103.7722,NORTH COAST,NORTH
15737,2013,Feb,730216,-,-,-,366.9,WOODLANDS,1.4473,103.7723,NORTH COAST,NORTH
15738,2013,Feb,730217,-,230.4,382.3,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
15739,2013,Feb,730218,-,207.7,-,-,WOODLANDS,1.4466,103.7734,NORTH COAST,NORTH
16153,2013,Feb,731001,-,303.0,-,583.7,WOODLANDS,1.4418,103.7707,NORTH COAST,NORTH
24283,2013,Mar,730022,-,229.9,-,-,WOODLANDS,1.4424,103.774,NORTH COAST,NORTH
24284,2013,Mar,730023,-,226.3,-,-,WOODLANDS,1.4415,103.7728,NORTH COAST,NORTH
24285,2013,Mar,730024,-,234.7,-,-,WOODLANDS,1.4415,103.7727,NORTH COAST,NORTH
24286,2013,Mar,730025,-,-,319.0,-,WOODLANDS,1.4421,103.772,NORTH COAST,NORTH
24287,2013,Mar,730026,-,-,299.2,-,WOODLANDS,1.4421,103.7732,NORTH COAST,NORTH
24288,2013,Mar,730027,-,-,300.9,-,WOODLANDS,1.4424,103.7741,NORTH COAST,NORTH
24289,2013,Mar,730028,-,-,355.7,-,WOODLANDS,1.4425,103.7739,NORTH COAST,NORTH
24290,2013,Mar,730029,-,-,306.7,-,WOODLANDS,1.4429,103.7731,NORTH COAST,NORTH
24291,2013,Mar,730030,-,246.8,329.7,-,WOODLANDS,1.4424,103.7724,NORTH COAST,NORTH
24292,2013,Mar,730031,-,237.9,-,-,WOODLANDS,1.4432,103.7724,NORTH COAST,NORTH
24293,2013,Mar,730032,-,246.8,-,-,WOODLANDS,1.4433,103.773,NORTH COAST,NORTH
24294,2013,Mar,730033,-,-,306.0,-,WOODLANDS,1.4437,103.7724,NORTH COAST,NORTH
24295,2013,Mar,730034,-,-,324.8,-,WOODLANDS,1.4439,103.7724,NORTH COAST,NORTH
24296,2013,Mar,730035,-,-,-,311.8,WOODLANDS,1.4452,103.7719,NORTH COAST,NORTH
24297,2013,Mar,730036,-,-,-,347.5,WOODLANDS,1.4452,103.7722,NORTH COAST,NORTH
24298,2013,Mar,730037,-,-,-,342.9,WOODLANDS,1.4453,103.7719,NORTH COAST,NORTH
24374,2013,Mar,730201,-,-,315.5,-,WOODLANDS,1.4424,103.775,NORTH COAST,NORTH
24375,2013,Mar,730202,-,233.3,-,-,WOODLANDS,1.4433,103.7751,NORTH COAST,NORTH
24376,2013,Mar,730203,-,225.3,-,-,WOODLANDS,1.4436,103.7746,NORTH COAST,NORTH
24377,2013,Mar,730204,-,235.6,281.8,468.3,WOODLANDS,1.4444,103.7744,NORTH COAST,NORTH
24378,2013,Mar,730205,-,-,295.8,-,WOODLANDS,1.4448,103.7736,NORTH COAST,NORTH
24379,2013,Mar,730206,-,217.3,263.7,-,WOODLANDS,1.4457,103.7733,NORTH COAST,NORTH
24380,2013,Mar,730212,-,233.1,-,-,WOODLANDS,1.4462,103.7735,NORTH COAST,NORTH
24381,2013,Mar,730213,-,221.6,-,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
24382,2013,Mar,730214,-,-,-,326.3,WOODLANDS,1.4471,103.7715,NORTH COAST,NORTH
24383,2013,Mar,730215,-,-,-,334.7,WOODLANDS,1.4475,103.7722,NORTH COAST,NORTH
24384,2013,Mar,730216,-,-,-,347.1,WOODLANDS,1.4473,103.7723,NORTH COAST,NORTH
24385,2013,Mar,730217,-,236.5,354.0,-,WOODLANDS,1.4468,103.7728,NORTH COAST,NORTH
24386,2013,Mar,730218,-,198.0,-,-,WOODLANDS,1.4466,103.7734,NORTH COAST,NORTH
