index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7854,2013,Jan,760201,-,260.5,-,-,YISHUN,1.4307,103.838,NORTHLAND,NORTH
7855,2013,Jan,760202,-,269.5,430.8,-,YISHUN,1.4308,103.8372,NORTHLAND,NORTH
7856,2013,Jan,760203,-,270.7,-,-,YISHUN,1.4315,103.8367,NORTHLAND,NORTH
7857,2013,Jan,760204,-,289.4,-,-,YISHUN,1.431,103.8358,NORTHLAND,NORTH
7858,2013,Jan,760205,-,297.7,401.8,469.3,YISHUN,1.431,103.8363,NORTHLAND,NORTH
7859,2013,Jan,760206,-,313.0,313.6,-,YISHUN,1.432,103.8371,NORTHLAND,NORTH
7860,2013,Jan,760207,-,232.9,438.6,-,YISHUN,1.432,103.8373,NORTHLAND,NORTH
7861,2013,Jan,760208,-,273.5,389.4,-,YISHUN,1.4309,103.8376,NORTHLAND,NORTH
7862,2013,Jan,760209,-,-,339.6,455.3,YISHUN,1.4315,103.8377,NORTHLAND,NORTH
7863,2013,Jan,760210,-,263.9,397.4,-,YISHUN,1.4317,103.8391,NORTHLAND,NORTH
7864,2013,Jan,760211,-,276.9,-,-,YISHUN,1.4316,103.8383,NORTHLAND,NORTH
7865,2013,Jan,760212,-,-,406.5,391.2,YISHUN,1.4316,103.8374,NORTHLAND,NORTH
7866,2013,Jan,760213,-,-,325.1,387.2,YISHUN,1.4316,103.8365,NORTHLAND,NORTH
7867,2013,Jan,760214,-,236.5,379.9,-,YISHUN,1.4316,103.8363,NORTHLAND,NORTH
7868,2013,Jan,760215,-,298.4,424.1,-,YISHUN,1.4318,103.8357,NORTHLAND,NORTH
7869,2013,Jan,760216,-,235.5,349.8,-,YISHUN,1.4324,103.8364,NORTHLAND,NORTH
7870,2013,Jan,760217,-,287.5,325.4,-,YISHUN,1.4327,103.8362,NORTHLAND,NORTH
7871,2013,Jan,760218,-,262.3,332.9,-,YISHUN,1.4331,103.8362,NORTHLAND,NORTH
7872,2013,Jan,760219,-,287.0,326.3,-,YISHUN,1.4334,103.8361,NORTHLAND,NORTH
7873,2013,Jan,760220,-,294.7,316.4,-,YISHUN,1.4334,103.8354,NORTHLAND,NORTH
7874,2013,Jan,760221,-,-,348.1,394.3,YISHUN,1.4339,103.8359,NORTHLAND,NORTH
7875,2013,Jan,760222,-,224.9,371.0,484.3,YISHUN,1.4342,103.8357,NORTHLAND,NORTH
7876,2013,Jan,760223,-,293.7,342.5,513.0,YISHUN,1.4345,103.8356,NORTHLAND,NORTH
7877,2013,Jan,760224,-,226.5,403.9,452.3,YISHUN,1.4345,103.8352,NORTHLAND,NORTH
7878,2013,Jan,760225,-,303.8,374.9,381.7,YISHUN,1.4347,103.8359,NORTHLAND,NORTH
7879,2013,Jan,760226,-,240.2,211.0,-,YISHUN,1.4344,103.8361,NORTHLAND,NORTH
7880,2013,Jan,760227,-,229.9,415.6,510.3,YISHUN,1.435,103.8367,NORTHLAND,NORTH
7881,2013,Jan,760228,-,260.1,376.9,648.2,YISHUN,1.4352,103.8375,NORTHLAND,NORTH
7882,2013,Jan,760229,-,-,268.4,389.6,YISHUN,1.4348,103.8372,NORTHLAND,NORTH
7883,2013,Jan,760230,-,329.7,338.6,-,YISHUN,1.4346,103.8367,NORTHLAND,NORTH
7884,2013,Jan,760231,-,-,326.3,411.8,YISHUN,1.4342,103.8369,NORTHLAND,NORTH
7885,2013,Jan,760232,-,-,505.9,417.1,YISHUN,1.4347,103.8373,NORTHLAND,NORTH
7886,2013,Jan,760233,-,282.1,394.3,-,YISHUN,1.4348,103.8381,NORTHLAND,NORTH
7887,2013,Jan,760234,-,267.0,359.2,463.8,YISHUN,1.4345,103.8379,NORTHLAND,NORTH
7888,2013,Jan,760235,-,281.5,393.0,445.8,YISHUN,1.4344,103.8385,NORTHLAND,NORTH
7889,2013,Jan,760236,-,302.6,385.1,500.5,YISHUN,1.4339,103.8393,NORTHLAND,NORTH
7890,2013,Jan,760237,-,239.5,357.1,471.6,YISHUN,1.4332,103.8391,NORTHLAND,NORTH
7891,2013,Jan,760238,-,-,316.0,427.4,YISHUN,1.4332,103.8393,NORTHLAND,NORTH
7892,2013,Jan,760239,-,318.4,325.4,-,YISHUN,1.4335,103.8396,NORTHLAND,NORTH
7893,2013,Jan,760240,-,-,433.0,423.5,YISHUN,1.433,103.8395,NORTHLAND,NORTH
7894,2013,Jan,760241,-,252.9,385.2,464.0,YISHUN,1.4323,103.8395,NORTHLAND,NORTH
7895,2013,Jan,760242,-,249.4,352.8,529.6,YISHUN,1.4332,103.8405,NORTHLAND,NORTH
7896,2013,Jan,760243,-,257.2,374.3,-,YISHUN,1.4337,103.8406,NORTHLAND,NORTH
7897,2013,Jan,760244,-,-,339.6,-,YISHUN,1.4339,103.8411,NORTHLAND,NORTH
7898,2013,Jan,760245,-,-,364.7,-,YISHUN,1.4346,103.842,NORTHLAND,NORTH
7900,2013,Jan,760247,-,-,373.5,-,YISHUN,1.4351,103.842,NORTHLAND,NORTH
7901,2013,Jan,760248,-,-,445.5,-,YISHUN,1.4356,103.8423,NORTHLAND,NORTH
7902,2013,Jan,760249,-,-,377.1,-,YISHUN,1.4352,103.8419,NORTHLAND,NORTH
7903,2013,Jan,760250,-,-,336.2,-,YISHUN,1.4355,103.8418,NORTHLAND,NORTH
7904,2013,Jan,760251,-,-,345.0,-,YISHUN,1.435,103.8413,NORTHLAND,NORTH
7905,2013,Jan,760252,-,-,307.9,-,YISHUN,1.435,103.841,NORTHLAND,NORTH
7906,2013,Jan,760253,-,-,346.5,-,YISHUN,1.4349,103.8406,NORTHLAND,NORTH
7907,2013,Jan,760254,-,-,352.4,-,YISHUN,1.4345,103.8406,NORTHLAND,NORTH
7908,2013,Jan,760255,-,-,389.7,-,YISHUN,1.4344,103.8406,NORTHLAND,NORTH
7909,2013,Jan,760256,-,287.2,483.4,-,YISHUN,1.4342,103.84,NORTHLAND,NORTH
7910,2013,Jan,760257,-,-,356.9,442.9,YISHUN,1.4347,103.8396,NORTHLAND,NORTH
7911,2013,Jan,760258,-,-,-,417.1,YISHUN,1.4352,103.8399,NORTHLAND,NORTH
7912,2013,Jan,760259,-,-,420.1,482.8,YISHUN,1.4351,103.8391,NORTHLAND,NORTH
7913,2013,Jan,760260,-,-,347.9,-,YISHUN,1.4354,103.8393,NORTHLAND,NORTH
7914,2013,Jan,760261,-,237.5,413.8,-,YISHUN,1.4354,103.8387,NORTHLAND,NORTH
7915,2013,Jan,760262,-,-,336.7,-,YISHUN,1.436,103.8394,NORTHLAND,NORTH
7916,2013,Jan,760263,-,209.8,409.1,439.3,YISHUN,1.4361,103.8392,NORTHLAND,NORTH
7917,2013,Jan,760264,-,235.7,396.0,-,YISHUN,1.4357,103.8385,NORTHLAND,NORTH
7918,2013,Jan,760265,-,-,348.5,374.1,YISHUN,1.4367,103.8385,NORTHLAND,NORTH
7919,2013,Jan,760266,-,273.1,401.1,-,YISHUN,1.4369,103.8388,NORTHLAND,NORTH
7920,2013,Jan,760267,-,292.0,435.8,-,YISHUN,1.4373,103.8392,NORTHLAND,NORTH
7921,2013,Jan,760268,-,284.4,487.3,-,YISHUN,1.4367,103.8397,NORTHLAND,NORTH
7922,2013,Jan,760269,-,242.3,348.1,327.1,YISHUN,1.4373,103.8403,NORTHLAND,NORTH
7923,2013,Jan,760270,-,297.4,358.2,-,YISHUN,1.4376,103.8399,NORTHLAND,NORTH
7924,2013,Jan,760271,-,187.8,375.2,-,YISHUN,1.4378,103.8402,NORTHLAND,NORTH
7925,2013,Jan,760272,-,-,344.0,353.5,YISHUN,1.4380000000000002,103.8397,NORTHLAND,NORTH
7926,2013,Jan,760273,-,263.7,387.0,-,YISHUN,1.4376,103.8397,NORTHLAND,NORTH
7927,2013,Jan,760274,-,270.7,385.6,-,YISHUN,1.4373,103.8389,NORTHLAND,NORTH
7928,2013,Jan,760275,-,-,345.0,-,YISHUN,1.4377,103.8387,NORTHLAND,NORTH
7929,2013,Jan,760276,-,-,331.7,-,YISHUN,1.4378,103.8381,NORTHLAND,NORTH
7930,2013,Jan,760277,-,-,-,473.2,YISHUN,1.4380000000000002,103.8371,NORTHLAND,NORTH
7931,2013,Jan,760278,-,-,366.1,-,YISHUN,1.4382,103.8376,NORTHLAND,NORTH
7932,2013,Jan,760279,-,-,337.1,-,YISHUN,1.4382,103.837,NORTHLAND,NORTH
