index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2436,2013,Jan,510601,-,-,-,601.1,PASIR RIS,1.378,103.9434,PASIR RIS WEST,EAST
2437,2013,Jan,510602,-,-,-,605.8,PASIR RIS,1.3774,103.9439,PASIR RIS WEST,EAST
2438,2013,Jan,510603,-,-,-,610.3,PASIR RIS,1.3769,103.9436,PASIR RIS WEST,EAST
2439,2013,Jan,510604,-,-,-,577.2,PASIR RIS,1.3764,103.9433,PASIR RIS WEST,EAST
2440,2013,Jan,510605,-,-,-,637.4,PASIR RIS,1.3772,103.9432,PASIR RIS WEST,EAST
2441,2013,Jan,510606,-,-,-,602.5,PASIR RIS,1.3766,103.9428,PASIR RIS WEST,EAST
2442,2013,Jan,510607,-,-,-,611.6,PASIR RIS,1.3762,103.9426,PASIR RIS WEST,EAST
2443,2013,Jan,510608,-,-,-,619.3,PASIR RIS,1.3759,103.9429,PASIR RIS WEST,EAST
2444,2013,Jan,510609,-,-,-,553.8,PASIR RIS,1.3752,103.9424,PASIR RIS WEST,EAST
2445,2013,Jan,510610,-,-,416.7,495.8,PASIR RIS,1.3755,103.9419,PASIR RIS WEST,EAST
2446,2013,Jan,510611,-,-,473.1,468.8,PASIR RIS,1.3752,103.9424,PASIR RIS WEST,EAST
2447,2013,Jan,510612,-,-,455.3,511.9,PASIR RIS,1.3748,103.942,PASIR RIS WEST,EAST
2448,2013,Jan,510613,-,-,452.8,452.2,PASIR RIS,1.3751,103.9411,PASIR RIS WEST,EAST
2449,2013,Jan,510614,-,-,389.2,537.5,PASIR RIS,1.3758,103.9412,PASIR RIS WEST,EAST
2450,2013,Jan,510615,-,-,496.9,510.0,PASIR RIS,1.3763,103.9417,PASIR RIS WEST,EAST
2451,2013,Jan,510626,-,-,414.8,509.6,PASIR RIS,1.3797,103.9409,PASIR RIS WEST,EAST
2452,2013,Jan,510627,-,-,348.5,550.5,PASIR RIS,1.3796,103.9405,PASIR RIS WEST,EAST
2453,2013,Jan,510628,-,-,-,484.4,PASIR RIS,1.3791,103.941,PASIR RIS WEST,EAST
2454,2013,Jan,510629,-,-,439.5,456.4,PASIR RIS,1.379,103.9407,PASIR RIS WEST,EAST
2455,2013,Jan,510630,-,-,-,486.4,PASIR RIS,1.3781,103.9409,PASIR RIS WEST,EAST
2456,2013,Jan,510631,-,-,393.6,456.7,PASIR RIS,1.3788,103.9401,PASIR RIS WEST,EAST
2457,2013,Jan,510632,-,-,475.0,459.8,PASIR RIS,1.3788,103.9399,PASIR RIS WEST,EAST
2458,2013,Jan,510633,-,-,424.5,512.3,PASIR RIS,1.3782,103.9407,PASIR RIS WEST,EAST
2459,2013,Jan,510634,-,-,430.7,503.8,PASIR RIS,1.3775,103.9407,PASIR RIS WEST,EAST
2460,2013,Jan,510635,-,-,465.2,475.6,PASIR RIS,1.3775,103.9404,PASIR RIS WEST,EAST
2461,2013,Jan,510636,-,-,-,532.6,PASIR RIS,1.3769,103.9408,PASIR RIS WEST,EAST
2462,2013,Jan,510637,-,-,395.7,492.1,PASIR RIS,1.3771,103.9405,PASIR RIS WEST,EAST
