index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1,2013,Jan,50032,175.1,284.9,378.7,-,OUTRAM,1.285,103.8424,PEARL'S HILL,CENTRAL
623,2013,Jan,160009,201.2,-,-,-,OUTRAM,1.2877,103.8395,PEARL'S HILL,CENTRAL
646,2013,Jan,160051,105.0,-,-,-,OUTRAM,1.2871,103.8413,PEARL'S HILL,CENTRAL
647,2013,Jan,160052,105.6,-,-,-,OUTRAM,1.2876,103.8409,PEARL'S HILL,CENTRAL
648,2013,Jan,160053,-,-,274.2,-,OUTRAM,1.2879,103.8411,PEARL'S HILL,CENTRAL
699,2013,Jan,161001,163.6,188.4,274.1,-,OUTRAM,1.2883,103.8398,PEARL'S HILL,CENTRAL
701,2013,Jan,161003,119.6,-,-,-,OUTRAM,1.2882,103.8395,PEARL'S HILL,CENTRAL
703,2013,Jan,161005,172.2,142.2,-,-,OUTRAM,1.2878,103.8381,PEARL'S HILL,CENTRAL
736,2013,Jan,162006,146.2,197.5,-,-,OUTRAM,1.2875,103.8375,PEARL'S HILL,CENTRAL
737,2013,Jan,162008,163.4,-,-,-,OUTRAM,1.2877,103.8395,PEARL'S HILL,CENTRAL
738,2013,Jan,162010,215.4,-,-,-,OUTRAM,1.2876,103.8396,PEARL'S HILL,CENTRAL
739,2013,Jan,162011,121.3,-,-,-,OUTRAM,1.2874,103.838,PEARL'S HILL,CENTRAL
741,2013,Jan,162013,129.3,-,-,-,OUTRAM,1.2864,103.8383,PEARL'S HILL,CENTRAL
749,2013,Jan,163002,103.4,-,-,-,OUTRAM,1.2884,103.8396,PEARL'S HILL,CENTRAL
750,2013,Jan,163004,158.0,148.0,-,-,OUTRAM,1.288,103.8388,PEARL'S HILL,CENTRAL
753,2013,Jan,163012,119.2,-,-,-,OUTRAM,1.2868,103.8379,PEARL'S HILL,CENTRAL
8642,2013,Feb,50032,184.1,314.4,386.0,-,OUTRAM,1.285,103.8424,PEARL'S HILL,CENTRAL
9272,2013,Feb,160009,210.1,-,-,-,OUTRAM,1.2877,103.8395,PEARL'S HILL,CENTRAL
