index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
946,2013,Jan,310006,-,-,368.9,426.4,TOA PAYOH,1.3385,103.8572,PEI CHUN,CENTRAL
947,2013,Jan,310007,-,-,359.5,406.6,TOA PAYOH,1.3381,103.8574,PEI CHUN,CENTRAL
948,2013,Jan,310008,-,282.0,-,448.2,TOA PAYOH,1.3377,103.8567,PEI CHUN,CENTRAL
949,2013,Jan,310009,-,283.3,-,-,TOA PAYOH,1.3376,103.8575,PEI CHUN,CENTRAL
950,2013,Jan,310010,-,-,371.0,363.7,TOA PAYOH,1.3373,103.8571,PEI CHUN,CENTRAL
951,2013,Jan,310011,-,-,311.6,323.6,TOA PAYOH,1.3371,103.8589,PEI CHUN,CENTRAL
952,2013,Jan,310012,-,272.5,-,-,TOA PAYOH,1.3363,103.8574,PEI CHUN,CENTRAL
953,2013,Jan,310013,-,290.4,-,-,TOA PAYOH,1.3364,103.8587,PEI CHUN,CENTRAL
954,2013,Jan,310014,-,-,366.1,322.1,TOA PAYOH,1.3367,103.8586,PEI CHUN,CENTRAL
955,2013,Jan,310015,123.4,-,-,-,TOA PAYOH,1.3359,103.8587,PEI CHUN,CENTRAL
956,2013,Jan,310017,-,251.4,-,-,TOA PAYOH,1.3361,103.8561,PEI CHUN,CENTRAL
957,2013,Jan,310023,-,265.3,-,-,TOA PAYOH,1.3348,103.8572,PEI CHUN,CENTRAL
1084,2013,Jan,310226,-,-,254.3,-,TOA PAYOH,1.3393,103.857,PEI CHUN,CENTRAL
1085,2013,Jan,310227,-,-,267.6,-,TOA PAYOH,1.3393,103.858,PEI CHUN,CENTRAL
1086,2013,Jan,310228,-,-,281.2,-,TOA PAYOH,1.3396,103.859,PEI CHUN,CENTRAL
1087,2013,Jan,310229,-,-,-,368.8,TOA PAYOH,1.3388,103.8596,PEI CHUN,CENTRAL
1088,2013,Jan,310230,-,-,-,367.1,TOA PAYOH,1.3381,103.8593,PEI CHUN,CENTRAL
1089,2013,Jan,310231,-,266.8,-,-,TOA PAYOH,1.3374,103.8597,PEI CHUN,CENTRAL
1090,2013,Jan,310235,-,264.4,-,334.0,TOA PAYOH,1.3392,103.8571,PEI CHUN,CENTRAL
1115,2013,Jan,311014,-,-,405.1,406.6,TOA PAYOH,1.3362,103.8583,PEI CHUN,CENTRAL
1128,2013,Jan,312010,-,-,337.1,445.4,TOA PAYOH,1.3374,103.8583,PEI CHUN,CENTRAL
1129,2013,Jan,312014,-,-,364.5,362.4,TOA PAYOH,1.3357,103.8586,PEI CHUN,CENTRAL
9602,2013,Feb,310006,-,-,366.8,419.3,TOA PAYOH,1.3385,103.8572,PEI CHUN,CENTRAL
9603,2013,Feb,310007,-,-,377.5,411.3,TOA PAYOH,1.3381,103.8574,PEI CHUN,CENTRAL
9604,2013,Feb,310008,-,275.5,-,490.8,TOA PAYOH,1.3377,103.8567,PEI CHUN,CENTRAL
9605,2013,Feb,310009,-,282.0,-,-,TOA PAYOH,1.3376,103.8575,PEI CHUN,CENTRAL
9606,2013,Feb,310010,-,-,365.8,360.6,TOA PAYOH,1.3373,103.8571,PEI CHUN,CENTRAL
9607,2013,Feb,310011,-,-,370.7,395.8,TOA PAYOH,1.3371,103.8589,PEI CHUN,CENTRAL
9608,2013,Feb,310012,-,269.4,-,-,TOA PAYOH,1.3363,103.8574,PEI CHUN,CENTRAL
9609,2013,Feb,310013,-,277.3,-,-,TOA PAYOH,1.3364,103.8587,PEI CHUN,CENTRAL
9610,2013,Feb,310014,-,-,361.1,331.4,TOA PAYOH,1.3367,103.8586,PEI CHUN,CENTRAL
9611,2013,Feb,310015,125.0,-,-,-,TOA PAYOH,1.3359,103.8587,PEI CHUN,CENTRAL
9612,2013,Feb,310017,-,251.1,-,-,TOA PAYOH,1.3361,103.8561,PEI CHUN,CENTRAL
9613,2013,Feb,310023,-,278.0,-,-,TOA PAYOH,1.3348,103.8572,PEI CHUN,CENTRAL
9739,2013,Feb,310226,-,-,304.2,-,TOA PAYOH,1.3393,103.857,PEI CHUN,CENTRAL
9740,2013,Feb,310227,-,-,309.7,-,TOA PAYOH,1.3393,103.858,PEI CHUN,CENTRAL
9741,2013,Feb,310228,-,-,317.8,-,TOA PAYOH,1.3396,103.859,PEI CHUN,CENTRAL
9742,2013,Feb,310229,-,-,-,434.7,TOA PAYOH,1.3388,103.8596,PEI CHUN,CENTRAL
9743,2013,Feb,310230,-,-,-,449.6,TOA PAYOH,1.3381,103.8593,PEI CHUN,CENTRAL
9744,2013,Feb,310231,-,300.4,-,-,TOA PAYOH,1.3374,103.8597,PEI CHUN,CENTRAL
9745,2013,Feb,310235,-,294.9,-,334.3,TOA PAYOH,1.3392,103.8571,PEI CHUN,CENTRAL
9770,2013,Feb,311014,-,-,411.3,404.3,TOA PAYOH,1.3362,103.8583,PEI CHUN,CENTRAL
9783,2013,Feb,312010,-,-,347.4,437.3,TOA PAYOH,1.3374,103.8583,PEI CHUN,CENTRAL
9784,2013,Feb,312014,-,-,376.4,370.5,TOA PAYOH,1.3357,103.8586,PEI CHUN,CENTRAL
18231,2013,Mar,310006,-,-,349.4,390.7,TOA PAYOH,1.3385,103.8572,PEI CHUN,CENTRAL
18232,2013,Mar,310007,-,-,317.2,391.5,TOA PAYOH,1.3381,103.8574,PEI CHUN,CENTRAL
18233,2013,Mar,310008,-,251.8,-,561.0,TOA PAYOH,1.3377,103.8567,PEI CHUN,CENTRAL
18234,2013,Mar,310009,-,267.9,-,-,TOA PAYOH,1.3376,103.8575,PEI CHUN,CENTRAL
18235,2013,Mar,310010,-,-,363.4,375.6,TOA PAYOH,1.3373,103.8571,PEI CHUN,CENTRAL
18236,2013,Mar,310011,-,-,404.4,427.3,TOA PAYOH,1.3371,103.8589,PEI CHUN,CENTRAL
18237,2013,Mar,310012,-,252.0,-,-,TOA PAYOH,1.3363,103.8574,PEI CHUN,CENTRAL
18238,2013,Mar,310013,-,250.2,-,-,TOA PAYOH,1.3364,103.8587,PEI CHUN,CENTRAL
18239,2013,Mar,310014,-,-,337.9,310.2,TOA PAYOH,1.3367,103.8586,PEI CHUN,CENTRAL
18240,2013,Mar,310015,108.8,-,-,-,TOA PAYOH,1.3359,103.8587,PEI CHUN,CENTRAL
18241,2013,Mar,310017,-,236.6,-,-,TOA PAYOH,1.3361,103.8561,PEI CHUN,CENTRAL
18242,2013,Mar,310023,-,248.9,-,-,TOA PAYOH,1.3348,103.8572,PEI CHUN,CENTRAL
18368,2013,Mar,310226,-,-,304.3,-,TOA PAYOH,1.3393,103.857,PEI CHUN,CENTRAL
18369,2013,Mar,310227,-,-,322.2,-,TOA PAYOH,1.3393,103.858,PEI CHUN,CENTRAL
18370,2013,Mar,310228,-,-,289.2,-,TOA PAYOH,1.3396,103.859,PEI CHUN,CENTRAL
18371,2013,Mar,310229,-,-,-,377.9,TOA PAYOH,1.3388,103.8596,PEI CHUN,CENTRAL
18372,2013,Mar,310230,-,-,-,422.9,TOA PAYOH,1.3381,103.8593,PEI CHUN,CENTRAL
18373,2013,Mar,310231,-,270.3,-,-,TOA PAYOH,1.3374,103.8597,PEI CHUN,CENTRAL
18374,2013,Mar,310234,-,288.8,-,739.0,TOA PAYOH,1.3392,103.8579,PEI CHUN,CENTRAL
18375,2013,Mar,310235,-,295.6,-,308.3,TOA PAYOH,1.3392,103.8571,PEI CHUN,CENTRAL
18400,2013,Mar,311014,-,-,396.2,436.0,TOA PAYOH,1.3362,103.8583,PEI CHUN,CENTRAL
