index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6690,2013,Jan,680401,-,-,363.7,-,CHOA CHU KANG,1.3798,103.7397,PENG SIANG,WEST
6691,2013,Jan,680402,-,-,356.9,-,CHOA CHU KANG,1.3791,103.7396,PENG SIANG,WEST
6692,2013,Jan,680403,-,-,322.7,-,CHOA CHU KANG,1.3796,103.7389,PENG SIANG,WEST
6693,2013,Jan,680404,-,-,359.5,-,CHOA CHU KANG,1.38,103.7389,PENG SIANG,WEST
6694,2013,Jan,680405,-,-,355.5,-,CHOA CHU KANG,1.38,103.7391,PENG SIANG,WEST
6695,2013,Jan,680406,-,-,356.8,-,CHOA CHU KANG,1.38,103.7402,PENG SIANG,WEST
6696,2013,Jan,680407,-,-,349.7,-,CHOA CHU KANG,1.3801,103.7411,PENG SIANG,WEST
6697,2013,Jan,680408,-,-,354.1,-,CHOA CHU KANG,1.38,103.7404,PENG SIANG,WEST
6698,2013,Jan,680409,-,-,391.8,-,CHOA CHU KANG,1.3811,103.7421,PENG SIANG,WEST
6699,2013,Jan,680410,-,-,391.5,-,CHOA CHU KANG,1.3807,103.7415,PENG SIANG,WEST
6700,2013,Jan,680411,-,-,377.5,-,CHOA CHU KANG,1.3807,103.7413,PENG SIANG,WEST
6701,2013,Jan,680412,-,-,335.8,-,CHOA CHU KANG,1.3818,103.742,PENG SIANG,WEST
6702,2013,Jan,680413,-,-,350.0,-,CHOA CHU KANG,1.3815,103.7426,PENG SIANG,WEST
6703,2013,Jan,680414,-,-,432.8,433.1,CHOA CHU KANG,1.3823,103.7422,PENG SIANG,WEST
6704,2013,Jan,680415,-,-,476.5,577.7,CHOA CHU KANG,1.3827,103.7423,PENG SIANG,WEST
6705,2013,Jan,680416,-,-,339.0,373.1,CHOA CHU KANG,1.3833,103.742,PENG SIANG,WEST
6706,2013,Jan,680417,-,-,409.1,380.6,CHOA CHU KANG,1.3831,103.7414,PENG SIANG,WEST
6707,2013,Jan,680418,-,-,347.3,376.7,CHOA CHU KANG,1.3824,103.7413,PENG SIANG,WEST
6708,2013,Jan,680419,-,-,-,516.9,CHOA CHU KANG,1.382,103.7417,PENG SIANG,WEST
6709,2013,Jan,680420,-,-,-,468.5,CHOA CHU KANG,1.3817,103.7414,PENG SIANG,WEST
6710,2013,Jan,680421,-,-,417.6,446.9,CHOA CHU KANG,1.3819,103.7406,PENG SIANG,WEST
6711,2013,Jan,680422,-,-,367.6,482.5,CHOA CHU KANG,1.3823,103.7409,PENG SIANG,WEST
6712,2013,Jan,680423,-,-,345.1,351.3,CHOA CHU KANG,1.382,103.7404,PENG SIANG,WEST
6713,2013,Jan,680424,-,-,396.1,342.8,CHOA CHU KANG,1.3816,103.7403,PENG SIANG,WEST
6714,2013,Jan,680425,-,-,383.9,436.4,CHOA CHU KANG,1.3812,103.7395,PENG SIANG,WEST
6715,2013,Jan,680426,-,-,361.8,-,CHOA CHU KANG,1.3809,103.7388,PENG SIANG,WEST
6716,2013,Jan,680427,-,-,359.6,379.3,CHOA CHU KANG,1.381,103.7396,PENG SIANG,WEST
6717,2013,Jan,680428,-,-,356.5,-,CHOA CHU KANG,1.3812,103.7399,PENG SIANG,WEST
6718,2013,Jan,680429,-,-,392.2,427.7,CHOA CHU KANG,1.3829,103.7402,PENG SIANG,WEST
6719,2013,Jan,680430,-,-,333.2,441.5,CHOA CHU KANG,1.3841,103.741,PENG SIANG,WEST
6720,2013,Jan,680431,-,-,403.3,440.1,CHOA CHU KANG,1.3842,103.7418,PENG SIANG,WEST
