index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1284,2013,Jan,350101,-,252.1,-,-,TOA PAYOH,1.3333,103.8686,POTONG PASIR,CENTRAL
1285,2013,Jan,350102,-,258.5,350.7,320.0,TOA PAYOH,1.334,103.8686,POTONG PASIR,CENTRAL
1286,2013,Jan,350104,-,259.5,-,-,TOA PAYOH,1.3343,103.8692,POTONG PASIR,CENTRAL
1287,2013,Jan,350105,-,249.1,426.2,-,TOA PAYOH,1.3345,103.8689,POTONG PASIR,CENTRAL
1288,2013,Jan,350107,-,263.2,345.3,-,TOA PAYOH,1.3345,103.8684,POTONG PASIR,CENTRAL
1289,2013,Jan,350108,-,265.9,-,-,TOA PAYOH,1.3347,103.8679,POTONG PASIR,CENTRAL
1290,2013,Jan,350109,-,315.2,-,-,TOA PAYOH,1.335,103.8675,POTONG PASIR,CENTRAL
1291,2013,Jan,350110,-,-,-,494.0,TOA PAYOH,1.3365,103.8651,POTONG PASIR,CENTRAL
1292,2013,Jan,350113,-,263.8,393.8,-,TOA PAYOH,1.3363,103.8633,POTONG PASIR,CENTRAL
1293,2013,Jan,350114,-,266.9,442.9,-,TOA PAYOH,1.3369,103.863,POTONG PASIR,CENTRAL
1294,2013,Jan,350115,-,270.1,-,-,TOA PAYOH,1.3371,103.8627,POTONG PASIR,CENTRAL
1295,2013,Jan,350116,-,347.9,533.7,-,TOA PAYOH,1.3368,103.8627,POTONG PASIR,CENTRAL
1296,2013,Jan,350117,-,302.4,411.7,-,TOA PAYOH,1.3362,103.8632,POTONG PASIR,CENTRAL
1297,2013,Jan,350118,-,291.0,463.1,-,TOA PAYOH,1.3355,103.8628,POTONG PASIR,CENTRAL
1298,2013,Jan,350119,-,287.1,408.1,-,TOA PAYOH,1.3351,103.8631,POTONG PASIR,CENTRAL
1299,2013,Jan,350120,-,287.0,385.5,-,TOA PAYOH,1.3356,103.8636,POTONG PASIR,CENTRAL
1300,2013,Jan,350121,-,267.8,357.4,443.7,TOA PAYOH,1.3355,103.8658,POTONG PASIR,CENTRAL
1301,2013,Jan,350122,-,-,407.2,393.2,TOA PAYOH,1.335,103.866,POTONG PASIR,CENTRAL
1302,2013,Jan,350123,-,-,-,670.3,TOA PAYOH,1.3352,103.8659,POTONG PASIR,CENTRAL
1303,2013,Jan,350124,-,-,-,634.8,TOA PAYOH,1.3354,103.8655,POTONG PASIR,CENTRAL
1304,2013,Jan,350125,-,-,-,478.3,TOA PAYOH,1.3355,103.8653,POTONG PASIR,CENTRAL
1305,2013,Jan,350126,-,-,-,364.6,TOA PAYOH,1.3349,103.8653,POTONG PASIR,CENTRAL
1306,2013,Jan,350127,-,-,-,463.3,TOA PAYOH,1.335,103.8655,POTONG PASIR,CENTRAL
1307,2013,Jan,350128,-,-,-,513.6,TOA PAYOH,1.3348,103.8659,POTONG PASIR,CENTRAL
1308,2013,Jan,350129,-,-,-,501.8,TOA PAYOH,1.3349,103.8655,POTONG PASIR,CENTRAL
1309,2013,Jan,350130,-,-,-,523.9,TOA PAYOH,1.3344,103.8655,POTONG PASIR,CENTRAL
1310,2013,Jan,350131,-,-,-,483.4,TOA PAYOH,1.3343,103.8654,POTONG PASIR,CENTRAL
1311,2013,Jan,350132,-,-,-,612.3,TOA PAYOH,1.3343,103.8656,POTONG PASIR,CENTRAL
1312,2013,Jan,350133,-,-,-,618.0,TOA PAYOH,1.3344,103.8658,POTONG PASIR,CENTRAL
1313,2013,Jan,350134,-,249.2,328.1,280.0,TOA PAYOH,1.3345,103.8665,POTONG PASIR,CENTRAL
1314,2013,Jan,350135,-,-,336.5,-,TOA PAYOH,1.3347,103.8667,POTONG PASIR,CENTRAL
1315,2013,Jan,350136,-,221.4,-,-,TOA PAYOH,1.3342,103.8666,POTONG PASIR,CENTRAL
1316,2013,Jan,350137,-,237.9,320.3,320.8,TOA PAYOH,1.3337,103.866,POTONG PASIR,CENTRAL
1317,2013,Jan,350138,-,-,350.7,-,TOA PAYOH,1.3336,103.8656,POTONG PASIR,CENTRAL
1318,2013,Jan,350139,-,259.7,334.8,524.3,TOA PAYOH,1.3333,103.8666,POTONG PASIR,CENTRAL
1319,2013,Jan,350140,-,265.3,411.5,320.6,TOA PAYOH,1.3336,103.867,POTONG PASIR,CENTRAL
1320,2013,Jan,350141,-,-,451.0,-,TOA PAYOH,1.334,103.8674,POTONG PASIR,CENTRAL
1321,2013,Jan,350142,-,249.9,401.3,388.3,TOA PAYOH,1.3334,103.8671,POTONG PASIR,CENTRAL
1322,2013,Jan,350143,-,262.5,375.9,420.5,TOA PAYOH,1.3327,103.8664,POTONG PASIR,CENTRAL
1323,2013,Jan,350144,-,-,317.7,-,TOA PAYOH,1.3327,103.8657,POTONG PASIR,CENTRAL
1324,2013,Jan,350145,-,258.5,321.6,436.0,TOA PAYOH,1.3324,103.8666,POTONG PASIR,CENTRAL
1325,2013,Jan,350146,-,284.5,331.8,-,TOA PAYOH,1.332,103.867,POTONG PASIR,CENTRAL
1326,2013,Jan,350148,-,241.9,274.2,-,TOA PAYOH,1.3324,103.8676,POTONG PASIR,CENTRAL
9941,2013,Feb,350101,-,257.2,-,-,TOA PAYOH,1.3333,103.8686,POTONG PASIR,CENTRAL
9942,2013,Feb,350102,-,266.8,356.4,301.7,TOA PAYOH,1.334,103.8686,POTONG PASIR,CENTRAL
9943,2013,Feb,350104,-,270.0,-,-,TOA PAYOH,1.3343,103.8692,POTONG PASIR,CENTRAL
9944,2013,Feb,350105,-,258.3,434.1,-,TOA PAYOH,1.3345,103.8689,POTONG PASIR,CENTRAL
9945,2013,Feb,350107,-,273.7,379.6,-,TOA PAYOH,1.3345,103.8684,POTONG PASIR,CENTRAL
9946,2013,Feb,350108,-,259.5,-,-,TOA PAYOH,1.3347,103.8679,POTONG PASIR,CENTRAL
9947,2013,Feb,350109,-,322.6,-,-,TOA PAYOH,1.335,103.8675,POTONG PASIR,CENTRAL
9948,2013,Feb,350110,-,-,-,460.7,TOA PAYOH,1.3365,103.8651,POTONG PASIR,CENTRAL
9949,2013,Feb,350113,-,216.8,335.1,-,TOA PAYOH,1.3363,103.8633,POTONG PASIR,CENTRAL
9950,2013,Feb,350114,-,218.2,361.9,-,TOA PAYOH,1.3369,103.863,POTONG PASIR,CENTRAL
9951,2013,Feb,350115,-,213.2,-,-,TOA PAYOH,1.3371,103.8627,POTONG PASIR,CENTRAL
9952,2013,Feb,350117,-,254.3,334.6,-,TOA PAYOH,1.3362,103.8632,POTONG PASIR,CENTRAL
9953,2013,Feb,350118,-,291.6,408.3,-,TOA PAYOH,1.3355,103.8628,POTONG PASIR,CENTRAL
9954,2013,Feb,350119,-,240.1,309.4,-,TOA PAYOH,1.3351,103.8631,POTONG PASIR,CENTRAL
9955,2013,Feb,350120,-,229.5,312.0,-,TOA PAYOH,1.3356,103.8636,POTONG PASIR,CENTRAL
9956,2013,Feb,350121,-,268.3,377.1,447.1,TOA PAYOH,1.3355,103.8658,POTONG PASIR,CENTRAL
9957,2013,Feb,350122,-,-,401.2,410.7,TOA PAYOH,1.335,103.866,POTONG PASIR,CENTRAL
9958,2013,Feb,350123,-,-,-,682.4,TOA PAYOH,1.3352,103.8659,POTONG PASIR,CENTRAL
9959,2013,Feb,350124,-,-,-,654.6,TOA PAYOH,1.3354,103.8655,POTONG PASIR,CENTRAL
9960,2013,Feb,350125,-,-,-,457.5,TOA PAYOH,1.3355,103.8653,POTONG PASIR,CENTRAL
