index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
509,2013,Jan,150005,-,241.1,-,-,BUKIT MERAH,1.285,103.8177,REDHILL,CENTRAL
518,2013,Jan,150015,-,212.2,-,-,BUKIT MERAH,1.286,103.8169,REDHILL,CENTRAL
519,2013,Jan,150016,-,287.0,-,-,BUKIT MERAH,1.2862,103.8174,REDHILL,CENTRAL
537,2013,Jan,150068,-,-,278.3,296.1,BUKIT MERAH,1.2867,103.816,REDHILL,CENTRAL
538,2013,Jan,150069,-,-,260.2,383.4,BUKIT MERAH,1.2867,103.8163,REDHILL,CENTRAL
539,2013,Jan,150070,-,-,301.9,366.6,BUKIT MERAH,1.2866,103.8166,REDHILL,CENTRAL
540,2013,Jan,150071,135.4,-,-,-,BUKIT MERAH,1.2875,103.8173,REDHILL,CENTRAL
541,2013,Jan,150072,126.4,-,-,-,BUKIT MERAH,1.2873,103.8162,REDHILL,CENTRAL
542,2013,Jan,150078,141.2,-,-,-,BUKIT MERAH,1.2883,103.8185,REDHILL,CENTRAL
543,2013,Jan,150081,-,-,317.2,412.9,BUKIT MERAH,1.2879,103.8196,REDHILL,CENTRAL
544,2013,Jan,150082,-,-,347.4,382.1,BUKIT MERAH,1.2876,103.8192,REDHILL,CENTRAL
545,2013,Jan,150083,-,-,379.2,426.8,BUKIT MERAH,1.287,103.8192,REDHILL,CENTRAL
546,2013,Jan,150086,-,207.1,-,-,BUKIT MERAH,1.2869,103.8182,REDHILL,CENTRAL
547,2013,Jan,150087,-,-,-,422.0,BUKIT MERAH,1.2866,103.8191,REDHILL,CENTRAL
548,2013,Jan,150088,-,-,331.0,-,BUKIT MERAH,1.286,103.8187,REDHILL,CENTRAL
549,2013,Jan,150089,118.0,-,-,-,BUKIT MERAH,1.2856,103.8188,REDHILL,CENTRAL
550,2013,Jan,150090,100.7,-,-,-,BUKIT MERAH,1.2852,103.8187,REDHILL,CENTRAL
575,2013,Jan,151002,-,278.7,-,-,BUKIT MERAH,1.2851,103.8174,REDHILL,CENTRAL
576,2013,Jan,151003,-,271.8,-,-,BUKIT MERAH,1.285,103.8167,REDHILL,CENTRAL
577,2013,Jan,151006,-,208.5,-,-,BUKIT MERAH,1.2851,103.8172,REDHILL,CENTRAL
578,2013,Jan,151007,-,263.3,-,-,BUKIT MERAH,1.285,103.8177,REDHILL,CENTRAL
579,2013,Jan,151009,-,241.6,-,-,BUKIT MERAH,1.285,103.8163,REDHILL,CENTRAL
580,2013,Jan,151010,-,248.6,-,-,BUKIT MERAH,1.2849,103.8162,REDHILL,CENTRAL
581,2013,Jan,151011,-,223.8,-,-,BUKIT MERAH,1.2855,103.8164,REDHILL,CENTRAL
582,2013,Jan,151012,-,263.7,-,-,BUKIT MERAH,1.286,103.8166,REDHILL,CENTRAL
583,2013,Jan,151013,-,232.3,-,-,BUKIT MERAH,1.2853,103.8169,REDHILL,CENTRAL
584,2013,Jan,151014,-,228.7,-,-,BUKIT MERAH,1.2853,103.8172,REDHILL,CENTRAL
