index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
791,2013,Jan,180002,-,280.4,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
801,2013,Jan,181003,-,282.5,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
9446,2013,Feb,180002,-,313.1,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
9456,2013,Feb,181003,-,310.5,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
18075,2013,Mar,180002,-,263.4,369.2,744.7,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
18085,2013,Mar,181003,-,255.7,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
26729,2013,Apr,180002,-,301.8,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
26739,2013,Apr,181003,-,294.8,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
35419,2013,May,180002,-,370.2,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
35429,2013,May,181003,-,417.3,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
44003,2013,Jun,180002,-,350.2,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
44013,2013,Jun,181003,-,362.2,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
52679,2013,Jul,180002,-,347.4,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
52689,2013,Jul,181003,-,351.5,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
61361,2013,Aug,180002,-,389.4,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
61371,2013,Aug,181003,-,393.9,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
70023,2013,Sep,180002,-,300.1,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
70033,2013,Sep,181003,-,318.7,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
78712,2013,Oct,180002,-,343.0,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
78722,2013,Oct,181003,-,359.3,-,-,ROCHOR,1.3030000000000002,103.8554,ROCHOR CANAL,CENTRAL
87383,2013,Nov,180002,-,343.7,-,-,ROCHOR,1.3029,103.8554,ROCHOR CANAL,CENTRAL
