index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6443,2013,Jan,670501,-,-,338.8,321.1,BUKIT PANJANG,1.3834,103.7671,SAUJANA,WEST
6444,2013,Jan,670502,-,-,366.9,397.5,BUKIT PANJANG,1.3838,103.767,SAUJANA,WEST
6445,2013,Jan,670503,-,-,-,446.6,BUKIT PANJANG,1.3847,103.7665,SAUJANA,WEST
6446,2013,Jan,670504,-,-,340.9,389.0,BUKIT PANJANG,1.3847,103.767,SAUJANA,WEST
6447,2013,Jan,670505,-,-,364.7,379.7,BUKIT PANJANG,1.3843,103.7673,SAUJANA,WEST
6448,2013,Jan,670506,-,-,283.1,367.6,BUKIT PANJANG,1.3871,103.7679,SAUJANA,WEST
6449,2013,Jan,670507,-,-,310.3,380.1,BUKIT PANJANG,1.3867,103.7677,SAUJANA,WEST
6450,2013,Jan,670508,-,-,295.2,-,BUKIT PANJANG,1.3863,103.7684,SAUJANA,WEST
6451,2013,Jan,670509,-,-,362.2,-,BUKIT PANJANG,1.3868,103.769,SAUJANA,WEST
6452,2013,Jan,670510,-,-,342.6,-,BUKIT PANJANG,1.3877,103.7689,SAUJANA,WEST
6453,2013,Jan,670511,-,-,338.1,473.3,BUKIT PANJANG,1.3878,103.7682,SAUJANA,WEST
6454,2013,Jan,670512,-,-,364.8,365.5,BUKIT PANJANG,1.3876,103.7679,SAUJANA,WEST
6455,2013,Jan,670513,-,-,362.1,487.3,BUKIT PANJANG,1.3879,103.7678,SAUJANA,WEST
6456,2013,Jan,670514,-,-,408.5,420.1,BUKIT PANJANG,1.3875,103.7673,SAUJANA,WEST
6457,2013,Jan,670515,-,-,349.6,406.7,BUKIT PANJANG,1.3884,103.7673,SAUJANA,WEST
6458,2013,Jan,670516,-,-,370.5,477.6,BUKIT PANJANG,1.3874,103.7672,SAUJANA,WEST
6459,2013,Jan,670517,-,-,392.9,408.5,BUKIT PANJANG,1.3884,103.7665,SAUJANA,WEST
6460,2013,Jan,670518,-,-,353.0,435.7,BUKIT PANJANG,1.3871,103.767,SAUJANA,WEST
6461,2013,Jan,670519,-,-,310.3,371.8,BUKIT PANJANG,1.3881,103.7661,SAUJANA,WEST
6462,2013,Jan,670520,-,-,320.3,369.4,BUKIT PANJANG,1.3868,103.7664,SAUJANA,WEST
6463,2013,Jan,670521,-,-,278.0,374.6,BUKIT PANJANG,1.3876,103.7657,SAUJANA,WEST
6464,2013,Jan,670522,-,-,295.4,388.3,BUKIT PANJANG,1.3863,103.7663,SAUJANA,WEST
6465,2013,Jan,670523,-,-,312.5,359.9,BUKIT PANJANG,1.3868,103.7664,SAUJANA,WEST
6466,2013,Jan,670524,-,-,318.9,368.2,BUKIT PANJANG,1.3861,103.766,SAUJANA,WEST
6467,2013,Jan,670525,-,-,384.5,348.4,BUKIT PANJANG,1.3868,103.7651,SAUJANA,WEST
6468,2013,Jan,670526,-,-,276.2,343.5,BUKIT PANJANG,1.3855,103.7652,SAUJANA,WEST
6469,2013,Jan,670527,-,-,369.0,453.1,BUKIT PANJANG,1.3861,103.7649,SAUJANA,WEST
6470,2013,Jan,670528,-,-,-,430.7,BUKIT PANJANG,1.385,103.765,SAUJANA,WEST
6471,2013,Jan,670529,-,-,394.9,441.8,BUKIT PANJANG,1.386,103.7649,SAUJANA,WEST
6472,2013,Jan,670530,-,-,356.0,426.7,BUKIT PANJANG,1.385,103.765,SAUJANA,WEST
6473,2013,Jan,670531,-,-,339.8,460.0,BUKIT PANJANG,1.3858,103.7641,SAUJANA,WEST
6474,2013,Jan,670532,-,-,-,421.0,BUKIT PANJANG,1.3851,103.7644,SAUJANA,WEST
6475,2013,Jan,670533,-,-,313.0,373.9,BUKIT PANJANG,1.385,103.7637,SAUJANA,WEST
6476,2013,Jan,670534,-,-,273.4,354.0,BUKIT PANJANG,1.3846,103.7642,SAUJANA,WEST
6477,2013,Jan,670535,-,-,312.7,314.2,BUKIT PANJANG,1.3844,103.7632,SAUJANA,WEST
6478,2013,Jan,670536,-,-,275.9,408.2,BUKIT PANJANG,1.3842,103.764,SAUJANA,WEST
6479,2013,Jan,670537,-,-,329.2,402.4,BUKIT PANJANG,1.3837,103.763,SAUJANA,WEST
6480,2013,Jan,670538,-,-,283.2,365.0,BUKIT PANJANG,1.3837,103.7639,SAUJANA,WEST
6481,2013,Jan,670539,-,-,327.9,365.8,BUKIT PANJANG,1.3829,103.7626,SAUJANA,WEST
