index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7613,2013,Jan,750300,-,-,345.8,392.5,SEMBAWANG,1.4456,103.8229,SEMBAWANG CENTRAL,NORTH
7614,2013,Jan,750302,-,-,348.4,-,SEMBAWANG,1.4451,103.823,SEMBAWANG CENTRAL,NORTH
7615,2013,Jan,750303,-,-,356.5,465.6,SEMBAWANG,1.4449,103.8224,SEMBAWANG CENTRAL,NORTH
7616,2013,Jan,750304,-,-,303.1,452.0,SEMBAWANG,1.445,103.8224,SEMBAWANG CENTRAL,NORTH
7617,2013,Jan,750305,-,-,-,510.4,SEMBAWANG,1.4454,103.8221,SEMBAWANG CENTRAL,NORTH
7618,2013,Jan,750306,-,-,408.4,449.9,SEMBAWANG,1.446,103.8225,SEMBAWANG CENTRAL,NORTH
7619,2013,Jan,750307,-,-,-,515.1,SEMBAWANG,1.446,103.8217,SEMBAWANG CENTRAL,NORTH
7620,2013,Jan,750308,-,-,449.5,516.7,SEMBAWANG,1.4464,103.8218,SEMBAWANG CENTRAL,NORTH
7621,2013,Jan,750309,-,-,377.6,477.4,SEMBAWANG,1.4467,103.8215,SEMBAWANG CENTRAL,NORTH
7622,2013,Jan,750310,-,-,-,515.8,SEMBAWANG,1.4469,103.822,SEMBAWANG CENTRAL,NORTH
7623,2013,Jan,750311,-,-,409.4,446.0,SEMBAWANG,1.4465,103.8225,SEMBAWANG CENTRAL,NORTH
7624,2013,Jan,750312,-,-,354.8,458.3,SEMBAWANG,1.4443,103.8211,SEMBAWANG CENTRAL,NORTH
7625,2013,Jan,750313,-,-,328.0,422.6,SEMBAWANG,1.4442,103.821,SEMBAWANG CENTRAL,NORTH
7626,2013,Jan,750314,-,-,368.5,-,SEMBAWANG,1.4434,103.821,SEMBAWANG CENTRAL,NORTH
7627,2013,Jan,750315,-,-,443.7,438.1,SEMBAWANG,1.4468,103.8205,SEMBAWANG CENTRAL,NORTH
7628,2013,Jan,750316,-,-,360.6,428.1,SEMBAWANG,1.4472,103.8209,SEMBAWANG CENTRAL,NORTH
7629,2013,Jan,750317,-,-,373.9,433.9,SEMBAWANG,1.4459,103.8203,SEMBAWANG CENTRAL,NORTH
7630,2013,Jan,750318,-,-,412.8,410.9,SEMBAWANG,1.4464,103.8201,SEMBAWANG CENTRAL,NORTH
7631,2013,Jan,750319,-,-,347.6,472.0,SEMBAWANG,1.446,103.8193,SEMBAWANG CENTRAL,NORTH
7632,2013,Jan,750320,-,-,380.8,483.7,SEMBAWANG,1.4466,103.8183,SEMBAWANG CENTRAL,NORTH
7633,2013,Jan,750321,-,-,338.7,463.3,SEMBAWANG,1.4461,103.8185,SEMBAWANG CENTRAL,NORTH
7634,2013,Jan,750322,-,-,337.2,467.2,SEMBAWANG,1.4457,103.8183,SEMBAWANG CENTRAL,NORTH
7635,2013,Jan,750323,-,-,323.0,388.5,SEMBAWANG,1.4452,103.818,SEMBAWANG CENTRAL,NORTH
7636,2013,Jan,750324,-,-,394.0,455.3,SEMBAWANG,1.4447,103.8178,SEMBAWANG CENTRAL,NORTH
7637,2013,Jan,750325,-,-,406.4,483.4,SEMBAWANG,1.4446,103.8188,SEMBAWANG CENTRAL,NORTH
7638,2013,Jan,750326,-,-,386.1,436.1,SEMBAWANG,1.445,103.8192,SEMBAWANG CENTRAL,NORTH
7639,2013,Jan,750327,-,-,370.5,415.7,SEMBAWANG,1.4455,103.819,SEMBAWANG CENTRAL,NORTH
7640,2013,Jan,750328,-,-,396.4,396.1,SEMBAWANG,1.4456,103.8194,SEMBAWANG CENTRAL,NORTH
7641,2013,Jan,750329,-,-,328.2,485.9,SEMBAWANG,1.4465,103.8176,SEMBAWANG CENTRAL,NORTH
7642,2013,Jan,750330,-,-,344.1,395.1,SEMBAWANG,1.4466,103.8182,SEMBAWANG CENTRAL,NORTH
7643,2013,Jan,750331,-,-,374.0,397.1,SEMBAWANG,1.4474,103.8164,SEMBAWANG CENTRAL,NORTH
7644,2013,Jan,750332,-,-,406.3,454.6,SEMBAWANG,1.4469,103.817,SEMBAWANG CENTRAL,NORTH
7645,2013,Jan,750333,-,-,339.7,473.8,SEMBAWANG,1.4471,103.8163,SEMBAWANG CENTRAL,NORTH
7646,2013,Jan,750334,-,-,360.0,476.1,SEMBAWANG,1.4475,103.8162,SEMBAWANG CENTRAL,NORTH
7647,2013,Jan,750335,-,-,350.2,464.0,SEMBAWANG,1.4474,103.8148,SEMBAWANG CENTRAL,NORTH
7648,2013,Jan,750336,-,-,345.8,446.8,SEMBAWANG,1.4468,103.8152,SEMBAWANG CENTRAL,NORTH
7649,2013,Jan,750337,-,-,298.0,435.8,SEMBAWANG,1.4463,103.8153,SEMBAWANG CENTRAL,NORTH
7650,2013,Jan,750338,-,-,356.6,430.7,SEMBAWANG,1.4459,103.8151,SEMBAWANG CENTRAL,NORTH
7651,2013,Jan,750341,-,-,401.2,475.4,SEMBAWANG,1.4471,103.8186,SEMBAWANG CENTRAL,NORTH
7652,2013,Jan,750357,-,-,348.0,458.3,SEMBAWANG,1.45,103.8163,SEMBAWANG CENTRAL,NORTH
7653,2013,Jan,750359,-,-,365.3,405.4,SEMBAWANG,1.4499,103.8158,SEMBAWANG CENTRAL,NORTH
7707,2013,Jan,751339,-,-,417.3,467.6,SEMBAWANG,1.4482,103.8178,SEMBAWANG CENTRAL,NORTH
7708,2013,Jan,751340,-,-,423.7,424.0,SEMBAWANG,1.4474,103.8177,SEMBAWANG CENTRAL,NORTH
7709,2013,Jan,751341,-,-,455.8,465.2,SEMBAWANG,1.4475,103.8188,SEMBAWANG CENTRAL,NORTH
7710,2013,Jan,751350,-,-,358.8,370.7,SEMBAWANG,1.4507,103.8205,SEMBAWANG CENTRAL,NORTH
7711,2013,Jan,751351,-,-,308.7,393.1,SEMBAWANG,1.4503,103.8203,SEMBAWANG CENTRAL,NORTH
7712,2013,Jan,751352,-,-,349.4,383.2,SEMBAWANG,1.4509,103.8195,SEMBAWANG CENTRAL,NORTH
7713,2013,Jan,751353,-,-,304.3,379.6,SEMBAWANG,1.4503,103.8186,SEMBAWANG CENTRAL,NORTH
7714,2013,Jan,751354,-,-,343.4,348.2,SEMBAWANG,1.4499,103.819,SEMBAWANG CENTRAL,NORTH
7715,2013,Jan,751355,-,-,-,356.9,SEMBAWANG,1.4497,103.819,SEMBAWANG CENTRAL,NORTH
7716,2013,Jan,751356,-,-,322.0,422.6,SEMBAWANG,1.4502,103.8166,SEMBAWANG CENTRAL,NORTH
7717,2013,Jan,751357,-,-,407.0,468.7,SEMBAWANG,1.4503,103.8169,SEMBAWANG CENTRAL,NORTH
7718,2013,Jan,751359,-,-,440.1,439.3,SEMBAWANG,1.4498,103.8155,SEMBAWANG CENTRAL,NORTH
7719,2013,Jan,751360,-,-,387.7,514.4,SEMBAWANG,1.4491,103.8159,SEMBAWANG CENTRAL,NORTH
7735,2013,Jan,752339,-,-,394.8,393.8,SEMBAWANG,1.4481,103.8174,SEMBAWANG CENTRAL,NORTH
7736,2013,Jan,752340,-,-,432.4,455.9,SEMBAWANG,1.4471,103.8182,SEMBAWANG CENTRAL,NORTH
7737,2013,Jan,752341,-,-,431.9,498.9,SEMBAWANG,1.4481,103.8186,SEMBAWANG CENTRAL,NORTH
7738,2013,Jan,752350,-,-,332.9,394.8,SEMBAWANG,1.4503,103.8206,SEMBAWANG CENTRAL,NORTH
7739,2013,Jan,752351,-,-,325.4,386.4,SEMBAWANG,1.4508,103.8198,SEMBAWANG CENTRAL,NORTH
7740,2013,Jan,752352,-,-,350.5,416.3,SEMBAWANG,1.4506,103.8202,SEMBAWANG CENTRAL,NORTH
7741,2013,Jan,752353,-,-,291.5,359.6,SEMBAWANG,1.4499,103.819,SEMBAWANG CENTRAL,NORTH
7742,2013,Jan,752354,-,-,283.2,370.3,SEMBAWANG,1.4503,103.8186,SEMBAWANG CENTRAL,NORTH
7743,2013,Jan,752356,-,-,384.7,478.3,SEMBAWANG,1.4491,103.8176,SEMBAWANG CENTRAL,NORTH
7744,2013,Jan,752357,-,-,374.9,461.6,SEMBAWANG,1.4503,103.8177,SEMBAWANG CENTRAL,NORTH
7745,2013,Jan,752359,-,-,333.5,416.5,SEMBAWANG,1.4496,103.8151,SEMBAWANG CENTRAL,NORTH
7746,2013,Jan,752360,-,-,374.1,514.1,SEMBAWANG,1.4488,103.8155,SEMBAWANG CENTRAL,NORTH
7760,2013,Jan,753350,-,-,345.6,387.1,SEMBAWANG,1.4502,103.8203,SEMBAWANG CENTRAL,NORTH
7761,2013,Jan,753351,-,-,304.4,356.6,SEMBAWANG,1.4512,103.8198,SEMBAWANG CENTRAL,NORTH
7762,2013,Jan,753352,-,-,342.4,368.2,SEMBAWANG,1.4501,103.8201,SEMBAWANG CENTRAL,NORTH
7763,2013,Jan,753353,-,-,344.6,385.1,SEMBAWANG,1.4496,103.8192,SEMBAWANG CENTRAL,NORTH
7764,2013,Jan,753354,-,-,219.7,388.1,SEMBAWANG,1.4506,103.8184,SEMBAWANG CENTRAL,NORTH
7765,2013,Jan,753356,-,-,373.7,440.3,SEMBAWANG,1.4495,103.818,SEMBAWANG CENTRAL,NORTH
7766,2013,Jan,753357,-,-,413.4,419.5,SEMBAWANG,1.4499,103.8178,SEMBAWANG CENTRAL,NORTH
7767,2013,Jan,753359,-,-,356.4,458.1,SEMBAWANG,1.4492,103.8145,SEMBAWANG CENTRAL,NORTH
7768,2013,Jan,753360,-,-,378.8,459.9,SEMBAWANG,1.4485,103.815,SEMBAWANG CENTRAL,NORTH
7778,2013,Jan,754351,-,-,-,433.7,SEMBAWANG,1.4511,103.8196,SEMBAWANG CENTRAL,NORTH
7779,2013,Jan,754354,-,-,-,406.0,SEMBAWANG,1.4507,103.8188,SEMBAWANG CENTRAL,NORTH
16249,2013,Feb,750300,-,-,302.4,357.8,SEMBAWANG,1.4456,103.8229,SEMBAWANG CENTRAL,NORTH
16250,2013,Feb,750302,-,-,325.4,-,SEMBAWANG,1.4451,103.823,SEMBAWANG CENTRAL,NORTH
16251,2013,Feb,750303,-,-,357.0,487.7,SEMBAWANG,1.4449,103.8224,SEMBAWANG CENTRAL,NORTH
16252,2013,Feb,750304,-,-,321.8,486.7,SEMBAWANG,1.445,103.8224,SEMBAWANG CENTRAL,NORTH
16253,2013,Feb,750305,-,-,-,487.8,SEMBAWANG,1.4454,103.8221,SEMBAWANG CENTRAL,NORTH
16254,2013,Feb,750306,-,-,317.5,389.0,SEMBAWANG,1.446,103.8225,SEMBAWANG CENTRAL,NORTH
16255,2013,Feb,750307,-,-,-,411.5,SEMBAWANG,1.446,103.8217,SEMBAWANG CENTRAL,NORTH
16256,2013,Feb,750308,-,-,372.9,437.9,SEMBAWANG,1.4464,103.8218,SEMBAWANG CENTRAL,NORTH
16257,2013,Feb,750309,-,-,329.5,381.4,SEMBAWANG,1.4467,103.8215,SEMBAWANG CENTRAL,NORTH
16258,2013,Feb,750310,-,-,-,447.4,SEMBAWANG,1.4469,103.822,SEMBAWANG CENTRAL,NORTH
16259,2013,Feb,750311,-,-,299.1,363.1,SEMBAWANG,1.4465,103.8225,SEMBAWANG CENTRAL,NORTH
16260,2013,Feb,750312,-,-,308.4,420.5,SEMBAWANG,1.4443,103.8211,SEMBAWANG CENTRAL,NORTH
16261,2013,Feb,750313,-,-,306.7,395.7,SEMBAWANG,1.4442,103.821,SEMBAWANG CENTRAL,NORTH
16262,2013,Feb,750314,-,-,341.3,-,SEMBAWANG,1.4434,103.821,SEMBAWANG CENTRAL,NORTH
16263,2013,Feb,750315,-,-,356.9,375.8,SEMBAWANG,1.4468,103.8205,SEMBAWANG CENTRAL,NORTH
16264,2013,Feb,750316,-,-,298.8,330.8,SEMBAWANG,1.4472,103.8209,SEMBAWANG CENTRAL,NORTH
16265,2013,Feb,750317,-,-,337.3,363.4,SEMBAWANG,1.4459,103.8203,SEMBAWANG CENTRAL,NORTH
16266,2013,Feb,750318,-,-,316.6,329.2,SEMBAWANG,1.4464,103.8201,SEMBAWANG CENTRAL,NORTH
16267,2013,Feb,750319,-,-,313.7,411.7,SEMBAWANG,1.446,103.8193,SEMBAWANG CENTRAL,NORTH
16268,2013,Feb,750320,-,-,356.0,448.4,SEMBAWANG,1.4466,103.8183,SEMBAWANG CENTRAL,NORTH
16269,2013,Feb,750321,-,-,300.9,416.2,SEMBAWANG,1.4461,103.8185,SEMBAWANG CENTRAL,NORTH
16270,2013,Feb,750322,-,-,298.2,433.4,SEMBAWANG,1.4457,103.8183,SEMBAWANG CENTRAL,NORTH
16271,2013,Feb,750323,-,-,332.5,342.4,SEMBAWANG,1.4452,103.818,SEMBAWANG CENTRAL,NORTH
16272,2013,Feb,750324,-,-,377.7,441.0,SEMBAWANG,1.4447,103.8178,SEMBAWANG CENTRAL,NORTH
16273,2013,Feb,750325,-,-,319.9,438.4,SEMBAWANG,1.4446,103.8188,SEMBAWANG CENTRAL,NORTH
16274,2013,Feb,750326,-,-,342.7,365.1,SEMBAWANG,1.445,103.8192,SEMBAWANG CENTRAL,NORTH
16275,2013,Feb,750327,-,-,343.8,376.9,SEMBAWANG,1.4455,103.819,SEMBAWANG CENTRAL,NORTH
16276,2013,Feb,750328,-,-,340.0,340.4,SEMBAWANG,1.4456,103.8194,SEMBAWANG CENTRAL,NORTH
16277,2013,Feb,750329,-,-,287.1,420.2,SEMBAWANG,1.4465,103.8176,SEMBAWANG CENTRAL,NORTH
16278,2013,Feb,750330,-,-,339.3,407.6,SEMBAWANG,1.4466,103.8182,SEMBAWANG CENTRAL,NORTH
16279,2013,Feb,750331,-,-,347.3,369.3,SEMBAWANG,1.4474,103.8164,SEMBAWANG CENTRAL,NORTH
16280,2013,Feb,750332,-,-,299.6,377.3,SEMBAWANG,1.4469,103.817,SEMBAWANG CENTRAL,NORTH
16281,2013,Feb,750333,-,-,340.6,438.7,SEMBAWANG,1.4471,103.8163,SEMBAWANG CENTRAL,NORTH
16282,2013,Feb,750334,-,-,368.7,475.5,SEMBAWANG,1.4475,103.8162,SEMBAWANG CENTRAL,NORTH
