index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7654,2013,Jan,750401,-,-,389.5,390.0,SEMBAWANG,1.4542,103.8159,SEMBAWANG NORTH,NORTH
7655,2013,Jan,750402,-,-,345.6,387.4,SEMBAWANG,1.4539,103.8159,SEMBAWANG NORTH,NORTH
7656,2013,Jan,750403,-,-,292.2,393.4,SEMBAWANG,1.4541,103.8161,SEMBAWANG NORTH,NORTH
7657,2013,Jan,750404,-,-,319.8,386.7,SEMBAWANG,1.4534,103.8164,SEMBAWANG NORTH,NORTH
7658,2013,Jan,750405,-,-,360.6,-,SEMBAWANG,1.4535,103.816,SEMBAWANG NORTH,NORTH
7659,2013,Jan,750406,-,-,314.8,-,SEMBAWANG,1.4531,103.8167,SEMBAWANG NORTH,NORTH
7660,2013,Jan,750407,-,-,371.5,424.4,SEMBAWANG,1.4532,103.8169,SEMBAWANG NORTH,NORTH
7661,2013,Jan,750408,-,-,-,464.0,SEMBAWANG,1.4534,103.8174,SEMBAWANG NORTH,NORTH
7662,2013,Jan,750409,-,-,396.1,407.8,SEMBAWANG,1.453,103.8175,SEMBAWANG NORTH,NORTH
7663,2013,Jan,750410,-,-,277.7,405.8,SEMBAWANG,1.4525,103.8179,SEMBAWANG NORTH,NORTH
7664,2013,Jan,750411,-,-,315.6,425.9,SEMBAWANG,1.4523,103.8179,SEMBAWANG NORTH,NORTH
7665,2013,Jan,750412,-,-,366.5,417.6,SEMBAWANG,1.4517,103.8176,SEMBAWANG NORTH,NORTH
7666,2013,Jan,750413,-,-,342.6,407.2,SEMBAWANG,1.4516,103.8176,SEMBAWANG NORTH,NORTH
7667,2013,Jan,750414,-,-,313.9,445.4,SEMBAWANG,1.4513,103.8182,SEMBAWANG NORTH,NORTH
7668,2013,Jan,750415,-,-,-,513.7,SEMBAWANG,1.4517,103.8183,SEMBAWANG NORTH,NORTH
7669,2013,Jan,750416,-,-,-,461.4,SEMBAWANG,1.4521,103.819,SEMBAWANG NORTH,NORTH
7670,2013,Jan,750417,-,-,345.9,376.2,SEMBAWANG,1.452,103.8196,SEMBAWANG NORTH,NORTH
7671,2013,Jan,750418,-,-,284.8,377.2,SEMBAWANG,1.4523,103.8192,SEMBAWANG NORTH,NORTH
7672,2013,Jan,750419,-,-,375.5,387.2,SEMBAWANG,1.4522,103.819,SEMBAWANG NORTH,NORTH
