index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3827,2013,Jan,540202,-,-,294.3,-,SENGKANG,1.3886,103.8932,SENGKANG TOWN CENTRE,NORTH-EAST
3828,2013,Jan,540229,-,-,266.6,343.3,SENGKANG,1.3887,103.9006,SENGKANG TOWN CENTRE,NORTH-EAST
3829,2013,Jan,540230,-,-,330.5,291.4,SENGKANG,1.3883,103.9013,SENGKANG TOWN CENTRE,NORTH-EAST
3830,2013,Jan,540231,-,-,327.1,335.5,SENGKANG,1.3896,103.9015,SENGKANG TOWN CENTRE,NORTH-EAST
3831,2013,Jan,540232,-,-,306.5,382.5,SENGKANG,1.3905,103.9007,SENGKANG TOWN CENTRE,NORTH-EAST
3832,2013,Jan,540233,-,-,257.1,349.6,SENGKANG,1.3899,103.9004,SENGKANG TOWN CENTRE,NORTH-EAST
3833,2013,Jan,540234,-,-,287.9,439.8,SENGKANG,1.3908,103.9003,SENGKANG TOWN CENTRE,NORTH-EAST
3834,2013,Jan,540235,-,-,293.2,387.6,SENGKANG,1.3908,103.8991,SENGKANG TOWN CENTRE,NORTH-EAST
3835,2013,Jan,540236,-,-,291.7,376.1,SENGKANG,1.3907,103.8991,SENGKANG TOWN CENTRE,NORTH-EAST
3836,2013,Jan,540237,-,-,275.1,421.6,SENGKANG,1.3898,103.8985,SENGKANG TOWN CENTRE,NORTH-EAST
3837,2013,Jan,540238,-,-,321.6,336.6,SENGKANG,1.3906,103.899,SENGKANG TOWN CENTRE,NORTH-EAST
3838,2013,Jan,540239,-,-,286.7,338.1,SENGKANG,1.3914,103.8985,SENGKANG TOWN CENTRE,NORTH-EAST
3839,2013,Jan,540240,-,-,328.1,409.8,SENGKANG,1.3909,103.8979,SENGKANG TOWN CENTRE,NORTH-EAST
3840,2013,Jan,540241,-,-,329.5,368.1,SENGKANG,1.3902,103.8978,SENGKANG TOWN CENTRE,NORTH-EAST
3841,2013,Jan,540244,-,-,-,311.4,SENGKANG,1.3935,103.8992,SENGKANG TOWN CENTRE,NORTH-EAST
3842,2013,Jan,540245,-,-,-,349.5,SENGKANG,1.393,103.8991,SENGKANG TOWN CENTRE,NORTH-EAST
3843,2013,Jan,540246,-,-,-,299.3,SENGKANG,1.3927,103.8989,SENGKANG TOWN CENTRE,NORTH-EAST
3844,2013,Jan,540247,-,-,279.2,-,SENGKANG,1.392,103.8993,SENGKANG TOWN CENTRE,NORTH-EAST
3845,2013,Jan,540248,-,-,292.0,302.9,SENGKANG,1.3922,103.8982,SENGKANG TOWN CENTRE,NORTH-EAST
3846,2013,Jan,540249,-,-,298.9,-,SENGKANG,1.392,103.8991,SENGKANG TOWN CENTRE,NORTH-EAST
3847,2013,Jan,540251,-,-,-,371.2,SENGKANG,1.3937,103.9002,SENGKANG TOWN CENTRE,NORTH-EAST
3848,2013,Jan,540252,-,-,294.6,352.9,SENGKANG,1.3942,103.901,SENGKANG TOWN CENTRE,NORTH-EAST
3849,2013,Jan,540253,-,-,-,312.1,SENGKANG,1.3942,103.9001,SENGKANG TOWN CENTRE,NORTH-EAST
3850,2013,Jan,540254,-,-,-,363.3,SENGKANG,1.3941,103.8998,SENGKANG TOWN CENTRE,NORTH-EAST
3851,2013,Jan,540255,-,-,-,324.7,SENGKANG,1.3942,103.8995,SENGKANG TOWN CENTRE,NORTH-EAST
3852,2013,Jan,540256,-,-,-,374.2,SENGKANG,1.3939,103.8991,SENGKANG TOWN CENTRE,NORTH-EAST
3875,2013,Jan,541200,-,-,378.9,348.8,SENGKANG,1.3871,103.8918,SENGKANG TOWN CENTRE,NORTH-EAST
3876,2013,Jan,541201,-,-,343.6,388.1,SENGKANG,1.3887,103.8928,SENGKANG TOWN CENTRE,NORTH-EAST
3877,2013,Jan,541202,-,-,-,440.3,SENGKANG,1.3885,103.893,SENGKANG TOWN CENTRE,NORTH-EAST
3878,2013,Jan,541203,-,-,362.5,336.5,SENGKANG,1.3866,103.8958,SENGKANG TOWN CENTRE,NORTH-EAST
3879,2013,Jan,541204,-,-,276.2,325.7,SENGKANG,1.3881,103.895,SENGKANG TOWN CENTRE,NORTH-EAST
3880,2013,Jan,541205,-,-,-,502.1,SENGKANG,1.3858,103.8973,SENGKANG TOWN CENTRE,NORTH-EAST
