index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6488,2013,Jan,670601,-,-,340.3,-,BUKIT PANJANG,1.3819,103.7623,SENJA,WEST
6489,2013,Jan,670602,-,-,317.9,-,BUKIT PANJANG,1.3814,103.7626,SENJA,WEST
6490,2013,Jan,670603,-,-,304.2,364.4,BUKIT PANJANG,1.3814,103.7619,SENJA,WEST
6491,2013,Jan,670604,-,-,351.4,375.3,BUKIT PANJANG,1.3811,103.7623,SENJA,WEST
6492,2013,Jan,670605,-,-,347.2,337.2,BUKIT PANJANG,1.382,103.7617,SENJA,WEST
6493,2013,Jan,670606,-,-,289.9,381.6,BUKIT PANJANG,1.382,103.7616,SENJA,WEST
6494,2013,Jan,670607,-,-,-,399.0,BUKIT PANJANG,1.3825,103.7613,SENJA,WEST
6495,2013,Jan,670608,-,-,-,362.9,BUKIT PANJANG,1.3829,103.7612,SENJA,WEST
6496,2013,Jan,670609,-,-,333.4,361.0,BUKIT PANJANG,1.383,103.7621,SENJA,WEST
6497,2013,Jan,670610,-,-,-,338.0,BUKIT PANJANG,1.3834,103.761,SENJA,WEST
6498,2013,Jan,670611,-,-,316.5,328.0,BUKIT PANJANG,1.3837,103.762,SENJA,WEST
6499,2013,Jan,670612,-,-,259.1,309.8,BUKIT PANJANG,1.3838,103.7609,SENJA,WEST
6500,2013,Jan,670613,-,-,335.4,326.8,BUKIT PANJANG,1.3843,103.7622,SENJA,WEST
6501,2013,Jan,670614,-,-,304.1,315.3,BUKIT PANJANG,1.3843,103.7608,SENJA,WEST
6502,2013,Jan,670615,-,-,329.1,343.0,BUKIT PANJANG,1.3851,103.7625,SENJA,WEST
6503,2013,Jan,670616,-,-,279.9,-,BUKIT PANJANG,1.3848,103.761,SENJA,WEST
6504,2013,Jan,670617,-,-,-,360.6,BUKIT PANJANG,1.3855,103.7629,SENJA,WEST
6505,2013,Jan,670618,-,-,263.4,-,BUKIT PANJANG,1.3856,103.7614,SENJA,WEST
6506,2013,Jan,670619,-,-,263.6,324.5,BUKIT PANJANG,1.386,103.7625,SENJA,WEST
6507,2013,Jan,670620,-,-,232.8,239.0,BUKIT PANJANG,1.386,103.7617,SENJA,WEST
6508,2013,Jan,670621,-,-,331.1,298.0,BUKIT PANJANG,1.386,103.7629,SENJA,WEST
6509,2013,Jan,670622,-,-,259.1,340.7,BUKIT PANJANG,1.3857,103.7613,SENJA,WEST
6510,2013,Jan,670623,-,-,290.1,296.8,BUKIT PANJANG,1.3864,103.762,SENJA,WEST
6511,2013,Jan,670624,-,-,280.5,316.4,BUKIT PANJANG,1.3863,103.7617,SENJA,WEST
6512,2013,Jan,670625,-,-,312.6,360.7,BUKIT PANJANG,1.3855,103.7604,SENJA,WEST
6513,2013,Jan,670626,-,-,334.7,305.3,BUKIT PANJANG,1.3853,103.7599,SENJA,WEST
6514,2013,Jan,670627,-,-,294.6,328.0,BUKIT PANJANG,1.3853,103.7594,SENJA,WEST
6515,2013,Jan,670629,-,-,305.0,361.6,BUKIT PANJANG,1.3866,103.7591,SENJA,WEST
6516,2013,Jan,670630,-,-,278.3,335.6,BUKIT PANJANG,1.3869,103.7597,SENJA,WEST
6517,2013,Jan,670631,-,-,249.1,313.1,BUKIT PANJANG,1.3868,103.7601,SENJA,WEST
6527,2013,Jan,671632,144.8,-,-,-,BUKIT PANJANG,1.3851,103.7582,SENJA,WEST
6528,2013,Jan,671633,209.8,174.8,227.9,-,BUKIT PANJANG,1.3856,103.7585,SENJA,WEST
6529,2013,Jan,672632,142.0,-,-,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
6530,2013,Jan,672633,-,-,236.5,-,BUKIT PANJANG,1.3853,103.7586,SENJA,WEST
6531,2013,Jan,673633,-,-,230.2,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
6532,2013,Jan,674633,165.9,191.8,210.5,-,BUKIT PANJANG,1.3849,103.7597,SENJA,WEST
15124,2013,Feb,670601,-,-,379.7,-,BUKIT PANJANG,1.3819,103.7623,SENJA,WEST
15125,2013,Feb,670602,-,-,337.0,-,BUKIT PANJANG,1.3814,103.7626,SENJA,WEST
15126,2013,Feb,670603,-,-,337.5,392.2,BUKIT PANJANG,1.3814,103.7619,SENJA,WEST
15127,2013,Feb,670604,-,-,368.0,387.5,BUKIT PANJANG,1.3811,103.7623,SENJA,WEST
15128,2013,Feb,670605,-,-,382.8,367.5,BUKIT PANJANG,1.382,103.7617,SENJA,WEST
15129,2013,Feb,670606,-,-,316.3,397.0,BUKIT PANJANG,1.382,103.7616,SENJA,WEST
15130,2013,Feb,670607,-,-,-,429.7,BUKIT PANJANG,1.3825,103.7613,SENJA,WEST
15131,2013,Feb,670608,-,-,-,396.1,BUKIT PANJANG,1.3829,103.7612,SENJA,WEST
15132,2013,Feb,670609,-,-,343.7,382.8,BUKIT PANJANG,1.383,103.7621,SENJA,WEST
15133,2013,Feb,670610,-,-,-,372.7,BUKIT PANJANG,1.3834,103.761,SENJA,WEST
15134,2013,Feb,670611,-,-,325.6,350.1,BUKIT PANJANG,1.3837,103.762,SENJA,WEST
15135,2013,Feb,670612,-,-,301.2,340.4,BUKIT PANJANG,1.3838,103.7609,SENJA,WEST
15136,2013,Feb,670613,-,-,351.1,352.7,BUKIT PANJANG,1.3843,103.7622,SENJA,WEST
15137,2013,Feb,670614,-,-,322.2,335.0,BUKIT PANJANG,1.3843,103.7608,SENJA,WEST
15138,2013,Feb,670615,-,-,351.7,372.2,BUKIT PANJANG,1.3851,103.7625,SENJA,WEST
15139,2013,Feb,670616,-,-,309.5,-,BUKIT PANJANG,1.3848,103.761,SENJA,WEST
15140,2013,Feb,670617,-,-,-,427.9,BUKIT PANJANG,1.3855,103.7629,SENJA,WEST
15141,2013,Feb,670618,-,-,292.5,-,BUKIT PANJANG,1.3856,103.7614,SENJA,WEST
15142,2013,Feb,670619,-,-,289.1,352.8,BUKIT PANJANG,1.386,103.7625,SENJA,WEST
15143,2013,Feb,670620,-,-,269.4,288.7,BUKIT PANJANG,1.386,103.7617,SENJA,WEST
15144,2013,Feb,670621,-,-,356.3,354.7,BUKIT PANJANG,1.386,103.7629,SENJA,WEST
15145,2013,Feb,670622,-,-,295.3,384.8,BUKIT PANJANG,1.3857,103.7613,SENJA,WEST
15146,2013,Feb,670623,-,-,445.1,350.3,BUKIT PANJANG,1.3864,103.762,SENJA,WEST
15147,2013,Feb,670624,-,-,306.4,358.1,BUKIT PANJANG,1.3863,103.7617,SENJA,WEST
15148,2013,Feb,670625,-,-,330.7,392.6,BUKIT PANJANG,1.3855,103.7604,SENJA,WEST
15149,2013,Feb,670626,-,-,352.0,348.6,BUKIT PANJANG,1.3853,103.7599,SENJA,WEST
15150,2013,Feb,670627,-,-,320.9,368.6,BUKIT PANJANG,1.3853,103.7594,SENJA,WEST
15151,2013,Feb,670629,-,-,337.3,389.6,BUKIT PANJANG,1.3866,103.7591,SENJA,WEST
15152,2013,Feb,670630,-,-,319.7,358.2,BUKIT PANJANG,1.3869,103.7597,SENJA,WEST
15153,2013,Feb,670631,-,-,306.1,374.5,BUKIT PANJANG,1.3868,103.7601,SENJA,WEST
15163,2013,Feb,671632,142.5,-,-,-,BUKIT PANJANG,1.3851,103.7582,SENJA,WEST
15164,2013,Feb,671633,186.9,171.8,193.1,-,BUKIT PANJANG,1.3856,103.7585,SENJA,WEST
15165,2013,Feb,672632,140.4,-,-,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
15166,2013,Feb,672633,-,-,209.5,-,BUKIT PANJANG,1.3853,103.7586,SENJA,WEST
15167,2013,Feb,673633,-,-,188.8,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
15168,2013,Feb,674633,137.6,127.5,142.9,-,BUKIT PANJANG,1.3849,103.7597,SENJA,WEST
23771,2013,Mar,670601,-,-,375.0,-,BUKIT PANJANG,1.3819,103.7623,SENJA,WEST
23772,2013,Mar,670602,-,-,338.0,-,BUKIT PANJANG,1.3814,103.7626,SENJA,WEST
23773,2013,Mar,670603,-,-,309.6,364.5,BUKIT PANJANG,1.3814,103.7619,SENJA,WEST
23774,2013,Mar,670604,-,-,362.6,362.9,BUKIT PANJANG,1.3811,103.7623,SENJA,WEST
23775,2013,Mar,670605,-,-,370.1,343.0,BUKIT PANJANG,1.382,103.7617,SENJA,WEST
23776,2013,Mar,670606,-,-,303.7,367.1,BUKIT PANJANG,1.382,103.7616,SENJA,WEST
23777,2013,Mar,670607,-,-,-,423.1,BUKIT PANJANG,1.3825,103.7613,SENJA,WEST
23778,2013,Mar,670608,-,-,-,357.9,BUKIT PANJANG,1.3829,103.7612,SENJA,WEST
23779,2013,Mar,670609,-,-,328.6,356.2,BUKIT PANJANG,1.383,103.7621,SENJA,WEST
23780,2013,Mar,670610,-,-,-,362.7,BUKIT PANJANG,1.3834,103.761,SENJA,WEST
23781,2013,Mar,670611,-,-,307.1,330.2,BUKIT PANJANG,1.3837,103.762,SENJA,WEST
23782,2013,Mar,670612,-,-,265.7,318.6,BUKIT PANJANG,1.3838,103.7609,SENJA,WEST
23783,2013,Mar,670613,-,-,336.1,346.9,BUKIT PANJANG,1.3843,103.7622,SENJA,WEST
23784,2013,Mar,670614,-,-,287.8,299.5,BUKIT PANJANG,1.3843,103.7608,SENJA,WEST
23785,2013,Mar,670615,-,-,348.4,377.4,BUKIT PANJANG,1.3851,103.7625,SENJA,WEST
23786,2013,Mar,670616,-,-,308.9,-,BUKIT PANJANG,1.3848,103.761,SENJA,WEST
23787,2013,Mar,670617,-,-,-,437.0,BUKIT PANJANG,1.3855,103.7629,SENJA,WEST
23788,2013,Mar,670618,-,-,301.0,-,BUKIT PANJANG,1.3856,103.7614,SENJA,WEST
23789,2013,Mar,670619,-,-,292.8,333.9,BUKIT PANJANG,1.386,103.7625,SENJA,WEST
23790,2013,Mar,670620,-,-,276.1,260.4,BUKIT PANJANG,1.386,103.7617,SENJA,WEST
23791,2013,Mar,670621,-,-,341.4,343.9,BUKIT PANJANG,1.386,103.7629,SENJA,WEST
23792,2013,Mar,670622,-,-,291.7,387.1,BUKIT PANJANG,1.3857,103.7613,SENJA,WEST
23793,2013,Mar,670623,-,-,306.0,332.8,BUKIT PANJANG,1.3864,103.762,SENJA,WEST
23794,2013,Mar,670624,-,-,314.4,347.9,BUKIT PANJANG,1.3863,103.7617,SENJA,WEST
23795,2013,Mar,670625,-,-,295.7,365.3,BUKIT PANJANG,1.3855,103.7604,SENJA,WEST
23796,2013,Mar,670626,-,-,345.5,339.0,BUKIT PANJANG,1.3853,103.7599,SENJA,WEST
23797,2013,Mar,670627,-,-,319.3,340.9,BUKIT PANJANG,1.3853,103.7594,SENJA,WEST
23798,2013,Mar,670629,-,-,316.9,380.0,BUKIT PANJANG,1.3866,103.7591,SENJA,WEST
23799,2013,Mar,670630,-,-,286.4,330.8,BUKIT PANJANG,1.3869,103.7597,SENJA,WEST
23800,2013,Mar,670631,-,-,311.6,366.5,BUKIT PANJANG,1.3868,103.7601,SENJA,WEST
23810,2013,Mar,671632,136.1,-,-,-,BUKIT PANJANG,1.3851,103.7582,SENJA,WEST
23811,2013,Mar,671633,180.9,180.7,241.5,-,BUKIT PANJANG,1.3856,103.7585,SENJA,WEST
23812,2013,Mar,672632,125.4,-,-,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
23813,2013,Mar,672633,-,-,269.2,-,BUKIT PANJANG,1.3853,103.7586,SENJA,WEST
23814,2013,Mar,673633,-,-,243.6,-,BUKIT PANJANG,1.3848,103.7593,SENJA,WEST
23815,2013,Mar,674633,188.0,188.9,248.2,-,BUKIT PANJANG,1.3849,103.7597,SENJA,WEST
32449,2013,Apr,670601,-,-,373.1,-,BUKIT PANJANG,1.3819,103.7623,SENJA,WEST
32450,2013,Apr,670602,-,-,338.2,-,BUKIT PANJANG,1.3814,103.7626,SENJA,WEST
32451,2013,Apr,670603,-,-,325.7,380.5,BUKIT PANJANG,1.3814,103.7619,SENJA,WEST
