index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4211,2013,Jan,550201,-,260.0,362.9,-,SERANGOON,1.3508,103.8733,SERANGOON CENTRAL,NORTH-EAST
4212,2013,Jan,550202,-,-,415.3,457.2,SERANGOON,1.3519,103.8737,SERANGOON CENTRAL,NORTH-EAST
4213,2013,Jan,550203,-,254.5,-,-,SERANGOON,1.3519,103.8731,SERANGOON CENTRAL,NORTH-EAST
4214,2013,Jan,550204,-,268.5,436.2,-,SERANGOON,1.3526,103.8733,SERANGOON CENTRAL,NORTH-EAST
4215,2013,Jan,550205,-,-,390.7,483.7,SERANGOON,1.3529,103.8738,SERANGOON CENTRAL,NORTH-EAST
4216,2013,Jan,550206,-,262.7,-,-,SERANGOON,1.3534,103.8734,SERANGOON CENTRAL,NORTH-EAST
4217,2013,Jan,550207,-,271.7,355.0,-,SERANGOON,1.3537,103.8735,SERANGOON CENTRAL,NORTH-EAST
4218,2013,Jan,550208,-,-,354.3,416.9,SERANGOON,1.3542,103.8741,SERANGOON CENTRAL,NORTH-EAST
4219,2013,Jan,550209,-,268.6,336.7,-,SERANGOON,1.3544,103.8742,SERANGOON CENTRAL,NORTH-EAST
4220,2013,Jan,550210,-,262.9,405.8,-,SERANGOON,1.3548,103.8733,SERANGOON CENTRAL,NORTH-EAST
4240,2013,Jan,550231,-,-,403.8,-,SERANGOON,1.3549,103.8685,SERANGOON CENTRAL,NORTH-EAST
4241,2013,Jan,550232,-,-,398.2,-,SERANGOON,1.3549,103.8688,SERANGOON CENTRAL,NORTH-EAST
4242,2013,Jan,550233,-,-,410.4,-,SERANGOON,1.355,103.869,SERANGOON CENTRAL,NORTH-EAST
4243,2013,Jan,550234,-,-,415.7,-,SERANGOON,1.3549,103.8696,SERANGOON CENTRAL,NORTH-EAST
4244,2013,Jan,550235,-,-,385.7,-,SERANGOON,1.3547,103.8701,SERANGOON CENTRAL,NORTH-EAST
4245,2013,Jan,550236,-,-,432.0,-,SERANGOON,1.3541,103.87,SERANGOON CENTRAL,NORTH-EAST
4246,2013,Jan,550237,-,271.6,-,-,SERANGOON,1.3542,103.8701,SERANGOON CENTRAL,NORTH-EAST
4247,2013,Jan,550238,-,-,378.5,-,SERANGOON,1.3534,103.8689,SERANGOON CENTRAL,NORTH-EAST
4248,2013,Jan,550239,-,-,427.0,-,SERANGOON,1.3533,103.8682,SERANGOON CENTRAL,NORTH-EAST
4249,2013,Jan,550240,-,-,400.1,-,SERANGOON,1.3535,103.8697,SERANGOON CENTRAL,NORTH-EAST
4250,2013,Jan,550241,-,275.6,394.0,-,SERANGOON,1.3529,103.8701,SERANGOON CENTRAL,NORTH-EAST
4251,2013,Jan,550242,-,-,388.8,420.3,SERANGOON,1.3527,103.8695,SERANGOON CENTRAL,NORTH-EAST
4252,2013,Jan,550243,-,227.6,404.4,-,SERANGOON,1.3530000000000002,103.8691,SERANGOON CENTRAL,NORTH-EAST
4253,2013,Jan,550244,-,350.6,294.4,-,SERANGOON,1.3524,103.8685,SERANGOON CENTRAL,NORTH-EAST
4254,2013,Jan,550245,-,237.4,393.6,-,SERANGOON,1.3524,103.8693,SERANGOON CENTRAL,NORTH-EAST
4255,2013,Jan,550246,-,-,389.0,499.7,SERANGOON,1.3522,103.8695,SERANGOON CENTRAL,NORTH-EAST
4256,2013,Jan,550253,-,279.9,-,-,SERANGOON,1.3546,103.8708,SERANGOON CENTRAL,NORTH-EAST
4257,2013,Jan,550254,-,286.5,-,-,SERANGOON,1.3541,103.8711,SERANGOON CENTRAL,NORTH-EAST
4258,2013,Jan,550255,-,-,381.3,493.9,SERANGOON,1.355,103.8707,SERANGOON CENTRAL,NORTH-EAST
4259,2013,Jan,550256,-,-,390.3,418.7,SERANGOON,1.3549,103.8715,SERANGOON CENTRAL,NORTH-EAST
4260,2013,Jan,550257,-,-,338.6,495.3,SERANGOON,1.3549,103.872,SERANGOON CENTRAL,NORTH-EAST
4261,2013,Jan,550258,-,-,378.7,499.1,SERANGOON,1.3551,103.8729,SERANGOON CENTRAL,NORTH-EAST
4262,2013,Jan,550261,-,317.9,-,-,SERANGOON,1.3541,103.8725,SERANGOON CENTRAL,NORTH-EAST
4263,2013,Jan,550263,-,281.5,360.0,-,SERANGOON,1.3541,103.8721,SERANGOON CENTRAL,NORTH-EAST
4264,2013,Jan,550301,-,317.4,504.8,-,SERANGOON,1.3531,103.8678,SERANGOON CENTRAL,NORTH-EAST
4265,2013,Jan,550303,-,272.2,-,635.7,SERANGOON,1.3534,103.8671,SERANGOON CENTRAL,NORTH-EAST
4266,2013,Jan,550304,-,283.7,-,-,SERANGOON,1.3539,103.8677,SERANGOON CENTRAL,NORTH-EAST
4267,2013,Jan,550307,-,-,375.3,-,SERANGOON,1.354,103.8668,SERANGOON CENTRAL,NORTH-EAST
4268,2013,Jan,550308,-,-,361.2,-,SERANGOON,1.3542,103.8656,SERANGOON CENTRAL,NORTH-EAST
4269,2013,Jan,550309,-,-,389.6,-,SERANGOON,1.3538,103.8649,SERANGOON CENTRAL,NORTH-EAST
4270,2013,Jan,550310,-,-,368.2,424.4,SERANGOON,1.3535,103.8658,SERANGOON CENTRAL,NORTH-EAST
4271,2013,Jan,550311,-,377.3,489.8,-,SERANGOON,1.3538,103.8662,SERANGOON CENTRAL,NORTH-EAST
4272,2013,Jan,550312,-,-,374.2,446.0,SERANGOON,1.3534,103.8657,SERANGOON CENTRAL,NORTH-EAST
4273,2013,Jan,550313,-,289.1,479.0,-,SERANGOON,1.3538,103.865,SERANGOON CENTRAL,NORTH-EAST
4274,2013,Jan,550314,-,205.9,460.6,-,SERANGOON,1.3533,103.8654,SERANGOON CENTRAL,NORTH-EAST
4275,2013,Jan,550315,-,-,401.4,-,SERANGOON,1.3531,103.866,SERANGOON CENTRAL,NORTH-EAST
4276,2013,Jan,550316,-,-,-,526.3,SERANGOON,1.3530000000000002,103.8664,SERANGOON CENTRAL,NORTH-EAST
4277,2013,Jan,550317,-,-,-,432.1,SERANGOON,1.3528,103.8661,SERANGOON CENTRAL,NORTH-EAST
4278,2013,Jan,550318,-,-,-,444.8,SERANGOON,1.3529,103.8671,SERANGOON CENTRAL,NORTH-EAST
4279,2013,Jan,550319,-,-,-,541.6,SERANGOON,1.3525,103.868,SERANGOON CENTRAL,NORTH-EAST
4280,2013,Jan,550321,-,-,-,552.1,SERANGOON,1.3512,103.868,SERANGOON CENTRAL,NORTH-EAST
4281,2013,Jan,550322,-,-,-,550.5,SERANGOON,1.3516,103.8688,SERANGOON CENTRAL,NORTH-EAST
4282,2013,Jan,550323,-,274.8,407.4,-,SERANGOON,1.3513,103.8693,SERANGOON CENTRAL,NORTH-EAST
4283,2013,Jan,550324,-,-,393.5,-,SERANGOON,1.3511,103.8688,SERANGOON CENTRAL,NORTH-EAST
4284,2013,Jan,550325,-,-,383.5,-,SERANGOON,1.3511,103.8687,SERANGOON CENTRAL,NORTH-EAST
4285,2013,Jan,550327,-,-,397.7,-,SERANGOON,1.3505,103.8684,SERANGOON CENTRAL,NORTH-EAST
4286,2013,Jan,550328,-,-,399.8,-,SERANGOON,1.3502,103.8683,SERANGOON CENTRAL,NORTH-EAST
4287,2013,Jan,550329,-,-,353.4,398.8,SERANGOON,1.3497,103.869,SERANGOON CENTRAL,NORTH-EAST
4288,2013,Jan,550330,-,-,391.5,-,SERANGOON,1.3501,103.8693,SERANGOON CENTRAL,NORTH-EAST
4289,2013,Jan,550331,-,-,360.5,467.1,SERANGOON,1.3499,103.8701,SERANGOON CENTRAL,NORTH-EAST
4290,2013,Jan,550332,-,-,390.0,-,SERANGOON,1.3507,103.87,SERANGOON CENTRAL,NORTH-EAST
4291,2013,Jan,550333,-,-,398.7,485.7,SERANGOON,1.3506,103.8704,SERANGOON CENTRAL,NORTH-EAST
4292,2013,Jan,550334,-,-,351.2,448.0,SERANGOON,1.3501,103.8706,SERANGOON CENTRAL,NORTH-EAST
4293,2013,Jan,550335,-,-,386.3,-,SERANGOON,1.3498,103.871,SERANGOON CENTRAL,NORTH-EAST
4376,2013,Jan,551232,-,-,-,514.9,SERANGOON,1.3542,103.8684,SERANGOON CENTRAL,NORTH-EAST
4377,2013,Jan,551234,-,-,-,510.9,SERANGOON,1.3542,103.869,SERANGOON CENTRAL,NORTH-EAST
4378,2013,Jan,551236,-,-,-,560.3,SERANGOON,1.3536,103.8695,SERANGOON CENTRAL,NORTH-EAST
12859,2013,Feb,550201,-,206.9,298.2,-,SERANGOON,1.3508,103.8733,SERANGOON CENTRAL,NORTH-EAST
12860,2013,Feb,550202,-,-,346.2,384.3,SERANGOON,1.3519,103.8737,SERANGOON CENTRAL,NORTH-EAST
12861,2013,Feb,550203,-,218.1,-,-,SERANGOON,1.3519,103.8731,SERANGOON CENTRAL,NORTH-EAST
12862,2013,Feb,550204,-,217.1,332.3,-,SERANGOON,1.3526,103.8733,SERANGOON CENTRAL,NORTH-EAST
12863,2013,Feb,550205,-,-,289.4,382.7,SERANGOON,1.3529,103.8738,SERANGOON CENTRAL,NORTH-EAST
12864,2013,Feb,550206,-,227.3,-,-,SERANGOON,1.3534,103.8734,SERANGOON CENTRAL,NORTH-EAST
12865,2013,Feb,550207,-,215.7,258.3,-,SERANGOON,1.3537,103.8735,SERANGOON CENTRAL,NORTH-EAST
12866,2013,Feb,550208,-,-,278.0,324.1,SERANGOON,1.3542,103.8741,SERANGOON CENTRAL,NORTH-EAST
12867,2013,Feb,550209,-,197.0,258.4,-,SERANGOON,1.3544,103.8742,SERANGOON CENTRAL,NORTH-EAST
12868,2013,Feb,550210,-,230.3,291.7,-,SERANGOON,1.3548,103.8733,SERANGOON CENTRAL,NORTH-EAST
12888,2013,Feb,550231,-,-,306.9,-,SERANGOON,1.3549,103.8685,SERANGOON CENTRAL,NORTH-EAST
12889,2013,Feb,550232,-,-,319.1,-,SERANGOON,1.3549,103.8688,SERANGOON CENTRAL,NORTH-EAST
12890,2013,Feb,550233,-,-,303.6,-,SERANGOON,1.355,103.869,SERANGOON CENTRAL,NORTH-EAST
12891,2013,Feb,550234,-,-,383.9,-,SERANGOON,1.3549,103.8696,SERANGOON CENTRAL,NORTH-EAST
12892,2013,Feb,550235,-,-,321.9,-,SERANGOON,1.3547,103.8701,SERANGOON CENTRAL,NORTH-EAST
12893,2013,Feb,550236,-,-,344.2,-,SERANGOON,1.3541,103.87,SERANGOON CENTRAL,NORTH-EAST
12894,2013,Feb,550237,-,232.4,-,-,SERANGOON,1.3542,103.8701,SERANGOON CENTRAL,NORTH-EAST
12895,2013,Feb,550238,-,-,301.7,-,SERANGOON,1.3534,103.8689,SERANGOON CENTRAL,NORTH-EAST
12896,2013,Feb,550239,-,-,335.7,-,SERANGOON,1.3533,103.8682,SERANGOON CENTRAL,NORTH-EAST
12897,2013,Feb,550240,-,-,314.7,-,SERANGOON,1.3535,103.8697,SERANGOON CENTRAL,NORTH-EAST
12898,2013,Feb,550241,-,200.1,329.2,-,SERANGOON,1.3529,103.8701,SERANGOON CENTRAL,NORTH-EAST
12899,2013,Feb,550242,-,-,316.6,326.7,SERANGOON,1.3527,103.8695,SERANGOON CENTRAL,NORTH-EAST
12900,2013,Feb,550243,-,191.5,324.3,-,SERANGOON,1.3530000000000002,103.8691,SERANGOON CENTRAL,NORTH-EAST
12901,2013,Feb,550244,-,295.4,285.3,-,SERANGOON,1.3524,103.8685,SERANGOON CENTRAL,NORTH-EAST
12902,2013,Feb,550245,-,205.0,312.4,-,SERANGOON,1.3524,103.8693,SERANGOON CENTRAL,NORTH-EAST
12903,2013,Feb,550246,-,-,303.1,443.0,SERANGOON,1.3522,103.8695,SERANGOON CENTRAL,NORTH-EAST
12904,2013,Feb,550253,-,260.6,-,-,SERANGOON,1.3546,103.8708,SERANGOON CENTRAL,NORTH-EAST
12905,2013,Feb,550254,-,276.4,-,-,SERANGOON,1.3541,103.8711,SERANGOON CENTRAL,NORTH-EAST
12906,2013,Feb,550255,-,-,265.6,357.2,SERANGOON,1.355,103.8707,SERANGOON CENTRAL,NORTH-EAST
12907,2013,Feb,550256,-,-,381.0,435.3,SERANGOON,1.3549,103.8715,SERANGOON CENTRAL,NORTH-EAST
12908,2013,Feb,550257,-,-,214.8,340.4,SERANGOON,1.3549,103.872,SERANGOON CENTRAL,NORTH-EAST
12909,2013,Feb,550258,-,-,340.9,440.5,SERANGOON,1.3551,103.8729,SERANGOON CENTRAL,NORTH-EAST
12910,2013,Feb,550261,-,281.3,-,-,SERANGOON,1.3541,103.8725,SERANGOON CENTRAL,NORTH-EAST
12911,2013,Feb,550263,-,251.9,311.6,-,SERANGOON,1.3541,103.8721,SERANGOON CENTRAL,NORTH-EAST
12912,2013,Feb,550301,-,254.9,448.5,-,SERANGOON,1.3531,103.8678,SERANGOON CENTRAL,NORTH-EAST
12913,2013,Feb,550303,-,204.7,-,510.7,SERANGOON,1.3534,103.8671,SERANGOON CENTRAL,NORTH-EAST
12914,2013,Feb,550304,-,250.3,-,-,SERANGOON,1.3539,103.8677,SERANGOON CENTRAL,NORTH-EAST
12915,2013,Feb,550307,-,-,325.8,-,SERANGOON,1.354,103.8668,SERANGOON CENTRAL,NORTH-EAST
12916,2013,Feb,550308,-,-,279.4,-,SERANGOON,1.3542,103.8656,SERANGOON CENTRAL,NORTH-EAST
12917,2013,Feb,550309,-,-,318.7,-,SERANGOON,1.3538,103.8649,SERANGOON CENTRAL,NORTH-EAST
12918,2013,Feb,550310,-,-,216.1,320.3,SERANGOON,1.3535,103.8658,SERANGOON CENTRAL,NORTH-EAST
12919,2013,Feb,550311,-,358.9,405.5,-,SERANGOON,1.3538,103.8662,SERANGOON CENTRAL,NORTH-EAST
12920,2013,Feb,550312,-,-,353.5,343.7,SERANGOON,1.3534,103.8657,SERANGOON CENTRAL,NORTH-EAST
12921,2013,Feb,550313,-,244.1,419.0,-,SERANGOON,1.3538,103.865,SERANGOON CENTRAL,NORTH-EAST
12922,2013,Feb,550314,-,183.9,381.6,-,SERANGOON,1.3533,103.8654,SERANGOON CENTRAL,NORTH-EAST
12923,2013,Feb,550315,-,-,341.7,-,SERANGOON,1.3531,103.866,SERANGOON CENTRAL,NORTH-EAST
12924,2013,Feb,550316,-,-,-,409.9,SERANGOON,1.3530000000000002,103.8664,SERANGOON CENTRAL,NORTH-EAST
12925,2013,Feb,550317,-,-,-,408.7,SERANGOON,1.3528,103.8661,SERANGOON CENTRAL,NORTH-EAST
12926,2013,Feb,550318,-,-,-,395.6,SERANGOON,1.3529,103.8671,SERANGOON CENTRAL,NORTH-EAST
12927,2013,Feb,550319,-,-,-,401.6,SERANGOON,1.3525,103.868,SERANGOON CENTRAL,NORTH-EAST
12928,2013,Feb,550321,-,-,-,471.6,SERANGOON,1.3512,103.868,SERANGOON CENTRAL,NORTH-EAST
12929,2013,Feb,550322,-,-,-,387.5,SERANGOON,1.3516,103.8688,SERANGOON CENTRAL,NORTH-EAST
12930,2013,Feb,550323,-,228.6,305.2,-,SERANGOON,1.3513,103.8693,SERANGOON CENTRAL,NORTH-EAST
12931,2013,Feb,550324,-,-,317.1,-,SERANGOON,1.3511,103.8688,SERANGOON CENTRAL,NORTH-EAST
12932,2013,Feb,550325,-,-,305.0,-,SERANGOON,1.3511,103.8687,SERANGOON CENTRAL,NORTH-EAST
12933,2013,Feb,550326,-,205.4,465.9,-,SERANGOON,1.3503,103.8692,SERANGOON CENTRAL,NORTH-EAST
12934,2013,Feb,550327,-,-,335.8,-,SERANGOON,1.3505,103.8684,SERANGOON CENTRAL,NORTH-EAST
12935,2013,Feb,550328,-,-,353.7,-,SERANGOON,1.3502,103.8683,SERANGOON CENTRAL,NORTH-EAST
12936,2013,Feb,550329,-,-,302.2,350.3,SERANGOON,1.3497,103.869,SERANGOON CENTRAL,NORTH-EAST
12937,2013,Feb,550330,-,-,336.0,-,SERANGOON,1.3501,103.8693,SERANGOON CENTRAL,NORTH-EAST
12938,2013,Feb,550331,-,-,292.2,416.3,SERANGOON,1.3499,103.8701,SERANGOON CENTRAL,NORTH-EAST
12939,2013,Feb,550332,-,-,298.4,-,SERANGOON,1.3507,103.87,SERANGOON CENTRAL,NORTH-EAST
12940,2013,Feb,550333,-,-,307.9,388.9,SERANGOON,1.3506,103.8704,SERANGOON CENTRAL,NORTH-EAST
12941,2013,Feb,550334,-,-,305.9,384.6,SERANGOON,1.3501,103.8706,SERANGOON CENTRAL,NORTH-EAST
12942,2013,Feb,550335,-,-,314.8,-,SERANGOON,1.3498,103.871,SERANGOON CENTRAL,NORTH-EAST
13025,2013,Feb,551232,-,-,-,421.3,SERANGOON,1.3542,103.8684,SERANGOON CENTRAL,NORTH-EAST
