index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4162,2013,Jan,550101,-,-,418.9,-,SERANGOON,1.3709,103.8704,SERANGOON GARDEN,NORTH-EAST
4163,2013,Jan,550102,-,287.5,442.7,-,SERANGOON,1.3701,103.871,SERANGOON GARDEN,NORTH-EAST
4164,2013,Jan,550103,-,-,392.7,-,SERANGOON,1.3709,103.8702,SERANGOON GARDEN,NORTH-EAST
4165,2013,Jan,550104,-,326.1,340.5,-,SERANGOON,1.3706,103.8715,SERANGOON GARDEN,NORTH-EAST
4166,2013,Jan,550105,-,248.6,-,-,SERANGOON,1.3701,103.8702,SERANGOON GARDEN,NORTH-EAST
4167,2013,Jan,550109,-,-,403.7,-,SERANGOON,1.3693,103.8705,SERANGOON GARDEN,NORTH-EAST
4168,2013,Jan,550110,-,266.2,524.4,-,SERANGOON,1.3693,103.8712,SERANGOON GARDEN,NORTH-EAST
4169,2013,Jan,550111,-,-,384.6,-,SERANGOON,1.3692,103.8706,SERANGOON GARDEN,NORTH-EAST
4170,2013,Jan,550112,-,285.7,477.0,-,SERANGOON,1.3694,103.8718,SERANGOON GARDEN,NORTH-EAST
4171,2013,Jan,550113,-,275.8,346.1,-,SERANGOON,1.3685,103.8704,SERANGOON GARDEN,NORTH-EAST
4172,2013,Jan,550114,-,-,405.6,431.6,SERANGOON,1.3687,103.8715,SERANGOON GARDEN,NORTH-EAST
4173,2013,Jan,550115,-,227.3,436.1,-,SERANGOON,1.3684,103.8707,SERANGOON GARDEN,NORTH-EAST
4174,2013,Jan,550116,-,-,464.1,478.0,SERANGOON,1.3687,103.8722,SERANGOON GARDEN,NORTH-EAST
4175,2013,Jan,550117,-,-,419.2,487.1,SERANGOON,1.3678,103.8709,SERANGOON GARDEN,NORTH-EAST
4176,2013,Jan,550118,-,-,414.4,-,SERANGOON,1.3677,103.8709,SERANGOON GARDEN,NORTH-EAST
