index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4321,2013,Jan,550500,-,-,-,471.8,SERANGOON,1.3747,103.8755,SERANGOON NORTH,NORTH-EAST
4322,2013,Jan,550501,-,-,-,452.7,SERANGOON,1.3744,103.876,SERANGOON NORTH,NORTH-EAST
4323,2013,Jan,550502,-,-,-,494.6,SERANGOON,1.375,103.8765,SERANGOON NORTH,NORTH-EAST
4324,2013,Jan,550503,-,-,503.5,364.3,SERANGOON,1.3737,103.8765,SERANGOON NORTH,NORTH-EAST
4325,2013,Jan,550504,-,-,-,454.7,SERANGOON,1.3737,103.876,SERANGOON NORTH,NORTH-EAST
4326,2013,Jan,550505,-,-,-,474.6,SERANGOON,1.3736,103.8765,SERANGOON NORTH,NORTH-EAST
4327,2013,Jan,550506,-,-,-,552.6,SERANGOON,1.3734,103.8763,SERANGOON NORTH,NORTH-EAST
4328,2013,Jan,550507,-,-,375.3,464.7,SERANGOON,1.3722,103.8751,SERANGOON NORTH,NORTH-EAST
4329,2013,Jan,550508,-,-,409.9,538.4,SERANGOON,1.3719,103.8757,SERANGOON NORTH,NORTH-EAST
4330,2013,Jan,550509,-,-,414.8,398.7,SERANGOON,1.3718,103.8761,SERANGOON NORTH,NORTH-EAST
4331,2013,Jan,550510,-,-,437.2,486.3,SERANGOON,1.3709,103.876,SERANGOON NORTH,NORTH-EAST
4332,2013,Jan,550511,-,-,510.4,419.1,SERANGOON,1.3712,103.8754,SERANGOON NORTH,NORTH-EAST
4333,2013,Jan,550512,-,-,343.7,462.3,SERANGOON,1.3714,103.8752,SERANGOON NORTH,NORTH-EAST
4334,2013,Jan,550514,-,-,432.9,424.4,SERANGOON,1.3711,103.8742,SERANGOON NORTH,NORTH-EAST
4335,2013,Jan,550515,-,-,416.1,384.7,SERANGOON,1.3712,103.8737,SERANGOON NORTH,NORTH-EAST
4336,2013,Jan,550516,-,-,-,577.8,SERANGOON,1.3713,103.8735,SERANGOON NORTH,NORTH-EAST
4337,2013,Jan,550517,-,-,414.0,481.9,SERANGOON,1.3712,103.8741,SERANGOON NORTH,NORTH-EAST
4338,2013,Jan,550518,-,-,354.3,438.1,SERANGOON,1.3717,103.8741,SERANGOON NORTH,NORTH-EAST
4339,2013,Jan,550519,-,-,-,454.5,SERANGOON,1.3722,103.8746,SERANGOON NORTH,NORTH-EAST
4340,2013,Jan,550520,-,-,-,592.0,SERANGOON,1.3719,103.8735,SERANGOON NORTH,NORTH-EAST
4341,2013,Jan,550521,-,-,428.6,584.5,SERANGOON,1.3731,103.8733,SERANGOON NORTH,NORTH-EAST
4342,2013,Jan,550522,-,-,326.4,554.8,SERANGOON,1.3727,103.8736,SERANGOON NORTH,NORTH-EAST
4343,2013,Jan,550523,-,-,427.0,487.0,SERANGOON,1.3731,103.8729,SERANGOON NORTH,NORTH-EAST
4344,2013,Jan,550524,-,-,402.6,517.8,SERANGOON,1.3726,103.8728,SERANGOON NORTH,NORTH-EAST
4345,2013,Jan,550525,-,-,-,524.7,SERANGOON,1.3723,103.8726,SERANGOON NORTH,NORTH-EAST
4346,2013,Jan,550526,-,-,-,524.9,SERANGOON,1.3719,103.8726,SERANGOON NORTH,NORTH-EAST
4347,2013,Jan,550527,-,-,-,568.4,SERANGOON,1.3713,103.8735,SERANGOON NORTH,NORTH-EAST
4348,2013,Jan,550528,-,-,430.8,429.3,SERANGOON,1.3716,103.8722,SERANGOON NORTH,NORTH-EAST
4349,2013,Jan,550529,-,-,403.2,464.8,SERANGOON,1.3731,103.8718,SERANGOON NORTH,NORTH-EAST
4350,2013,Jan,550530,-,-,401.2,495.1,SERANGOON,1.3732,103.8724,SERANGOON NORTH,NORTH-EAST
4351,2013,Jan,550531,-,-,444.4,707.9,SERANGOON,1.3746,103.8751,SERANGOON NORTH,NORTH-EAST
4352,2013,Jan,550532,-,-,415.3,455.0,SERANGOON,1.3751,103.8741,SERANGOON NORTH,NORTH-EAST
4353,2013,Jan,550533,-,-,379.7,464.1,SERANGOON,1.3746,103.8746,SERANGOON NORTH,NORTH-EAST
4354,2013,Jan,550534,-,-,366.7,571.1,SERANGOON,1.3742,103.8746,SERANGOON NORTH,NORTH-EAST
4355,2013,Jan,550535,-,-,-,542.3,SERANGOON,1.3739,103.8742,SERANGOON NORTH,NORTH-EAST
4356,2013,Jan,550536,-,-,468.9,404.4,SERANGOON,1.3739,103.8751,SERANGOON NORTH,NORTH-EAST
4357,2013,Jan,550537,-,-,-,587.2,SERANGOON,1.3737,103.8732,SERANGOON NORTH,NORTH-EAST
4358,2013,Jan,550538,-,-,458.2,470.3,SERANGOON,1.3746,103.8732,SERANGOON NORTH,NORTH-EAST
4359,2013,Jan,550539,-,-,-,581.6,SERANGOON,1.3752,103.8717,SERANGOON NORTH,NORTH-EAST
4360,2013,Jan,550540,-,-,382.4,521.5,SERANGOON,1.3747,103.8726,SERANGOON NORTH,NORTH-EAST
4361,2013,Jan,550541,-,-,440.3,499.3,SERANGOON,1.3742,103.8725,SERANGOON NORTH,NORTH-EAST
4362,2013,Jan,550542,-,-,-,555.1,SERANGOON,1.3742,103.872,SERANGOON NORTH,NORTH-EAST
4363,2013,Jan,550543,-,-,-,535.8,SERANGOON,1.3752,103.8714,SERANGOON NORTH,NORTH-EAST
4364,2013,Jan,550544,-,-,-,496.5,SERANGOON,1.3743,103.8706,SERANGOON NORTH,NORTH-EAST
4365,2013,Jan,550545,-,-,379.8,459.1,SERANGOON,1.3749,103.8711,SERANGOON NORTH,NORTH-EAST
4366,2013,Jan,550546,-,-,375.6,494.1,SERANGOON,1.3748,103.8701,SERANGOON NORTH,NORTH-EAST
4367,2013,Jan,550547,-,-,424.4,481.9,SERANGOON,1.3738,103.8706,SERANGOON NORTH,NORTH-EAST
4368,2013,Jan,550548,-,-,384.0,475.0,SERANGOON,1.3731,103.8707,SERANGOON NORTH,NORTH-EAST
4369,2013,Jan,550549,-,-,382.6,448.7,SERANGOON,1.3730000000000002,103.8715,SERANGOON NORTH,NORTH-EAST
4370,2013,Jan,550550,-,-,402.1,452.8,SERANGOON,1.3726,103.8702,SERANGOON NORTH,NORTH-EAST
4371,2013,Jan,550551,-,-,367.0,485.9,SERANGOON,1.3723,103.8708,SERANGOON NORTH,NORTH-EAST
4372,2013,Jan,550552,-,-,406.2,441.6,SERANGOON,1.3722,103.8718,SERANGOON NORTH,NORTH-EAST
4373,2013,Jan,550553,-,-,470.5,442.4,SERANGOON,1.3718,103.8709,SERANGOON NORTH,NORTH-EAST
4374,2013,Jan,550554,-,-,397.7,394.1,SERANGOON,1.372,103.8705,SERANGOON NORTH,NORTH-EAST
4379,2013,Jan,551506,-,-,-,556.9,SERANGOON,1.3729,103.8757,SERANGOON NORTH,NORTH-EAST
4380,2013,Jan,551535,-,-,368.2,367.1,SERANGOON,1.3737,103.8745,SERANGOON NORTH,NORTH-EAST
4381,2013,Jan,552506,-,-,-,550.2,SERANGOON,1.3728,103.8757,SERANGOON NORTH,NORTH-EAST
12970,2013,Feb,550500,-,-,-,404.0,SERANGOON,1.3747,103.8755,SERANGOON NORTH,NORTH-EAST
12971,2013,Feb,550501,-,-,-,382.2,SERANGOON,1.3744,103.876,SERANGOON NORTH,NORTH-EAST
12972,2013,Feb,550502,-,-,-,392.4,SERANGOON,1.375,103.8765,SERANGOON NORTH,NORTH-EAST
12973,2013,Feb,550503,-,-,431.8,350.3,SERANGOON,1.3737,103.8765,SERANGOON NORTH,NORTH-EAST
12974,2013,Feb,550504,-,-,-,393.1,SERANGOON,1.3737,103.876,SERANGOON NORTH,NORTH-EAST
12975,2013,Feb,550505,-,-,-,415.1,SERANGOON,1.3736,103.8765,SERANGOON NORTH,NORTH-EAST
12976,2013,Feb,550506,-,-,-,460.5,SERANGOON,1.3734,103.8763,SERANGOON NORTH,NORTH-EAST
12977,2013,Feb,550507,-,-,295.7,388.7,SERANGOON,1.3722,103.8751,SERANGOON NORTH,NORTH-EAST
12978,2013,Feb,550508,-,-,323.1,408.7,SERANGOON,1.3719,103.8757,SERANGOON NORTH,NORTH-EAST
12979,2013,Feb,550509,-,-,361.0,368.7,SERANGOON,1.3718,103.8761,SERANGOON NORTH,NORTH-EAST
12980,2013,Feb,550510,-,-,345.1,440.5,SERANGOON,1.3709,103.876,SERANGOON NORTH,NORTH-EAST
12981,2013,Feb,550511,-,-,406.1,346.5,SERANGOON,1.3712,103.8754,SERANGOON NORTH,NORTH-EAST
12982,2013,Feb,550512,-,-,312.3,378.6,SERANGOON,1.3714,103.8752,SERANGOON NORTH,NORTH-EAST
12983,2013,Feb,550514,-,-,349.1,429.9,SERANGOON,1.3711,103.8742,SERANGOON NORTH,NORTH-EAST
12984,2013,Feb,550515,-,-,380.1,283.2,SERANGOON,1.3712,103.8737,SERANGOON NORTH,NORTH-EAST
12985,2013,Feb,550516,-,-,-,514.4,SERANGOON,1.3713,103.8735,SERANGOON NORTH,NORTH-EAST
12986,2013,Feb,550517,-,-,312.8,368.8,SERANGOON,1.3712,103.8741,SERANGOON NORTH,NORTH-EAST
12987,2013,Feb,550518,-,-,313.3,341.6,SERANGOON,1.3717,103.8741,SERANGOON NORTH,NORTH-EAST
12988,2013,Feb,550519,-,-,-,376.2,SERANGOON,1.3722,103.8746,SERANGOON NORTH,NORTH-EAST
12989,2013,Feb,550520,-,-,-,486.3,SERANGOON,1.3719,103.8735,SERANGOON NORTH,NORTH-EAST
12990,2013,Feb,550521,-,-,365.0,409.3,SERANGOON,1.3731,103.8733,SERANGOON NORTH,NORTH-EAST
12991,2013,Feb,550522,-,-,275.1,429.8,SERANGOON,1.3727,103.8736,SERANGOON NORTH,NORTH-EAST
12992,2013,Feb,550523,-,-,342.4,357.2,SERANGOON,1.3731,103.8729,SERANGOON NORTH,NORTH-EAST
12993,2013,Feb,550524,-,-,355.2,448.7,SERANGOON,1.3726,103.8728,SERANGOON NORTH,NORTH-EAST
12994,2013,Feb,550525,-,-,-,443.2,SERANGOON,1.3723,103.8726,SERANGOON NORTH,NORTH-EAST
12995,2013,Feb,550526,-,-,-,443.9,SERANGOON,1.3719,103.8726,SERANGOON NORTH,NORTH-EAST
12996,2013,Feb,550527,-,-,-,480.9,SERANGOON,1.3713,103.8735,SERANGOON NORTH,NORTH-EAST
12997,2013,Feb,550528,-,-,371.8,303.5,SERANGOON,1.3716,103.8722,SERANGOON NORTH,NORTH-EAST
12998,2013,Feb,550529,-,-,338.1,364.6,SERANGOON,1.3731,103.8718,SERANGOON NORTH,NORTH-EAST
12999,2013,Feb,550530,-,-,312.0,372.2,SERANGOON,1.3732,103.8724,SERANGOON NORTH,NORTH-EAST
13000,2013,Feb,550531,-,-,377.0,673.3,SERANGOON,1.3746,103.8751,SERANGOON NORTH,NORTH-EAST
13001,2013,Feb,550532,-,-,345.1,408.8,SERANGOON,1.3751,103.8741,SERANGOON NORTH,NORTH-EAST
13002,2013,Feb,550533,-,-,326.2,385.4,SERANGOON,1.3746,103.8746,SERANGOON NORTH,NORTH-EAST
13003,2013,Feb,550534,-,-,349.9,454.9,SERANGOON,1.3742,103.8746,SERANGOON NORTH,NORTH-EAST
13004,2013,Feb,550535,-,-,-,412.1,SERANGOON,1.3739,103.8742,SERANGOON NORTH,NORTH-EAST
13005,2013,Feb,550536,-,-,363.3,320.1,SERANGOON,1.3739,103.8751,SERANGOON NORTH,NORTH-EAST
13006,2013,Feb,550537,-,-,-,486.4,SERANGOON,1.3737,103.8732,SERANGOON NORTH,NORTH-EAST
13007,2013,Feb,550538,-,-,400.2,449.3,SERANGOON,1.3746,103.8732,SERANGOON NORTH,NORTH-EAST
